
5 Mot inconnu : HellaNZB => ====== HellaNZB + Zussaweb ====== | hellanzb
28 Mot inconnu : Hellanzb =>    Hellanzb.PREFIX_DIR = os.path.expanduser('~') + '/.hellanzb/' | hellanzb
28 Mot inconnu : PREFIX_DIR =>    Hellanzb.PREFIX_DIR = os.path.expanduser('~') + '/.hellanzb/' | prefix_dir
28 Il manque un espace avant la parenthèse. =>    Hellanzb.PREFIX_DIR = os.path.expanduser('~') + '/.hellanzb/' | ( => suggestions : [' (']
28 Mot inconnu : hellanzb =>    Hellanzb.PREFIX_DIR = os.path.expanduser('~') + '/.hellanzb/' | hellanzb

31 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Par défaut, les fichiers seront téléchargés dans le dossier .hellanzb de votre dossier utilisateur, si vous souhaitez le modifier, remplacez **/.hellanzb/** par le chemin vers lequel vous voulez que hellanzb copie ses ficheirs. |  . => suggestions : ['. ', '.']
31 Mot inconnu : hellanzb => Par défaut, les fichiers seront téléchargés dans le dossier .hellanzb de votre dossier utilisateur, si vous souhaitez le modifier, remplacez **/.hellanzb/** par le chemin vers lequel vous voulez que hellanzb copie ses ficheirs. | hellanzb
31 Mot inconnu : hellanzb => Par défaut, les fichiers seront téléchargés dans le dossier .hellanzb de votre dossier utilisateur, si vous souhaitez le modifier, remplacez **/.hellanzb/** par le chemin vers lequel vous voulez que hellanzb copie ses ficheirs. | hellanzb
31 Mot inconnu : hellanzb => Par défaut, les fichiers seront téléchargés dans le dossier .hellanzb de votre dossier utilisateur, si vous souhaitez le modifier, remplacez **/.hellanzb/** par le chemin vers lequel vous voulez que hellanzb copie ses ficheirs. | hellanzb
31 Mot inconnu : ficheirs => Par défaut, les fichiers seront téléchargés dans le dossier .hellanzb de votre dossier utilisateur, si vous souhaitez le modifier, remplacez **/.hellanzb/** par le chemin vers lequel vous voulez que hellanzb copie ses ficheirs. | ficheirs

35 Mot inconnu : newsgroups => Il vous faut vous procurer vos identifiants de connexion que vous avez reçu par votre fournisseur de newsgroups et les indiquer à la ligne **defineServer**. | newsgroups
35 Mot inconnu : defineServer => Il vous faut vous procurer vos identifiants de connexion que vous avez reçu par votre fournisseur de newsgroups et les indiquer à la ligne **defineServer**. | defineserver

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         (id = 'votre_identifiant', |          => suggestions : ['']
38 Guillemets typographiques ouvrants. =>         (id = 'votre_identifiant', | ' => suggestions : ['“', '‘', '‹']
38 Mot inconnu : votre_identifiant =>         (id = 'votre_identifiant', | votre_identifiant

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         hosts = [ 'votre_nom_de_serveur:119' ], |          => suggestions : ['']
39 Mot inconnu : hosts =>         hosts = [ 'votre_nom_de_serveur:119' ], | hosts
39 Pas d’espace après ce signe. =>         hosts = [ 'votre_nom_de_serveur:119' ], | [  => suggestions : ['[']
39 Guillemets typographiques ouvrants. =>         hosts = [ 'votre_nom_de_serveur:119' ], | ' => suggestions : ['“', '‘', '‹']
39 Mot inconnu : votre_nom_de_serveur =>         hosts = [ 'votre_nom_de_serveur:119' ], | votre_nom_de_serveur
39 Il manque un espace. =>         hosts = [ 'votre_nom_de_serveur:119' ], | 119 => suggestions : [' 119']
39 Guillemets typographiques fermants. =>         hosts = [ 'votre_nom_de_serveur:119' ], | ' => suggestions : ['”', '’', '›']
39 Pas d’espace avant ce signe. =>         hosts = [ 'votre_nom_de_serveur:119' ], |  ] => suggestions : [']']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         #hosts = [ 'votre_nom_de_serveur', 'morenews.changeme.com:8000' ], |          => suggestions : ['']
40 Pas d’espace après ce signe. =>         #hosts = [ 'votre_nom_de_serveur', 'morenews.changeme.com:8000' ], | [  => suggestions : ['[']
40 Guillemets typographiques ouvrants. =>         #hosts = [ 'votre_nom_de_serveur', 'morenews.changeme.com:8000' ], | ' => suggestions : ['“', '‘', '‹']
40 Mot inconnu : votre_nom_de_serveur =>         #hosts = [ 'votre_nom_de_serveur', 'morenews.changeme.com:8000' ], | votre_nom_de_serveur
40 Guillemets typographiques fermants. =>         #hosts = [ 'votre_nom_de_serveur', 'morenews.changeme.com:8000' ], | ' => suggestions : ['”', '’', '›']
40 Pas d’espace avant ce signe. =>         #hosts = [ 'votre_nom_de_serveur', 'morenews.changeme.com:8000' ], |  ] => suggestions : [']']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         username = 'votre_identifiant', |          => suggestions : ['']
42 Mot inconnu : username =>         username = 'votre_identifiant', | username
42 Guillemets typographiques ouvrants. =>         username = 'votre_identifiant', | ' => suggestions : ['“', '‘', '‹']
42 Mot inconnu : votre_identifiant =>         username = 'votre_identifiant', | votre_identifiant

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         password = 'votre_mot_de_passe', |          => suggestions : ['']
43 Mot inconnu : password =>         password = 'votre_mot_de_passe', | password
43 Guillemets typographiques ouvrants. =>         password = 'votre_mot_de_passe', | ' => suggestions : ['“', '‘', '‹']
43 Mot inconnu : votre_mot_de_passe =>         password = 'votre_mot_de_passe', | votre_mot_de_passe

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         #username = None,           # no auth |          => suggestions : ['']
44 Espace(s) surnuméraire(s) à supprimer. =>         #username = None,           # no auth |             => suggestions : [' ']
44 Mot inconnu : auth =>         #username = None,           # no auth | auth

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         #password = None, |          => suggestions : ['']

48 Mot inconnu : Hellanzb => Par défaut, Hellanzb répare automatiquement les fichiers .rar gràce aux fichiers .par2. Mais si vous souhaitez qu'il vous décompresse automatiquement les fichiers .rar il faudra encore configurer le fichier hellanzb.conf comme ceci : | hellanzb
48 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Par défaut, Hellanzb répare automatiquement les fichiers .rar gràce aux fichiers .par2. Mais si vous souhaitez qu'il vous décompresse automatiquement les fichiers .rar il faudra encore configurer le fichier hellanzb.conf comme ceci : |  . => suggestions : ['. ', '.']
48 Mot inconnu : rar => Par défaut, Hellanzb répare automatiquement les fichiers .rar gràce aux fichiers .par2. Mais si vous souhaitez qu'il vous décompresse automatiquement les fichiers .rar il faudra encore configurer le fichier hellanzb.conf comme ceci : | rar
48 Mot inconnu : gràce => Par défaut, Hellanzb répare automatiquement les fichiers .rar gràce aux fichiers .par2. Mais si vous souhaitez qu'il vous décompresse automatiquement les fichiers .rar il faudra encore configurer le fichier hellanzb.conf comme ceci : | gràce
48 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Par défaut, Hellanzb répare automatiquement les fichiers .rar gràce aux fichiers .par2. Mais si vous souhaitez qu'il vous décompresse automatiquement les fichiers .rar il faudra encore configurer le fichier hellanzb.conf comme ceci : |  . => suggestions : ['. ', '.']
48 Mot inconnu : par2 => Par défaut, Hellanzb répare automatiquement les fichiers .rar gràce aux fichiers .par2. Mais si vous souhaitez qu'il vous décompresse automatiquement les fichiers .rar il faudra encore configurer le fichier hellanzb.conf comme ceci : | par2
48 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Par défaut, Hellanzb répare automatiquement les fichiers .rar gràce aux fichiers .par2. Mais si vous souhaitez qu'il vous décompresse automatiquement les fichiers .rar il faudra encore configurer le fichier hellanzb.conf comme ceci : |  . => suggestions : ['. ', '.']
48 Mot inconnu : rar => Par défaut, Hellanzb répare automatiquement les fichiers .rar gràce aux fichiers .par2. Mais si vous souhaitez qu'il vous décompresse automatiquement les fichiers .rar il faudra encore configurer le fichier hellanzb.conf comme ceci : | rar
48 Mot inconnu : hellanzb => Par défaut, Hellanzb répare automatiquement les fichiers .rar gràce aux fichiers .par2. Mais si vous souhaitez qu'il vous décompresse automatiquement les fichiers .rar il faudra encore configurer le fichier hellanzb.conf comme ceci : | hellanzb
48 Il manque un espace. => Par défaut, Hellanzb répare automatiquement les fichiers .rar gràce aux fichiers .par2. Mais si vous souhaitez qu'il vous décompresse automatiquement les fichiers .rar il faudra encore configurer le fichier hellanzb.conf comme ceci : | conf => suggestions : [' conf']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Supply a path to the (un)rar command |       => suggestions : ['']
51 Mot inconnu : Supply =>      # Supply a path to the (un)rar command | supply
51 Mot inconnu : path =>      # Supply a path to the (un)rar command | path
51 Mot inconnu : to =>      # Supply a path to the (un)rar command | to
51 Mot inconnu : the =>      # Supply a path to the (un)rar command | the
51 Il manque un espace après la parenthèse. =>      # Supply a path to the (un)rar command | ) => suggestions : [') ']
51 Mot inconnu : rar =>      # Supply a path to the (un)rar command | rar
51 Mot inconnu : command =>      # Supply a path to the (un)rar command | command

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      Hellanzb.UNRAR_CMD = '/usr/bin/unrar' |       => suggestions : ['']
52 Mot inconnu : Hellanzb =>      Hellanzb.UNRAR_CMD = '/usr/bin/unrar' | hellanzb
52 Mot inconnu : UNRAR_CMD =>      Hellanzb.UNRAR_CMD = '/usr/bin/unrar' | unrar_cmd

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Supply a path to the par2 command |       => suggestions : ['']
54 Mot inconnu : Supply =>      # Supply a path to the par2 command | supply
54 Mot inconnu : path =>      # Supply a path to the par2 command | path
54 Mot inconnu : to =>      # Supply a path to the par2 command | to
54 Mot inconnu : the =>      # Supply a path to the par2 command | the
54 Mot inconnu : par2 =>      # Supply a path to the par2 command | par2
54 Mot inconnu : command =>      # Supply a path to the par2 command | command

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      Hellanzb.PAR2_CMD = '/usr/bin/par2' |       => suggestions : ['']
55 Mot inconnu : Hellanzb =>      Hellanzb.PAR2_CMD = '/usr/bin/par2' | hellanzb
55 Mot inconnu : PAR2_CMD =>      Hellanzb.PAR2_CMD = '/usr/bin/par2' | par2_cmd

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      # Skip unraring during post processing |       => suggestions : ['']
57 Mot inconnu : Skip =>      # Skip unraring during post processing | skip
57 Mot inconnu : unraring =>      # Skip unraring during post processing | unraring
57 Mot inconnu : during =>      # Skip unraring during post processing | during
57 Mot inconnu : processing =>      # Skip unraring during post processing | processing

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      #Hellanzb.SKIP_UNRAR = True |       => suggestions : ['']
58 Mot inconnu : SKIP_UNRAR =>      #Hellanzb.SKIP_UNRAR = True | skip_unrar
58 Mot inconnu : True =>      #Hellanzb.SKIP_UNRAR = True | true

68 Mot inconnu : NZB => Télécharger un fichier NZB, et placez le dans : | nzb
68 S’il s’agit d’un impératif, mettez un trait d’union. => Télécharger un fichier NZB, et placez le dans : | placez le => suggestions : ['placez-le']

72 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Si vous voulez utilisez une interface web (hellahella ou zussaweb) pour gérer vos téléchargements, il se peut que vous n'ayez pas les droits pour copier un fichier dans ce dossier, alors faites un : | -  => suggestions : ['—\xa0', '–\xa0']
72 Mot inconnu : hellahella => - Si vous voulez utilisez une interface web (hellahella ou zussaweb) pour gérer vos téléchargements, il se peut que vous n'ayez pas les droits pour copier un fichier dans ce dossier, alors faites un : | hellahella
72 Mot inconnu : zussaweb => - Si vous voulez utilisez une interface web (hellahella ou zussaweb) pour gérer vos téléchargements, il se peut que vous n'ayez pas les droits pour copier un fichier dans ce dossier, alors faites un : | zussaweb
76 Espace(s) en fin de ligne à supprimer. => et un:  |   => suggestions : ['']

80 Accord avec le sujet “ils” : “extrait” devrait être au masculin pluriel. => Une fois vos fichiers téléchargés et réparés, ils seront extrait ici : | extrait => suggestions : ['extraits']

89 Mot inconnu : Hellanzb => Si vous désirez que Hellanzb se lance automatiquement en démon au démarrage de votre machine, il va falloir créer un fichier "hellanzb" dans /etc/init.d/ avec les droits 755.\\  | hellanzb
89 Guillemets typographiques ouvrants. => Si vous désirez que Hellanzb se lance automatiquement en démon au démarrage de votre machine, il va falloir créer un fichier "hellanzb" dans /etc/init.d/ avec les droits 755.\\  | " => suggestions : ['«\xa0', '“']
89 Mot inconnu : hellanzb => Si vous désirez que Hellanzb se lance automatiquement en démon au démarrage de votre machine, il va falloir créer un fichier "hellanzb" dans /etc/init.d/ avec les droits 755.\\  | hellanzb
89 Guillemets typographiques fermants. => Si vous désirez que Hellanzb se lance automatiquement en démon au démarrage de votre machine, il va falloir créer un fichier "hellanzb" dans /etc/init.d/ avec les droits 755.\\  | " => suggestions : ['\xa0»', '”']
89 Espace(s) en fin de ligne à supprimer. => Si vous désirez que Hellanzb se lance automatiquement en démon au démarrage de votre machine, il va falloir créer un fichier "hellanzb" dans /etc/init.d/ avec les droits 755.\\  |   => suggestions : ['']

95 Guillemets typographiques fermants. => case "$1" in | " => suggestions : ['\xa0»', '”']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   start)  |    => suggestions : ['']
96 Mot inconnu : start =>   start)  | start
96 Espace(s) en fin de ligne à supprimer. =>   start)  |   => suggestions : ['']

97 Il manque un espace à côté du tiret. => 	su -c 'hellanzb -D' votre_identifiant_ubuntu |  - => suggestions : [' – ', ' — ']
97 Guillemets typographiques ouvrants. => 	su -c 'hellanzb -D' votre_identifiant_ubuntu | ' => suggestions : ['“', '‘', '‹']
97 Mot inconnu : hellanzb => 	su -c 'hellanzb -D' votre_identifiant_ubuntu | hellanzb
97 Il manque un espace à côté du tiret. => 	su -c 'hellanzb -D' votre_identifiant_ubuntu |  - => suggestions : [' – ', ' — ']
97 Guillemets typographiques fermants. => 	su -c 'hellanzb -D' votre_identifiant_ubuntu | ' => suggestions : ['”', '’', '›']
97 Mot inconnu : votre_identifiant_ubuntu => 	su -c 'hellanzb -D' votre_identifiant_ubuntu | votre_identifiant_ubuntu

98 Une de ces ponctuations est superflue. => 	;; | ;; => suggestions : [';', ';']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   stop) |    => suggestions : ['']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         su -c 'hellanzb shutdown' votre_identifiant_ubuntu |          => suggestions : ['']
100 Il manque un espace à côté du tiret. =>         su -c 'hellanzb shutdown' votre_identifiant_ubuntu |  - => suggestions : [' – ', ' — ']
100 Guillemets typographiques ouvrants. =>         su -c 'hellanzb shutdown' votre_identifiant_ubuntu | ' => suggestions : ['“', '‘', '‹']
100 Mot inconnu : hellanzb =>         su -c 'hellanzb shutdown' votre_identifiant_ubuntu | hellanzb
100 Mot inconnu : shutdown =>         su -c 'hellanzb shutdown' votre_identifiant_ubuntu | shutdown
100 Guillemets typographiques fermants. =>         su -c 'hellanzb shutdown' votre_identifiant_ubuntu | ' => suggestions : ['”', '’', '›']
100 Mot inconnu : votre_identifiant_ubuntu =>         su -c 'hellanzb shutdown' votre_identifiant_ubuntu | votre_identifiant_ubuntu

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
101 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   status) |    => suggestions : ['']

103 Il manque un espace à côté du tiret. => 	su -c 'hellanzb status' votre_identifiant_ubuntu |  - => suggestions : [' – ', ' — ']
103 Guillemets typographiques ouvrants. => 	su -c 'hellanzb status' votre_identifiant_ubuntu | ' => suggestions : ['“', '‘', '‹']
103 Mot inconnu : hellanzb => 	su -c 'hellanzb status' votre_identifiant_ubuntu | hellanzb
103 Guillemets typographiques fermants. => 	su -c 'hellanzb status' votre_identifiant_ubuntu | ' => suggestions : ['”', '’', '›']
103 Mot inconnu : votre_identifiant_ubuntu => 	su -c 'hellanzb status' votre_identifiant_ubuntu | votre_identifiant_ubuntu

104 Une de ces ponctuations est superflue. => 	;; | ;; => suggestions : [';', ';']

105 Mot inconnu : esac => esac | esac
108 Espace(s) en fin de ligne à supprimer. => ensuite dans un terminal tapez :  |   => suggestions : ['']

112 Mot inconnu : Hellanzb => le service Hellanzb se lancera en démon au démarrage de votre machine ! Vous pouvez donc par la suite démarrer, arrêter ou vérifier le status de votre service Hellanzb avec les commandes :  | hellanzb
112 Mot inconnu : Hellanzb => le service Hellanzb se lancera en démon au démarrage de votre machine ! Vous pouvez donc par la suite démarrer, arrêter ou vérifier le status de votre service Hellanzb avec les commandes :  | hellanzb
112 Espace(s) en fin de ligne à supprimer. => le service Hellanzb se lancera en démon au démarrage de votre machine ! Vous pouvez donc par la suite démarrer, arrêter ou vérifier le status de votre service Hellanzb avec les commandes :  |   => suggestions : ['']

120 Mot inconnu : HellaNZB => Si jamais vous voulez enlever HellaNZB du démarrage de votre machine, il suffit de taper la commande suivante : | hellanzb

131 Mot inconnu : Zussaweb => Zussaweb et Hellahella sont des interfaces web pour Hellanzb. En effet, il peut apparaître fastidieux d'aller à chaque fois déposer les fichiers .nzb dans votre dossier nzb/daemon.queue/  | zussaweb
131 Mot inconnu : Hellahella => Zussaweb et Hellahella sont des interfaces web pour Hellanzb. En effet, il peut apparaître fastidieux d'aller à chaque fois déposer les fichiers .nzb dans votre dossier nzb/daemon.queue/  | hellahella
131 Mot inconnu : Hellanzb => Zussaweb et Hellahella sont des interfaces web pour Hellanzb. En effet, il peut apparaître fastidieux d'aller à chaque fois déposer les fichiers .nzb dans votre dossier nzb/daemon.queue/  | hellanzb
131 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Zussaweb et Hellahella sont des interfaces web pour Hellanzb. En effet, il peut apparaître fastidieux d'aller à chaque fois déposer les fichiers .nzb dans votre dossier nzb/daemon.queue/  |  . => suggestions : ['. ', '.']
131 Mot inconnu : nzb => Zussaweb et Hellahella sont des interfaces web pour Hellanzb. En effet, il peut apparaître fastidieux d'aller à chaque fois déposer les fichiers .nzb dans votre dossier nzb/daemon.queue/  | nzb
131 Mot inconnu : nzb => Zussaweb et Hellahella sont des interfaces web pour Hellanzb. En effet, il peut apparaître fastidieux d'aller à chaque fois déposer les fichiers .nzb dans votre dossier nzb/daemon.queue/  | nzb
131 Mot inconnu : daemon => Zussaweb et Hellahella sont des interfaces web pour Hellanzb. En effet, il peut apparaître fastidieux d'aller à chaque fois déposer les fichiers .nzb dans votre dossier nzb/daemon.queue/  | daemon
131 Il manque un espace. => Zussaweb et Hellahella sont des interfaces web pour Hellanzb. En effet, il peut apparaître fastidieux d'aller à chaque fois déposer les fichiers .nzb dans votre dossier nzb/daemon.queue/  | queue => suggestions : [' queue']
131 Espace(s) en fin de ligne à supprimer. => Zussaweb et Hellahella sont des interfaces web pour Hellanzb. En effet, il peut apparaître fastidieux d'aller à chaque fois déposer les fichiers .nzb dans votre dossier nzb/daemon.queue/  |   => suggestions : ['']

133 Mot inconnu : Zussaweb => Zussaweb et Hellahella sont là pour vous simplifier la vie et donner en prime un aspect un peu moins austère à Hellanzb. | zussaweb
133 Mot inconnu : Hellahella => Zussaweb et Hellahella sont là pour vous simplifier la vie et donner en prime un aspect un peu moins austère à Hellanzb. | hellahella
133 Mot inconnu : Hellanzb => Zussaweb et Hellahella sont là pour vous simplifier la vie et donner en prime un aspect un peu moins austère à Hellanzb. | hellanzb

135 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Le point fort de ces interfaces web est de vous permettre de lancer un fichier .nzb de n'importe où dans le monde simplement avec un navigateur web. |  . => suggestions : ['. ', '.']
135 Mot inconnu : nzb => Le point fort de ces interfaces web est de vous permettre de lancer un fichier .nzb de n'importe où dans le monde simplement avec un navigateur web. | nzb

142 Mot inconnu : Zussaweb => === Zussaweb === | zussaweb

144 Mot inconnu : Zussaweb => Pour télécharger Zussaweb : https://sourceforge.net/projects/zussaweb | zussaweb

146 Mot inconnu : settings => Ensuite il faudra juste modifier dans le fichier settings.php de Zussaweb: | settings
146 Mot inconnu : php => Ensuite il faudra juste modifier dans le fichier settings.php de Zussaweb: | php
146 Mot inconnu : Zussaweb => Ensuite il faudra juste modifier dans le fichier settings.php de Zussaweb: | zussaweb

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      $disk = '/home/votre_identifiant_ubuntu/dossier_hellanzb'; |       => suggestions : ['']
149 Mot inconnu : disk =>      $disk = '/home/votre_identifiant_ubuntu/dossier_hellanzb'; | disk

150 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      $download_nzb_path = '/home/votre_identifiant_ubuntu/dossier_hellanzb/nzb/daemon.queue'; |       => suggestions : ['']
150 Mot inconnu : download_nzb_path =>      $download_nzb_path = '/home/votre_identifiant_ubuntu/dossier_hellanzb/nzb/daemon.queue'; | download_nzb_path

153 Mot inconnu : functions => Pour le bon fonctionnement, il est également nécessaire de modifier le fichier functions.php | functions
153 Mot inconnu : php => Pour le bon fonctionnement, il est également nécessaire de modifier le fichier functions.php | php

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - A la ligne 4 remplacez la variable $disk par ce que vous avez écrit plus haut |    => suggestions : ['']
155 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - A la ligne 4 remplacez la variable $disk par ce que vous avez écrit plus haut |  -  => suggestions : [' – ', ' — ', ' − ']
155 S’il s’agit de la préposition « à », il faut accentuer la majuscule. =>   - A la ligne 4 remplacez la variable $disk par ce que vous avez écrit plus haut | a => suggestions : ['À']
155 Mot inconnu : disk =>   - A la ligne 4 remplacez la variable $disk par ce que vous avez écrit plus haut | disk

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - A la ligne 77 remplacez : "/" par de simples guillemets : '/' |    => suggestions : ['']
156 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - A la ligne 77 remplacez : "/" par de simples guillemets : '/' |  -  => suggestions : [' – ', ' — ', ' − ']
156 S’il s’agit de la préposition « à », il faut accentuer la majuscule. =>   - A la ligne 77 remplacez : "/" par de simples guillemets : '/' | a => suggestions : ['À']

158 Mot inconnu : Zussaweb => Pour la mise en place de l'interface, je pars du principe que si vous utilisez Apache vous saurez mettre en place Zussaweb. | zussaweb

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Site officiel : www.hellanzb.com/trac/ |    => suggestions : ['']
167 Il manque un espace. => //Contributeurs : [[utilisateurs:Dedel]], [[utilisateurs:Ezteban]], Yoann Vareille.// | dedel => suggestions : [' Dedel']
167 Il manque un espace. => //Contributeurs : [[utilisateurs:Dedel]], [[utilisateurs:Ezteban]], Yoann Vareille.// | ezteban => suggestions : [' Ezteban']
167 Mot inconnu : Vareille => //Contributeurs : [[utilisateurs:Dedel]], [[utilisateurs:Ezteban]], Yoann Vareille.// | vareille
