
6 Mot inconnu : realtek => ======  realtek rtl8192ce====== | realtek
11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * RTL8723AE : Stable et Performante (Mais plutot a 70 Mbits que 150 ) |    => suggestions : ['']
11 Mot inconnu : RTL8723AE =>   * RTL8723AE : Stable et Performante (Mais plutot a 70 Mbits que 150 ) | rtl8723ae
11 Mot inconnu : plutot =>   * RTL8723AE : Stable et Performante (Mais plutot a 70 Mbits que 150 ) | plutot
11 Mot inconnu : Mbits =>   * RTL8723AE : Stable et Performante (Mais plutot a 70 Mbits que 150 ) | mbits
11 Pas d’espace avant ce signe. =>   * RTL8723AE : Stable et Performante (Mais plutot a 70 Mbits que 150 ) |  ) => suggestions : [')']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * RTL8723E : Stable et assez performante (mais peut être désactive par commutateur au démarrage de l'ordinateur) |    => suggestions : ['']
12 Mot inconnu : RTL8723E =>   * RTL8723E : Stable et assez performante (mais peut être désactive par commutateur au démarrage de l'ordinateur) | rtl8723e

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * RTL8723BE : 802.11i/WPA2 Version 1 |    => suggestions : ['']
13 Mot inconnu : RTL8723BE =>   * RTL8723BE : 802.11i/WPA2 Version 1 | rtl8723be
13 Mot inconnu : WPA2 =>   * RTL8723BE : 802.11i/WPA2 Version 1 | wpa2

16 Mot inconnu : uefi => <note importante>Vérifier dans tous les cas que le [[uefi#activerdesactiver_le_secure_boot|secure boot]] est [[desactiver_secure_boot|désactivé]] dans votre bios.</note> | uefi
16 Mot inconnu : secure => <note importante>Vérifier dans tous les cas que le [[uefi#activerdesactiver_le_secure_boot|secure boot]] est [[desactiver_secure_boot|désactivé]] dans votre bios.</note> | secure
16 Mot inconnu : boot => <note importante>Vérifier dans tous les cas que le [[uefi#activerdesactiver_le_secure_boot|secure boot]] est [[desactiver_secure_boot|désactivé]] dans votre bios.</note> | boot
16 Mot inconnu : desactiver_secure_boot => <note importante>Vérifier dans tous les cas que le [[uefi#activerdesactiver_le_secure_boot|secure boot]] est [[desactiver_secure_boot|désactivé]] dans votre bios.</note> | desactiver_secure_boot
16 Accord de nombre erroné : « bios » devrait être au singulier. => <note importante>Vérifier dans tous les cas que le [[uefi#activerdesactiver_le_secure_boot|secure boot]] est [[desactiver_secure_boot|désactivé]] dans votre bios.</note> | bios => suggestions : ['bio']

17 Mot inconnu : RTL8723E => ===== RTL8723E désactivé par commutateur au démarrage de l'ordinateur ===== | rtl8723e

25 Mot inconnu : RTL8723E => ===== RTL8723E/AE Ne fonctionne pas alors que tout est ok ===== | rtl8723e
25 Mot inconnu : AE => ===== RTL8723E/AE Ne fonctionne pas alors que tout est ok ===== | ae
25 Mot inconnu : ok => ===== RTL8723E/AE Ne fonctionne pas alors que tout est ok ===== | ok

27 Mot inconnu : power => Si vous avez installé le pilote propriétaire et que tout s'est déroulé correctement, que vous avez redémarré votre ordinateur mais que la carte ne fonctionne toujours pas, essayez d'éteindre brutalement votre ordinateur en maintenant le bouton power enfoncé. Voir le [[https://ubuntuforums.org/showthread.php?t=2102473|sujet original]] (en anglais). | power

30 Mot inconnu : RTL8723BE => ===== RTL8723BE problèmes divers ===== | rtl8723be

45 Mot inconnu : Livebox => *  Livebox          Infra  6     54 Mo/s  100     ▂▄▆█  WPA1 WPA2</code> | livebox
45 Espace(s) surnuméraire(s) à supprimer. => *  Livebox          Infra  6     54 Mo/s  100     ▂▄▆█  WPA1 WPA2</code> |            => suggestions : [' ']
45 Espace(s) surnuméraire(s) à supprimer. => *  Livebox          Infra  6     54 Mo/s  100     ▂▄▆█  WPA1 WPA2</code> |    => suggestions : [' ']
45 Espace(s) surnuméraire(s) à supprimer. => *  Livebox          Infra  6     54 Mo/s  100     ▂▄▆█  WPA1 WPA2</code> |       => suggestions : [' ']
45 Si “Mo/s” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => *  Livebox          Infra  6     54 Mo/s  100     ▂▄▆█  WPA1 WPA2</code> | 54 mo/s => suggestions : ['54\xa0Mo/s']
45 Espace(s) surnuméraire(s) à supprimer. => *  Livebox          Infra  6     54 Mo/s  100     ▂▄▆█  WPA1 WPA2</code> |    => suggestions : [' ']
45 Espace(s) surnuméraire(s) à supprimer. => *  Livebox          Infra  6     54 Mo/s  100     ▂▄▆█  WPA1 WPA2</code> |       => suggestions : [' ']
45 Mot inconnu : WPA1 => *  Livebox          Infra  6     54 Mo/s  100     ▂▄▆█  WPA1 WPA2</code> | wpa1
45 Mot inconnu : WPA2 => *  Livebox          Infra  6     54 Mo/s  100     ▂▄▆█  WPA1 WPA2</code> | wpa2

46 Mot inconnu : wpa2 => Il faut alors aller dans configuration de votre box et modifier le chiffrement en wpa2 AES uniquement. | wpa2
46 Mot inconnu : AES => Il faut alors aller dans configuration de votre box et modifier le chiffrement en wpa2 AES uniquement. | aes

56 Mot inconnu : dkms => dkms status</code> | dkms

60 Espace(s) surnuméraire(s) à supprimer. => ===== Installation des pilotes les  plus récents pour les cartes RTL8822BE, RTL8822CE, RTL8821CE et RTL8723DE ===== |    => suggestions : [' ']
60 Mot inconnu : RTL8822BE => ===== Installation des pilotes les  plus récents pour les cartes RTL8822BE, RTL8822CE, RTL8821CE et RTL8723DE ===== | rtl8822be
60 Mot inconnu : RTL8822CE => ===== Installation des pilotes les  plus récents pour les cartes RTL8822BE, RTL8822CE, RTL8821CE et RTL8723DE ===== | rtl8822ce
60 Mot inconnu : RTL8821CE => ===== Installation des pilotes les  plus récents pour les cartes RTL8822BE, RTL8822CE, RTL8821CE et RTL8723DE ===== | rtl8821ce
60 Mot inconnu : RTL8723DE => ===== Installation des pilotes les  plus récents pour les cartes RTL8822BE, RTL8822CE, RTL8821CE et RTL8723DE ===== | rtl8723de

61 Espace(s) surnuméraire(s) à supprimer. => Les instructions originelles sont disponibles  dans le site[[https://github.com/lwfinger/rtw88|github]] |    => suggestions : [' ']

63 Mot inconnu : sudo => sudo apt-get install make gcc linux-headers-$(uname -r) build-essential git</code> | sudo
63 Mot inconnu : apt-get => sudo apt-get install make gcc linux-headers-$(uname -r) build-essential git</code> | apt-get
63 Mot inconnu : install => sudo apt-get install make gcc linux-headers-$(uname -r) build-essential git</code> | install
63 Mot inconnu : make => sudo apt-get install make gcc linux-headers-$(uname -r) build-essential git</code> | make
63 Mot inconnu : gcc => sudo apt-get install make gcc linux-headers-$(uname -r) build-essential git</code> | gcc
63 Mot inconnu : linux-headers => sudo apt-get install make gcc linux-headers-$(uname -r) build-essential git</code> | linux-headers
63 Mot inconnu : uname => sudo apt-get install make gcc linux-headers-$(uname -r) build-essential git</code> | uname
63 Il manque un espace à côté du tiret. => sudo apt-get install make gcc linux-headers-$(uname -r) build-essential git</code> |  - => suggestions : [' – ', ' — ']
63 Mot inconnu : build-essential => sudo apt-get install make gcc linux-headers-$(uname -r) build-essential git</code> | build-essential

66 Mot inconnu : make => make</code> | make

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installation du pilote  en environnement non sécurisé <code bash> sudo make install </code> |    => suggestions : ['']
67 Espace(s) surnuméraire(s) à supprimer. =>   * Installation du pilote  en environnement non sécurisé <code bash> sudo make install </code> |    => suggestions : [' ']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installation du pilote en environnement sécurisé <code bash> sudo make sign-install </code>Un mot de passe vous sera demandé, veuillez parfaitement le mémoriser. Il sera demandé au redémarrage de l'ordinateur. Redémarrez l'ordinateur pour activer le nouveau module installé. Dans l'écran de gestion MOK : |    => suggestions : ['']
68 Mot inconnu : MOK =>   * Installation du pilote en environnement sécurisé <code bash> sudo make sign-install </code>Un mot de passe vous sera demandé, veuillez parfaitement le mémoriser. Il sera demandé au redémarrage de l'ordinateur. Redémarrez l'ordinateur pour activer le nouveau module installé. Dans l'écran de gestion MOK : | mok

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * Sélectionnez "Enroll key" et inscrivez la clé créée par l'étape d'installation de signature ci-dessus. |       => suggestions : ['']
69 Guillemets typographiques ouvrants. =>      * Sélectionnez "Enroll key" et inscrivez la clé créée par l'étape d'installation de signature ci-dessus. | " => suggestions : ['«\xa0', '“']
69 Mot inconnu : Enroll =>      * Sélectionnez "Enroll key" et inscrivez la clé créée par l'étape d'installation de signature ci-dessus. | enroll
69 Mot inconnu : key =>      * Sélectionnez "Enroll key" et inscrivez la clé créée par l'étape d'installation de signature ci-dessus. | key
69 Guillemets typographiques fermants. =>      * Sélectionnez "Enroll key" et inscrivez la clé créée par l'étape d'installation de signature ci-dessus. | " => suggestions : ['\xa0»', '”']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * Lorsque vous y êtes invité, entrez le mot de passe que vous avez entré lors de la création de la clé de signature. |       => suggestions : ['']
