
4 Accord de nombre erroné avec « UNE IMPRIMANTE » : « MULTIFONCTIONS » devrait être au singulier. [[43:57]] => ====== SCANNER EN WIFI AVEC UNE IMPRIMANTE MULTIFONCTIONS  ====== <|> multifonctions => suggestions : None
4 Espace(s) surnuméraire(s) à supprimer. [[57:59]] => ====== SCANNER EN WIFI AVEC UNE IMPRIMANTE MULTIFONCTIONS  ====== <|>    => suggestions : None
10 Mot inconnu : PHOTOSMART [[33:43]] => ===== EXEMPLE DE L'IMPRIMANTE HP PHOTOSMART PLUS B 210 ===== <|> photosmart
63 Espace(s) en fin de ligne à supprimer. [[37:38]] => >  La ligne suivante est importante :  <|>   => suggestions : None
65 Mot inconnu : Photosmart_Plus_B210_series [[30:57]] => >  <box 65%>CUPS URI: hp:/net/Photosmart_Plus_B210_series?ip=192.168.0.49 </box> <|> photosmart_plus_b210_series

68 Mot inconnu : DeviceURI [[53:62]] => Dans ce fichier, repérez la ligne qui commence par **DeviceURI** et supprimez tout ce qui suit (ça commence par "socket") et copiez à la place la ligne **CUPS URI**.  <|> deviceuri
68 Guillemets typographiques ouvrants. [[112:113]] => Dans ce fichier, repérez la ligne qui commence par **DeviceURI** et supprimez tout ce qui suit (ça commence par "socket") et copiez à la place la ligne **CUPS URI**.  <|> " => suggestions : None
68 Guillemets typographiques fermants. [[119:120]] => Dans ce fichier, repérez la ligne qui commence par **DeviceURI** et supprimez tout ce qui suit (ça commence par "socket") et copiez à la place la ligne **CUPS URI**.  <|> " => suggestions : None
68 Espace(s) en fin de ligne à supprimer. [[165:166]] => Dans ce fichier, repérez la ligne qui commence par **DeviceURI** et supprimez tout ce qui suit (ça commence par "socket") et copiez à la place la ligne **CUPS URI**.  <|>   => suggestions : None
79 Espace(s) surnuméraire(s) à supprimer. [[75:77]] => <note tip>Il suffit ensuite de redémarrer CUPS, ouvrez un terminal et tapez  : <|>    => suggestions : None
86 Espace(s) en fin de ligne à supprimer. [[57:58]] => Pour trouver son adresse MAC, depuis un terminal, tapez :  <|>   => suggestions : None
94 Mot inconnu : Deskjet [[4:11]] => |HP Deskjet 3520|Ubuntu 13.04| <|> deskjet
101 Mot inconnu : C4380 [[15:20]] => |HP Photosmart C4380 series|Debian Wheezy| <|> c4380
101 Mot inconnu : series [[21:27]] => |HP Photosmart C4380 series|Debian Wheezy| <|> series
101 Mot inconnu : Wheezy [[35:41]] => |HP Photosmart C4380 series|Debian Wheezy| <|> wheezy
102 Mot inconnu : Photosmart [[4:14]] => |HP Photosmart plus B210| <|> photosmart
102 Mot inconnu : B210 [[20:24]] => |HP Photosmart plus B210| <|> b210
103 Mot inconnu : Photosmart [[4:14]] => |HP Photosmart Premium C905|Ubuntu 12.04| <|> photosmart
103 Mot inconnu : C905 [[23:27]] => |HP Photosmart Premium C905|Ubuntu 12.04| <|> c905
104 Mot inconnu : Photosmart [[4:14]] => |HP Photosmart 5510|Ubuntu 12.10| <|> photosmart
105 Mot inconnu : Photosmart [[4:14]] => |HP Photosmart 5520|Kubuntu 14.04| <|> photosmart
106 Mot inconnu : Photosmart [[4:14]] => |HP Photosmart 5525|Debian 8 Jessie| <|> photosmart
107 Mot inconnu : Photosmart [[4:14]] => |HP Photosmart 6510|Ubuntu 12.10| <|> photosmart
108 Mot inconnu : Photosmart [[4:14]] => |HP Photosmart 6520|Ubuntu 12.04 avec pilote hplip-3.13.9.run| <|> photosmart
108 Mot inconnu : hplip-3 [[45:52]] => |HP Photosmart 6520|Ubuntu 12.04 avec pilote hplip-3.13.9.run| <|> hplip-3
108 Mot inconnu : run [[58:61]] => |HP Photosmart 6520|Ubuntu 12.04 avec pilote hplip-3.13.9.run| <|> run
109 Mot inconnu : Photosmart [[4:14]] => |HP Photosmart 7510|Ubuntu 14.04| <|> photosmart
110 Mot inconnu : Photosmart [[4:14]] => |HP Photosmart 7520|Ubuntu 14.04 et Mint 17.2| <|> photosmart
110 Mot inconnu : Mint [[36:40]] => |HP Photosmart 7520|Ubuntu 14.04 et Mint 17.2| <|> mint
111 Mot inconnu : Officejet [[4:13]] => |HP Officejet J4680|Ubuntu 13.10| <|> officejet
111 Mot inconnu : J4680 [[14:19]] => |HP Officejet J4680|Ubuntu 13.10| <|> j4680
112 Mot inconnu : Deskjet [[4:11]] => |HP Deskjet F4580|Ubuntu 14.04| <|> deskjet
112 Mot inconnu : F4580 [[12:17]] => |HP Deskjet F4580|Ubuntu 14.04| <|> f4580
113 Mot inconnu : ENVY [[4:8]] => |HP ENVY 4500 Series|Ubuntu 14.04| <|> envy
113 Mot inconnu : Series [[14:20]] => |HP ENVY 4500 Series|Ubuntu 14.04| <|> series
114 Mot inconnu : ENVY [[4:8]] => |HP ENVY 110 Series|Kubuntu 15.04 et Debian 8.1 Jessie| <|> envy
114 Mot inconnu : Series [[13:19]] => |HP ENVY 110 Series|Kubuntu 15.04 et Debian 8.1 Jessie| <|> series
