
5 Mot inconnu : Xfconf => ====== Xfconf - Éditeur de paramètres ====== | xfconf
19 Mot inconnu : MCS => MCS imposait l'utilisation d'une interface graphique dépendante de X pour accéder aux paramètres.\\ De toute évidence, ce genre de chose n'est pas adapté à un système de configuration qui peut fonctionner sans interface graphique, ou même sur un système non-X11.\\  | mcs
19 Mot inconnu : non-X11 => MCS imposait l'utilisation d'une interface graphique dépendante de X pour accéder aux paramètres.\\ De toute évidence, ce genre de chose n'est pas adapté à un système de configuration qui peut fonctionner sans interface graphique, ou même sur un système non-X11.\\  | non-x11
19 Espace(s) en fin de ligne à supprimer. => MCS imposait l'utilisation d'une interface graphique dépendante de X pour accéder aux paramètres.\\ De toute évidence, ce genre de chose n'est pas adapté à un système de configuration qui peut fonctionner sans interface graphique, ou même sur un système non-X11.\\  |   => suggestions : ['']

20 Mot inconnu : Xfconf => Compte tenu de son envol au cours des deux dernières années, D-Bus semblait donc être le mieux placé dans le cadre d'une communication inter-processus. Ainsi naquit l'interface D-Bus pour Xfconf. | xfconf

22 Mot inconnu : gconf => Pour le reste, cela ressemble grandement à gconf. | gconf

23 Mot inconnu : xfconfd => Nous disposons d'un démon (//xfconfd//) et d'une librairie cliente (//libxfconf//). | xfconfd
23 Mot inconnu : xfconf => Nous disposons d'un démon (//xfconfd//) et d'une librairie cliente (//libxfconf//). | xfconf

24 Mot inconnu : xfconfd => Les applications utilisent la librairie cliente pour accéder et stoker les paramètres depuis xfconfd. | xfconfd

25 Espace(s) en fin de ligne à supprimer. => Le démon stocke les paramètres sur disque dans le format de son choix, et gère l'interface D-Bus.\\  |   => suggestions : ['']

27 Mot inconnu : Xfconfd => Ainsi, Xfconfd est lancé lors de l'activation de D-Bus. Il n'est pas nécessaire de l'ajouter à un script de démarrage ou de le lancer depuis l'application cliente. | xfconfd

28 Mot inconnu : Xfconfd => D-Bus empêche également que deux instances de Xfconfd ne soient lancées. | xfconfd

33 Mot inconnu : xfconf => Pour bénéficier de **xfconf** vous devez disposer de Xubuntu. | xfconf
33 Mot inconnu : Xubuntu => Pour bénéficier de **xfconf** vous devez disposer de Xubuntu. | xubuntu

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les paramètres sont organisés sous forme de **//canaux//** qui détiennent chacun un nombre arbitraire de **//propriétés//**. |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le nom des canaux est une simple chaîne de caractère (comme "xfwm4" ou "xfce4-desktop"). |    => suggestions : ['']
39 Guillemets typographiques ouvrants. =>   * Le nom des canaux est une simple chaîne de caractère (comme "xfwm4" ou "xfce4-desktop"). | " => suggestions : ['«\xa0', '“']
39 Mot inconnu : xfwm4 =>   * Le nom des canaux est une simple chaîne de caractère (comme "xfwm4" ou "xfce4-desktop"). | xfwm4
39 Guillemets typographiques fermants. =>   * Le nom des canaux est une simple chaîne de caractère (comme "xfwm4" ou "xfce4-desktop"). | " => suggestions : ['\xa0»', '”']
39 Guillemets typographiques ouvrants. =>   * Le nom des canaux est une simple chaîne de caractère (comme "xfwm4" ou "xfce4-desktop"). | " => suggestions : ['«\xa0', '“']
39 Mot inconnu : xfce4-desktop =>   * Le nom des canaux est une simple chaîne de caractère (comme "xfwm4" ou "xfce4-desktop"). | xfce4-desktop
39 Guillemets typographiques fermants. =>   * Le nom des canaux est une simple chaîne de caractère (comme "xfwm4" ou "xfce4-desktop"). | " => suggestions : ['\xa0»', '”']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les propriétés sont comme des noms d'emplacements //hiérarchisés//. |    => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les **//valeurs//** des propriétés peuvent être de différents types (booléen, nombre, chaîne) mais également sous forme de tableau. |    => suggestions : ['']

46 Mot inconnu : Xfce => Jusqu'à Xfce 4.4, il était possible d'utiliser le système « //XfceKiosk// » qui permettait de mettre en place une configuration pour définir si un paramètre pouvait ou non être modifié par certains utilisateurs.\\  | xfce
46 Mot inconnu : XfceKiosk => Jusqu'à Xfce 4.4, il était possible d'utiliser le système « //XfceKiosk// » qui permettait de mettre en place une configuration pour définir si un paramètre pouvait ou non être modifié par certains utilisateurs.\\  | xfcekiosk
46 Espace(s) en fin de ligne à supprimer. => Jusqu'à Xfce 4.4, il était possible d'utiliser le système « //XfceKiosk// » qui permettait de mettre en place une configuration pour définir si un paramètre pouvait ou non être modifié par certains utilisateurs.\\  |   => suggestions : ['']

47 Mot inconnu : Xfconf => Xfconf intègre également un système de "verrouillage". | xfconf
47 Guillemets typographiques ouvrants. => Xfconf intègre également un système de "verrouillage". | " => suggestions : ['«\xa0', '“']
47 Guillemets typographiques fermants. => Xfconf intègre également un système de "verrouillage". | " => suggestions : ['\xa0»', '”']

48 Mot inconnu : xfconf => L'administrateur système peut ainsi installer un fichier de configuration pour xfconf avec des directives pour indiquer à xfconfd de verrouiller des paramètres. | xfconf
48 Mot inconnu : xfconfd => L'administrateur système peut ainsi installer un fichier de configuration pour xfconf avec des directives pour indiquer à xfconfd de verrouiller des paramètres. | xfconfd

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   xfce4-settings-editor |    => suggestions : ['']
58 Mot inconnu : xfce4-settings-editor =>   xfce4-settings-editor | xfce4-settings-editor

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * créer une nouvelle propriété |    => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * modifier la propriété existante |    => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * réinitialiser la propriété à sa valeur par défaut ou supprimer une propriété ajoutée. |    => suggestions : ['']

74 Mot inconnu : xfconf => Dans un terminal, la commande offrant l'interface avec xfconf est **''xfconf-query''**.\\  | xfconf
74 Mot inconnu : xfconf-query => Dans un terminal, la commande offrant l'interface avec xfconf est **''xfconf-query''**.\\  | xfconf-query
74 Guillemets typographiques fermants. => Dans un terminal, la commande offrant l'interface avec xfconf est **''xfconf-query''**.\\  | '' => suggestions : ['\xa0»', '”']
74 Espace(s) en fin de ligne à supprimer. => Dans un terminal, la commande offrant l'interface avec xfconf est **''xfconf-query''**.\\  |   => suggestions : ['']

75 Mot inconnu : intéroger => Comme vous pouvez le deviner, il permet d'intéroger xfconf pour obtenir des paramètres depuis un terminal ou un script. | intéroger
75 Mot inconnu : xfconf => Comme vous pouvez le deviner, il permet d'intéroger xfconf pour obtenir des paramètres depuis un terminal ou un script. | xfconf

76 Accord de genre erroné : « parti » est masculin. => En dépit de la parti "query" de son nom, il vous permet également de modifier et créer des paramètres. | la => suggestions : ['le']
76 Accord de genre erroné : « la » est un déterminant féminin. => En dépit de la parti "query" de son nom, il vous permet également de modifier et créer des paramètres. | parti => suggestions : ['partie']
76 Guillemets typographiques ouvrants. => En dépit de la parti "query" de son nom, il vous permet également de modifier et créer des paramètres. | " => suggestions : ['«\xa0', '“']
76 Mot inconnu : query => En dépit de la parti "query" de son nom, il vous permet également de modifier et créer des paramètres. | query
76 Guillemets typographiques fermants. => En dépit de la parti "query" de son nom, il vous permet également de modifier et créer des paramètres. | " => suggestions : ['\xa0»', '”']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour lister les canaux disponibles : |    => suggestions : ['']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   xfconf-query -l |    => suggestions : ['']
80 Mot inconnu : xfconf-query =>   xfconf-query -l | xfconf-query
80 Il manque un espace à côté du tiret. =>   xfconf-query -l |  - => suggestions : [' – ', ' — ']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour lister les propriétés disponibles dans un canal : |    => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   xfconf-query -c "nom_du_canal" -l |    => suggestions : ['']
84 Mot inconnu : xfconf-query =>   xfconf-query -c "nom_du_canal" -l | xfconf-query
84 Il manque un espace à côté du tiret. =>   xfconf-query -c "nom_du_canal" -l |  - => suggestions : [' – ', ' — ']
84 Guillemets typographiques ouvrants. =>   xfconf-query -c "nom_du_canal" -l | " => suggestions : ['«\xa0', '“']
84 Mot inconnu : nom_du_canal =>   xfconf-query -c "nom_du_canal" -l | nom_du_canal
84 Guillemets typographiques fermants. =>   xfconf-query -c "nom_du_canal" -l | " => suggestions : ['\xa0»', '”']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour afficher la valeur d'une propriété : |    => suggestions : ['']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   xfconf-query -c "nom_du_canal" -p "nom_de_la_propriété" |    => suggestions : ['']
88 Mot inconnu : xfconf-query =>   xfconf-query -c "nom_du_canal" -p "nom_de_la_propriété" | xfconf-query
88 Il manque un espace à côté du tiret. =>   xfconf-query -c "nom_du_canal" -p "nom_de_la_propriété" |  - => suggestions : [' – ', ' — ']
88 Guillemets typographiques ouvrants. =>   xfconf-query -c "nom_du_canal" -p "nom_de_la_propriété" | " => suggestions : ['«\xa0', '“']
88 Mot inconnu : nom_du_canal =>   xfconf-query -c "nom_du_canal" -p "nom_de_la_propriété" | nom_du_canal
88 Guillemets typographiques fermants. =>   xfconf-query -c "nom_du_canal" -p "nom_de_la_propriété" | " => suggestions : ['\xa0»', '”']
88 Guillemets typographiques ouvrants. =>   xfconf-query -c "nom_du_canal" -p "nom_de_la_propriété" | " => suggestions : ['«\xa0', '“']
88 Mot inconnu : nom_de_la_propriété =>   xfconf-query -c "nom_du_canal" -p "nom_de_la_propriété" | nom_de_la_propriété
88 Guillemets typographiques fermants. =>   xfconf-query -c "nom_du_canal" -p "nom_de_la_propriété" | " => suggestions : ['\xa0»', '”']

90 Pas d’espace avant une virgule. => D'autres options permettent ensuite de modifier [-s] , créer [-n], donner un type [-t] ou réinitialiser [-r] une propriété donnée. |  , => suggestions : [',']

95 Espace(s) en fin de ligne à supprimer. => **//Pour changer le papier peint du bureau//**  |   => suggestions : ['']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avec %f le nom du fichier image à utiliser. |    => suggestions : ['']
96 Il manque un espace. =>   * Avec %f le nom du fichier image à utiliser. | f => suggestions : [' f']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   xfconf-query -v -c xfce4-desktop -p /backdrop/screen0/monitor0/image-path -s %f |    => suggestions : ['']
98 Mot inconnu : xfconf-query =>   xfconf-query -v -c xfce4-desktop -p /backdrop/screen0/monitor0/image-path -s %f | xfconf-query
98 Il manque un espace à côté du tiret. =>   xfconf-query -v -c xfce4-desktop -p /backdrop/screen0/monitor0/image-path -s %f |  - => suggestions : [' – ', ' — ']
98 Mot inconnu : xfce4-desktop =>   xfconf-query -v -c xfce4-desktop -p /backdrop/screen0/monitor0/image-path -s %f | xfce4-desktop
98 Il manque un espace à côté du tiret. =>   xfconf-query -v -c xfce4-desktop -p /backdrop/screen0/monitor0/image-path -s %f |  - => suggestions : [' – ', ' — ']
98 Mot inconnu : backdrop =>   xfconf-query -v -c xfce4-desktop -p /backdrop/screen0/monitor0/image-path -s %f | backdrop
98 Mot inconnu : screen0 =>   xfconf-query -v -c xfce4-desktop -p /backdrop/screen0/monitor0/image-path -s %f | screen0
98 Mot inconnu : monitor0 =>   xfconf-query -v -c xfce4-desktop -p /backdrop/screen0/monitor0/image-path -s %f | monitor0
98 Mot inconnu : image-path =>   xfconf-query -v -c xfce4-desktop -p /backdrop/screen0/monitor0/image-path -s %f | image-path
98 Il manque un espace à côté du tiret. =>   xfconf-query -v -c xfce4-desktop -p /backdrop/screen0/monitor0/image-path -s %f |  - => suggestions : [' – ', ' — ']
98 Il manque un espace. =>   xfconf-query -v -c xfce4-desktop -p /backdrop/screen0/monitor0/image-path -s %f | f => suggestions : [' f']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avec une liste d'image déjà définie : |    => suggestions : ['']

101 Mot inconnu : xfdesktop => <note>Ce code est équivalent à la commande ''//xfdesktop --reload//'' qui ne fonctionne plus sous Xfce 4.6</note> | xfdesktop
101 Mot inconnu : reload => <note>Ce code est équivalent à la commande ''//xfdesktop --reload//'' qui ne fonctionne plus sous Xfce 4.6</note> | reload
101 Mot inconnu : Xfce => <note>Ce code est équivalent à la commande ''//xfdesktop --reload//'' qui ne fonctionne plus sous Xfce 4.6</note> | xfce

109 Espace(s) en fin de ligne à supprimer. => \\  |   => suggestions : ['']

110 Guillemets typographiques ouvrants. => **//Pour ne plus afficher les options "Hibernation" et "Veille" dans la boite de déconnexion//**((issu de [[https://forum.xfce.org/index.php?topic=4781|ce topic]])). | " => suggestions : ['«\xa0', '“']
110 Guillemets typographiques fermants. => **//Pour ne plus afficher les options "Hibernation" et "Veille" dans la boite de déconnexion//**((issu de [[https://forum.xfce.org/index.php?topic=4781|ce topic]])). | " => suggestions : ['\xa0»', '”']
110 Guillemets typographiques ouvrants. => **//Pour ne plus afficher les options "Hibernation" et "Veille" dans la boite de déconnexion//**((issu de [[https://forum.xfce.org/index.php?topic=4781|ce topic]])). | " => suggestions : ['«\xa0', '“']
110 Guillemets typographiques fermants. => **//Pour ne plus afficher les options "Hibernation" et "Veille" dans la boite de déconnexion//**((issu de [[https://forum.xfce.org/index.php?topic=4781|ce topic]])). | " => suggestions : ['\xa0»', '”']
110 Mot inconnu : topic => **//Pour ne plus afficher les options "Hibernation" et "Veille" dans la boite de déconnexion//**((issu de [[https://forum.xfce.org/index.php?topic=4781|ce topic]])). | topic

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' |    => suggestions : ['']
112 Mot inconnu : xfconf-query =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' | xfconf-query
112 Il manque un espace à côté du tiret. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' |  - => suggestions : [' – ', ' — ']
112 Mot inconnu : xfce4-session =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' | xfce4-session
112 Il manque un espace à côté du tiret. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' |  - => suggestions : [' – ', ' — ']
112 Mot inconnu : np =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' | np
112 Mot inconnu : shutdown =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' | shutdown
112 Mot inconnu : ShowSuspend =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' | showsuspend
112 Guillemets typographiques fermants. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' | ' => suggestions : ['”', '’', '›']
112 Guillemets typographiques ouvrants. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' | ' => suggestions : ['“', '‘', '‹']
112 Mot inconnu : bool =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' | bool
112 Guillemets typographiques fermants. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' | ' => suggestions : ['”', '’', '›']
112 Guillemets typographiques ouvrants. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' | ' => suggestions : ['“', '‘', '‹']
112 Mot inconnu : false =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' | false
112 Guillemets typographiques fermants. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowSuspend' -t 'bool' -s 'false' | ' => suggestions : ['”', '’', '›']

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' |    => suggestions : ['']
113 Mot inconnu : xfconf-query =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' | xfconf-query
113 Il manque un espace à côté du tiret. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' |  - => suggestions : [' – ', ' — ']
113 Mot inconnu : xfce4-session =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' | xfce4-session
113 Il manque un espace à côté du tiret. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' |  - => suggestions : [' – ', ' — ']
113 Mot inconnu : np =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' | np
113 Mot inconnu : shutdown =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' | shutdown
113 Mot inconnu : ShowHibernate =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' | showhibernate
113 Guillemets typographiques fermants. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' | ' => suggestions : ['”', '’', '›']
113 Guillemets typographiques ouvrants. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' | ' => suggestions : ['“', '‘', '‹']
113 Mot inconnu : bool =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' | bool
113 Guillemets typographiques fermants. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' | ' => suggestions : ['”', '’', '›']
113 Guillemets typographiques ouvrants. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' | ' => suggestions : ['“', '‘', '‹']
113 Mot inconnu : false =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' | false
113 Guillemets typographiques fermants. =>   xfconf-query -c xfce4-session -np '/shutdown/ShowHibernate' -t 'bool' -s 'false' | ' => suggestions : ['”', '’', '›']
115 Guillemets typographiques ouvrants. => Remarque : L'option ''//-n//'' permet de créer les propriétés qui n'existent pas initialement, et ''//-t 'bool'//'' permet de les définir en type booléen. | ' => suggestions : ['“', '‘', '‹']
115 Mot inconnu : bool => Remarque : L'option ''//-n//'' permet de créer les propriétés qui n'existent pas initialement, et ''//-t 'bool'//'' permet de les définir en type booléen. | bool

119 Mot inconnu : Xfconf => Xfconf fait partie intégrante de Xfce 4.6 et ne peut être désinstallé sans casser le système :-) | xfconf
119 Mot inconnu : Xfce => Xfconf fait partie intégrante de Xfce 4.6 et ne peut être désinstallé sans casser le système :-) | xfce

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr, en)** [[http://www.xfce.org|Site officiel du projet Xfce]] |    => suggestions : ['']
123 Mot inconnu : Xfce =>   * **(fr, en)** [[http://www.xfce.org|Site officiel du projet Xfce]] | xfce

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://wiki.xfce.org/settings4.6|Liste des canaux et propriétés existantes]] |    => suggestions : ['']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.xfce.org/documentation/4.6/api/xfconf/|Manuel de référence pour Xfconf]] |    => suggestions : ['']
125 Mot inconnu : Xfconf =>   * **(en)** [[http://www.xfce.org/documentation/4.6/api/xfconf/|Manuel de référence pour Xfconf]] | xfconf
132 Mot inconnu : Xfconf => //Basé sur [[http://spurint.org/journal/2008/10/xfconf-a-new-configuration-storage-system/|« Xfconf — A New Configuration Storage System »]] par Brian Tarricone.// | xfconf
132 Mot inconnu : Storage => //Basé sur [[http://spurint.org/journal/2008/10/xfconf-a-new-configuration-storage-system/|« Xfconf — A New Configuration Storage System »]] par Brian Tarricone.// | storage
132 Mot inconnu : System => //Basé sur [[http://spurint.org/journal/2008/10/xfconf-a-new-configuration-storage-system/|« Xfconf — A New Configuration Storage System »]] par Brian Tarricone.// | system
132 Mot inconnu : Tarricone => //Basé sur [[http://spurint.org/journal/2008/10/xfconf-a-new-configuration-storage-system/|« Xfconf — A New Configuration Storage System »]] par Brian Tarricone.// | tarricone
