
3 Mot inconnu : Navigo => ====== Navigo ====== | navigo
13 Mot inconnu : Starck => Depuis la généralisation du support vertical parme et argenté conçu par Philippe Starck en 2014, le** STIF** a décidé de dénommer le passe « Carte Navigo ». | starck
13 Mot inconnu : STIF => Depuis la généralisation du support vertical parme et argenté conçu par Philippe Starck en 2014, le** STIF** a décidé de dénommer le passe « Carte Navigo ». | stif
13 Mot inconnu : Navigo => Depuis la généralisation du support vertical parme et argenté conçu par Philippe Starck en 2014, le** STIF** a décidé de dénommer le passe « Carte Navigo ». | navigo

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  sudo apt install pcscd pcsc-tools |    => suggestions : ['']
21 Mot inconnu : sudo =>   *  sudo apt install pcscd pcsc-tools | sudo
21 Mot inconnu : install =>   *  sudo apt install pcscd pcsc-tools | install
21 Mot inconnu : pcscd =>   *  sudo apt install pcscd pcsc-tools | pcscd
21 Mot inconnu : pcsc-tools =>   *  sudo apt install pcscd pcsc-tools | pcsc-tools

23 Mot inconnu : Navigo => Navigo & WatchData  | navigo
23 Mot inconnu : WatchData => Navigo & WatchData  | watchdata
23 Espace(s) en fin de ligne à supprimer. => Navigo & WatchData  |   => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * brancher USB <--> lecteur (fournis par la RATP pour 7-10 euro) |    => suggestions : ['']
24 Accord de nombre erroné avec « 10 » : « euro » devrait être au pluriel. =>   * brancher USB <--> lecteur (fournis par la RATP pour 7-10 euro) | euro => suggestions : ['euros']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrir un terminal (Ctrl Alt T) |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * lsusb |    => suggestions : ['']
26 Mot inconnu : lsusb =>   * lsusb | lsusb

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * <del>scand  scan_tools</del> |    => suggestions : ['']
27 Mot inconnu : scand =>   * <del>scand  scan_tools</del> | scand
27 Espace(s) surnuméraire(s) à supprimer. =>   * <del>scand  scan_tools</del> |    => suggestions : [' ']
27 Mot inconnu : scan_tools =>   * <del>scand  scan_tools</del> | scan_tools

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pcsc_scan |    => suggestions : ['']
28 Mot inconnu : pcsc_scan =>   * pcsc_scan | pcsc_scan

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * insérer la carte (puce vers le haut) |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://addons.mozilla.org/en-US/firefox/addon/user-agent-overrider/ |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * placer "**user agent**" sur windows - IE11 |    => suggestions : ['']
32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * placer "**user agent**" sur windows - IE11 |  -  => suggestions : [' – ', ' — ', ' − ']
32 Mot inconnu : IE11 =>   * placer "**user agent**" sur windows - IE11 | ie11

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * https://rechargercommandernavigo.fr/nfc/ |    => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * recharger ma carte |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * enregistrer fichier JNLP  |    => suggestions : ['']
35 Mot inconnu : JNLP =>   * enregistrer fichier JNLP  | jnlp
35 Espace(s) en fin de ligne à supprimer. =>   * enregistrer fichier JNLP  |   => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * clic droit exectuer avec => icetea web java |    => suggestions : ['']
37 Mot inconnu : exectuer =>   * clic droit exectuer avec => icetea web java | exectuer
37 Mot inconnu : icetea =>   * clic droit exectuer avec => icetea web java | icetea

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * payer, et voila !! |    => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dae.anthony@gmail.com (2018) |    => suggestions : ['']

52 Il manque un espace. => Contributeur : [[utilisateurs:daebis|Daebis /  Dae]] | daebis => suggestions : [' daebis']
52 Mot inconnu : Daebis => Contributeur : [[utilisateurs:daebis|Daebis /  Dae]] | daebis
52 Mot inconnu : Dae => Contributeur : [[utilisateurs:daebis|Daebis /  Dae]] | dae
