
4 Mot inconnu : Flickr => ====== Flickr ====== | flickr
40 Mot inconnu : system32 => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | system32
40 Guillemets typographiques ouvrants. => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | " => suggestions : ['«\xa0', '“']
40 Mot inconnu : winecfg => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | winecfg
40 Guillemets typographiques fermants. => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | " => suggestions : ['\xa0»', '”']
40 Guillemets typographiques ouvrants. => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | " => suggestions : ['\xa0»', '”']
40 Guillemets typographiques ouvrants. => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | " => suggestions : ['«\xa0', '“']
40 Mot inconnu : msvcr80 => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | msvcr80
40 Guillemets typographiques fermants. => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | " => suggestions : ['\xa0»', '”']
40 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". |  . => suggestions : ['. ', '.']
40 Mot inconnu : dll => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | dll
40 Guillemets typographiques ouvrants. => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => Si vous disposez d'une installation de Windows, vous pouvez également copier le fichier C:\Windows\System32\msvcr80.dll dans votre répertoire .wine/drive_c/windows/system32. Il faut ensuite lancer "winecfg" et, dans l'onglet "Bibliothèques", écrire "msvcr80" (sans extension .dll) et cliquer sur "Ajouter". | " => suggestions : ['\xa0»', '”']

47 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs : ...// | ... => suggestions : ['…']
