
5 Mot inconnu : OpenArena => ====== OpenArena ====== | openarena
66 Typographie : points de suspension. Utilisez le caractère dédié. => Pour changer cela, allez dans "SETUP" => "PLAYER", et cliquez tout en bas à droite de l'écran (c'est un menu invisible en fait...). Vous pourrez ainsi choisir la gargoyle ou l'asiatique en tenue traditionnelle... | ... => suggestions : ['…']

82 Mot inconnu : OpenArena => Dans la console de OpenArena : | openarena

95 Mot inconnu : bench => === Faire un bench avec une démo === | bench

111 Mot inconnu : PIII => Voilà mon score avec des bots sur un PIII 533Mhz/192Mo/Geforce 1 + Xubuntu ;) | piii
111 Mot inconnu : Mhz => Voilà mon score avec des bots sur un PIII 533Mhz/192Mo/Geforce 1 + Xubuntu ;) | mhz
111 Mot inconnu : Geforce => Voilà mon score avec des bots sur un PIII 533Mhz/192Mo/Geforce 1 + Xubuntu ;) | geforce
111 Mot inconnu : Xubuntu => Voilà mon score avec des bots sur un PIII 533Mhz/192Mo/Geforce 1 + Xubuntu ;) | xubuntu

121 Mot inconnu : Mods => ===== Mods ===== | mods

123 Mot inconnu : Quake => ==== Quake 3 original ==== | quake
123 Accord de nombre erroné avec « 3 » : « original » devrait être au pluriel. => ==== Quake 3 original ==== | original => suggestions : ['originaux']

125 Mot inconnu : OpenArena => Vous pouvez également utiliser le moteur d'OpenArena pour jouer à Quake III si vous avez le jeu original (soutenez Id Software, ils font des jeux pour Linux, eux). L'avantage c'est que ça règle tous les problèmes de son. | openarena
125 Mot inconnu : Quake => Vous pouvez également utiliser le moteur d'OpenArena pour jouer à Quake III si vous avez le jeu original (soutenez Id Software, ils font des jeux pour Linux, eux). L'avantage c'est que ça règle tous les problèmes de son. | quake

127 Mot inconnu : OpenArena => Donc il suffit de faire une copie dans le répertoire d'OpenArena (celui qui contient les exécutables ''ioquake3'' vers le répertoire ''baseq3'' de Quake 3): | openarena
127 Guillemets typographiques ouvrants. => Donc il suffit de faire une copie dans le répertoire d'OpenArena (celui qui contient les exécutables ''ioquake3'' vers le répertoire ''baseq3'' de Quake 3): | '' => suggestions : ['«\xa0', '“']
127 Mot inconnu : ioquake3 => Donc il suffit de faire une copie dans le répertoire d'OpenArena (celui qui contient les exécutables ''ioquake3'' vers le répertoire ''baseq3'' de Quake 3): | ioquake3
127 Guillemets typographiques fermants. => Donc il suffit de faire une copie dans le répertoire d'OpenArena (celui qui contient les exécutables ''ioquake3'' vers le répertoire ''baseq3'' de Quake 3): | '' => suggestions : ['\xa0»', '”']
127 Guillemets typographiques ouvrants. => Donc il suffit de faire une copie dans le répertoire d'OpenArena (celui qui contient les exécutables ''ioquake3'' vers le répertoire ''baseq3'' de Quake 3): | '' => suggestions : ['«\xa0', '“']
127 Mot inconnu : baseq3 => Donc il suffit de faire une copie dans le répertoire d'OpenArena (celui qui contient les exécutables ''ioquake3'' vers le répertoire ''baseq3'' de Quake 3): | baseq3
127 Guillemets typographiques fermants. => Donc il suffit de faire une copie dans le répertoire d'OpenArena (celui qui contient les exécutables ''ioquake3'' vers le répertoire ''baseq3'' de Quake 3): | '' => suggestions : ['\xa0»', '”']
127 Mot inconnu : Quake => Donc il suffit de faire une copie dans le répertoire d'OpenArena (celui qui contient les exécutables ''ioquake3'' vers le répertoire ''baseq3'' de Quake 3): | quake

129 Mot inconnu : baseq3 => D'abord, copier le répertoire //baseq3// qui se trouve dans le dossier //Quake 3// depuis le CD dans le répertoire /home | baseq3
129 Mot inconnu : Quake => D'abord, copier le répertoire //baseq3// qui se trouve dans le dossier //Quake 3// depuis le CD dans le répertoire /home | quake

133 Mot inconnu : OpenArena => Ensuite, lancez OpenArena, choisissez le menu **Mods** et sélectionnez **Baseq3** (la dernière ligne). Cliquez sur **Load**. Vous revenez au menu principal, mais c'est maintenant celui de Quake III. | openarena
133 Mot inconnu : Mods => Ensuite, lancez OpenArena, choisissez le menu **Mods** et sélectionnez **Baseq3** (la dernière ligne). Cliquez sur **Load**. Vous revenez au menu principal, mais c'est maintenant celui de Quake III. | mods
133 Mot inconnu : Baseq3 => Ensuite, lancez OpenArena, choisissez le menu **Mods** et sélectionnez **Baseq3** (la dernière ligne). Cliquez sur **Load**. Vous revenez au menu principal, mais c'est maintenant celui de Quake III. | baseq3
133 Mot inconnu : Load => Ensuite, lancez OpenArena, choisissez le menu **Mods** et sélectionnez **Baseq3** (la dernière ligne). Cliquez sur **Load**. Vous revenez au menu principal, mais c'est maintenant celui de Quake III. | load
133 Mot inconnu : Quake => Ensuite, lancez OpenArena, choisissez le menu **Mods** et sélectionnez **Baseq3** (la dernière ligne). Cliquez sur **Load**. Vous revenez au menu principal, mais c'est maintenant celui de Quake III. | quake

135 Mot inconnu : QuakeIII => Noter que **QuakeIII** est un nom choisi arbitrairement et que vous pouvez mettre celui que vous voulez. | quakeiii
137 Mot inconnu : baseq3 => PS : Vous pouvez supprimer le répertoire //baseq3// après la copie. | baseq3

139 Mot inconnu : Smokin => ==== Smokin' Guns ==== | smokin
139 Guillemets typographiques fermants. => ==== Smokin' Guns ==== | ' => suggestions : ['”', '’', '›']
139 Mot inconnu : Guns => ==== Smokin' Guns ==== | guns

141 Mot inconnu : Smokin => Smokin' Guns est un FPS de type western, il est dérivé d'un mod western anciennement connu sous le nom Western Quake 3 | smokin
141 Guillemets typographiques fermants. => Smokin' Guns est un FPS de type western, il est dérivé d'un mod western anciennement connu sous le nom Western Quake 3 | ' => suggestions : ['”', '’', '›']
141 Mot inconnu : Guns => Smokin' Guns est un FPS de type western, il est dérivé d'un mod western anciennement connu sous le nom Western Quake 3 | guns
141 Mot inconnu : FPS => Smokin' Guns est un FPS de type western, il est dérivé d'un mod western anciennement connu sous le nom Western Quake 3 | fps
141 Mot inconnu : mod => Smokin' Guns est un FPS de type western, il est dérivé d'un mod western anciennement connu sous le nom Western Quake 3 | mod
141 Mot inconnu : Quake => Smokin' Guns est un FPS de type western, il est dérivé d'un mod western anciennement connu sous le nom Western Quake 3 | quake

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Télécharger le jeu depuis [[https://www.smokin-guns.org/|le site officiel]] |    => suggestions : ['']
143 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Télécharger le jeu depuis [[https://www.smokin-guns.org/|le site officiel]] |  -  => suggestions : [' – ', ' — ', ' − ']

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Extraire le fichier .zip là ou vous l'avez téléchargé |    => suggestions : ['']
144 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Extraire le fichier .zip là ou vous l'avez téléchargé |  -  => suggestions : [' – ', ' — ', ' − ']
144 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   - Extraire le fichier .zip là ou vous l'avez téléchargé |  . => suggestions : ['. ', '.']

147 Mot inconnu : OpenArena => Vous pouvez lancer OpenArena et charger le mod, ici ça fonctionne :) | openarena
147 Mot inconnu : mod => Vous pouvez lancer OpenArena et charger le mod, ici ça fonctionne :) | mod

151 Mot inconnu : core => ====Erreur de segmentation (core dumped) ==== | core
151 Mot inconnu : dumped => ====Erreur de segmentation (core dumped) ==== | dumped
153 Mot inconnu : repo => Depuis ubuntu 16.10 la version dans le repo ne fonctionne plus. | repo

154 Mot inconnu : openarena => Il est recommandé de télécharger l'archive sur le site officiel d'openarena (http://openarena.ws/download.php) | openarena
160 Espace(s) surnuméraire(s) à supprimer. => Vous remarquerez que le curseur pour changer le niveau de luminosité dans le menu option ne fonctionne pas : il s'agit d'un bug connu et n'est toujours pas corrigé. La solution qui suit a plus de chance de  marcher si la resolution d'écran du jeu est la même que celle de votre ordinateur.  |    => suggestions : [' ']
160 Mot inconnu : resolution => Vous remarquerez que le curseur pour changer le niveau de luminosité dans le menu option ne fonctionne pas : il s'agit d'un bug connu et n'est toujours pas corrigé. La solution qui suit a plus de chance de  marcher si la resolution d'écran du jeu est la même que celle de votre ordinateur.  | resolution
160 Espace(s) en fin de ligne à supprimer. => Vous remarquerez que le curseur pour changer le niveau de luminosité dans le menu option ne fonctionne pas : il s'agit d'un bug connu et n'est toujours pas corrigé. La solution qui suit a plus de chance de  marcher si la resolution d'écran du jeu est la même que celle de votre ordinateur.  |   => suggestions : ['']

162 Mot inconnu : bash => Du coup nous allons modifier la luminosité du système directement et pour éviter de le faire à chaque lancement du jeu, voici une solution possible (en supposant que vous utilisez le shell bash, et que le path du binaire d'openarena soit bien celui indiqué) : | bash
162 Mot inconnu : path => Du coup nous allons modifier la luminosité du système directement et pour éviter de le faire à chaque lancement du jeu, voici une solution possible (en supposant que vous utilisez le shell bash, et que le path du binaire d'openarena soit bien celui indiqué) : | path
162 Mot inconnu : openarena => Du coup nous allons modifier la luminosité du système directement et pour éviter de le faire à chaque lancement du jeu, voici une solution possible (en supposant que vous utilisez le shell bash, et que le path du binaire d'openarena soit bien celui indiqué) : | openarena

166 Mot inconnu : openarena => Désormais lors de l'appel à la commande openarena, c'est le script qui a été créé dans votre dossier personnel qui sera exécuté (d'ou la modification du $PATH). Selon votre environnement de bureau, il se peut que vous devez modifier les chemin de menu (saisissez simplement openarena dans ce cas), en utilisant cette solution depuis plusieurs mois je n'ai pas rencontré de problèmes, et à l'avantage d'être indépendant des fichiers du jeu ce qui implique qu'en cas de mises à jour cela continuera à fonctionner. | openarena
166 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => Désormais lors de l'appel à la commande openarena, c'est le script qui a été créé dans votre dossier personnel qui sera exécuté (d'ou la modification du $PATH). Selon votre environnement de bureau, il se peut que vous devez modifier les chemin de menu (saisissez simplement openarena dans ce cas), en utilisant cette solution depuis plusieurs mois je n'ai pas rencontré de problèmes, et à l'avantage d'être indépendant des fichiers du jeu ce qui implique qu'en cas de mises à jour cela continuera à fonctionner. | ou => suggestions : ['où']
166 Mot inconnu : PATH => Désormais lors de l'appel à la commande openarena, c'est le script qui a été créé dans votre dossier personnel qui sera exécuté (d'ou la modification du $PATH). Selon votre environnement de bureau, il se peut que vous devez modifier les chemin de menu (saisissez simplement openarena dans ce cas), en utilisant cette solution depuis plusieurs mois je n'ai pas rencontré de problèmes, et à l'avantage d'être indépendant des fichiers du jeu ce qui implique qu'en cas de mises à jour cela continuera à fonctionner. | path
166 Après “il se peut que”, le verbe devrait être au subjonctif. => Désormais lors de l'appel à la commande openarena, c'est le script qui a été créé dans votre dossier personnel qui sera exécuté (d'ou la modification du $PATH). Selon votre environnement de bureau, il se peut que vous devez modifier les chemin de menu (saisissez simplement openarena dans ce cas), en utilisant cette solution depuis plusieurs mois je n'ai pas rencontré de problèmes, et à l'avantage d'être indépendant des fichiers du jeu ce qui implique qu'en cas de mises à jour cela continuera à fonctionner. | devez => suggestions : ['dussiez', 'deviez']
166 Accord de nombre erroné : « chemin » devrait être au pluriel. => Désormais lors de l'appel à la commande openarena, c'est le script qui a été créé dans votre dossier personnel qui sera exécuté (d'ou la modification du $PATH). Selon votre environnement de bureau, il se peut que vous devez modifier les chemin de menu (saisissez simplement openarena dans ce cas), en utilisant cette solution depuis plusieurs mois je n'ai pas rencontré de problèmes, et à l'avantage d'être indépendant des fichiers du jeu ce qui implique qu'en cas de mises à jour cela continuera à fonctionner. | chemin => suggestions : ['chemins']
166 Mot inconnu : openarena => Désormais lors de l'appel à la commande openarena, c'est le script qui a été créé dans votre dossier personnel qui sera exécuté (d'ou la modification du $PATH). Selon votre environnement de bureau, il se peut que vous devez modifier les chemin de menu (saisissez simplement openarena dans ce cas), en utilisant cette solution depuis plusieurs mois je n'ai pas rencontré de problèmes, et à l'avantage d'être indépendant des fichiers du jeu ce qui implique qu'en cas de mises à jour cela continuera à fonctionner. | openarena
172 Mot inconnu : Setup => Lancez le jeu, allez ensuite dans: Setup, System, Sound et mettez OpenAL sur Off | setup
172 Mot inconnu : System => Lancez le jeu, allez ensuite dans: Setup, System, Sound et mettez OpenAL sur Off | system
172 Mot inconnu : Sound => Lancez le jeu, allez ensuite dans: Setup, System, Sound et mettez OpenAL sur Off | sound
172 Mot inconnu : OpenAL => Lancez le jeu, allez ensuite dans: Setup, System, Sound et mettez OpenAL sur Off | openal

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Setup ==> System (Graphics) ==> "Fullscreen : off" |   => suggestions : ['']
180 Mot inconnu : Setup =>  Setup ==> System (Graphics) ==> "Fullscreen : off" | setup
180 Mot inconnu : System =>  Setup ==> System (Graphics) ==> "Fullscreen : off" | system
180 Mot inconnu : Graphics =>  Setup ==> System (Graphics) ==> "Fullscreen : off" | graphics
180 Guillemets typographiques ouvrants. =>  Setup ==> System (Graphics) ==> "Fullscreen : off" | " => suggestions : ['«\xa0', '“']
180 Mot inconnu : Fullscreen =>  Setup ==> System (Graphics) ==> "Fullscreen : off" | fullscreen
180 Guillemets typographiques fermants. =>  Setup ==> System (Graphics) ==> "Fullscreen : off" | " => suggestions : ['\xa0»', '”']

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  (Régler résolution d'écran ==> "Video Mode"), |   => suggestions : ['']
182 Guillemets typographiques ouvrants. =>  (Régler résolution d'écran ==> "Video Mode"), | " => suggestions : ['«\xa0', '“']
182 Mot inconnu : Video =>  (Régler résolution d'écran ==> "Video Mode"), | video
182 Guillemets typographiques fermants. =>  (Régler résolution d'écran ==> "Video Mode"), | " => suggestions : ['\xa0»', '”']

184 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  "Alt Gr" + "~" (touche "2") pour être sur le bureau... |   => suggestions : ['']
184 Guillemets typographiques ouvrants. =>  "Alt Gr" + "~" (touche "2") pour être sur le bureau... | " => suggestions : ['«\xa0', '“']
184 Guillemets typographiques fermants. =>  "Alt Gr" + "~" (touche "2") pour être sur le bureau... | " => suggestions : ['\xa0»', '”']
184 Guillemets typographiques ouvrants. =>  "Alt Gr" + "~" (touche "2") pour être sur le bureau... | " => suggestions : ['«\xa0', '“']
184 Guillemets typographiques fermants. =>  "Alt Gr" + "~" (touche "2") pour être sur le bureau... | " => suggestions : ['\xa0»', '”']
184 Typographie : points de suspension. Utilisez le caractère dédié. =>  "Alt Gr" + "~" (touche "2") pour être sur le bureau... | ... => suggestions : ['…']

186 Mot inconnu : arena => Il se peut également que open arena quitte subitement, et que vous vous retrouviez sur votre bureau gnome, KDE ou autre bien entendu, avec la résolution de votre jeu. Lorsque vous lancez le jeu au terminal, vous constaterez que celui-ci vous renvoie une erreur de segmentation. | arena
186 Mot inconnu : KDE => Il se peut également que open arena quitte subitement, et que vous vous retrouviez sur votre bureau gnome, KDE ou autre bien entendu, avec la résolution de votre jeu. Lorsque vous lancez le jeu au terminal, vous constaterez que celui-ci vous renvoie une erreur de segmentation. | kde

188 Mot inconnu : accélération_graphique => Une solution se trouve sur la page accélération_graphique de la doc ubuntu. Fermez tout, ouvrez un terminal, et tapez :  | accélération_graphique
188 Espace(s) en fin de ligne à supprimer. => Une solution se trouve sur la page accélération_graphique de la doc ubuntu. Fermez tout, ouvrez un terminal, et tapez :  |   => suggestions : ['']

192 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => suivi de entrée. Redémarrez votre système et open aréna devrait se lancer. | suivi => suggestions : ['Suivi']
192 Élision de l’article devant un mot commençant par une voyelle. => suivi de entrée. Redémarrez votre système et open aréna devrait se lancer. | de  => suggestions : ['d’']

195 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://openarena.ws/|Site officiel]] |    => suggestions : ['']

196 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://openarena.tuxfamily.org|Communauté francophone de joueurs d'OpenArena]] |    => suggestions : ['']
196 Mot inconnu : OpenArena =>   * [[http://openarena.tuxfamily.org|Communauté francophone de joueurs d'OpenArena]] | openarena

197 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mods OpenArena [[http://www.quake3.fr/index.php?f_id_type=13&f_id_contenu=859|Télécharger et installer]]. |    => suggestions : ['']
197 Mot inconnu : Mods =>   * Mods OpenArena [[http://www.quake3.fr/index.php?f_id_type=13&f_id_contenu=859|Télécharger et installer]]. | mods
197 Mot inconnu : OpenArena =>   * Mods OpenArena [[http://www.quake3.fr/index.php?f_id_type=13&f_id_contenu=859|Télécharger et installer]]. | openarena

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Page de documentation [[http://openarena.tuxfamily.org/wiki/doc:oa:installation|Télécharger et installer]] du site de la communauté francophone. |    => suggestions : ['']
198 Mot inconnu : oa =>   * Page de documentation [[http://openarena.tuxfamily.org/wiki/doc:oa:installation|Télécharger et installer]] du site de la communauté francophone. | oa
198 Il manque un espace. =>   * Page de documentation [[http://openarena.tuxfamily.org/wiki/doc:oa:installation|Télécharger et installer]] du site de la communauté francophone. | installation => suggestions : [' installation']
