
3 Mot inconnu : NTP => ====== NTP ====== | ntp
5 Mot inconnu : ntpdate => Ubuntu  a longtemps utilisé [[ntpdate]] et ntpd  pour ajuster l'horloge interne des systèmes d'exploitation, cette tâche est désormais assurée par [[timedatectl]] qui est installé par défaut dans votre distribution. NTP (Network Time Protocol) est un protocole permettant de distribuer l'heure sur un réseau informatique. Il se décline en deux faces : le client, [[ntpdate]], et le serveur, ntpd.  | ntpdate
5 Mot inconnu : ntpd => Ubuntu  a longtemps utilisé [[ntpdate]] et ntpd  pour ajuster l'horloge interne des systèmes d'exploitation, cette tâche est désormais assurée par [[timedatectl]] qui est installé par défaut dans votre distribution. NTP (Network Time Protocol) est un protocole permettant de distribuer l'heure sur un réseau informatique. Il se décline en deux faces : le client, [[ntpdate]], et le serveur, ntpd.  | ntpd
5 Espace(s) en fin de ligne à supprimer. => Ubuntu  a longtemps utilisé [[ntpdate]] et ntpd  pour ajuster l'horloge interne des systèmes d'exploitation, cette tâche est désormais assurée par [[timedatectl]] qui est installé par défaut dans votre distribution. NTP (Network Time Protocol) est un protocole permettant de distribuer l'heure sur un réseau informatique. Il se décline en deux faces : le client, [[ntpdate]], et le serveur, ntpd.  |   => suggestions : ['']

11 Typographie : points de suspension. Utilisez le caractère dédié. => Un certain nombre de sources (horloges atomiques d'universités, récepteurs GPS...) sont de strate 0 et connectées à des serveurs (strate 1) qui diffusent donc l'heure. Ces mêmes serveurs fournissent l'heure à des serveurs de strate 2, qui sont eux, généralement accessibles au public (serveurs d'administrations, d'universités ou de centres de recherches dont l'accès est ouvert au public). | ... => suggestions : ['…']

13 Accord avec la forme verbale “sont” : “fonction” devrait être au pluriel. => Ce fonctionnement pyramidal a pour but de fournir une heure de qualité (déviant peu par rapport aux différentes mesures du temps, temps légal, universel et autre. Ces mesures sont fonction des lois de la physique.) tout en ne surchargeant pas les machines critiques que sont les serveurs de strates 0 et 1. Plus la strate de votre serveur est haute, plus votre signal de temps peut dévier par rapport à l'heure "moyenne", "légale" ou autre. Toutefois, globalement le protocole fournit un signal de temps précis à la seconde, voire encore plus précis. | fonction => suggestions : ['fonctions']
13 Guillemets typographiques ouvrants. => Ce fonctionnement pyramidal a pour but de fournir une heure de qualité (déviant peu par rapport aux différentes mesures du temps, temps légal, universel et autre. Ces mesures sont fonction des lois de la physique.) tout en ne surchargeant pas les machines critiques que sont les serveurs de strates 0 et 1. Plus la strate de votre serveur est haute, plus votre signal de temps peut dévier par rapport à l'heure "moyenne", "légale" ou autre. Toutefois, globalement le protocole fournit un signal de temps précis à la seconde, voire encore plus précis. | " => suggestions : ['«\xa0', '“']
13 Guillemets typographiques fermants. => Ce fonctionnement pyramidal a pour but de fournir une heure de qualité (déviant peu par rapport aux différentes mesures du temps, temps légal, universel et autre. Ces mesures sont fonction des lois de la physique.) tout en ne surchargeant pas les machines critiques que sont les serveurs de strates 0 et 1. Plus la strate de votre serveur est haute, plus votre signal de temps peut dévier par rapport à l'heure "moyenne", "légale" ou autre. Toutefois, globalement le protocole fournit un signal de temps précis à la seconde, voire encore plus précis. | " => suggestions : ['\xa0»', '”']
13 Guillemets typographiques ouvrants. => Ce fonctionnement pyramidal a pour but de fournir une heure de qualité (déviant peu par rapport aux différentes mesures du temps, temps légal, universel et autre. Ces mesures sont fonction des lois de la physique.) tout en ne surchargeant pas les machines critiques que sont les serveurs de strates 0 et 1. Plus la strate de votre serveur est haute, plus votre signal de temps peut dévier par rapport à l'heure "moyenne", "légale" ou autre. Toutefois, globalement le protocole fournit un signal de temps précis à la seconde, voire encore plus précis. | " => suggestions : ['«\xa0', '“']
13 Guillemets typographiques fermants. => Ce fonctionnement pyramidal a pour but de fournir une heure de qualité (déviant peu par rapport aux différentes mesures du temps, temps légal, universel et autre. Ces mesures sont fonction des lois de la physique.) tout en ne surchargeant pas les machines critiques que sont les serveurs de strates 0 et 1. Plus la strate de votre serveur est haute, plus votre signal de temps peut dévier par rapport à l'heure "moyenne", "légale" ou autre. Toutefois, globalement le protocole fournit un signal de temps précis à la seconde, voire encore plus précis. | " => suggestions : ['\xa0»', '”']

16 Mot inconnu : NTP => ===== Client NTP ===== | ntp

21 Il manque un espace avant la parenthèse. => Par défaut((d'après [[https://help.ubuntu.com/lts/serverguide/NTP.html]])), //[[timedatectl]]//  pré-installée (à partir de [[./xenial]]), qui remplace [[./ntpdate]], synchronise l'heure au démarrage et lors d’activations de connexion réseau.  | ( => suggestions : [' (']
21 Mot inconnu : timedatectl => Par défaut((d'après [[https://help.ubuntu.com/lts/serverguide/NTP.html]])), //[[timedatectl]]//  pré-installée (à partir de [[./xenial]]), qui remplace [[./ntpdate]], synchronise l'heure au démarrage et lors d’activations de connexion réseau.  | timedatectl
21 Mot inconnu : ntpdate => Par défaut((d'après [[https://help.ubuntu.com/lts/serverguide/NTP.html]])), //[[timedatectl]]//  pré-installée (à partir de [[./xenial]]), qui remplace [[./ntpdate]], synchronise l'heure au démarrage et lors d’activations de connexion réseau.  | ntpdate
21 Espace(s) en fin de ligne à supprimer. => Par défaut((d'après [[https://help.ubuntu.com/lts/serverguide/NTP.html]])), //[[timedatectl]]//  pré-installée (à partir de [[./xenial]]), qui remplace [[./ntpdate]], synchronise l'heure au démarrage et lors d’activations de connexion réseau.  |   => suggestions : ['']

23 Mot inconnu : broadcast => ==== Par écoute d'un broadcast/multicast ==== | broadcast
23 Mot inconnu : multicast => ==== Par écoute d'un broadcast/multicast ==== | multicast

24 Mot inconnu : broadcast => Le client est à l'écoute des émissions en broadcast/multicast régulière de l'heure. Cette solution est optimale, elle évite les requêtes vers le serveur.\\ | broadcast
24 Mot inconnu : multicast => Le client est à l'écoute des émissions en broadcast/multicast régulière de l'heure. Cette solution est optimale, elle évite les requêtes vers le serveur.\\ | multicast

26 Mot inconnu : FIXME => FIXME Dans les versions récentes d'Ubuntu, //timesyncd// remplace la partie client de ntpd((https://help.ubuntu.com/lts/serverguide/NTP.html#timesyncd)) | fixme
26 Mot inconnu : timesyncd => FIXME Dans les versions récentes d'Ubuntu, //timesyncd// remplace la partie client de ntpd((https://help.ubuntu.com/lts/serverguide/NTP.html#timesyncd)) | timesyncd
26 Mot inconnu : ntpd => FIXME Dans les versions récentes d'Ubuntu, //timesyncd// remplace la partie client de ntpd((https://help.ubuntu.com/lts/serverguide/NTP.html#timesyncd)) | ntpd
26 Il manque un espace avant la parenthèse. => FIXME Dans les versions récentes d'Ubuntu, //timesyncd// remplace la partie client de ntpd((https://help.ubuntu.com/lts/serverguide/NTP.html#timesyncd)) | ( => suggestions : [' (']

28 Mot inconnu : NTP => <note important>Cette solution nécessite d'être dans un réseau maîtrisé, typiquement un réseau d'entreprise où le routeur sert de serveur NTP</note> | ntp

31 Accord de nombre erroné avec « deux lignes » : « suivante » devrait être au pluriel. => puis dé-commenter les deux lignes suivante dans le fichier **/etc/ntp.conf** : | suivante => suggestions : ['suivantes']

33 Mot inconnu : disable => disable auth | disable
33 Mot inconnu : auth => disable auth | auth

34 Mot inconnu : broadcastclient => broadcastclient | broadcastclient

37 Mot inconnu : NTP => ===== Serveur NTP ===== | ntp

41 Mot inconnu : NTP => NTP étant un protocole réseau, il vous faut une interface réseau active. Vous pouvez tout à fait diffuser un signal de temps sur un réseau //hors internet//. L'horloge de référence sera celle du serveur ntp, celui-ci sera alors la strate 1 et sera uniquement serveur. | ntp
41 Mot inconnu : ntp => NTP étant un protocole réseau, il vous faut une interface réseau active. Vous pouvez tout à fait diffuser un signal de temps sur un réseau //hors internet//. L'horloge de référence sera celle du serveur ntp, celui-ci sera alors la strate 1 et sera uniquement serveur. | ntp

43 Mot inconnu : ntp => Si toutefois vous voulez disposer d'une heure synchrone avec le reste du monde, votre serveur ntp devra être à la fois serveur (pour diffuser l'heure) //et// client (pour mettre sa propre horloge à jour auprès de serveurs de confiance). Pour ce faire, il doit disposer d'une connexion internet sortante. | ntp

45 Mot inconnu : UDP => De plus il faut que cette connexion sortante supporte UDP et le port 123. Ceci est rarement le cas derrière les hotspots wifi publics par exemple. Dans une telle situation ntpdate donnera uniquement un message comme "no Server suitable for synchronization found". | udp
45 Mot inconnu : hotspots => De plus il faut que cette connexion sortante supporte UDP et le port 123. Ceci est rarement le cas derrière les hotspots wifi publics par exemple. Dans une telle situation ntpdate donnera uniquement un message comme "no Server suitable for synchronization found". | hotspots
45 Mot inconnu : ntpdate => De plus il faut que cette connexion sortante supporte UDP et le port 123. Ceci est rarement le cas derrière les hotspots wifi publics par exemple. Dans une telle situation ntpdate donnera uniquement un message comme "no Server suitable for synchronization found". | ntpdate
45 Guillemets typographiques ouvrants. => De plus il faut que cette connexion sortante supporte UDP et le port 123. Ceci est rarement le cas derrière les hotspots wifi publics par exemple. Dans une telle situation ntpdate donnera uniquement un message comme "no Server suitable for synchronization found". | " => suggestions : ['«\xa0', '“']
45 Mot inconnu : Server => De plus il faut que cette connexion sortante supporte UDP et le port 123. Ceci est rarement le cas derrière les hotspots wifi publics par exemple. Dans une telle situation ntpdate donnera uniquement un message comme "no Server suitable for synchronization found". | server
45 Mot inconnu : suitable => De plus il faut que cette connexion sortante supporte UDP et le port 123. Ceci est rarement le cas derrière les hotspots wifi publics par exemple. Dans une telle situation ntpdate donnera uniquement un message comme "no Server suitable for synchronization found". | suitable
45 Mot inconnu : synchronization => De plus il faut que cette connexion sortante supporte UDP et le port 123. Ceci est rarement le cas derrière les hotspots wifi publics par exemple. Dans une telle situation ntpdate donnera uniquement un message comme "no Server suitable for synchronization found". | synchronization
45 Mot inconnu : found => De plus il faut que cette connexion sortante supporte UDP et le port 123. Ceci est rarement le cas derrière les hotspots wifi publics par exemple. Dans une telle situation ntpdate donnera uniquement un message comme "no Server suitable for synchronization found". | found
45 Guillemets typographiques fermants. => De plus il faut que cette connexion sortante supporte UDP et le port 123. Ceci est rarement le cas derrière les hotspots wifi publics par exemple. Dans une telle situation ntpdate donnera uniquement un message comme "no Server suitable for synchronization found". | " => suggestions : ['\xa0»', '”']
52 Mot inconnu : openntpd => Il existe aussi une implémentation BSD du protocole qui est disponible sur Ubuntu via le paquet **[[apt>openntpd]]**. | openntpd

59 Mot inconnu : logfile => logfile /var/log/ntpstats/ntpd | logfile

60 Mot inconnu : statsdir => statsdir /var/log/ntpstats/ | statsdir

61 Mot inconnu : statistics => statistics loopstats peerstats clockstats | statistics
61 Mot inconnu : loopstats => statistics loopstats peerstats clockstats | loopstats
61 Mot inconnu : peerstats => statistics loopstats peerstats clockstats | peerstats
61 Mot inconnu : clockstats => statistics loopstats peerstats clockstats | clockstats

62 Mot inconnu : filegen => filegen loopstats file loopstats type day enable | filegen
62 Mot inconnu : loopstats => filegen loopstats file loopstats type day enable | loopstats
62 Mot inconnu : loopstats => filegen loopstats file loopstats type day enable | loopstats
62 Mot inconnu : day => filegen loopstats file loopstats type day enable | day
62 Mot inconnu : enable => filegen loopstats file loopstats type day enable | enable

63 Mot inconnu : filegen => filegen peerstats file peerstats type day enable | filegen
63 Mot inconnu : peerstats => filegen peerstats file peerstats type day enable | peerstats
63 Mot inconnu : peerstats => filegen peerstats file peerstats type day enable | peerstats
63 Mot inconnu : day => filegen peerstats file peerstats type day enable | day
63 Mot inconnu : enable => filegen peerstats file peerstats type day enable | enable

64 Mot inconnu : filegen => filegen clockstats file clockstats type day enable | filegen
64 Mot inconnu : clockstats => filegen clockstats file clockstats type day enable | clockstats
64 Mot inconnu : clockstats => filegen clockstats file clockstats type day enable | clockstats
64 Mot inconnu : day => filegen clockstats file clockstats type day enable | day
64 Mot inconnu : enable => filegen clockstats file clockstats type day enable | enable

66 Mot inconnu : Addresses => # Addresses to listen on (ntpd does not listen by default) | addresses
66 Mot inconnu : to => # Addresses to listen on (ntpd does not listen by default) | to
66 Mot inconnu : listen => # Addresses to listen on (ntpd does not listen by default) | listen
66 Mot inconnu : ntpd => # Addresses to listen on (ntpd does not listen by default) | ntpd
66 Mot inconnu : does => # Addresses to listen on (ntpd does not listen by default) | does
66 Mot inconnu : not => # Addresses to listen on (ntpd does not listen by default) | not
66 Mot inconnu : listen => # Addresses to listen on (ntpd does not listen by default) | listen
66 Mot inconnu : by => # Addresses to listen on (ntpd does not listen by default) | by
66 Mot inconnu : default => # Addresses to listen on (ntpd does not listen by default) | default

67 Mot inconnu : listen => listen on * | listen

69 Une de ces ponctuations est superflue. => #listen on ::1 | :: => suggestions : [':', ':']

71 Mot inconnu : sync => # sync to a single server | sync
71 Mot inconnu : to => # sync to a single server | to
71 Mot inconnu : server => # sync to a single server | server

74 Confusion probable : “a” est la conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => # use a random selection of 4 public stratum 2 servers | a => suggestions : ['à']
74 Mot inconnu : random => # use a random selection of 4 public stratum 2 servers | random
74 Mot inconnu : selection => # use a random selection of 4 public stratum 2 servers | selection
74 Mot inconnu : of => # use a random selection of 4 public stratum 2 servers | of
74 Accord de nombre erroné avec « 4 » : « public » devrait être au pluriel. => # use a random selection of 4 public stratum 2 servers | public => suggestions : ['publics']
74 Mot inconnu : servers => # use a random selection of 4 public stratum 2 servers | servers

75 Mot inconnu : see => # see http://twiki.ntp.org/bin/view/Servers/NTPPoolServers | see

76 Mot inconnu : and => # and http://www.pool.ntp.org/ | and

77 Mot inconnu : server => server ntp.metas.ch | server

78 Mot inconnu : server => server ntp.obspm.fr | server

79 Mot inconnu : server => server ntp2.jussieu.fr | server

80 Mot inconnu : server => server ntp.uvsq.fr | server

81 Mot inconnu : server => server ntp.u-psud.fr | server
81 Mot inconnu : ntp => server ntp.u-psud.fr | ntp
81 Mot inconnu : u-psud => server ntp.u-psud.fr | u-psud

82 Mot inconnu : server => server ntp1.belbone.be | server

85 Mot inconnu : listen => Les premières lignes concernent les logs. N'oubliez pas qu'une des lignes //listen// doit être non-commentées ! Sinon il n'attendra pas de requêtes ! | listen

86 Mot inconnu : server => Les directives réellement importantes sont les //server//. Chacun de ces serveurs est une source de temps considérée comme fiable. Il n'existe pas vraiment de règle sur le nombre de serveurs à utiliser, mais globalement, plus vous en mettez, plus votre signal sera stable car en cas de défaillance ou de chute d'une des sources, votre serveur aura d'autres serveurs à consulter. | server
88 Guillemets typographiques ouvrants. => <note tip>L'auteur utilise deux types de sources : des serveurs proches de son domicile (Paris) pour battre la mesure et fournir l'heure courante, et des serveurs étrangers qui permettent "de s'assurer que votre horloge ne s'écarte pas trop du temps mondial". L'auteur tient à dire que cette idée est hautement spéculative et qu'il a d'ailleurs du mal à la formuler. D'autre part, il faut prendre gare à ce que les serveurs soient dans des pays ou des réseaux différents de façon que la chute d'un réseau n'affecte pas votre propre serveur, indépendamment de l'état du serveur source.</note> | " => suggestions : ['«\xa0', '“']
88 Guillemets typographiques fermants. => <note tip>L'auteur utilise deux types de sources : des serveurs proches de son domicile (Paris) pour battre la mesure et fournir l'heure courante, et des serveurs étrangers qui permettent "de s'assurer que votre horloge ne s'écarte pas trop du temps mondial". L'auteur tient à dire que cette idée est hautement spéculative et qu'il a d'ailleurs du mal à la formuler. D'autre part, il faut prendre gare à ce que les serveurs soient dans des pays ou des réseaux différents de façon que la chute d'un réseau n'affecte pas votre propre serveur, indépendamment de l'état du serveur source.</note> | " => suggestions : ['\xa0»', '”']

90 Mot inconnu : fudge => Vous pouvez ajouter votre propre horloge système comme source de temps par le paramètre fudge : | fudge

93 Mot inconnu : server => server 127.127.1.0 | server

94 Mot inconnu : fudge => fudge 127.127.1.0 stratum 10 | fudge

101 Mot inconnu : restrict => restrict default kod notrap nomodify nopeer noquery | restrict
101 Mot inconnu : default => restrict default kod notrap nomodify nopeer noquery | default
101 Mot inconnu : kod => restrict default kod notrap nomodify nopeer noquery | kod
101 Mot inconnu : notrap => restrict default kod notrap nomodify nopeer noquery | notrap
101 Mot inconnu : nomodify => restrict default kod notrap nomodify nopeer noquery | nomodify
101 Mot inconnu : nopeer => restrict default kod notrap nomodify nopeer noquery | nopeer
101 Mot inconnu : noquery => restrict default kod notrap nomodify nopeer noquery | noquery

102 Mot inconnu : restrict => restrict 127.0.0.1 nomodify | restrict
102 Mot inconnu : nomodify => restrict 127.0.0.1 nomodify | nomodify

103 Mot inconnu : restrict => restrict 10.8.0.0 mask 255.255.255.0 nomodify notrap | restrict
103 Mot inconnu : mask => restrict 10.8.0.0 mask 255.255.255.0 nomodify notrap | mask
103 Mot inconnu : nomodify => restrict 10.8.0.0 mask 255.255.255.0 nomodify notrap | nomodify
103 Mot inconnu : notrap => restrict 10.8.0.0 mask 255.255.255.0 nomodify notrap | notrap

104 Mot inconnu : restrict => restrict 192.168.1.0 mask 255.255.255.0 nomodify notrap</file> | restrict
104 Mot inconnu : mask => restrict 192.168.1.0 mask 255.255.255.0 nomodify notrap</file> | mask
104 Mot inconnu : nomodify => restrict 192.168.1.0 mask 255.255.255.0 nomodify notrap</file> | nomodify
104 Mot inconnu : notrap => restrict 192.168.1.0 mask 255.255.255.0 nomodify notrap</file> | notrap

106 Mot inconnu : ntpd => Le démon ntpd va de plus utiliser des algorithmes pour déterminer quelle source est la meilleure. | ntpd

110 Mot inconnu : ntp => On va lister ici les commandes qui permettent un bon diagnostic de l'état de votre serveur et qui sont fournies dans son paquet (ntp). | ntp

112 Mot inconnu : ntpq => La commande **ntpq -p** (ntp query) va permettre d'interroger votre serveur. | ntpq
112 Il manque un espace à côté du tiret. => La commande **ntpq -p** (ntp query) va permettre d'interroger votre serveur. |  - => suggestions : [' – ', ' — ']
112 Mot inconnu : ntp => La commande **ntpq -p** (ntp query) va permettre d'interroger votre serveur. | ntp
112 Mot inconnu : query => La commande **ntpq -p** (ntp query) va permettre d'interroger votre serveur. | query

128 Typographie : points de suspension. Utilisez le caractère dédié. => Dans ce tableau, chaque ligne concerne un serveur. La première colonne indique le nom du serveur en question. La deuxième indique l'adresse (ou le nom) de sa source de temps (un autre serveur de temps en général). La deuxième indique sa strate. Les colonnes suivantes concernent l'algorithme d'équilibrage du serveur (prise en compte de la distance de votre serveur à la source indiquée en première colonne...). | ... => suggestions : ['…']

129 Mot inconnu : delay => Si vous avez que des 0 au niveau des colonnes delay offset jitter alors il y a un problème , vérifiez votre configuration. | delay
129 Mot inconnu : jitter => Si vous avez que des 0 au niveau des colonnes delay offset jitter alors il y a un problème , vérifiez votre configuration. | jitter
129 Pas d’espace avant une virgule. => Si vous avez que des 0 au niveau des colonnes delay offset jitter alors il y a un problème , vérifiez votre configuration. |  , => suggestions : [',']

131 Il manque un trait d’union. => <note>Il est important que les serveurs que vous sélectionnez comme sources utilisent eux même des sources différentes !</note> | eux même => suggestions : ['eux-mêmes']

133 Mot inconnu : ntptrace => La commande ntptrace permet notamment de vous indiquer de façon certaine à quelle strate vous vous situez, ainsi que d'autres, sont fournies dans le paquet. Vous êtes encouragés à décrire ici leur fonctionnement. | ntptrace

135 Mot inconnu : ntp => Pour lancer, arrêter ou redémarrer votre serveur ntp, utilisez la commande service : | ntp

146 Forme interrogative ? Mettez un trait d’union. => Pour utiliser votre serveur en tant que source pour les ordinateurs de votre réseau, reportez vous à l'article [[ntpdate]] et mettez son adresse en source dans le paramètre NTPSERVERS. | reportez vous => suggestions : ['reportez-vous']
146 Mot inconnu : ntpdate => Pour utiliser votre serveur en tant que source pour les ordinateurs de votre réseau, reportez vous à l'article [[ntpdate]] et mettez son adresse en source dans le paramètre NTPSERVERS. | ntpdate
146 Mot inconnu : NTPSERVERS => Pour utiliser votre serveur en tant que source pour les ordinateurs de votre réseau, reportez vous à l'article [[ntpdate]] et mettez son adresse en source dans le paramètre NTPSERVERS. | ntpservers

148 Mot inconnu : NTP => ==== Les Serveurs NTP existants ==== | ntp

150 Mot inconnu : ntp => Le Comité Réseau des Universités maintient une liste des grands serveurs ntp français [[http://www.cru.fr/services/ntp/serveurs_francais|ici]].\\ | ntp
151 Mot inconnu : ntp => Des serveurs de strate 2 sont aussi listés ici : [[https://support.ntp.org/bin/view/Servers/StratumTwoTimeServers|serveurs ntp]].\\ | ntp

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ntp.22decembre.eu |    => suggestions : ['']

155 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pool.ntp.org |    => suggestions : ['']

156 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ntp.ubuntu.com |    => suggestions : ['']

159 Mot inconnu : NTP => === le pool NTP === | ntp

161 Mot inconnu : ntp => Le pool de serveurs ntp est un projet global qui vise à fournir un service ntp fiable tout en répartissant la charge du service sur de nombreux serveurs. | ntp
161 Mot inconnu : ntp => Le pool de serveurs ntp est un projet global qui vise à fournir un service ntp fiable tout en répartissant la charge du service sur de nombreux serveurs. | ntp

167 Mot inconnu : server => server 0.fr.pool.ntp.org | server

168 Mot inconnu : server => server 1.fr.pool.ntp.org | server
170 Typographie : points de suspension. Utilisez le caractère dédié. => Le service est décomposé en zones par pays : ch, de, fr ... et par continent : asia, africa, europe. Enfin, vous ajoutez (ou non) les préfixes 0, 1 et 2. | ... => suggestions : ['…']
170 Mot inconnu : asia => Le service est décomposé en zones par pays : ch, de, fr ... et par continent : asia, africa, europe. Enfin, vous ajoutez (ou non) les préfixes 0, 1 et 2. | asia
170 Mot inconnu : africa => Le service est décomposé en zones par pays : ch, de, fr ... et par continent : asia, africa, europe. Enfin, vous ajoutez (ou non) les préfixes 0, 1 et 2. | africa
170 Mot inconnu : europe => Le service est décomposé en zones par pays : ch, de, fr ... et par continent : asia, africa, europe. Enfin, vous ajoutez (ou non) les préfixes 0, 1 et 2. | europe

172 Accord de genre erroné : « la zone » est féminin, « considéré » est masculin. => Le pool va vous renvoyer une adresse de serveur au hasard pris dans la zone considéré. Vous aurez ainsi souvent des sources près de chez vous et fiables. | considéré => suggestions : ['considérée']

176 Mot inconnu : dyndns => Si vous avez une IP fixe (et pas un client dyndns ou une ip dhcp par exemple), on vous encourage à rejoindre vous aussi le pool de serveurs ntp. La charge sur le serveur (bande passante et cpu) est très faible. Il vous suffit d'avoir un serveur stable. Vous pouvez ainsi rendre un grand service à la communauté à peu de frais, y compris en tant que simple particulier. | dyndns
176 Mot inconnu : ip => Si vous avez une IP fixe (et pas un client dyndns ou une ip dhcp par exemple), on vous encourage à rejoindre vous aussi le pool de serveurs ntp. La charge sur le serveur (bande passante et cpu) est très faible. Il vous suffit d'avoir un serveur stable. Vous pouvez ainsi rendre un grand service à la communauté à peu de frais, y compris en tant que simple particulier. | ip
176 Mot inconnu : dhcp => Si vous avez une IP fixe (et pas un client dyndns ou une ip dhcp par exemple), on vous encourage à rejoindre vous aussi le pool de serveurs ntp. La charge sur le serveur (bande passante et cpu) est très faible. Il vous suffit d'avoir un serveur stable. Vous pouvez ainsi rendre un grand service à la communauté à peu de frais, y compris en tant que simple particulier. | dhcp
176 Mot inconnu : ntp => Si vous avez une IP fixe (et pas un client dyndns ou une ip dhcp par exemple), on vous encourage à rejoindre vous aussi le pool de serveurs ntp. La charge sur le serveur (bande passante et cpu) est très faible. Il vous suffit d'avoir un serveur stable. Vous pouvez ainsi rendre un grand service à la communauté à peu de frais, y compris en tant que simple particulier. | ntp
176 Mot inconnu : cpu => Si vous avez une IP fixe (et pas un client dyndns ou une ip dhcp par exemple), on vous encourage à rejoindre vous aussi le pool de serveurs ntp. La charge sur le serveur (bande passante et cpu) est très faible. Il vous suffit d'avoir un serveur stable. Vous pouvez ainsi rendre un grand service à la communauté à peu de frais, y compris en tant que simple particulier. | cpu

180 Mot inconnu : ntp => Il vous faut dans ce cas rendre votre serveur public. Si vous êtes derrière un pare-feu, il vous faut ouvrir le port ntp (normalement le 123). | ntp

181 Mot inconnu : ufw => exemple pour [[ufw]] :\\ | ufw

187 Mot inconnu : broadcast => Un moyen simple de voir s'il y a un broadcast NTP dans votre réseau local (généralement le router): | broadcast
187 Mot inconnu : NTP => Un moyen simple de voir s'il y a un broadcast NTP dans votre réseau local (généralement le router): | ntp

190 Mot inconnu : NTP => Pour voir si des clients se connectent à votre serveur NTP : | ntp

