
5 Mot inconnu : Freebox => ====== Le serveur d'impression de la Freebox ou Alicebox ======  | freebox
15 Mot inconnu : Alicebox => Sous Ubuntu, mettre en place le serveur d'impression  de la Freebox ou de l'Alicebox, est très simple. \\ | alicebox

16 Mot inconnu : __ => __**Pourquoi un serveur d'impression ?**__ \\ | __
16 Mot inconnu : __ => __**Pourquoi un serveur d'impression ?**__ \\ | __

17 Mot inconnu : WiFi => Le serveur d'impression permet à tous les ordinateurs connectés à votre box (en Ethernet ou en WiFi) d'utiliser l'imprimante sans laisser un ordinateur allumé tout le temps ! | wifi

22 Mot inconnu : switch => <note tip>Une solution consiste alors à utiliser un commutateur USB (appelé aussi switch USB) pour relier l'imprimante multi-fonction à la box __et__ à l'ordinateur le plus proche qui lui, gérera la numérisation en mode local.</note> | switch
22 Mot inconnu : __et__ => <note tip>Une solution consiste alors à utiliser un commutateur USB (appelé aussi switch USB) pour relier l'imprimante multi-fonction à la box __et__ à l'ordinateur le plus proche qui lui, gérera la numérisation en mode local.</note> | __et__

23 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => <note tip>testé avec une brother DCP-J752DW sur freeboxV4. Pour scanner, on passe par la clef USB, et plus de wifi</note> | testé => suggestions : ['Testé']
23 Mot inconnu : brother => <note tip>testé avec une brother DCP-J752DW sur freeboxV4. Pour scanner, on passe par la clef USB, et plus de wifi</note> | brother
23 Mot inconnu : DCP-J752DW => <note tip>testé avec une brother DCP-J752DW sur freeboxV4. Pour scanner, on passe par la clef USB, et plus de wifi</note> | dcp-j752dw
23 Mot inconnu : freeboxV4 => <note tip>testé avec une brother DCP-J752DW sur freeboxV4. Pour scanner, on passe par la clef USB, et plus de wifi</note> | freeboxv4

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir une Freebox (V4 ou V5 ou Crystal ou Révolution) ou une Alicebox (V5 ou Initial). |    => suggestions : ['']
27 Mot inconnu : Freebox =>   * Avoir une Freebox (V4 ou V5 ou Crystal ou Révolution) ou une Alicebox (V5 ou Initial). | freebox
27 Mot inconnu : V4 =>   * Avoir une Freebox (V4 ou V5 ou Crystal ou Révolution) ou une Alicebox (V5 ou Initial). | v4
27 Mot inconnu : V5 =>   * Avoir une Freebox (V4 ou V5 ou Crystal ou Révolution) ou une Alicebox (V5 ou Initial). | v5
27 Mot inconnu : Crystal =>   * Avoir une Freebox (V4 ou V5 ou Crystal ou Révolution) ou une Alicebox (V5 ou Initial). | crystal
27 Mot inconnu : Alicebox =>   * Avoir une Freebox (V4 ou V5 ou Crystal ou Révolution) ou une Alicebox (V5 ou Initial). | alicebox
27 Mot inconnu : V5 =>   * Avoir une Freebox (V4 ou V5 ou Crystal ou Révolution) ou une Alicebox (V5 ou Initial). | v5

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Avoir activé le mode routeur (voir l'interface [[https://subscribe.free.fr/login/|gestion de votre compte sur le site de Free]] pour les Freebox ou [[http://espace-abonne.aliceadsl.fr/| de votre espace abonné sur le site d'Alice]] pour les Alicebox) ;  |    => suggestions : ['']
28 Mot inconnu : Freebox =>   *  Avoir activé le mode routeur (voir l'interface [[https://subscribe.free.fr/login/|gestion de votre compte sur le site de Free]] pour les Freebox ou [[http://espace-abonne.aliceadsl.fr/| de votre espace abonné sur le site d'Alice]] pour les Alicebox) ;  | freebox
28 Mot inconnu : Alicebox =>   *  Avoir activé le mode routeur (voir l'interface [[https://subscribe.free.fr/login/|gestion de votre compte sur le site de Free]] pour les Freebox ou [[http://espace-abonne.aliceadsl.fr/| de votre espace abonné sur le site d'Alice]] pour les Alicebox) ;  | alicebox
28 Espace(s) en fin de ligne à supprimer. =>   *  Avoir activé le mode routeur (voir l'interface [[https://subscribe.free.fr/login/|gestion de votre compte sur le site de Free]] pour les Freebox ou [[http://espace-abonne.aliceadsl.fr/| de votre espace abonné sur le site d'Alice]] pour les Alicebox) ;  |   => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour la Freebox Révolution, avoir activé  le partage Windows [[http://mafreebox.freebox.fr/settings.php]] depuis l'onglet //**Nas > partage windows**// puis //**Groupe de travail: WORGROUP** //et activez le partage d'imprimante ;  |    => suggestions : ['']
29 Mot inconnu : Freebox =>   * Pour la Freebox Révolution, avoir activé  le partage Windows [[http://mafreebox.freebox.fr/settings.php]] depuis l'onglet //**Nas > partage windows**// puis //**Groupe de travail: WORGROUP** //et activez le partage d'imprimante ;  | freebox
29 Espace(s) surnuméraire(s) à supprimer. =>   * Pour la Freebox Révolution, avoir activé  le partage Windows [[http://mafreebox.freebox.fr/settings.php]] depuis l'onglet //**Nas > partage windows**// puis //**Groupe de travail: WORGROUP** //et activez le partage d'imprimante ;  |    => suggestions : [' ']
29 Mot inconnu : Nas =>   * Pour la Freebox Révolution, avoir activé  le partage Windows [[http://mafreebox.freebox.fr/settings.php]] depuis l'onglet //**Nas > partage windows**// puis //**Groupe de travail: WORGROUP** //et activez le partage d'imprimante ;  | nas
29 Mot inconnu : WORGROUP =>   * Pour la Freebox Révolution, avoir activé  le partage Windows [[http://mafreebox.freebox.fr/settings.php]] depuis l'onglet //**Nas > partage windows**// puis //**Groupe de travail: WORGROUP** //et activez le partage d'imprimante ;  | worgroup
29 Espace(s) en fin de ligne à supprimer. =>   * Pour la Freebox Révolution, avoir activé  le partage Windows [[http://mafreebox.freebox.fr/settings.php]] depuis l'onglet //**Nas > partage windows**// puis //**Groupe de travail: WORGROUP** //et activez le partage d'imprimante ;  |   => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir ensuite mis à jour votre box (en la débranchant et en la rebranchant) ; |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir branché une imprimante sur le port USB de la box ; |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir allumé l'imprimante. |    => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <note tip>Pour une imprimante Brother, vous pouvez __d'abord__ utiliser l'excellent script qui installe les pilotes [[https://forum.ubuntu-fr.org/viewtopic.php?id=652931|script brother de demonipuch]], puis suivre ces instructions sans soucis. Les pilotes ainsi téléchargés seront aussi disponibles lors de la procédure de la mise en place sur le réseau. Attention, ceci est indispensable pour beaucoup d'imprimante Brother récentes. |   => suggestions : ['']
33 Mot inconnu : Brother =>  <note tip>Pour une imprimante Brother, vous pouvez __d'abord__ utiliser l'excellent script qui installe les pilotes [[https://forum.ubuntu-fr.org/viewtopic.php?id=652931|script brother de demonipuch]], puis suivre ces instructions sans soucis. Les pilotes ainsi téléchargés seront aussi disponibles lors de la procédure de la mise en place sur le réseau. Attention, ceci est indispensable pour beaucoup d'imprimante Brother récentes. | brother
33 Mot inconnu : __d'abord__ =>  <note tip>Pour une imprimante Brother, vous pouvez __d'abord__ utiliser l'excellent script qui installe les pilotes [[https://forum.ubuntu-fr.org/viewtopic.php?id=652931|script brother de demonipuch]], puis suivre ces instructions sans soucis. Les pilotes ainsi téléchargés seront aussi disponibles lors de la procédure de la mise en place sur le réseau. Attention, ceci est indispensable pour beaucoup d'imprimante Brother récentes. | __d'abord__
33 Mot inconnu : brother =>  <note tip>Pour une imprimante Brother, vous pouvez __d'abord__ utiliser l'excellent script qui installe les pilotes [[https://forum.ubuntu-fr.org/viewtopic.php?id=652931|script brother de demonipuch]], puis suivre ces instructions sans soucis. Les pilotes ainsi téléchargés seront aussi disponibles lors de la procédure de la mise en place sur le réseau. Attention, ceci est indispensable pour beaucoup d'imprimante Brother récentes. | brother
33 Mot inconnu : demonipuch =>  <note tip>Pour une imprimante Brother, vous pouvez __d'abord__ utiliser l'excellent script qui installe les pilotes [[https://forum.ubuntu-fr.org/viewtopic.php?id=652931|script brother de demonipuch]], puis suivre ces instructions sans soucis. Les pilotes ainsi téléchargés seront aussi disponibles lors de la procédure de la mise en place sur le réseau. Attention, ceci est indispensable pour beaucoup d'imprimante Brother récentes. | demonipuch
33 Mot inconnu : Brother =>  <note tip>Pour une imprimante Brother, vous pouvez __d'abord__ utiliser l'excellent script qui installe les pilotes [[https://forum.ubuntu-fr.org/viewtopic.php?id=652931|script brother de demonipuch]], puis suivre ces instructions sans soucis. Les pilotes ainsi téléchargés seront aussi disponibles lors de la procédure de la mise en place sur le réseau. Attention, ceci est indispensable pour beaucoup d'imprimante Brother récentes. | brother

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquez sur **+** ou **Ajouter** ou **Ajouter une imprimante** ; |    => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sélectionner **Imprimante réseau**. |    => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    - [[#Freebox Crystal, V5, V4 ou Alicebox]]; |     => suggestions : ['']
44 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>    - [[#Freebox Crystal, V5, V4 ou Alicebox]]; |  -  => suggestions : [' – ', ' — ', ' − ']
44 Mot inconnu : Crystal =>    - [[#Freebox Crystal, V5, V4 ou Alicebox]]; | crystal
44 Mot inconnu : V5 =>    - [[#Freebox Crystal, V5, V4 ou Alicebox]]; | v5
44 Mot inconnu : V4 =>    - [[#Freebox Crystal, V5, V4 ou Alicebox]]; | v4
44 Mot inconnu : Alicebox =>    - [[#Freebox Crystal, V5, V4 ou Alicebox]]; | alicebox

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    - [[#Freebox Révolution]]. |     => suggestions : ['']
45 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>    - [[#Freebox Révolution]]. |  -  => suggestions : [' – ', ' — ', ' − ']

47 Mot inconnu : Freebox => ====Freebox Crystal, V5, V4 ou Alicebox====  | freebox
47 Mot inconnu : Crystal => ====Freebox Crystal, V5, V4 ou Alicebox====  | crystal
47 Mot inconnu : V5 => ====Freebox Crystal, V5, V4 ou Alicebox====  | v5
47 Mot inconnu : V4 => ====Freebox Crystal, V5, V4 ou Alicebox====  | v4
47 Mot inconnu : Alicebox => ====Freebox Crystal, V5, V4 ou Alicebox====  | alicebox
47 Espace(s) en fin de ligne à supprimer. => ====Freebox Crystal, V5, V4 ou Alicebox====  |   => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Sélectionner **AppSocket/HP JetDirect** ;  |     => suggestions : ['']
48 Mot inconnu : AppSocket =>    * Sélectionner **AppSocket/HP JetDirect** ;  | appsocket
48 Mot inconnu : HP =>    * Sélectionner **AppSocket/HP JetDirect** ;  | hp
48 Mot inconnu : JetDirect =>    * Sélectionner **AppSocket/HP JetDirect** ;  | jetdirect
48 Espace(s) en fin de ligne à supprimer. =>    * Sélectionner **AppSocket/HP JetDirect** ;  |   => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Dans le champ  **Hôte** saisir :  |     => suggestions : ['']
49 Espace(s) surnuméraire(s) à supprimer. =>    * Dans le champ  **Hôte** saisir :  |    => suggestions : [' ']
49 Espace(s) en fin de ligne à supprimer. =>    * Dans le champ  **Hôte** saisir :  |   => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ''mafreebox.freebox.fr'' pour une Freebox  |      => suggestions : ['']
50 Mot inconnu : Freebox =>     * ''mafreebox.freebox.fr'' pour une Freebox  | freebox
50 Espace(s) en fin de ligne à supprimer. =>     * ''mafreebox.freebox.fr'' pour une Freebox  |   => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ''alicebox.aliceadsl.fr'' pour une Alicebox. |      => suggestions : ['']
51 Mot inconnu : Alicebox =>     * ''alicebox.aliceadsl.fr'' pour une Alicebox. | alicebox

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Choisir la marque de l'imprimante et cliquer sur **Suivant** ; |     => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Choisir le modèle de l'imprimante, et cliquer sur **Suivant** : |     => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Remplir le nom, la description, l'emplacement de votre imprimante et cliquer sur **Appliquer**. |     => suggestions : ['']

58 Mot inconnu : Freebox => ====Freebox Révolution==== | freebox

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Installer les packages avec "sudo apt install samba python3-smbc smbclient" |     => suggestions : ['']
59 Guillemets typographiques ouvrants. =>    * Installer les packages avec "sudo apt install samba python3-smbc smbclient" | " => suggestions : ['«\xa0', '“']
59 Mot inconnu : sudo =>    * Installer les packages avec "sudo apt install samba python3-smbc smbclient" | sudo
59 Mot inconnu : install =>    * Installer les packages avec "sudo apt install samba python3-smbc smbclient" | install
59 Mot inconnu : python3-smbc =>    * Installer les packages avec "sudo apt install samba python3-smbc smbclient" | python3-smbc
59 Mot inconnu : smbclient =>    * Installer les packages avec "sudo apt install samba python3-smbc smbclient" | smbclient
59 Guillemets typographiques fermants. =>    * Installer les packages avec "sudo apt install samba python3-smbc smbclient" | " => suggestions : ['\xa0»', '”']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Sélectionner **Imprimante WINDOWS via SAMBA** ; |     => suggestions : ['']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Rechercher l'imprimante en cliquant sur **Parcourir** (à la droite de smb) ; |     => suggestions : ['']
61 Mot inconnu : smb =>    * Rechercher l'imprimante en cliquant sur **Parcourir** (à la droite de smb) ; | smb

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Une liste s'affiche : sélectionnez votre imprimante dans l'onglet **Workgroup->Freebox** puis **valider** |     => suggestions : ['']
62 Mot inconnu : Workgroup =>    * Une liste s'affiche : sélectionnez votre imprimante dans l'onglet **Workgroup->Freebox** puis **valider** | workgroup
62 Mot inconnu : Freebox =>    * Une liste s'affiche : sélectionnez votre imprimante dans l'onglet **Workgroup->Freebox** puis **valider** | freebox

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Choisissez la marque de l'imprimante et cliquez **Suivant** ; |     => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Choisissez le modèle de l'imprimante, et cliquez **Suivant** ; |     => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Remplissez le nom, la description, l'emplacement de votre imprimante et cliquez **Appliquer**. |     => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrir l'assistant d'installation d'imprimante de KDE: Dans **Kcontrol** -> **Périphérique** -> **Imprimante** :  |    => suggestions : ['']
70 Mot inconnu : KDE =>   * Ouvrir l'assistant d'installation d'imprimante de KDE: Dans **Kcontrol** -> **Périphérique** -> **Imprimante** :  | kde
70 Mot inconnu : Kcontrol =>   * Ouvrir l'assistant d'installation d'imprimante de KDE: Dans **Kcontrol** -> **Périphérique** -> **Imprimante** :  | kcontrol
70 Espace(s) en fin de ligne à supprimer. =>   * Ouvrir l'assistant d'installation d'imprimante de KDE: Dans **Kcontrol** -> **Périphérique** -> **Imprimante** :  |   => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquer sur **Ajouter une imprimante/une classe...** ; |    => suggestions : ['']
71 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Cliquer sur **Ajouter une imprimante/une classe...** ; | ... => suggestions : ['…']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisir **autres type d'imprimante**. |    => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; |      => suggestions : ['']
73 Mot inconnu : __Pour =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | __pour
73 Mot inconnu : Freebox =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | freebox
73 Mot inconnu : Crystal =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | crystal
73 Mot inconnu : V5 =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | v5
73 Mot inconnu : V4 =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | v4
73 Mot inconnu : Alicebox__ =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | alicebox__
73 Mot inconnu : AppSocket =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | appsocket
73 Mot inconnu : HP =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | hp
73 Mot inconnu : JetDirect =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | jetdirect
73 Guillemets typographiques ouvrants. =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | " => suggestions : ['«\xa0', '“']
73 Guillemets typographiques fermants. =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | " => suggestions : ['\xa0»', '”']
73 Guillemets typographiques ouvrants. =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | " => suggestions : ['«\xa0', '“']
73 Guillemets typographiques fermants. =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | " => suggestions : ['\xa0»', '”']
73 Mot inconnu : Freebox =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | freebox
73 Mot inconnu : Alicebox =>     * __Pour une Freebox Crystal, V5 et V4 ou une Alicebox__ : Sélectionner **AppSocket/HP JetDirect** et dans le champ "URI" saisir à la place de "socket"  ''mafreebox.freebox.fr'' pour une Freebox ou ''alicebox.aliceadsl.fr'' pour une Alicebox; | alicebox

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * __Pour Freebox Révolution__ : Sélectionner **Imprimante WINDOWS via SAMBA** et rechercher l'imprimante en cliquant sur **Parcourir**  ; |      => suggestions : ['']
74 Mot inconnu : __Pour =>     * __Pour Freebox Révolution__ : Sélectionner **Imprimante WINDOWS via SAMBA** et rechercher l'imprimante en cliquant sur **Parcourir**  ; | __pour
74 Mot inconnu : Freebox =>     * __Pour Freebox Révolution__ : Sélectionner **Imprimante WINDOWS via SAMBA** et rechercher l'imprimante en cliquant sur **Parcourir**  ; | freebox
74 Mot inconnu : Révolution__ =>     * __Pour Freebox Révolution__ : Sélectionner **Imprimante WINDOWS via SAMBA** et rechercher l'imprimante en cliquant sur **Parcourir**  ; | révolution__

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *Terminer ensuite l'installation de votre imprimante normalement (choix du pilote, nom de l'imprimante, etc) . |    => suggestions : ['']

77 Mot inconnu : CUPS => =====Mise en place Avec CUPS ===== | cups

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Aller à cette adresse [[http://localhost:631/admin]] ; |    => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquer sur **Ajouter une imprimante** et entrer votre nom d’utilisateur et votre mot de passe Ubuntu ; |    => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    - [[#freebox_crystal_V5_V4_ou_alicebox1|Freebox Crystal, V5, V4 ou Alicebox]] ; |     => suggestions : ['']
84 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>    - [[#freebox_crystal_V5_V4_ou_alicebox1|Freebox Crystal, V5, V4 ou Alicebox]] ; |  -  => suggestions : [' – ', ' — ', ' − ']
84 Mot inconnu : Freebox =>    - [[#freebox_crystal_V5_V4_ou_alicebox1|Freebox Crystal, V5, V4 ou Alicebox]] ; | freebox
84 Mot inconnu : Crystal =>    - [[#freebox_crystal_V5_V4_ou_alicebox1|Freebox Crystal, V5, V4 ou Alicebox]] ; | crystal
84 Mot inconnu : V5 =>    - [[#freebox_crystal_V5_V4_ou_alicebox1|Freebox Crystal, V5, V4 ou Alicebox]] ; | v5
84 Mot inconnu : V4 =>    - [[#freebox_crystal_V5_V4_ou_alicebox1|Freebox Crystal, V5, V4 ou Alicebox]] ; | v4
