23 Mot inconnu : ATAPI [[50:55]] => Les CD-ROM régissent à des normes strictes : IDE, ATAPI, etc. <|> atapi
102 Mot inconnu : irqpoll [[171:178]] => Dans mon cas par exemple, mon CD-Rom fonctionnait sans problème sur Ubuntu 5.10, mais à partir du noyau 2.6.15 (donc a partir de Ubuntu 6.06), j'ai du rajouter l'option « irqpoll » pour commencer (!) à faire fonctionner le lecteur CD. <|> irqpoll

110 Mot inconnu : async [[5:10]] => ==== async ==== <|> async
112 Mot inconnu : async [[170:175]] => Il est possible que certains lecteurs ne puissent utiliser le mode synchrone avec le CD-ROM. Dans ce cas, il faut éditer le fichier « /etc/fstab » et rajouter l'option « async » : <|> async
119 Il faut élider “si” et l’accoler au pronom. [[9:12]] => (FIXME : si il n'y a ni « async » ni « sync », lequel est utilisé ??) <|> si  => suggestions : ['s’']
119 Mot inconnu : async [[26:31]] => (FIXME : si il n'y a ni « async » ni « sync », lequel est utilisé ??) <|> async
119 Mot inconnu : sync [[39:43]] => (FIXME : si il n'y a ni « async » ni « sync », lequel est utilisé ??) <|> sync

120 Mot inconnu : reponse [[0:7]] => reponse: sync par defaut(default) <|> reponse
120 Mot inconnu : sync [[9:13]] => reponse: sync par defaut(default) <|> sync
120 Mot inconnu : defaut [[18:24]] => reponse: sync par defaut(default) <|> defaut
120 Il manque un espace avant la parenthèse. [[24:25]] => reponse: sync par defaut(default) <|> ( => suggestions : [' (']
120 Mot inconnu : default [[25:32]] => reponse: sync par defaut(default) <|> default

123 Mot inconnu : DMA [[5:8]] => ==== DMA ==== <|> dma

125 Mot inconnu : DMA [[3:6]] => Le DMA est une option qui une fois activé accélère les transferts. <|> dma

136 Mot inconnu : command_line [[0:12]] => command_line { <|> command_line

151 Mot inconnu : Ejecter [[5:12]] => ==== Ejecter le CD-ROM "physiquement" ==== <|> ejecter
151 Guillemets typographiques ouvrants. [[23:24]] => ==== Ejecter le CD-ROM "physiquement" ==== <|> " => suggestions : ['«\xa0', '“']
151 Guillemets typographiques fermants. [[36:37]] => ==== Ejecter le CD-ROM "physiquement" ==== <|> " => suggestions : ['\xa0»', '”']

157 Mot inconnu : NB [[0:2]] => NB : Quand vous ajoutez cette ligne dans le fichier sysctl.conf, cela n'est appliqué qu'après le redémarrage de la machine. Pour appliquer cette modification dès maintenant, lancez dans un terminal :  <|> nb
157 Mot inconnu : sysctl [[52:58]] => NB : Quand vous ajoutez cette ligne dans le fichier sysctl.conf, cela n'est appliqué qu'après le redémarrage de la machine. Pour appliquer cette modification dès maintenant, lancez dans un terminal :  <|> sysctl
157 Il manque un espace. [[59:63]] => NB : Quand vous ajoutez cette ligne dans le fichier sysctl.conf, cela n'est appliqué qu'après le redémarrage de la machine. Pour appliquer cette modification dès maintenant, lancez dans un terminal :  <|> conf => suggestions : [' conf']
157 Espace(s) en fin de ligne à supprimer. [[199:200]] => NB : Quand vous ajoutez cette ligne dans le fichier sysctl.conf, cela n'est appliqué qu'après le redémarrage de la machine. Pour appliquer cette modification dès maintenant, lancez dans un terminal :  <|>   => suggestions : ['']

172 Confusion probable. [[0:7]] => Et bien dans ce cas, profitons-en pour soutirer des informations pouvant être utiles !! :-) <|> et bien => suggestions : ['Eh bien', 'Hé bien']
174 Mot inconnu : SATA [[82:86]] => <note important>Ubuntu 16.04 LTS ne peut pas monter un CD / DVD depuis un lecteur SATA sans qu'on ait ajouté à la main la ligne "piix" (sans les guillemets) au fichier etc/module. \\ Voir la section 1.1 Modules plus haut sur cette page. <|> sata
174 Guillemets typographiques ouvrants. [[128:129]] => <note important>Ubuntu 16.04 LTS ne peut pas monter un CD / DVD depuis un lecteur SATA sans qu'on ait ajouté à la main la ligne "piix" (sans les guillemets) au fichier etc/module. \\ Voir la section 1.1 Modules plus haut sur cette page. <|> " => suggestions : ['«\xa0', '“']
174 Mot inconnu : piix [[129:133]] => <note important>Ubuntu 16.04 LTS ne peut pas monter un CD / DVD depuis un lecteur SATA sans qu'on ait ajouté à la main la ligne "piix" (sans les guillemets) au fichier etc/module. \\ Voir la section 1.1 Modules plus haut sur cette page. <|> piix
174 Guillemets typographiques fermants. [[133:134]] => <note important>Ubuntu 16.04 LTS ne peut pas monter un CD / DVD depuis un lecteur SATA sans qu'on ait ajouté à la main la ligne "piix" (sans les guillemets) au fichier etc/module. \\ Voir la section 1.1 Modules plus haut sur cette page. <|> " => suggestions : ['\xa0»', '”']

180 Mot inconnu : Mitsumi [[36:43]] => On voit bien sur la capture que mon Mitsumi CR-4801 TE n'est pas configuré en synchrone (équivalent à l'option « async » donc), et que le DMA est désactivé. <|> mitsumi
180 Mot inconnu : CR-4801 [[44:51]] => On voit bien sur la capture que mon Mitsumi CR-4801 TE n'est pas configuré en synchrone (équivalent à l'option « async » donc), et que le DMA est désactivé. <|> cr-4801
180 Mot inconnu : async [[113:118]] => On voit bien sur la capture que mon Mitsumi CR-4801 TE n'est pas configuré en synchrone (équivalent à l'option « async » donc), et que le DMA est désactivé. <|> async
180 Mot inconnu : DMA [[138:141]] => On voit bien sur la capture que mon Mitsumi CR-4801 TE n'est pas configuré en synchrone (équivalent à l'option « async » donc), et que le DMA est désactivé. <|> dma

185 Mot inconnu : dmesg [[11:16]] => Utilisez **dmesg** pour obtenir quelques informations utiles : <|> dmesg

189 Il faut élider “si” et l’accoler au pronom. [[0:3]] => Si il s'agit de problèmes d'interruption, ça peut concerner les IRQ et donc la carte-mère... <|> si  => suggestions : ['S’']
189 Mot inconnu : IRQ [[64:67]] => Si il s'agit de problèmes d'interruption, ça peut concerner les IRQ et donc la carte-mère... <|> irq
189 Typographie : points de suspension. Utilisez le caractère dédié. [[89:92]] => Si il s'agit de problèmes d'interruption, ça peut concerner les IRQ et donc la carte-mère... <|> ... => suggestions : ['…']
191 Mot inconnu : __extrêmement [[32:45]] => <note help>FIXME Cette commande __extrêmement détaillée (une douzaine de pages-écran)__ liste tous les interrupteurs système de votre carte-mère : \\ table des IRQ, périphériques SATA, SCSI, USB,... et ce sont que quelques-unes des très nombreuses informations fournies. \\ <|> __extrêmement
191 Il manque un espace après la parenthèse. [[84:85]] => <note help>FIXME Cette commande __extrêmement détaillée (une douzaine de pages-écran)__ liste tous les interrupteurs système de votre carte-mère : \\ table des IRQ, périphériques SATA, SCSI, USB,... et ce sont que quelques-unes des très nombreuses informations fournies. \\ <|> ) => suggestions : [') ']
191 Mot inconnu : __ [[85:87]] => <note help>FIXME Cette commande __extrêmement détaillée (une douzaine de pages-écran)__ liste tous les interrupteurs système de votre carte-mère : \\ table des IRQ, périphériques SATA, SCSI, USB,... et ce sont que quelques-unes des très nombreuses informations fournies. \\ <|> __
191 Accord de nombre erroné avec « les interrupteurs » : « système » devrait être au pluriel. [[117:124]] => <note help>FIXME Cette commande __extrêmement détaillée (une douzaine de pages-écran)__ liste tous les interrupteurs système de votre carte-mère : \\ table des IRQ, périphériques SATA, SCSI, USB,... et ce sont que quelques-unes des très nombreuses informations fournies. \\ <|> système => suggestions : ['systèmes']
191 Mot inconnu : IRQ [[160:163]] => <note help>FIXME Cette commande __extrêmement détaillée (une douzaine de pages-écran)__ liste tous les interrupteurs système de votre carte-mère : \\ table des IRQ, périphériques SATA, SCSI, USB,... et ce sont que quelques-unes des très nombreuses informations fournies. \\ <|> irq
191 Mot inconnu : SATA [[179:183]] => <note help>FIXME Cette commande __extrêmement détaillée (une douzaine de pages-écran)__ liste tous les interrupteurs système de votre carte-mère : \\ table des IRQ, périphériques SATA, SCSI, USB,... et ce sont que quelques-unes des très nombreuses informations fournies. \\ <|> sata
191 Erreur de numérisation ? Virgules au lieu de points ? [[194:198]] => <note help>FIXME Cette commande __extrêmement détaillée (une douzaine de pages-écran)__ liste tous les interrupteurs système de votre carte-mère : \\ table des IRQ, périphériques SATA, SCSI, USB,... et ce sont que quelques-unes des très nombreuses informations fournies. \\ <|> ,... => suggestions : ['….']
191 Typographie : points de suspension. Utilisez le caractère dédié. [[195:198]] => <note help>FIXME Cette commande __extrêmement détaillée (une douzaine de pages-écran)__ liste tous les interrupteurs système de votre carte-mère : \\ table des IRQ, périphériques SATA, SCSI, USB,... et ce sont que quelques-unes des très nombreuses informations fournies. \\ <|> ... => suggestions : ['…']

192 Espace(s) en fin de ligne à supprimer. [[2:3]] => \\  <|>   => suggestions : ['']

193 Accord de nombre erroné avec « des interrupteurs » : « système » devrait être au pluriel. [[93:100]] => **L'avantage réside surtout dans le fait qu'elle supervise le comportement des interrupteurs système**, des pilotes utilisés ou en conflits et les périphériques afférents</note> <|> système => suggestions : ['systèmes']
198 Mot inconnu : ide-scsi [[98:106]] => Il existe une méthode pour faire passer un CD-Rom comme périphérique SCSI (avec un module nommé « ide-scsi »). <|> ide-scsi
