
4 Mot inconnu : X11vnc => ====== X11vnc : contrôler un ordinateur à distance ====== | x11vnc
23 Mot inconnu : Accept => ==== Accept Connections ==== | accept

25 Guillemets typographiques ouvrants. => Ou "accepter les connexions". | " => suggestions : ['«\xa0', '“']
25 Guillemets typographiques fermants. => Ou "accepter les connexions". | " => suggestions : ['\xa0»', '”']

27 Mot inconnu : VNC => Permet de déterminer si les visualiseurs VNC sont autorisés à se connecter ou non. Il correspond aux commandes de contrôle à distance "-R unlock" et "-R lock". | vnc
27 Mot inconnu : unlock => Permet de déterminer si les visualiseurs VNC sont autorisés à se connecter ou non. Il correspond aux commandes de contrôle à distance "-R unlock" et "-R lock". | unlock
27 Guillemets typographiques fermants. => Permet de déterminer si les visualiseurs VNC sont autorisés à se connecter ou non. Il correspond aux commandes de contrôle à distance "-R unlock" et "-R lock". | " => suggestions : ['\xa0»', '”']
27 Mot inconnu : lock => Permet de déterminer si les visualiseurs VNC sont autorisés à se connecter ou non. Il correspond aux commandes de contrôle à distance "-R unlock" et "-R lock". | lock
27 Guillemets typographiques fermants. => Permet de déterminer si les visualiseurs VNC sont autorisés à se connecter ou non. Il correspond aux commandes de contrôle à distance "-R unlock" et "-R lock". | " => suggestions : ['\xa0»', '”']

29 Mot inconnu : Ask => ==== Ask for Confirmation ==== | ask

31 Guillemets typographiques ouvrants. => Ou "Demander confirmation". | " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. => Ou "Demander confirmation". | " => suggestions : ['\xa0»', '”']

33 Mot inconnu : VNC => Permet de déterminer si un menu contextuel sera présenté à l'écran lorsque un nouveau visualiseur VNC tente de se connecter. La personne peut choisir d'accepter, de rejeter la connexion ou d'accepter le message en mode visualisation uniquement. Il correspond aux commandes "-R accept:popup". et les commandes de la télécommande "-R accept:". | vnc
33 Mot inconnu : accept => Permet de déterminer si un menu contextuel sera présenté à l'écran lorsque un nouveau visualiseur VNC tente de se connecter. La personne peut choisir d'accepter, de rejeter la connexion ou d'accepter le message en mode visualisation uniquement. Il correspond aux commandes "-R accept:popup". et les commandes de la télécommande "-R accept:". | accept
33 Il manque un espace. => Permet de déterminer si un menu contextuel sera présenté à l'écran lorsque un nouveau visualiseur VNC tente de se connecter. La personne peut choisir d'accepter, de rejeter la connexion ou d'accepter le message en mode visualisation uniquement. Il correspond aux commandes "-R accept:popup". et les commandes de la télécommande "-R accept:". | popup => suggestions : [' popup']
33 Guillemets typographiques fermants. => Permet de déterminer si un menu contextuel sera présenté à l'écran lorsque un nouveau visualiseur VNC tente de se connecter. La personne peut choisir d'accepter, de rejeter la connexion ou d'accepter le message en mode visualisation uniquement. Il correspond aux commandes "-R accept:popup". et les commandes de la télécommande "-R accept:". | " => suggestions : ['\xa0»', '”']
33 Mot inconnu : accept => Permet de déterminer si un menu contextuel sera présenté à l'écran lorsque un nouveau visualiseur VNC tente de se connecter. La personne peut choisir d'accepter, de rejeter la connexion ou d'accepter le message en mode visualisation uniquement. Il correspond aux commandes "-R accept:popup". et les commandes de la télécommande "-R accept:". | accept

35 Mot inconnu : All => ==== All Clients ViewOnly ==== | all
35 Mot inconnu : ViewOnly => ==== All Clients ViewOnly ==== | viewonly

36 Guillemets typographiques ouvrants. => ou "tous les Clients en mode visualisation uniquement". | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. => ou "tous les Clients en mode visualisation uniquement". | " => suggestions : ['\xa0»', '”']

38 Mot inconnu : VNC => Permet de choisir l'affichage du bureau VNC est en mode visualisation uniquement. Tous les clients ne pourront que regarder lorsque cette option est activée (quelle que soit la façon dont ils sont réglés). Il correspond aux commandes "-R viewonly" et "-R noviewonly" | vnc
38 Mot inconnu : viewonly => Permet de choisir l'affichage du bureau VNC est en mode visualisation uniquement. Tous les clients ne pourront que regarder lorsque cette option est activée (quelle que soit la façon dont ils sont réglés). Il correspond aux commandes "-R viewonly" et "-R noviewonly" | viewonly
38 Guillemets typographiques fermants. => Permet de choisir l'affichage du bureau VNC est en mode visualisation uniquement. Tous les clients ne pourront que regarder lorsque cette option est activée (quelle que soit la façon dont ils sont réglés). Il correspond aux commandes "-R viewonly" et "-R noviewonly" | " => suggestions : ['\xa0»', '”']
38 Mot inconnu : noviewonly => Permet de choisir l'affichage du bureau VNC est en mode visualisation uniquement. Tous les clients ne pourront que regarder lorsque cette option est activée (quelle que soit la façon dont ils sont réglés). Il correspond aux commandes "-R viewonly" et "-R noviewonly" | noviewonly
38 Guillemets typographiques fermants. => Permet de choisir l'affichage du bureau VNC est en mode visualisation uniquement. Tous les clients ne pourront que regarder lorsque cette option est activée (quelle que soit la façon dont ils sont réglés). Il correspond aux commandes "-R viewonly" et "-R noviewonly" | " => suggestions : ['\xa0»', '”']

40 Mot inconnu : Shared => ==== Shared ==== | shared

41 Guillemets typographiques ouvrants. => Ou "Partagés" | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. => Ou "Partagés" | " => suggestions : ['\xa0»', '”']

43 Après un point, une majuscule est généralement requise. => Permet de déterminer si plusieurs connexions simultanées sont autorisées. ou pas. Il correspond au "-R partagé" et au "-R partagé". les commandes à distance.  | ou => suggestions : ['Ou']
43 Guillemets typographiques fermants. => Permet de déterminer si plusieurs connexions simultanées sont autorisées. ou pas. Il correspond au "-R partagé" et au "-R partagé". les commandes à distance.  | " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques fermants. => Permet de déterminer si plusieurs connexions simultanées sont autorisées. ou pas. Il correspond au "-R partagé" et au "-R partagé". les commandes à distance.  | " => suggestions : ['\xa0»', '”']
43 Espace(s) en fin de ligne à supprimer. => Permet de déterminer si plusieurs connexions simultanées sont autorisées. ou pas. Il correspond au "-R partagé" et au "-R partagé". les commandes à distance.  |   => suggestions : ['']

45 Mot inconnu : Advertise => ==== Advertise Service (Zeroconf) ==== | advertise
45 Mot inconnu : Zeroconf => ==== Advertise Service (Zeroconf) ==== | zeroconf

46 Guillemets typographiques ouvrants. => Ou "Découverte de service (Zeroconf)". | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : Zeroconf => Ou "Découverte de service (Zeroconf)". | zeroconf

48 Mot inconnu : VNC => Permet de déterminer si ce serveur VNC doit se faire connaître sur le réseau via Zeroconf aussi appelé Bonjour, mDNS et avahi. Les utilisateurs de VNC peuvent alors trouver ce service sur le réseau local. Il correspond au "-R zeroconf". et "-R nozeroconf".  | vnc
48 Mot inconnu : Zeroconf => Permet de déterminer si ce serveur VNC doit se faire connaître sur le réseau via Zeroconf aussi appelé Bonjour, mDNS et avahi. Les utilisateurs de VNC peuvent alors trouver ce service sur le réseau local. Il correspond au "-R zeroconf". et "-R nozeroconf".  | zeroconf
48 Mot inconnu : mDNS => Permet de déterminer si ce serveur VNC doit se faire connaître sur le réseau via Zeroconf aussi appelé Bonjour, mDNS et avahi. Les utilisateurs de VNC peuvent alors trouver ce service sur le réseau local. Il correspond au "-R zeroconf". et "-R nozeroconf".  | mdns
48 Mot inconnu : avahi => Permet de déterminer si ce serveur VNC doit se faire connaître sur le réseau via Zeroconf aussi appelé Bonjour, mDNS et avahi. Les utilisateurs de VNC peuvent alors trouver ce service sur le réseau local. Il correspond au "-R zeroconf". et "-R nozeroconf".  | avahi
48 Mot inconnu : VNC => Permet de déterminer si ce serveur VNC doit se faire connaître sur le réseau via Zeroconf aussi appelé Bonjour, mDNS et avahi. Les utilisateurs de VNC peuvent alors trouver ce service sur le réseau local. Il correspond au "-R zeroconf". et "-R nozeroconf".  | vnc
48 Mot inconnu : zeroconf => Permet de déterminer si ce serveur VNC doit se faire connaître sur le réseau via Zeroconf aussi appelé Bonjour, mDNS et avahi. Les utilisateurs de VNC peuvent alors trouver ce service sur le réseau local. Il correspond au "-R zeroconf". et "-R nozeroconf".  | zeroconf
48 Guillemets typographiques fermants. => Permet de déterminer si ce serveur VNC doit se faire connaître sur le réseau via Zeroconf aussi appelé Bonjour, mDNS et avahi. Les utilisateurs de VNC peuvent alors trouver ce service sur le réseau local. Il correspond au "-R zeroconf". et "-R nozeroconf".  | " => suggestions : ['\xa0»', '”']
48 Mot inconnu : nozeroconf => Permet de déterminer si ce serveur VNC doit se faire connaître sur le réseau via Zeroconf aussi appelé Bonjour, mDNS et avahi. Les utilisateurs de VNC peuvent alors trouver ce service sur le réseau local. Il correspond au "-R zeroconf". et "-R nozeroconf".  | nozeroconf
48 Guillemets typographiques fermants. => Permet de déterminer si ce serveur VNC doit se faire connaître sur le réseau via Zeroconf aussi appelé Bonjour, mDNS et avahi. Les utilisateurs de VNC peuvent alors trouver ce service sur le réseau local. Il correspond au "-R zeroconf". et "-R nozeroconf".  | " => suggestions : ['\xa0»', '”']
48 Espace(s) en fin de ligne à supprimer. => Permet de déterminer si ce serveur VNC doit se faire connaître sur le réseau via Zeroconf aussi appelé Bonjour, mDNS et avahi. Les utilisateurs de VNC peuvent alors trouver ce service sur le réseau local. Il correspond au "-R zeroconf". et "-R nozeroconf".  |   => suggestions : ['']

50 Mot inconnu : Viewer => ==== Serve Java Viewer Applet ==== | viewer

51 Guillemets typographiques ouvrants. => Ou "Fournir l'applet de visionnage Java". | " => suggestions : ['«\xa0', '“']
51 Guillemets typographiques fermants. => Ou "Fournir l'applet de visionnage Java". | " => suggestions : ['\xa0»', '”']

53 Mot inconnu : VNC => Permet de déterminer si ce serveur VNC doit fournir un visualiseur Java VNC Viewer. L'applet est accessible via HTTP sur http://hostname:5800/ (ou port 5800+n pour VNC 5900+n). Un navigateur Web compatible java peut alors se connecter à l'application par VNC. Si SSL est actif, l'URL HTTPS https://hostname:5900/ (etc.) fonctionneront également. Cela nécessite le fichier jar de la visionneuse java x11vnc (partagé/x11vnc/classes) à installer. Il correspond aux commandes "-R http" et "-R nohttp".  | vnc
53 Mot inconnu : VNC => Permet de déterminer si ce serveur VNC doit fournir un visualiseur Java VNC Viewer. L'applet est accessible via HTTP sur http://hostname:5800/ (ou port 5800+n pour VNC 5900+n). Un navigateur Web compatible java peut alors se connecter à l'application par VNC. Si SSL est actif, l'URL HTTPS https://hostname:5900/ (etc.) fonctionneront également. Cela nécessite le fichier jar de la visionneuse java x11vnc (partagé/x11vnc/classes) à installer. Il correspond aux commandes "-R http" et "-R nohttp".  | vnc
53 Mot inconnu : Viewer => Permet de déterminer si ce serveur VNC doit fournir un visualiseur Java VNC Viewer. L'applet est accessible via HTTP sur http://hostname:5800/ (ou port 5800+n pour VNC 5900+n). Un navigateur Web compatible java peut alors se connecter à l'application par VNC. Si SSL est actif, l'URL HTTPS https://hostname:5900/ (etc.) fonctionneront également. Cela nécessite le fichier jar de la visionneuse java x11vnc (partagé/x11vnc/classes) à installer. Il correspond aux commandes "-R http" et "-R nohttp".  | viewer
53 Mot inconnu : VNC => Permet de déterminer si ce serveur VNC doit fournir un visualiseur Java VNC Viewer. L'applet est accessible via HTTP sur http://hostname:5800/ (ou port 5800+n pour VNC 5900+n). Un navigateur Web compatible java peut alors se connecter à l'application par VNC. Si SSL est actif, l'URL HTTPS https://hostname:5900/ (etc.) fonctionneront également. Cela nécessite le fichier jar de la visionneuse java x11vnc (partagé/x11vnc/classes) à installer. Il correspond aux commandes "-R http" et "-R nohttp".  | vnc
53 Mot inconnu : VNC => Permet de déterminer si ce serveur VNC doit fournir un visualiseur Java VNC Viewer. L'applet est accessible via HTTP sur http://hostname:5800/ (ou port 5800+n pour VNC 5900+n). Un navigateur Web compatible java peut alors se connecter à l'application par VNC. Si SSL est actif, l'URL HTTPS https://hostname:5900/ (etc.) fonctionneront également. Cela nécessite le fichier jar de la visionneuse java x11vnc (partagé/x11vnc/classes) à installer. Il correspond aux commandes "-R http" et "-R nohttp".  | vnc
53 Mot inconnu : SSL => Permet de déterminer si ce serveur VNC doit fournir un visualiseur Java VNC Viewer. L'applet est accessible via HTTP sur http://hostname:5800/ (ou port 5800+n pour VNC 5900+n). Un navigateur Web compatible java peut alors se connecter à l'application par VNC. Si SSL est actif, l'URL HTTPS https://hostname:5900/ (etc.) fonctionneront également. Cela nécessite le fichier jar de la visionneuse java x11vnc (partagé/x11vnc/classes) à installer. Il correspond aux commandes "-R http" et "-R nohttp".  | ssl
53 Mot inconnu : x11vnc => Permet de déterminer si ce serveur VNC doit fournir un visualiseur Java VNC Viewer. L'applet est accessible via HTTP sur http://hostname:5800/ (ou port 5800+n pour VNC 5900+n). Un navigateur Web compatible java peut alors se connecter à l'application par VNC. Si SSL est actif, l'URL HTTPS https://hostname:5900/ (etc.) fonctionneront également. Cela nécessite le fichier jar de la visionneuse java x11vnc (partagé/x11vnc/classes) à installer. Il correspond aux commandes "-R http" et "-R nohttp".  | x11vnc
53 Mot inconnu : x11vnc => Permet de déterminer si ce serveur VNC doit fournir un visualiseur Java VNC Viewer. L'applet est accessible via HTTP sur http://hostname:5800/ (ou port 5800+n pour VNC 5900+n). Un navigateur Web compatible java peut alors se connecter à l'application par VNC. Si SSL est actif, l'URL HTTPS https://hostname:5900/ (etc.) fonctionneront également. Cela nécessite le fichier jar de la visionneuse java x11vnc (partagé/x11vnc/classes) à installer. Il correspond aux commandes "-R http" et "-R nohttp".  | x11vnc
53 Guillemets typographiques fermants. => Permet de déterminer si ce serveur VNC doit fournir un visualiseur Java VNC Viewer. L'applet est accessible via HTTP sur http://hostname:5800/ (ou port 5800+n pour VNC 5900+n). Un navigateur Web compatible java peut alors se connecter à l'application par VNC. Si SSL est actif, l'URL HTTPS https://hostname:5900/ (etc.) fonctionneront également. Cela nécessite le fichier jar de la visionneuse java x11vnc (partagé/x11vnc/classes) à installer. Il correspond aux commandes "-R http" et "-R nohttp".  | " => suggestions : ['\xa0»', '”']
53 Mot inconnu : nohttp => Permet de déterminer si ce serveur VNC doit fournir un visualiseur Java VNC Viewer. L'applet est accessible via HTTP sur http://hostname:5800/ (ou port 5800+n pour VNC 5900+n). Un navigateur Web compatible java peut alors se connecter à l'application par VNC. Si SSL est actif, l'URL HTTPS https://hostname:5900/ (etc.) fonctionneront également. Cela nécessite le fichier jar de la visionneuse java x11vnc (partagé/x11vnc/classes) à installer. Il correspond aux commandes "-R http" et "-R nohttp".  | nohttp
53 Guillemets typographiques fermants. => Permet de déterminer si ce serveur VNC doit fournir un visualiseur Java VNC Viewer. L'applet est accessible via HTTP sur http://hostname:5800/ (ou port 5800+n pour VNC 5900+n). Un navigateur Web compatible java peut alors se connecter à l'application par VNC. Si SSL est actif, l'URL HTTPS https://hostname:5900/ (etc.) fonctionneront également. Cela nécessite le fichier jar de la visionneuse java x11vnc (partagé/x11vnc/classes) à installer. Il correspond aux commandes "-R http" et "-R nohttp".  | " => suggestions : ['\xa0»', '”']
53 Espace(s) en fin de ligne à supprimer. => Permet de déterminer si ce serveur VNC doit fournir un visualiseur Java VNC Viewer. L'applet est accessible via HTTP sur http://hostname:5800/ (ou port 5800+n pour VNC 5900+n). Un navigateur Web compatible java peut alors se connecter à l'application par VNC. Si SSL est actif, l'URL HTTPS https://hostname:5900/ (etc.) fonctionneront également. Cela nécessite le fichier jar de la visionneuse java x11vnc (partagé/x11vnc/classes) à installer. Il correspond aux commandes "-R http" et "-R nohttp".  |   => suggestions : ['']

55 Mot inconnu : Solid => ==== Solid Background Color ==== | solid
55 Mot inconnu : Color => ==== Solid Background Color ==== | color

56 Guillemets typographiques ouvrants. => Ou "Couleur d'arrière-plan solide" | " => suggestions : ['«\xa0', '“']
56 Guillemets typographiques fermants. => Ou "Couleur d'arrière-plan solide" | " => suggestions : ['\xa0»', '”']

58 Mot inconnu : VNC => Permet d'améliorer les performances de la VNC. Si cette option est activée, x11vnc essaiera d'utiliser l'arrière-plan du bureau comme une couleur unie (ce qui comprime considérablement l'image). Il correspond aux commandes "-R solid" et "-R nosolid". | vnc
58 Mot inconnu : x11vnc => Permet d'améliorer les performances de la VNC. Si cette option est activée, x11vnc essaiera d'utiliser l'arrière-plan du bureau comme une couleur unie (ce qui comprime considérablement l'image). Il correspond aux commandes "-R solid" et "-R nosolid". | x11vnc
58 Mot inconnu : solid => Permet d'améliorer les performances de la VNC. Si cette option est activée, x11vnc essaiera d'utiliser l'arrière-plan du bureau comme une couleur unie (ce qui comprime considérablement l'image). Il correspond aux commandes "-R solid" et "-R nosolid". | solid
58 Guillemets typographiques fermants. => Permet d'améliorer les performances de la VNC. Si cette option est activée, x11vnc essaiera d'utiliser l'arrière-plan du bureau comme une couleur unie (ce qui comprime considérablement l'image). Il correspond aux commandes "-R solid" et "-R nosolid". | " => suggestions : ['\xa0»', '”']
58 Mot inconnu : nosolid => Permet d'améliorer les performances de la VNC. Si cette option est activée, x11vnc essaiera d'utiliser l'arrière-plan du bureau comme une couleur unie (ce qui comprime considérablement l'image). Il correspond aux commandes "-R solid" et "-R nosolid". | nosolid
58 Guillemets typographiques fermants. => Permet d'améliorer les performances de la VNC. Si cette option est activée, x11vnc essaiera d'utiliser l'arrière-plan du bureau comme une couleur unie (ce qui comprime considérablement l'image). Il correspond aux commandes "-R solid" et "-R nosolid". | " => suggestions : ['\xa0»', '”']

60 Mot inconnu : Password => ==== Password ==== | password

61 Guillemets typographiques ouvrants. => Ou "Mot de passe" | " => suggestions : ['«\xa0', '“']
61 Guillemets typographiques fermants. => Ou "Mot de passe" | " => suggestions : ['\xa0»', '”']

63 Mot inconnu : x11vnc => Permet de définir le mot de passe de session que les utilisateurs peuvent utiliser pour obtenir un accès complet. À l'affichage. Cela ne fonctionnera que si x11vnc a été démarré avec graphiquement ou présent dans la zone de notification. | x11vnc

65 Guillemets typographiques ouvrants. => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | " => suggestions : ['«\xa0', '“']
65 Guillemets typographiques fermants. => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | " => suggestions : ['\xa0»', '”']
65 Mot inconnu : x11vnc => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | x11vnc
65 Mot inconnu : x11vnc => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | x11vnc
65 Il manque un espace à côté du tiret. => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> |  - => suggestions : [' – ', ' — ']
65 Mot inconnu : storepasswd => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | storepasswd
65 Mot inconnu : passwd => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | passwd
65 Il manque un espace à côté du tiret. => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> |  - => suggestions : [' – ', ' — ']
65 Mot inconnu : rfbauth => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | rfbauth

68 Mot inconnu : ViewOnly => ==== ViewOnly Password ==== | viewonly
68 Mot inconnu : Password => ==== ViewOnly Password ==== | password

69 Guillemets typographiques ouvrants. => Ou "Mot de passe en mode visualisation". | " => suggestions : ['«\xa0', '“']
69 Guillemets typographiques fermants. => Ou "Mot de passe en mode visualisation". | " => suggestions : ['\xa0»', '”']

71 Après un point, une majuscule est généralement requise. => Permet de définir le mot de passe de session que les utilisateurs peuvent utiliser pour n'avoir accès qu'à l'affichage. l'accès à l'écran. Cela ne fonctionnera que si x11vnc a été démarré avec graphiquement ou présent dans la zone de notification. | l => suggestions : ['L']
71 Mot inconnu : x11vnc => Permet de définir le mot de passe de session que les utilisateurs peuvent utiliser pour n'avoir accès qu'à l'affichage. l'accès à l'écran. Cela ne fonctionnera que si x11vnc a été démarré avec graphiquement ou présent dans la zone de notification. | x11vnc

73 Guillemets typographiques ouvrants. => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | " => suggestions : ['«\xa0', '“']
73 Guillemets typographiques fermants. => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | " => suggestions : ['\xa0»', '”']
73 Mot inconnu : x11vnc => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | x11vnc
73 Mot inconnu : x11vnc => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | x11vnc
73 Il manque un espace à côté du tiret. => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> |  - => suggestions : [' – ', ' — ']
73 Mot inconnu : storepasswd => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | storepasswd
73 Mot inconnu : passwd => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | passwd
73 Il manque un espace à côté du tiret. => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> |  - => suggestions : [' – ', ' — ']
73 Mot inconnu : rfbauth => <note>Ces mots de passe "session" ne durent que pour le x11vnc actuel, ils ne sont pas mémorisés. Pour les mémoriser, consultez les options de x11vnc -storepasswd, -passwd, et -rfbauth.</note> | rfbauth

76 Mot inconnu : x11vnc => Vous pouvez utiliser l'interface graphique de x11vnc disponible maintenant dans votre menu applications. | x11vnc

82 Mot inconnu : password => === Générez un fichier password === | password

84 Mot inconnu : x11vnc => Pour protéger l'accès à votre ordinateur il est fortement recommandé de créer un mot de passe qui sera sauvegardé dans un fichier. Ce fichier sera appelé ultérieurement lors de l'exécution de x11vnc. Veillez à sauvegarder votre fichier dans un emplacement compatible avec votre configuration (votre dossier utilisateur ou un autre emplacement du système). | x11vnc

86 Accord avec la forme verbale “seront” : “modifié” devrait être au pluriel. => Dans l'exemple ci-dessous, le fichier sera sauvegardé à la racine de votre dossier utilisateur et les droits d'accès seront modifié en accès complet pour le propriétaire et lecture + exécution pour le groupe. Le groupe public n'aura aucun accès au fichier. | modifié => suggestions : ['modifiés']

90 Il manque un espace à côté du tiret. => Vous pouvez changer les droits d'accès du fichier de mot de passe en octal à 750 ou en symbolique à -rwxr-x--- |  - => suggestions : [' – ', ' — ']
90 Mot inconnu : rwxr-x => Vous pouvez changer les droits d'accès du fichier de mot de passe en octal à 750 ou en symbolique à -rwxr-x--- | rwxr-x

97 Mot inconnu : x11vnc => Ensuite lancez x11vnc en tapant dans un terminal: | x11vnc

101 Mot inconnu : x11vnc => Il est également possible de créer un alias vers la commande précédente permettant d'exécuter x11vnc plus rapidement | x11vnc

107 Mot inconnu : x11vnc => Vous pouvez maintenant ajouter x11vnc à vos "Applications au démarrage" en y ajoutant la commande de lancement citée juste au dessus comme indiqué dans le tutoriel [[tutoriel:application_demarrage|ajouter une application au démarrage de la session]] | x11vnc
107 Guillemets typographiques ouvrants. => Vous pouvez maintenant ajouter x11vnc à vos "Applications au démarrage" en y ajoutant la commande de lancement citée juste au dessus comme indiqué dans le tutoriel [[tutoriel:application_demarrage|ajouter une application au démarrage de la session]] | " => suggestions : ['«\xa0', '“']
107 Guillemets typographiques fermants. => Vous pouvez maintenant ajouter x11vnc à vos "Applications au démarrage" en y ajoutant la commande de lancement citée juste au dessus comme indiqué dans le tutoriel [[tutoriel:application_demarrage|ajouter une application au démarrage de la session]] | " => suggestions : ['\xa0»', '”']
