
5 Mot inconnu : Creatures => ====== Creatures : Docking Station ====== | creatures
73 Mot inconnu : SIGINT => === trap: 119: SIGINT: bad trap === | sigint
73 Mot inconnu : trap => === trap: 119: SIGINT: bad trap === | trap

76 Mot inconnu : trap => > trap: 119: SIGINT: bad trap | trap
76 Mot inconnu : SIGINT => > trap: 119: SIGINT: bad trap | sigint
76 Mot inconnu : trap => > trap: 119: SIGINT: bad trap | trap

84 Mot inconnu : dirname => === dirname: opérande manquante === | dirname
84 Accord de genre erroné avec « opérande ». => === dirname: opérande manquante === | manquante => suggestions : ['manquant']

86 Mot inconnu : Docking => <note important>Si vous êtes encore à l'étape d'installation de Docking Station, lisez la suite de cette documentation avant de revenir à ce paragraphe.</note> | docking

88 Mot inconnu : Docking => Lors du premier lancement de Docking Station, il se peut que cette erreur survienne : | docking

90 Mot inconnu : dirname => >  dirname: opérande manquante | dirname
90 Accord de genre erroné avec « opérande ». => >  dirname: opérande manquante | manquante => suggestions : ['manquant']

105 S’il s’agit d’un impératif, mettez un trait d’union. => Une fois le jeu installé, lancez le par la commande dans un terminal : | lancez le => suggestions : ['lancez-le']

111 Mot inconnu : dirname => >  dirname: opérande manquante | dirname
111 Accord de genre erroné avec « opérande ». => >  dirname: opérande manquante | manquante => suggestions : ['manquant']

123 Mot inconnu : Creatures => ===== Fusionner DS avec Creatures 3 ===== | creatures

125 Mot inconnu : Docking => **Docking Station** est au départ conçu pour être "docké" (c'est-à-dire assemblé/fusionné) avec le jeu complet payant **Creatures 3** qui contient plus de mondes et de races de créatures. Il existe un installateur de ce jeu pour les systèmes Linux. Bien évidemment, vous devez disposer du CD du jeu **Creatures3**. | docking
125 Guillemets typographiques ouvrants. => **Docking Station** est au départ conçu pour être "docké" (c'est-à-dire assemblé/fusionné) avec le jeu complet payant **Creatures 3** qui contient plus de mondes et de races de créatures. Il existe un installateur de ce jeu pour les systèmes Linux. Bien évidemment, vous devez disposer du CD du jeu **Creatures3**. | " => suggestions : ['«\xa0', '“']
125 Mot inconnu : docké => **Docking Station** est au départ conçu pour être "docké" (c'est-à-dire assemblé/fusionné) avec le jeu complet payant **Creatures 3** qui contient plus de mondes et de races de créatures. Il existe un installateur de ce jeu pour les systèmes Linux. Bien évidemment, vous devez disposer du CD du jeu **Creatures3**. | docké
125 Guillemets typographiques fermants. => **Docking Station** est au départ conçu pour être "docké" (c'est-à-dire assemblé/fusionné) avec le jeu complet payant **Creatures 3** qui contient plus de mondes et de races de créatures. Il existe un installateur de ce jeu pour les systèmes Linux. Bien évidemment, vous devez disposer du CD du jeu **Creatures3**. | " => suggestions : ['\xa0»', '”']
125 Mot inconnu : Creatures => **Docking Station** est au départ conçu pour être "docké" (c'est-à-dire assemblé/fusionné) avec le jeu complet payant **Creatures 3** qui contient plus de mondes et de races de créatures. Il existe un installateur de ce jeu pour les systèmes Linux. Bien évidemment, vous devez disposer du CD du jeu **Creatures3**. | creatures
125 Mot inconnu : Creatures3 => **Docking Station** est au départ conçu pour être "docké" (c'est-à-dire assemblé/fusionné) avec le jeu complet payant **Creatures 3** qui contient plus de mondes et de races de créatures. Il existe un installateur de ce jeu pour les systèmes Linux. Bien évidemment, vous devez disposer du CD du jeu **Creatures3**. | creatures3

127 Mot inconnu : Creatures => Je vous propose une version toute cuisinée prête à installer qui comprend le Creatures 3 Update 2 et le fichier setup.sh pré-modifié. | creatures
127 Mot inconnu : Update => Je vous propose une version toute cuisinée prête à installer qui comprend le Creatures 3 Update 2 et le fichier setup.sh pré-modifié. | update
127 Mot inconnu : setup => Je vous propose une version toute cuisinée prête à installer qui comprend le Creatures 3 Update 2 et le fichier setup.sh pré-modifié. | setup
127 Mot inconnu : sh => Je vous propose une version toute cuisinée prête à installer qui comprend le Creatures 3 Update 2 et le fichier setup.sh pré-modifié. | sh

139 Mot inconnu : Creatures3 => Insérer votre CD de **Creatures3**. | creatures3

141 Mot inconnu : setup => <note important>Avant de procéder au lancement de l'installation, il faut modifier dans le script la ligne de l'interpréteur pour éviter l'erreur d'exécution. Dans votre terminal ou dossier, ouvrez setup.sh avec gedit | setup
141 Mot inconnu : sh => <note important>Avant de procéder au lancement de l'installation, il faut modifier dans le script la ligne de l'interpréteur pour éviter l'erreur d'exécution. Dans votre terminal ou dossier, ouvrez setup.sh avec gedit | sh
141 Mot inconnu : gedit => <note important>Avant de procéder au lancement de l'installation, il faut modifier dans le script la ligne de l'interpréteur pour éviter l'erreur d'exécution. Dans votre terminal ou dossier, ouvrez setup.sh avec gedit | gedit

151 Guillemets typographiques ouvrants. => Validez les différentes étapes, en principe il n'y a rien à modifier, juste à confirmer les choix avec "Y" et presser "Entrée". | " => suggestions : ['«\xa0', '“']
151 Guillemets typographiques fermants. => Validez les différentes étapes, en principe il n'y a rien à modifier, juste à confirmer les choix avec "Y" et presser "Entrée". | " => suggestions : ['\xa0»', '”']
151 Guillemets typographiques ouvrants. => Validez les différentes étapes, en principe il n'y a rien à modifier, juste à confirmer les choix avec "Y" et presser "Entrée". | " => suggestions : ['«\xa0', '“']
151 Guillemets typographiques fermants. => Validez les différentes étapes, en principe il n'y a rien à modifier, juste à confirmer les choix avec "Y" et presser "Entrée". | " => suggestions : ['\xa0»', '”']

153 Mot inconnu : Creatures => L'installation nécessite la présence d'une mise à jour du jeu Creatures 3, la Creatures 3 Update 2. [[http://creatures.treesprite.com/Upgrades/C3/creatures3_update2.exe|Cliquez-ici]] pour la télécharger. Une fois le fichier récupéré, placez-le dans le dossier **c3installer-patch** précédemment extrait. | creatures
153 Mot inconnu : Creatures => L'installation nécessite la présence d'une mise à jour du jeu Creatures 3, la Creatures 3 Update 2. [[http://creatures.treesprite.com/Upgrades/C3/creatures3_update2.exe|Cliquez-ici]] pour la télécharger. Une fois le fichier récupéré, placez-le dans le dossier **c3installer-patch** précédemment extrait. | creatures
153 Mot inconnu : Update => L'installation nécessite la présence d'une mise à jour du jeu Creatures 3, la Creatures 3 Update 2. [[http://creatures.treesprite.com/Upgrades/C3/creatures3_update2.exe|Cliquez-ici]] pour la télécharger. Une fois le fichier récupéré, placez-le dans le dossier **c3installer-patch** précédemment extrait. | update
153 Mot inconnu : c3installer-patch => L'installation nécessite la présence d'une mise à jour du jeu Creatures 3, la Creatures 3 Update 2. [[http://creatures.treesprite.com/Upgrades/C3/creatures3_update2.exe|Cliquez-ici]] pour la télécharger. Une fois le fichier récupéré, placez-le dans le dossier **c3installer-patch** précédemment extrait. | c3installer-patch

156 Mot inconnu : Creatures => > Creatures 3 Installation completed successfully. | creatures
156 Accord de nombre erroné avec « 3 » : « Installation » devrait être au pluriel. => > Creatures 3 Installation completed successfully. | installation => suggestions : ['Installations']
156 Mot inconnu : completed => > Creatures 3 Installation completed successfully. | completed
156 Mot inconnu : successfully => > Creatures 3 Installation completed successfully. | successfully

163 Mot inconnu : Docking => Au premier lancement de Docking Station + Creatures 3 docké, vous obtiendrez cette erreur récurrente dans le terminal: | docking
163 Mot inconnu : Creatures => Au premier lancement de Docking Station + Creatures 3 docké, vous obtiendrez cette erreur récurrente dans le terminal: | creatures
163 Mot inconnu : docké => Au premier lancement de Docking Station + Creatures 3 docké, vous obtiendrez cette erreur récurrente dans le terminal: | docké

164 Mot inconnu : Tried => > Tried to read auxiliary 2 when we only have 1 for directory 9 | tried
164 Mot inconnu : to => > Tried to read auxiliary 2 when we only have 1 for directory 9 | to
164 Mot inconnu : read => > Tried to read auxiliary 2 when we only have 1 for directory 9 | read
164 Mot inconnu : auxiliary => > Tried to read auxiliary 2 when we only have 1 for directory 9 | auxiliary
164 Mot inconnu : when => > Tried to read auxiliary 2 when we only have 1 for directory 9 | when
164 Mot inconnu : we => > Tried to read auxiliary 2 when we only have 1 for directory 9 | we
164 Mot inconnu : only => > Tried to read auxiliary 2 when we only have 1 for directory 9 | only
164 Mot inconnu : directory => > Tried to read auxiliary 2 when we only have 1 for directory 9 | directory

170 Mot inconnu : dockingstation => Dans un premier temps, supprimer le dossier caché (CTRL+H pour le faire apparaître) nommé **.dockingstation** qui se trouve dans votre répertoire personnel. | dockingstation

180 Mot inconnu : gedit => Enregistrez le fichier, fermez gedit et relancez le jeu dans votre terminal avec la commande citée au début de cette partie. | gedit

183 Guillemets typographiques ouvrants. => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | " => suggestions : ['«\xa0', '“']
183 Guillemets typographiques fermants. => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | " => suggestions : ['\xa0»', '”']
183 Mot inconnu : C3 => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | c3
183 Confusion probable. Dans cette locution, il faut employer “ce”. => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | se => suggestions : ['ce']
183 Guillemets typographiques ouvrants. => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | " => suggestions : ['«\xa0', '“']
183 Guillemets typographiques fermants. => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | " => suggestions : ['\xa0»', '”']
183 Guillemets typographiques ouvrants. => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | " => suggestions : ['«\xa0', '“']
183 Mot inconnu : Capillata => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | capillata
183 Guillemets typographiques fermants. => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | " => suggestions : ['\xa0»', '”']
183 Guillemets typographiques ouvrants. => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | " => suggestions : ['«\xa0', '“']
183 Mot inconnu : Capillata => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | capillata
183 Mot inconnu : Shee => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | shee
183 Guillemets typographiques fermants. => Pour pouvoir accéder au jeu précédemment installé, il vous faudra créer un monde "combiné" qui réunit les deux univers DS et C3. Pour se faire, lorsque vous arrivez dans la fenêtre "Créer un nouveau monde", cliquez sur le gros bouton du milieu pour passer de "Capillata seulement" à "Capillata arrimé avec le vaisseau Shee". | " => suggestions : ['\xa0»', '”']
