
5 Mot inconnu : KiCad => ====== KiCad ====== | kicad
62 Mot inconnu : Eeschema => Le gestionnaire de projets, **Kicad**, permet la sélection rapide d'un projet et le lancement de l'utilitaire nécessaire (**Eeschema**, **PcbNew**, ...). Cette suite logicielle est diffusée gratuitement en open source sous licence **GPL** par le **LIS** à toutes les personnes intéressées. Elle est destinée à toute personne ayant à créer et réaliser des circuits imprimés simples ou complexes. | eeschema
62 Mot inconnu : PcbNew => Le gestionnaire de projets, **Kicad**, permet la sélection rapide d'un projet et le lancement de l'utilitaire nécessaire (**Eeschema**, **PcbNew**, ...). Cette suite logicielle est diffusée gratuitement en open source sous licence **GPL** par le **LIS** à toutes les personnes intéressées. Elle est destinée à toute personne ayant à créer et réaliser des circuits imprimés simples ou complexes. | pcbnew
62 Une de ces ponctuations est superflue. => Le gestionnaire de projets, **Kicad**, permet la sélection rapide d'un projet et le lancement de l'utilitaire nécessaire (**Eeschema**, **PcbNew**, ...). Cette suite logicielle est diffusée gratuitement en open source sous licence **GPL** par le **LIS** à toutes les personnes intéressées. Elle est destinée à toute personne ayant à créer et réaliser des circuits imprimés simples ou complexes. | , . => suggestions : [',', '.']
62 Typographie : points de suspension. Utilisez le caractère dédié. => Le gestionnaire de projets, **Kicad**, permet la sélection rapide d'un projet et le lancement de l'utilitaire nécessaire (**Eeschema**, **PcbNew**, ...). Cette suite logicielle est diffusée gratuitement en open source sous licence **GPL** par le **LIS** à toutes les personnes intéressées. Elle est destinée à toute personne ayant à créer et réaliser des circuits imprimés simples ou complexes. | ... => suggestions : ['…']

64 Mot inconnu : WXWIDGETS => Ces logiciels (ils sont basés sur **WXWIDGETS**) sont **MULTIPLATE-FORME**, tournent sous **LINUX** et **Windows** et sont maintenus régulièrement. | wxwidgets

66 Mot inconnu : précompilée => La version précompilée **Linux** est testée sous **Mandrake 9.2**. Elle a été également testée sous **FreeBSD**. | précompilée
66 Mot inconnu : Mandrake => La version précompilée **Linux** est testée sous **Mandrake 9.2**. Elle a été également testée sous **FreeBSD**. | mandrake

70 Mot inconnu : kicad => //**kicad** (gestionnaire de projet)// | kicad

72 Mot inconnu : multifeuilles => La schématique permet la conception de schémas simples ou en hiérarchie (multifeuilles), le contrôle de vraisemblance (**ERC**) et la génération de netlistes pour **PcbNew**, ainsi que pour la simulation **Spice**. | multifeuilles
72 Mot inconnu : ERC => La schématique permet la conception de schémas simples ou en hiérarchie (multifeuilles), le contrôle de vraisemblance (**ERC**) et la génération de netlistes pour **PcbNew**, ainsi que pour la simulation **Spice**. | erc
72 Mot inconnu : netlistes => La schématique permet la conception de schémas simples ou en hiérarchie (multifeuilles), le contrôle de vraisemblance (**ERC**) et la génération de netlistes pour **PcbNew**, ainsi que pour la simulation **Spice**. | netlistes
72 Mot inconnu : PcbNew => La schématique permet la conception de schémas simples ou en hiérarchie (multifeuilles), le contrôle de vraisemblance (**ERC**) et la génération de netlistes pour **PcbNew**, ainsi que pour la simulation **Spice**. | pcbnew
72 Mot inconnu : Spice => La schématique permet la conception de schémas simples ou en hiérarchie (multifeuilles), le contrôle de vraisemblance (**ERC**) et la génération de netlistes pour **PcbNew**, ainsi que pour la simulation **Spice**. | spice

78 Mot inconnu : Eeschema => //**Eeschema**// | eeschema

82 Accord de nombre erroné : « composant » devrait être au pluriel. => //Édition des composant// | composant => suggestions : ['composants']

84 Mot inconnu : Pcbnew => Le logiciel de réalisation de circuits imprimés **Pcbnew** travaille sur 1 à 16 couches de cuivre plus 12 couches techniques (vernis, masques de soudure ...) et génère automatiquement tous les documents nécessaires à la réalisation des circuits ( fichiers **GERBER** de phototraçage, perçage et placement des composants, ainsi que des fichiers de traçage **PostScript** pour la réalisation de prototypes plus adaptés aux moyens mis en oeuvre dans les établissements d'enseignement). | pcbnew
84 Typographie : points de suspension. Utilisez le caractère dédié. => Le logiciel de réalisation de circuits imprimés **Pcbnew** travaille sur 1 à 16 couches de cuivre plus 12 couches techniques (vernis, masques de soudure ...) et génère automatiquement tous les documents nécessaires à la réalisation des circuits ( fichiers **GERBER** de phototraçage, perçage et placement des composants, ainsi que des fichiers de traçage **PostScript** pour la réalisation de prototypes plus adaptés aux moyens mis en oeuvre dans les établissements d'enseignement). | ... => suggestions : ['…']
84 Pas d’espace après ce signe. => Le logiciel de réalisation de circuits imprimés **Pcbnew** travaille sur 1 à 16 couches de cuivre plus 12 couches techniques (vernis, masques de soudure ...) et génère automatiquement tous les documents nécessaires à la réalisation des circuits ( fichiers **GERBER** de phototraçage, perçage et placement des composants, ainsi que des fichiers de traçage **PostScript** pour la réalisation de prototypes plus adaptés aux moyens mis en oeuvre dans les établissements d'enseignement). | (  => suggestions : ['(']
84 Mot inconnu : phototraçage => Le logiciel de réalisation de circuits imprimés **Pcbnew** travaille sur 1 à 16 couches de cuivre plus 12 couches techniques (vernis, masques de soudure ...) et génère automatiquement tous les documents nécessaires à la réalisation des circuits ( fichiers **GERBER** de phototraçage, perçage et placement des composants, ainsi que des fichiers de traçage **PostScript** pour la réalisation de prototypes plus adaptés aux moyens mis en oeuvre dans les établissements d'enseignement). | phototraçage
84 Mot inconnu : oeuvre => Le logiciel de réalisation de circuits imprimés **Pcbnew** travaille sur 1 à 16 couches de cuivre plus 12 couches techniques (vernis, masques de soudure ...) et génère automatiquement tous les documents nécessaires à la réalisation des circuits ( fichiers **GERBER** de phototraçage, perçage et placement des composants, ainsi que des fichiers de traçage **PostScript** pour la réalisation de prototypes plus adaptés aux moyens mis en oeuvre dans les établissements d'enseignement). | oeuvre

86 Mot inconnu : OpenGL => La visualisation en **3 dimensions** (sous **OpenGL**) du circuit et des composants est possible. | opengl

90 Mot inconnu : PcbNew => //**PcbNew**// | pcbnew

98 Mot inconnu : Pcbnew => //**Pcbnew** : Visualisation 3D// | pcbnew

102 Mot inconnu : Gerbview => //**Gerbview** : Visualisation de fichiers **GERBER**// | gerbview

106 Mot inconnu : Eeschema => **Eeschema** et **PcbNew** gèrent de façon efficace les librairies de composants et de modules : | eeschema
106 Mot inconnu : PcbNew => **Eeschema** et **PcbNew** gèrent de façon efficace les librairies de composants et de modules : | pcbnew

108 Il manque un espace. => On peut créer, modifier,échanger et supprimer facilement des éléments de ces librairies. | échanger => suggestions : [' échanger']

112 Mot inconnu : cms => Des librairies importantes, développées sur plusieurs années, sont disponibles, pour la schématique et pour les modules de circuits imprimés (composants classiques et **cms**). | cms

118 Mot inconnu : KiCad => Ils sont compris dans la suite KiCad et sont librement disponibles (licence **GNU**) : | kicad

120 Mot inconnu : Wyoeditor => **Wyoeditor** (éditeur de texte utilisé pour examiner les rapports) basé sur **Scintilla** et **wxWidgets** ([[http://wxguide.sourceforge.net/editor.html]]). | wyoeditor
120 Mot inconnu : wxWidgets => **Wyoeditor** (éditeur de texte utilisé pour examiner les rapports) basé sur **Scintilla** et **wxWidgets** ([[http://wxguide.sourceforge.net/editor.html]]). | wxwidgets

122 Mot inconnu : Wings3D => **Wings3D** : modeleur 3D pour les modules de **Pcbnew** ([[http://www.wings3d.com]]). | wings3d
122 Mot inconnu : Pcbnew => **Wings3D** : modeleur 3D pour les modules de **Pcbnew** ([[http://www.wings3d.com]]). | pcbnew

126 Mot inconnu : ePub => Elle est disponible en ligne en HTML, PDF, ePub : [[http://kicad-pcb.org/help/documentation/]] | epub

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://www.kicad.org/|Site officiel du logiciel]] |    => suggestions : ['']
