
4 Mot inconnu : RECOLL => ====== RECOLL ====== | recoll
44 Mot inconnu : recoll => On peut lancer recoll en mode texte, dans un terminal :  | recoll
44 Espace(s) en fin de ligne à supprimer. => On peut lancer recoll en mode texte, dans un terminal :  |   => suggestions : ['']

46 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => lancera l'interface graphique de recoll et affichera les fichiers ou répertoires contenant le mot-recherché, soit dans leur nom, soit dans leur contenu. Pour plus d'options, lancer dans le terminal (([[man>recoll]])) :  | lancera => suggestions : ['Lancera']
46 Mot inconnu : recoll => lancera l'interface graphique de recoll et affichera les fichiers ou répertoires contenant le mot-recherché, soit dans leur nom, soit dans leur contenu. Pour plus d'options, lancer dans le terminal (([[man>recoll]])) :  | recoll
46 Mot inconnu : recoll => lancera l'interface graphique de recoll et affichera les fichiers ou répertoires contenant le mot-recherché, soit dans leur nom, soit dans leur contenu. Pour plus d'options, lancer dans le terminal (([[man>recoll]])) :  | recoll
46 Espace(s) en fin de ligne à supprimer. => lancera l'interface graphique de recoll et affichera les fichiers ou répertoires contenant le mot-recherché, soit dans leur nom, soit dans leur contenu. Pour plus d'options, lancer dans le terminal (([[man>recoll]])) :  |   => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - manuellement (à la demande), |    => suggestions : ['']
53 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - manuellement (à la demande), |  -  => suggestions : [' – ', ' — ', ' − ']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - à heures fixes, |    => suggestions : ['']
54 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - à heures fixes, |  -  => suggestions : [' – ', ' — ', ' − ']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - en permanence, grâce à un programme lancé à chaque démarrage et qui réside en mémoire à l'arrière plan. |    => suggestions : ['']
55 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - en permanence, grâce à un programme lancé à chaque démarrage et qui réside en mémoire à l'arrière plan. |  -  => suggestions : [' – ', ' — ', ' − ']
55 Il manque probablement un trait d’union. =>   - en permanence, grâce à un programme lancé à chaque démarrage et qui réside en mémoire à l'arrière plan. | arrière plan => suggestions : ['arrière-plan']

57 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => La solution 3 est la plus simple et la plus efficace, mais consomme un peu plus de ressources mémoire et processeur. A éviter sur des machines trop anciennes. | a => suggestions : ['À']

59 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. => Le choix du mode d'indexation est proposé lors du 1er lancement de l'application. | 1er => suggestions : ['1ᵉʳ']

64 Mot inconnu : recoll => Comme indiqué précédemment, on lance normalement recoll pour faire une recherche indexée, et c'est donc dans ce logiciel qu'on tape sa recherche. Mais on peut aussi passer par une interface propre à l'environnement de bureau utilisé. | recoll

66 Mot inconnu : Unity => === Unity === | unity

73 Mot inconnu : dash => Pour l'utilisez, cliquez dessus, puis faites votre recherche dans la zone de recherche du dash. Le résultat s'affiche dans le dash, ce qui veut dire que vous ne disposez pas des options de l'interface native de recoll : filtre des résultats par catégories, trie des résultats par date, recherche avancée. Mais cela peut-être suffisant pour des recherches simples. | dash
73 Mot inconnu : dash => Pour l'utilisez, cliquez dessus, puis faites votre recherche dans la zone de recherche du dash. Le résultat s'affiche dans le dash, ce qui veut dire que vous ne disposez pas des options de l'interface native de recoll : filtre des résultats par catégories, trie des résultats par date, recherche avancée. Mais cela peut-être suffisant pour des recherches simples. | dash
73 Mot inconnu : recoll => Pour l'utilisez, cliquez dessus, puis faites votre recherche dans la zone de recherche du dash. Le résultat s'affiche dans le dash, ce qui veut dire que vous ne disposez pas des options de l'interface native de recoll : filtre des résultats par catégories, trie des résultats par date, recherche avancée. Mais cela peut-être suffisant pour des recherches simples. | recoll

75 Mot inconnu : Xfce => === Xfce / Xubuntu === | xfce
75 Mot inconnu : Xubuntu => === Xfce / Xubuntu === | xubuntu

76 Mot inconnu : recoll => Si on souhaite lancer une recherche recoll depuis le finder (xfce4-appfinder) de Xfce 4.10 et supérieur (Xubuntu 12.10 et après), il faut créer une **action personnalisée**. Pour cela, : | recoll
76 Mot inconnu : finder => Si on souhaite lancer une recherche recoll depuis le finder (xfce4-appfinder) de Xfce 4.10 et supérieur (Xubuntu 12.10 et après), il faut créer une **action personnalisée**. Pour cela, : | finder
76 Mot inconnu : xfce4-appfinder => Si on souhaite lancer une recherche recoll depuis le finder (xfce4-appfinder) de Xfce 4.10 et supérieur (Xubuntu 12.10 et après), il faut créer une **action personnalisée**. Pour cela, : | xfce4-appfinder
76 Mot inconnu : Xfce => Si on souhaite lancer une recherche recoll depuis le finder (xfce4-appfinder) de Xfce 4.10 et supérieur (Xubuntu 12.10 et après), il faut créer une **action personnalisée**. Pour cela, : | xfce
76 Mot inconnu : Xubuntu => Si on souhaite lancer une recherche recoll depuis le finder (xfce4-appfinder) de Xfce 4.10 et supérieur (Xubuntu 12.10 et après), il faut créer une **action personnalisée**. Pour cela, : | xubuntu
76 Une de ces ponctuations est superflue. => Si on souhaite lancer une recherche recoll depuis le finder (xfce4-appfinder) de Xfce 4.10 et supérieur (Xubuntu 12.10 et après), il faut créer une **action personnalisée**. Pour cela, : | , : => suggestions : [',', ':']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lancer xfce4-appfinder (sous-menu **Applications > liste des applications**),  |    => suggestions : ['']
77 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lancer xfce4-appfinder (sous-menu **Applications > liste des applications**),  |  -  => suggestions : [' – ', ' — ', ' − ']
77 Mot inconnu : xfce4-appfinder =>   - Lancer xfce4-appfinder (sous-menu **Applications > liste des applications**),  | xfce4-appfinder
77 Espace(s) en fin de ligne à supprimer. =>   - Lancer xfce4-appfinder (sous-menu **Applications > liste des applications**),  |   => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - cliquez sur le bouton **paramètres** de xfce4-appfinder,  |    => suggestions : ['']
78 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - cliquez sur le bouton **paramètres** de xfce4-appfinder,  |  -  => suggestions : [' – ', ' — ', ' − ']
78 Mot inconnu : xfce4-appfinder =>   - cliquez sur le bouton **paramètres** de xfce4-appfinder,  | xfce4-appfinder
78 Espace(s) en fin de ligne à supprimer. =>   - cliquez sur le bouton **paramètres** de xfce4-appfinder,  |   => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - puis allez dans l'onglet **actions personnalisées**,  |    => suggestions : ['']
79 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - puis allez dans l'onglet **actions personnalisées**,  |  -  => suggestions : [' – ', ' — ', ' − ']
79 Espace(s) en fin de ligne à supprimer. =>   - puis allez dans l'onglet **actions personnalisées**,  |   => suggestions : ['']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - puis y créer une action : |    => suggestions : ['']
80 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - puis y créer une action : |  -  => suggestions : [' – ', ' — ', ' − ']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * __type__ = **préfixe** ;  |       => suggestions : ['']
81 Mot inconnu : __type__ =>      * __type__ = **préfixe** ;  | __type__
81 Espace(s) en fin de ligne à supprimer. =>      * __type__ = **préfixe** ;  |   => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * __Motif__ = **s** (ou tout autre préfixe, c'est indifférent) ;  |       => suggestions : ['']
82 Mot inconnu : __Motif__ =>      * __Motif__ = **s** (ou tout autre préfixe, c'est indifférent) ;  | __motif__
82 Espace(s) en fin de ligne à supprimer. =>      * __Motif__ = **s** (ou tout autre préfixe, c'est indifférent) ;  |   => suggestions : ['']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * __commande__ = **recoll -q %s**.  |       => suggestions : ['']
83 Mot inconnu : __commande__ =>      * __commande__ = **recoll -q %s**.  | __commande__
83 Mot inconnu : recoll =>      * __commande__ = **recoll -q %s**.  | recoll
83 Il manque un espace à côté du tiret. =>      * __commande__ = **recoll -q %s**.  |  - => suggestions : [' – ', ' — ']
83 Il manque un espace. =>      * __commande__ = **recoll -q %s**.  | s => suggestions : [' s']
83 Espace(s) en fin de ligne à supprimer. =>      * __commande__ = **recoll -q %s**.  |   => suggestions : ['']

84 Mot inconnu : finder => Dès lors, il suffira de taper **s mot-recherché** dans le finder Xfce (en général lancé via **alt-F2**, ou par le sous-menu **Applications**), et  recoll se lancera automatiquement en affichant le résultat de la recherche. C'est similaire à la lens Unity permettant de faire une recherche depuis la zone de recherche du dash de Unity, avec l'avantage d'afficher le résultat dans recoll, c'est-à-dire avec toutes les options de sélection ou de tri. | finder
84 Mot inconnu : Xfce => Dès lors, il suffira de taper **s mot-recherché** dans le finder Xfce (en général lancé via **alt-F2**, ou par le sous-menu **Applications**), et  recoll se lancera automatiquement en affichant le résultat de la recherche. C'est similaire à la lens Unity permettant de faire une recherche depuis la zone de recherche du dash de Unity, avec l'avantage d'afficher le résultat dans recoll, c'est-à-dire avec toutes les options de sélection ou de tri. | xfce
84 Mot inconnu : alt-F2 => Dès lors, il suffira de taper **s mot-recherché** dans le finder Xfce (en général lancé via **alt-F2**, ou par le sous-menu **Applications**), et  recoll se lancera automatiquement en affichant le résultat de la recherche. C'est similaire à la lens Unity permettant de faire une recherche depuis la zone de recherche du dash de Unity, avec l'avantage d'afficher le résultat dans recoll, c'est-à-dire avec toutes les options de sélection ou de tri. | alt-f2
84 Espace(s) surnuméraire(s) à supprimer. => Dès lors, il suffira de taper **s mot-recherché** dans le finder Xfce (en général lancé via **alt-F2**, ou par le sous-menu **Applications**), et  recoll se lancera automatiquement en affichant le résultat de la recherche. C'est similaire à la lens Unity permettant de faire une recherche depuis la zone de recherche du dash de Unity, avec l'avantage d'afficher le résultat dans recoll, c'est-à-dire avec toutes les options de sélection ou de tri. |    => suggestions : [' ']
84 Mot inconnu : recoll => Dès lors, il suffira de taper **s mot-recherché** dans le finder Xfce (en général lancé via **alt-F2**, ou par le sous-menu **Applications**), et  recoll se lancera automatiquement en affichant le résultat de la recherche. C'est similaire à la lens Unity permettant de faire une recherche depuis la zone de recherche du dash de Unity, avec l'avantage d'afficher le résultat dans recoll, c'est-à-dire avec toutes les options de sélection ou de tri. | recoll
84 Mot inconnu : lens => Dès lors, il suffira de taper **s mot-recherché** dans le finder Xfce (en général lancé via **alt-F2**, ou par le sous-menu **Applications**), et  recoll se lancera automatiquement en affichant le résultat de la recherche. C'est similaire à la lens Unity permettant de faire une recherche depuis la zone de recherche du dash de Unity, avec l'avantage d'afficher le résultat dans recoll, c'est-à-dire avec toutes les options de sélection ou de tri. | lens
84 Mot inconnu : Unity => Dès lors, il suffira de taper **s mot-recherché** dans le finder Xfce (en général lancé via **alt-F2**, ou par le sous-menu **Applications**), et  recoll se lancera automatiquement en affichant le résultat de la recherche. C'est similaire à la lens Unity permettant de faire une recherche depuis la zone de recherche du dash de Unity, avec l'avantage d'afficher le résultat dans recoll, c'est-à-dire avec toutes les options de sélection ou de tri. | unity
84 Mot inconnu : dash => Dès lors, il suffira de taper **s mot-recherché** dans le finder Xfce (en général lancé via **alt-F2**, ou par le sous-menu **Applications**), et  recoll se lancera automatiquement en affichant le résultat de la recherche. C'est similaire à la lens Unity permettant de faire une recherche depuis la zone de recherche du dash de Unity, avec l'avantage d'afficher le résultat dans recoll, c'est-à-dire avec toutes les options de sélection ou de tri. | dash
84 Mot inconnu : Unity => Dès lors, il suffira de taper **s mot-recherché** dans le finder Xfce (en général lancé via **alt-F2**, ou par le sous-menu **Applications**), et  recoll se lancera automatiquement en affichant le résultat de la recherche. C'est similaire à la lens Unity permettant de faire une recherche depuis la zone de recherche du dash de Unity, avec l'avantage d'afficher le résultat dans recoll, c'est-à-dire avec toutes les options de sélection ou de tri. | unity
84 Mot inconnu : recoll => Dès lors, il suffira de taper **s mot-recherché** dans le finder Xfce (en général lancé via **alt-F2**, ou par le sous-menu **Applications**), et  recoll se lancera automatiquement en affichant le résultat de la recherche. C'est similaire à la lens Unity permettant de faire une recherche depuis la zone de recherche du dash de Unity, avec l'avantage d'afficher le résultat dans recoll, c'est-à-dire avec toutes les options de sélection ou de tri. | recoll

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://www.lesbonscomptes.com/recoll/|Site officiel de Recoll]]. |    => suggestions : ['']
87 Mot inconnu : Recoll =>   * [[https://www.lesbonscomptes.com/recoll/|Site officiel de Recoll]]. | recoll

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://bitbucket.org/medoc/recoll/wiki/FaqsAndHowTos|La FAQ (questions fréquentes) de recoll, en Anglais]]. |    => suggestions : ['']
88 Mot inconnu : recoll =>   * [[https://bitbucket.org/medoc/recoll/wiki/FaqsAndHowTos|La FAQ (questions fréquentes) de recoll, en Anglais]]. | recoll
88 Si vous parlez de la langue, pas de majuscule. =>   * [[https://bitbucket.org/medoc/recoll/wiki/FaqsAndHowTos|La FAQ (questions fréquentes) de recoll, en Anglais]]. | anglais => suggestions : ['anglais']
