
4 Mot inconnu : Webmin => ======= Webmin : administrer un serveur GNU/Linux ======= | webmin
51 Formatage des grands nombres. =>     * [[http://votre_nom_de_serveur:10000/]] | 10000 => suggestions : ['10\xa0000', '1\xa00000']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * [[http://votre_adresse_IP:10000/]] |      => suggestions : ['']
52 Formatage des grands nombres. =>     * [[http://votre_adresse_IP:10000/]] | 10000 => suggestions : ['10\xa0000', '1\xa00000']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * en local: [[http://127.0.0.1:10000/]] ou [[http://localhost:10000]] |      => suggestions : ['']
53 Formatage des grands nombres. =>     * en local: [[http://127.0.0.1:10000/]] ou [[http://localhost:10000]] | 10000 => suggestions : ['10\xa0000', '1\xa00000']
53 Formatage des grands nombres. =>     * en local: [[http://127.0.0.1:10000/]] ou [[http://localhost:10000]] | 10000 => suggestions : ['10\xa0000', '1\xa00000']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __avec SSL__((pour des raisons de sécurité il est toujours préférable d'utiliser SSL)): |    => suggestions : ['']
54 Mot inconnu : __avec =>   * __avec SSL__((pour des raisons de sécurité il est toujours préférable d'utiliser SSL)): | __avec
54 Mot inconnu : SSL__ =>   * __avec SSL__((pour des raisons de sécurité il est toujours préférable d'utiliser SSL)): | ssl__
54 Il manque un espace avant la parenthèse. =>   * __avec SSL__((pour des raisons de sécurité il est toujours préférable d'utiliser SSL)): | ( => suggestions : [' (']
54 Mot inconnu : SSL =>   * __avec SSL__((pour des raisons de sécurité il est toujours préférable d'utiliser SSL)): | ssl

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * [[https://votre_nom_de_serveur:10000/]] |      => suggestions : ['']
55 Formatage des grands nombres. =>     * [[https://votre_nom_de_serveur:10000/]] | 10000 => suggestions : ['10\xa0000', '1\xa00000']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * [[https://votre_adresse_IP:10000/]]  |      => suggestions : ['']
56 Formatage des grands nombres. =>     * [[https://votre_adresse_IP:10000/]]  | 10000 => suggestions : ['10\xa0000', '1\xa00000']
56 Espace(s) en fin de ligne à supprimer. =>     * [[https://votre_adresse_IP:10000/]]  |   => suggestions : ['']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * en local: [[https://127.0.0.1:10000/]] ou [[https://localhost:10000]] |      => suggestions : ['']
57 Formatage des grands nombres. =>     * en local: [[https://127.0.0.1:10000/]] ou [[https://localhost:10000]] | 10000 => suggestions : ['10\xa0000', '1\xa00000']
57 Formatage des grands nombres. =>     * en local: [[https://127.0.0.1:10000/]] ou [[https://localhost:10000]] | 10000 => suggestions : ['10\xa0000', '1\xa00000']

66 Mot inconnu : Webmin => Il est possible (et même probable) que votre navigateur refuse de se connecter à Webmin car le certificat (SSL) n'est pas reconnu. Il suffit d'ignorer ce message. | webmin
66 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Il est possible (et même probable) que votre navigateur refuse de se connecter à Webmin car le certificat (SSL) n'est pas reconnu. Il suffit d'ignorer ce message. |  car => suggestions : [', car']
66 Mot inconnu : SSL => Il est possible (et même probable) que votre navigateur refuse de se connecter à Webmin car le certificat (SSL) n'est pas reconnu. Il suffit d'ignorer ce message. | ssl

69 Mot inconnu : Webmin => ==== Mettre Webmin en français ==== | webmin

71 Mot inconnu : Webmin => Pour mettre Webmin en français, dans le menu de gauche, cliquez sur la flèche à gauche du mot Webmin, puis sur **Change Language and Theme**. Dans la partie **Webmin UI language** séléctionnez **French (FR)** et cochez le bouton **Personal choice**. Cliquez ensuite sur le bouton **Make changes**. Pour terminer, reconnectez-vous. | webmin
71 Mot inconnu : Webmin => Pour mettre Webmin en français, dans le menu de gauche, cliquez sur la flèche à gauche du mot Webmin, puis sur **Change Language and Theme**. Dans la partie **Webmin UI language** séléctionnez **French (FR)** et cochez le bouton **Personal choice**. Cliquez ensuite sur le bouton **Make changes**. Pour terminer, reconnectez-vous. | webmin
71 Mot inconnu : Language => Pour mettre Webmin en français, dans le menu de gauche, cliquez sur la flèche à gauche du mot Webmin, puis sur **Change Language and Theme**. Dans la partie **Webmin UI language** séléctionnez **French (FR)** et cochez le bouton **Personal choice**. Cliquez ensuite sur le bouton **Make changes**. Pour terminer, reconnectez-vous. | language
71 Mot inconnu : and => Pour mettre Webmin en français, dans le menu de gauche, cliquez sur la flèche à gauche du mot Webmin, puis sur **Change Language and Theme**. Dans la partie **Webmin UI language** séléctionnez **French (FR)** et cochez le bouton **Personal choice**. Cliquez ensuite sur le bouton **Make changes**. Pour terminer, reconnectez-vous. | and
71 Mot inconnu : Theme => Pour mettre Webmin en français, dans le menu de gauche, cliquez sur la flèche à gauche du mot Webmin, puis sur **Change Language and Theme**. Dans la partie **Webmin UI language** séléctionnez **French (FR)** et cochez le bouton **Personal choice**. Cliquez ensuite sur le bouton **Make changes**. Pour terminer, reconnectez-vous. | theme
71 Mot inconnu : Webmin => Pour mettre Webmin en français, dans le menu de gauche, cliquez sur la flèche à gauche du mot Webmin, puis sur **Change Language and Theme**. Dans la partie **Webmin UI language** séléctionnez **French (FR)** et cochez le bouton **Personal choice**. Cliquez ensuite sur le bouton **Make changes**. Pour terminer, reconnectez-vous. | webmin
71 Mot inconnu : UI => Pour mettre Webmin en français, dans le menu de gauche, cliquez sur la flèche à gauche du mot Webmin, puis sur **Change Language and Theme**. Dans la partie **Webmin UI language** séléctionnez **French (FR)** et cochez le bouton **Personal choice**. Cliquez ensuite sur le bouton **Make changes**. Pour terminer, reconnectez-vous. | ui
71 Mot inconnu : language => Pour mettre Webmin en français, dans le menu de gauche, cliquez sur la flèche à gauche du mot Webmin, puis sur **Change Language and Theme**. Dans la partie **Webmin UI language** séléctionnez **French (FR)** et cochez le bouton **Personal choice**. Cliquez ensuite sur le bouton **Make changes**. Pour terminer, reconnectez-vous. | language
71 Mot inconnu : séléctionnez => Pour mettre Webmin en français, dans le menu de gauche, cliquez sur la flèche à gauche du mot Webmin, puis sur **Change Language and Theme**. Dans la partie **Webmin UI language** séléctionnez **French (FR)** et cochez le bouton **Personal choice**. Cliquez ensuite sur le bouton **Make changes**. Pour terminer, reconnectez-vous. | séléctionnez
71 Mot inconnu : Personal => Pour mettre Webmin en français, dans le menu de gauche, cliquez sur la flèche à gauche du mot Webmin, puis sur **Change Language and Theme**. Dans la partie **Webmin UI language** séléctionnez **French (FR)** et cochez le bouton **Personal choice**. Cliquez ensuite sur le bouton **Make changes**. Pour terminer, reconnectez-vous. | personal
71 Mot inconnu : choice => Pour mettre Webmin en français, dans le menu de gauche, cliquez sur la flèche à gauche du mot Webmin, puis sur **Change Language and Theme**. Dans la partie **Webmin UI language** séléctionnez **French (FR)** et cochez le bouton **Personal choice**. Cliquez ensuite sur le bouton **Make changes**. Pour terminer, reconnectez-vous. | choice
71 Mot inconnu : Make => Pour mettre Webmin en français, dans le menu de gauche, cliquez sur la flèche à gauche du mot Webmin, puis sur **Change Language and Theme**. Dans la partie **Webmin UI language** séléctionnez **French (FR)** et cochez le bouton **Personal choice**. Cliquez ensuite sur le bouton **Make changes**. Pour terminer, reconnectez-vous. | make

73 Mot inconnu : Webmin => Webmin devrait désormais être en français. | webmin

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (en) [[https://www.webmin.com/|Site officiel]] |    => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (en) [[https://www.webmin.com/deb.html|Installer Webmin sur Debian/Ubuntu]] |    => suggestions : ['']
82 Mot inconnu : Webmin =>   * (en) [[https://www.webmin.com/deb.html|Installer Webmin sur Debian/Ubuntu]] | webmin

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (en) [[https://help.ubuntu.com/community/WebminWithoutARootAccount|WebminWithoutARootAccount]] |    => suggestions : ['']
