
5 Mot inconnu : Scrcpy => ====== Scrcpy ====== | scrcpy
50 Mot inconnu : faires => La vidéo est déportée d'Android vers le PC comme les autres affichages. Vous pouvez même faires des vidéo-conférences. Mais le son reste lui (entrée ou sortie) sur le smartphone. Ce n'est normalement pas très gênant, mais si vous souhaitez également que le son passe du téléphone au PC, vous pouvez utiliser un plugin à scrcpy, qui s'appelle [[https://github.com/rom1v/sndcpy|sndcpy]] (le plugin n'est pas dans les dépôts, en tout cas jusqu'à Ubuntu 22.04). | faires
50 Mot inconnu : scrcpy => La vidéo est déportée d'Android vers le PC comme les autres affichages. Vous pouvez même faires des vidéo-conférences. Mais le son reste lui (entrée ou sortie) sur le smartphone. Ce n'est normalement pas très gênant, mais si vous souhaitez également que le son passe du téléphone au PC, vous pouvez utiliser un plugin à scrcpy, qui s'appelle [[https://github.com/rom1v/sndcpy|sndcpy]] (le plugin n'est pas dans les dépôts, en tout cas jusqu'à Ubuntu 22.04). | scrcpy

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy |    => suggestions : ['']
56 Mot inconnu : scrcpy =>   scrcpy | scrcpy

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy -S |    => suggestions : ['']
60 Mot inconnu : scrcpy =>   scrcpy -S | scrcpy
60 Il manque un espace à côté du tiret. =>   scrcpy -S |  - => suggestions : [' – ', ' — ']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

63 Espace(s) en fin de ligne à supprimer. => Si lors d'un lancement du logiciel vous avez un message d'erreur au terminal du genre  |   => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   adb: error: failed to get feature set: no devices/emulators found |    => suggestions : ['']
64 Mot inconnu : adb =>   adb: error: failed to get feature set: no devices/emulators found | adb
64 Mot inconnu : error =>   adb: error: failed to get feature set: no devices/emulators found | error
64 Mot inconnu : failed =>   adb: error: failed to get feature set: no devices/emulators found | failed
64 Mot inconnu : to =>   adb: error: failed to get feature set: no devices/emulators found | to
64 Mot inconnu : get =>   adb: error: failed to get feature set: no devices/emulators found | get
64 Mot inconnu : feature =>   adb: error: failed to get feature set: no devices/emulators found | feature
64 Mot inconnu : devices =>   adb: error: failed to get feature set: no devices/emulators found | devices
64 Mot inconnu : emulators =>   adb: error: failed to get feature set: no devices/emulators found | emulators
64 Mot inconnu : found =>   adb: error: failed to get feature set: no devices/emulators found | found

65 Mot inconnu : ADB => l'autorisation ADB ("débogage USB") est sans doute à réactiver (l'option peut se désactiver lors de certaines manipulations, ou lors de l'extinction complète du téléphone). | adb
65 Guillemets typographiques ouvrants. => l'autorisation ADB ("débogage USB") est sans doute à réactiver (l'option peut se désactiver lors de certaines manipulations, ou lors de l'extinction complète du téléphone). | " => suggestions : ['«\xa0', '“']
65 Guillemets typographiques fermants. => l'autorisation ADB ("débogage USB") est sans doute à réactiver (l'option peut se désactiver lors de certaines manipulations, ou lors de l'extinction complète du téléphone). | " => suggestions : ['\xa0»', '”']

67 Mot inconnu : __Attention__ => __Attention__, si votre téléphone est prévu pour se mettre en veille au bout d'un délai (disons 1Mn), **scrcpy** ne l'empêchera pas : la réplication d'écran s'éteindra aussi sur votre PC. Un clic **droit** réactive l'écran, mais s'il faut un déblocage (type empreinte digitale, code, etc ...) il faudra le saisir pour que la réplication remontre le téléphone. Pour éviter le passage en veille du téléphone (tant qu'il est connecté à **scrcpy**) , il faut faire un  | __attention__
67 Mot inconnu : Mn => __Attention__, si votre téléphone est prévu pour se mettre en veille au bout d'un délai (disons 1Mn), **scrcpy** ne l'empêchera pas : la réplication d'écran s'éteindra aussi sur votre PC. Un clic **droit** réactive l'écran, mais s'il faut un déblocage (type empreinte digitale, code, etc ...) il faudra le saisir pour que la réplication remontre le téléphone. Pour éviter le passage en veille du téléphone (tant qu'il est connecté à **scrcpy**) , il faut faire un  | mn
67 Mot inconnu : scrcpy => __Attention__, si votre téléphone est prévu pour se mettre en veille au bout d'un délai (disons 1Mn), **scrcpy** ne l'empêchera pas : la réplication d'écran s'éteindra aussi sur votre PC. Un clic **droit** réactive l'écran, mais s'il faut un déblocage (type empreinte digitale, code, etc ...) il faudra le saisir pour que la réplication remontre le téléphone. Pour éviter le passage en veille du téléphone (tant qu'il est connecté à **scrcpy**) , il faut faire un  | scrcpy
67 Typographie : points de suspension. Utilisez le caractère dédié. => __Attention__, si votre téléphone est prévu pour se mettre en veille au bout d'un délai (disons 1Mn), **scrcpy** ne l'empêchera pas : la réplication d'écran s'éteindra aussi sur votre PC. Un clic **droit** réactive l'écran, mais s'il faut un déblocage (type empreinte digitale, code, etc ...) il faudra le saisir pour que la réplication remontre le téléphone. Pour éviter le passage en veille du téléphone (tant qu'il est connecté à **scrcpy**) , il faut faire un  | ... => suggestions : ['…']
67 Mot inconnu : scrcpy => __Attention__, si votre téléphone est prévu pour se mettre en veille au bout d'un délai (disons 1Mn), **scrcpy** ne l'empêchera pas : la réplication d'écran s'éteindra aussi sur votre PC. Un clic **droit** réactive l'écran, mais s'il faut un déblocage (type empreinte digitale, code, etc ...) il faudra le saisir pour que la réplication remontre le téléphone. Pour éviter le passage en veille du téléphone (tant qu'il est connecté à **scrcpy**) , il faut faire un  | scrcpy
67 Pas d’espace avant une virgule. => __Attention__, si votre téléphone est prévu pour se mettre en veille au bout d'un délai (disons 1Mn), **scrcpy** ne l'empêchera pas : la réplication d'écran s'éteindra aussi sur votre PC. Un clic **droit** réactive l'écran, mais s'il faut un déblocage (type empreinte digitale, code, etc ...) il faudra le saisir pour que la réplication remontre le téléphone. Pour éviter le passage en veille du téléphone (tant qu'il est connecté à **scrcpy**) , il faut faire un  |  , => suggestions : [',']
67 Espace(s) en fin de ligne à supprimer. => __Attention__, si votre téléphone est prévu pour se mettre en veille au bout d'un délai (disons 1Mn), **scrcpy** ne l'empêchera pas : la réplication d'écran s'éteindra aussi sur votre PC. Un clic **droit** réactive l'écran, mais s'il faut un déblocage (type empreinte digitale, code, etc ...) il faudra le saisir pour que la réplication remontre le téléphone. Pour éviter le passage en veille du téléphone (tant qu'il est connecté à **scrcpy**) , il faut faire un  |   => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy -w |    => suggestions : ['']
68 Mot inconnu : scrcpy =>   scrcpy -w | scrcpy
68 Il manque un espace à côté du tiret. =>   scrcpy -w |  - => suggestions : [' – ', ' — ']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy -w -S |    => suggestions : ['']
71 Mot inconnu : scrcpy =>   scrcpy -w -S | scrcpy
71 Il manque un espace à côté du tiret. =>   scrcpy -w -S |  - => suggestions : [' – ', ' — ']

72 Il manque un trait d’union si “même” se rapporte à “lui”. => laisse la réplication d'écran sur votre PC tout le temps active (pas de passage en veille du téléphone), tout en éteignant l'écran du téléphone lui même (économie d'énergie). | lui même => suggestions : ['lui-même']

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy --help |    => suggestions : ['']
77 Mot inconnu : scrcpy =>   scrcpy --help | scrcpy
77 Mot inconnu : help =>   scrcpy --help | help

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    scrcpy --always-on-top |     => suggestions : ['']
82 Mot inconnu : scrcpy =>    scrcpy --always-on-top | scrcpy
82 Mot inconnu : always-on-top =>    scrcpy --always-on-top | always-on-top

83 Espace(s) en fin de ligne à supprimer. => permet de mettre au premier plan la fenêtre.  |   => suggestions : ['']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy -n |    => suggestions : ['']
86 Mot inconnu : scrcpy =>   scrcpy -n | scrcpy
86 Il manque un espace à côté du tiret. =>   scrcpy -n |  - => suggestions : [' – ', ' — ']

87 Espace(s) en fin de ligne à supprimer. => permet de faire un clonage de l’écran sans pouvoir contrôler le smartphone depuis l'ordinateur.  |   => suggestions : ['']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy -K |    => suggestions : ['']
90 Mot inconnu : scrcpy =>   scrcpy -K | scrcpy
90 Il manque un espace à côté du tiret. =>   scrcpy -K |  - => suggestions : [' – ', ' — ']

91 Mot inconnu : scrcpy => permet d'utiliser un clavier USB (version de scrcpy  >= 1.20) | scrcpy
91 Espace(s) surnuméraire(s) à supprimer. => permet d'utiliser un clavier USB (version de scrcpy  >= 1.20) |    => suggestions : [' ']
91 Signe “supérieur ou égal”. => permet d'utiliser un clavier USB (version de scrcpy  >= 1.20) | >= => suggestions : ['≥', '⩾']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy --record file.mp4 |    => suggestions : ['']
94 Mot inconnu : scrcpy =>   scrcpy --record file.mp4 | scrcpy
94 Mot inconnu : mp4 =>   scrcpy --record file.mp4 | mp4

97 Guillemets typographiques ouvrants. => La commande ''scrcpy -N'' s'utilise avec la commande ''scrcpy --record file.mp4'' donc la commande est : | '' => suggestions : ['«\xa0', '“']
97 Mot inconnu : scrcpy => La commande ''scrcpy -N'' s'utilise avec la commande ''scrcpy --record file.mp4'' donc la commande est : | scrcpy
97 Il manque un espace à côté du tiret. => La commande ''scrcpy -N'' s'utilise avec la commande ''scrcpy --record file.mp4'' donc la commande est : |  - => suggestions : [' – ', ' — ']
97 Guillemets typographiques fermants. => La commande ''scrcpy -N'' s'utilise avec la commande ''scrcpy --record file.mp4'' donc la commande est : | '' => suggestions : ['\xa0»', '”']
97 Guillemets typographiques ouvrants. => La commande ''scrcpy -N'' s'utilise avec la commande ''scrcpy --record file.mp4'' donc la commande est : | '' => suggestions : ['«\xa0', '“']
97 Mot inconnu : scrcpy => La commande ''scrcpy -N'' s'utilise avec la commande ''scrcpy --record file.mp4'' donc la commande est : | scrcpy
97 Mot inconnu : mp4 => La commande ''scrcpy -N'' s'utilise avec la commande ''scrcpy --record file.mp4'' donc la commande est : | mp4
97 Guillemets typographiques fermants. => La commande ''scrcpy -N'' s'utilise avec la commande ''scrcpy --record file.mp4'' donc la commande est : | '' => suggestions : ['\xa0»', '”']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy --record file.mp4 -N |    => suggestions : ['']
98 Mot inconnu : scrcpy =>   scrcpy --record file.mp4 -N | scrcpy
98 Mot inconnu : mp4 =>   scrcpy --record file.mp4 -N | mp4

101 Espace(s) en fin de ligne à supprimer. => La commande  |   => suggestions : ['']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy -f |    => suggestions : ['']
102 Mot inconnu : scrcpy =>   scrcpy -f | scrcpy
102 Il manque un espace à côté du tiret. =>   scrcpy -f |  - => suggestions : [' – ', ' — ']

105 Espace(s) en fin de ligne à supprimer. => La commande  |   => suggestions : ['']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy -t |    => suggestions : ['']
106 Mot inconnu : scrcpy =>   scrcpy -t | scrcpy

109 Espace(s) en fin de ligne à supprimer. => La commande  |   => suggestions : ['']

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy --window-title Nom_De_L_a_Fenetre |    => suggestions : ['']
110 Mot inconnu : scrcpy =>   scrcpy --window-title Nom_De_L_a_Fenetre | scrcpy
110 Mot inconnu : window-title =>   scrcpy --window-title Nom_De_L_a_Fenetre | window-title
110 Mot inconnu : Nom_De_L_a_Fenetre =>   scrcpy --window-title Nom_De_L_a_Fenetre | nom_de_l_a_fenetre

113 Espace(s) en fin de ligne à supprimer. => <note>Personnellement j'utilise la commande  |   => suggestions : ['']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   scrcpy --window-title Honor8 -S |    => suggestions : ['']
114 Mot inconnu : scrcpy =>   scrcpy --window-title Honor8 -S | scrcpy
114 Mot inconnu : window-title =>   scrcpy --window-title Honor8 -S | window-title
114 Mot inconnu : Honor8 =>   scrcpy --window-title Honor8 -S | honor8
114 Il manque un espace à côté du tiret. =>   scrcpy --window-title Honor8 -S |  - => suggestions : [' – ', ' — ']

118 Mot inconnu : lanceur_de_logiciel => Si vous voulez un lanceur sur lequel cliquer (donc ne jamais passer par le terminal), il vous faut le créer (voir [[lanceur_de_logiciel|l'aide dédiée]]). En résumé il vous faut un fichier texte similaire à celui-ci : | lanceur_de_logiciel

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [Desktop Entry] |    => suggestions : ['']
119 Mot inconnu : Desktop =>   [Desktop Entry] | desktop
119 Mot inconnu : Entry =>   [Desktop Entry] | entry

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Version=1.0 |    => suggestions : ['']

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Type=Application |    => suggestions : ['']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Categories=Utility |    => suggestions : ['']
122 Mot inconnu : Categories =>   Categories=Utility | categories
122 Mot inconnu : Utility =>   Categories=Utility | utility

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Name=Téléphone - scrcpy |    => suggestions : ['']
123 Mot inconnu : Name =>   Name=Téléphone - scrcpy | name
123 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   Name=Téléphone - scrcpy |  -  => suggestions : [' – ', ' — ', ' − ']
123 Mot inconnu : scrcpy =>   Name=Téléphone - scrcpy | scrcpy

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Comment=Réplication écran Androïd sur écran PC |    => suggestions : ['']
124 Mot inconnu : Androïd =>   Comment=Réplication écran Androïd sur écran PC | androïd

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Exec=scrcpy -S -w |    => suggestions : ['']
125 Mot inconnu : Exec =>   Exec=scrcpy -S -w | exec
125 Mot inconnu : scrcpy =>   Exec=scrcpy -S -w | scrcpy
125 Il manque un espace à côté du tiret. =>   Exec=scrcpy -S -w |  - => suggestions : [' – ', ' — ']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Icon=android-file-transfer |    => suggestions : ['']
126 Mot inconnu : Icon =>   Icon=android-file-transfer | icon
126 Mot inconnu : android-file-transfer =>   Icon=android-file-transfer | android-file-transfer

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Path= |    => suggestions : ['']
127 Mot inconnu : Path =>   Path= | path

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Terminal=false |    => suggestions : ['']
128 Mot inconnu : false =>   Terminal=false | false

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   StartupNotify=false |    => suggestions : ['']
129 Mot inconnu : StartupNotify =>   StartupNotify=false | startupnotify
129 Mot inconnu : false =>   StartupNotify=false | false

131 Mot inconnu : desktop => Vous donnez à ce fichier un nom quelconque en **.desktop**, par exemple **scrcpy.desktop**, et vous le placez où vous le souhaitez (mais en toute logique dans **~/.local/share/applications/**, car le .desktop apparaît alors dans votre menu des **accessoires**). Vous pouvez bien sur changer l'icône, le nom, le commentaire, les options de lancement de **scrcpy**, ... | desktop
131 Mot inconnu : scrcpy => Vous donnez à ce fichier un nom quelconque en **.desktop**, par exemple **scrcpy.desktop**, et vous le placez où vous le souhaitez (mais en toute logique dans **~/.local/share/applications/**, car le .desktop apparaît alors dans votre menu des **accessoires**). Vous pouvez bien sur changer l'icône, le nom, le commentaire, les options de lancement de **scrcpy**, ... | scrcpy
131 Mot inconnu : desktop => Vous donnez à ce fichier un nom quelconque en **.desktop**, par exemple **scrcpy.desktop**, et vous le placez où vous le souhaitez (mais en toute logique dans **~/.local/share/applications/**, car le .desktop apparaît alors dans votre menu des **accessoires**). Vous pouvez bien sur changer l'icône, le nom, le commentaire, les options de lancement de **scrcpy**, ... | desktop
131 Mot inconnu : share => Vous donnez à ce fichier un nom quelconque en **.desktop**, par exemple **scrcpy.desktop**, et vous le placez où vous le souhaitez (mais en toute logique dans **~/.local/share/applications/**, car le .desktop apparaît alors dans votre menu des **accessoires**). Vous pouvez bien sur changer l'icône, le nom, le commentaire, les options de lancement de **scrcpy**, ... | share
131 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Vous donnez à ce fichier un nom quelconque en **.desktop**, par exemple **scrcpy.desktop**, et vous le placez où vous le souhaitez (mais en toute logique dans **~/.local/share/applications/**, car le .desktop apparaît alors dans votre menu des **accessoires**). Vous pouvez bien sur changer l'icône, le nom, le commentaire, les options de lancement de **scrcpy**, ... |  . => suggestions : ['. ', '.']
131 Mot inconnu : desktop => Vous donnez à ce fichier un nom quelconque en **.desktop**, par exemple **scrcpy.desktop**, et vous le placez où vous le souhaitez (mais en toute logique dans **~/.local/share/applications/**, car le .desktop apparaît alors dans votre menu des **accessoires**). Vous pouvez bien sur changer l'icône, le nom, le commentaire, les options de lancement de **scrcpy**, ... | desktop
131 Mot inconnu : scrcpy => Vous donnez à ce fichier un nom quelconque en **.desktop**, par exemple **scrcpy.desktop**, et vous le placez où vous le souhaitez (mais en toute logique dans **~/.local/share/applications/**, car le .desktop apparaît alors dans votre menu des **accessoires**). Vous pouvez bien sur changer l'icône, le nom, le commentaire, les options de lancement de **scrcpy**, ... | scrcpy
131 Une de ces ponctuations est superflue. => Vous donnez à ce fichier un nom quelconque en **.desktop**, par exemple **scrcpy.desktop**, et vous le placez où vous le souhaitez (mais en toute logique dans **~/.local/share/applications/**, car le .desktop apparaît alors dans votre menu des **accessoires**). Vous pouvez bien sur changer l'icône, le nom, le commentaire, les options de lancement de **scrcpy**, ... | , . => suggestions : [',', '.']
131 Typographie : points de suspension. Utilisez le caractère dédié. => Vous donnez à ce fichier un nom quelconque en **.desktop**, par exemple **scrcpy.desktop**, et vous le placez où vous le souhaitez (mais en toute logique dans **~/.local/share/applications/**, car le .desktop apparaît alors dans votre menu des **accessoires**). Vous pouvez bien sur changer l'icône, le nom, le commentaire, les options de lancement de **scrcpy**, ... | ... => suggestions : ['…']

135 Espace(s) en fin de ligne à supprimer. => Des raccourcis sont disponibles pour utiliser son smartphone  |   => suggestions : ['']

137 Guillemets typographiques ouvrants. => ''Ctrl+H'' Il fait un retour menu. | '' => suggestions : ['«\xa0', '“']
137 Guillemets typographiques fermants. => ''Ctrl+H'' Il fait un retour menu. | '' => suggestions : ['\xa0»', '”']

139 Guillemets typographiques ouvrants. => ''Ctrl+B'' Il fait un retour en arrière.  | '' => suggestions : ['«\xa0', '“']
139 Guillemets typographiques fermants. => ''Ctrl+B'' Il fait un retour en arrière.  | '' => suggestions : ['\xa0»', '”']
139 Espace(s) en fin de ligne à supprimer. => ''Ctrl+B'' Il fait un retour en arrière.  |   => suggestions : ['']

141 Guillemets typographiques ouvrants. => ''Ctrl+S'' Il va dans le multi-tache. | '' => suggestions : ['«\xa0', '“']
141 Guillemets typographiques fermants. => ''Ctrl+S'' Il va dans le multi-tache. | '' => suggestions : ['\xa0»', '”']

143 Guillemets typographiques ouvrants. => ''Clic droit'' Allume le smartphone. | '' => suggestions : ['«\xa0', '“']
143 Guillemets typographiques fermants. => ''Clic droit'' Allume le smartphone. | '' => suggestions : ['\xa0»', '”']

145 Guillemets typographiques ouvrants. => ''Ctrl+P'' Allume/Éteint le smartphone. | '' => suggestions : ['«\xa0', '“']
145 Guillemets typographiques fermants. => ''Ctrl+P'' Allume/Éteint le smartphone. | '' => suggestions : ['\xa0»', '”']

147 Guillemets typographiques ouvrants. => ''Ctrl+O'' Éteint l’écran du smartphone. | '' => suggestions : ['«\xa0', '“']
147 Guillemets typographiques fermants. => ''Ctrl+O'' Éteint l’écran du smartphone. | '' => suggestions : ['\xa0»', '”']

149 Guillemets typographiques ouvrants. => ''Ctrl+R'' Tourne l’écran si possible. | '' => suggestions : ['«\xa0', '“']
149 Guillemets typographiques fermants. => ''Ctrl+R'' Tourne l’écran si possible. | '' => suggestions : ['\xa0»', '”']

151 Guillemets typographiques ouvrants. => ''Ctrl+N'' Ouvre le panel de notification.  | '' => suggestions : ['«\xa0', '“']
151 Guillemets typographiques fermants. => ''Ctrl+N'' Ouvre le panel de notification.  | '' => suggestions : ['\xa0»', '”']
151 Espace(s) en fin de ligne à supprimer. => ''Ctrl+N'' Ouvre le panel de notification.  |   => suggestions : ['']

153 Guillemets typographiques ouvrants. => ''Ctrl+Shift+N'' Ferme le panel de notification. | '' => suggestions : ['«\xa0', '“']
153 Mot inconnu : Shift => ''Ctrl+Shift+N'' Ferme le panel de notification. | shift
153 Guillemets typographiques fermants. => ''Ctrl+Shift+N'' Ferme le panel de notification. | '' => suggestions : ['\xa0»', '”']

157 Mot inconnu : wi-fi => <note important>Avant de l'utiliser **SANS CÂBLE** (wi-fi) il est préférable de tester **avec** un câble pour voir si tout fonctionne correctement\\ | wi-fi

158 Mot inconnu : ADB => Dans certains cas il faut aller dans paramètres > Système > Options pour les développeurs et activer "**ADB par réseau**". Cette action rend le smartphone vulnérable.</note> | adb

