
4 Mot inconnu : Glade2script => ======Glade2script====== | glade2script
83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                  echo "DEBUG => in boucle bash :" ${ligne#*@} |                   => suggestions : ['']
83 Mot inconnu : echo =>                  echo "DEBUG => in boucle bash :" ${ligne#*@} | echo
83 Guillemets typographiques ouvrants. =>                  echo "DEBUG => in boucle bash :" ${ligne#*@} | " => suggestions : ['«\xa0', '“']
83 Mot inconnu : DEBUG =>                  echo "DEBUG => in boucle bash :" ${ligne#*@} | debug
83 Mot inconnu : bash =>                  echo "DEBUG => in boucle bash :" ${ligne#*@} | bash

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             else |              => suggestions : ['']
84 Mot inconnu : else =>             else | else

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                  echo "DEBUG=> in bash NOT GET" $ligne |                   => suggestions : ['']
85 Mot inconnu : echo =>                  echo "DEBUG=> in bash NOT GET" $ligne | echo
85 Guillemets typographiques ouvrants. =>                  echo "DEBUG=> in bash NOT GET" $ligne | " => suggestions : ['«\xa0', '“']
85 Mot inconnu : DEBUG =>                  echo "DEBUG=> in bash NOT GET" $ligne | debug
85 Mot inconnu : bash =>                  echo "DEBUG=> in bash NOT GET" $ligne | bash
85 Mot inconnu : NOT =>                  echo "DEBUG=> in bash NOT GET" $ligne | not
85 Mot inconnu : GET =>                  echo "DEBUG=> in bash NOT GET" $ligne | get
85 Guillemets typographiques fermants. =>                  echo "DEBUG=> in bash NOT GET" $ligne | " => suggestions : ['\xa0»', '”']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                  $ligne |                   => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>            fi |             => suggestions : ['']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       done < <(while true; do |        => suggestions : ['']
88 Mot inconnu : done =>       done < <(while true; do | done
88 Mot inconnu : while =>       done < <(while true; do | while
88 Mot inconnu : true =>       done < <(while true; do | true

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             read entree < $FIFO |              => suggestions : ['']
89 Mot inconnu : read =>             read entree < $FIFO | read
89 Mot inconnu : entree =>             read entree < $FIFO | entree
89 Mot inconnu : FIFO =>             read entree < $FIFO | fifo

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             [[ "$entree" == "QuitNow" ]] && break |              => suggestions : ['']
90 Pas d’espace après ce signe. =>             [[ "$entree" == "QuitNow" ]] && break | [  => suggestions : ['[']
90 Mot inconnu : entree =>             [[ "$entree" == "QuitNow" ]] && break | entree
90 Guillemets typographiques fermants. =>             [[ "$entree" == "QuitNow" ]] && break | " => suggestions : ['\xa0»', '”']
90 Guillemets typographiques ouvrants. =>             [[ "$entree" == "QuitNow" ]] && break | " => suggestions : ['«\xa0', '“']
90 Mot inconnu : QuitNow =>             [[ "$entree" == "QuitNow" ]] && break | quitnow
90 Guillemets typographiques fermants. =>             [[ "$entree" == "QuitNow" ]] && break | " => suggestions : ['\xa0»', '”']
90 Pas d’espace avant ce signe. =>             [[ "$entree" == "QuitNow" ]] && break |  ] => suggestions : [']']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>               echo $entree |                => suggestions : ['']
91 Mot inconnu : echo =>               echo $entree | echo
91 Mot inconnu : entree =>               echo $entree | entree

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       done) |        => suggestions : ['']
92 Mot inconnu : done =>       done) | done

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       #! /bin/bash |        => suggestions : ['']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # Déroulement de votre script |        => suggestions : ['']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # 2 façons de récupérer le résultat, soit par le code de sortie |        => suggestions : ['']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # ou en chargeant la variable EXIT dans l'environement et traiter |        => suggestions : ['']
97 Accord de genre erroné : « la variable » est féminin, « EXIT » est masculin. =>       # ou en chargeant la variable EXIT dans l'environement et traiter | exit => suggestions : []
97 Mot inconnu : environement =>       # ou en chargeant la variable EXIT dans l'environement et traiter | environement

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # le résultat. |        => suggestions : ['']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       if glade2script -g ./mon_gui.glade; then |        => suggestions : ['']
99 Mot inconnu : glade2script =>       if glade2script -g ./mon_gui.glade; then | glade2script
99 Il manque un espace à côté du tiret. =>       if glade2script -g ./mon_gui.glade; then |  - => suggestions : [' – ', ' — ']
99 Mot inconnu : mon_gui =>       if glade2script -g ./mon_gui.glade; then | mon_gui
99 Mot inconnu : glade =>       if glade2script -g ./mon_gui.glade; then | glade
99 Mot inconnu : then =>       if glade2script -g ./mon_gui.glade; then | then

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          echo “le bouton ok a été clické” |           => suggestions : ['']
100 Mot inconnu : echo =>          echo “le bouton ok a été clické” | echo
100 Mot inconnu : ok =>          echo “le bouton ok a été clické” | ok
100 Mot inconnu : clické =>          echo “le bouton ok a été clické” | clické

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       else |        => suggestions : ['']
101 Mot inconnu : else =>       else | else

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          echo “le bouton no a été clické” |           => suggestions : ['']
102 Mot inconnu : echo =>          echo “le bouton no a été clické” | echo
102 Mot inconnu : clické =>          echo “le bouton no a été clické” | clické

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       fi |        => suggestions : ['']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # |        => suggestions : ['']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # |        => suggestions : ['']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # deuxième méthode, charger la variable EXIT |        => suggestions : ['']
106 Accord de genre erroné : « la variable » est féminin, « EXIT » est masculin. =>       # deuxième méthode, charger la variable EXIT | exit => suggestions : []

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       GUI=$(glade2script -g ./mon_gui.glade) |        => suggestions : ['']
107 Mot inconnu : glade2script =>       GUI=$(glade2script -g ./mon_gui.glade) | glade2script
107 Il manque un espace à côté du tiret. =>       GUI=$(glade2script -g ./mon_gui.glade) |  - => suggestions : [' – ', ' — ']
107 Mot inconnu : mon_gui =>       GUI=$(glade2script -g ./mon_gui.glade) | mon_gui
107 Mot inconnu : glade =>       GUI=$(glade2script -g ./mon_gui.glade) | glade

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       eval “${GUI}” |        => suggestions : ['']
108 Mot inconnu : eval =>       eval “${GUI}” | eval

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       If [[ “${EXIT}” == “yes” ]]; then |        => suggestions : ['']
109 Pas d’espace après ce signe. =>       If [[ “${EXIT}” == “yes” ]]; then | [  => suggestions : ['[']
109 Mot inconnu : yes =>       If [[ “${EXIT}” == “yes” ]]; then | yes
109 Pas d’espace avant ce signe. =>       If [[ “${EXIT}” == “yes” ]]; then |  ] => suggestions : [']']
109 Mot inconnu : then =>       If [[ “${EXIT}” == “yes” ]]; then | then

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         echo “le bouton ok a été clické” |          => suggestions : ['']
110 Mot inconnu : echo =>         echo “le bouton ok a été clické” | echo
110 Mot inconnu : ok =>         echo “le bouton ok a été clické” | ok
110 Mot inconnu : clické =>         echo “le bouton ok a été clické” | clické

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       else |        => suggestions : ['']
111 Mot inconnu : else =>       else | else

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         echo “le bouton no a été clické” |          => suggestions : ['']
112 Mot inconnu : echo =>         echo “le bouton no a été clické” | echo
112 Mot inconnu : clické =>         echo “le bouton no a été clické” | clické

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       fi |        => suggestions : ['']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # Il est possible de faire différent, à savoir qu'en sortie, |        => suggestions : ['']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # il y a EXIT=”yes” ou EXIT=”no”, et le code de sortie 0 ou 1 |        => suggestions : ['']
115 Mot inconnu : yes =>       # il y a EXIT=”yes” ou EXIT=”no”, et le code de sortie 0 ou 1 | yes
115 Guillemets ouvrants introuvables dans ce paragraphe. =>       # il y a EXIT=”yes” ou EXIT=”no”, et le code de sortie 0 ou 1 | ” => suggestions : []

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       # selon le choix de l'utilisateur. |        => suggestions : ['']

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - Les * combinés avec les commandes HIZO peuvent poser problèmes, elles seront interprétées dans le shell bash. |   => suggestions : ['']
120 Mot inconnu : HIZO =>  - Les * combinés avec les commandes HIZO peuvent poser problèmes, elles seront interprétées dans le shell bash. | hizo
120 Mot inconnu : bash =>  - Les * combinés avec les commandes HIZO peuvent poser problèmes, elles seront interprétées dans le shell bash. | bash

121 Il manque un espace à côté du tiret. => Indiquer la commande set -f avant la boucle de fin pour y remedier, set +f pour inverser le comportement. |  - => suggestions : [' – ', ' — ']
121 Mot inconnu : remedier => Indiquer la commande set -f avant la boucle de fin pour y remedier, set +f pour inverser le comportement. | remedier

123 Mot inconnu : Glade => ====Glade:==== | glade

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - Les widgets qui doivent être modifiés, ou dont les valeurs seront récupérées via le script associé, devront commencer par _ pour être référencés. |   => suggestions : ['']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  - Les windows, statusbars, eventbox, treeviews et GtkAboutDialog n'ont pas besoin d'être référencés. |   => suggestions : ['']
125 Mot inconnu : statusbars =>  - Les windows, statusbars, eventbox, treeviews et GtkAboutDialog n'ont pas besoin d'être référencés. | statusbars
125 Mot inconnu : eventbox =>  - Les windows, statusbars, eventbox, treeviews et GtkAboutDialog n'ont pas besoin d'être référencés. | eventbox
125 Mot inconnu : treeviews =>  - Les windows, statusbars, eventbox, treeviews et GtkAboutDialog n'ont pas besoin d'être référencés. | treeviews
