3 Mot inconnu : The [[23:26]] => ====== Ubuntu 10.10 (« The Maverick Meerkat ») ====== <|> the
83 Mot inconnu : Settings [[282:290]] =>   * Les images Netbook et Poste de travail de Kubuntu sont fusionnées, incluant donc à la fois les interfaces Plasma Desktop et Plasma Netbook. La présentation appropriée à votre machine sera sélectionnée à votre connexion, et vous pouvez choisir votre propre interface dans System Settings; <|> settings
84 Mot inconnu : Netbook [[11:18]] =>   * Plasma Netbook contient désormais Global Menu par défaut ; <|> netbook
88 Mot inconnu : KPackageKit [[24:35]] =>   * Les mises à jour de KPackageKit apportent une interface pour plusieurs nouvelles fonctionnalités ; <|> kpackagekit
89 Mot inconnu : Ubiquity [[20:28]] =>   * L'installateur (Ubiquity) a une interface révisée. Comme pour Ubuntu, l'installation commence dès la phase de partitionnement. <|> ubiquity
92 Mot inconnu : Xfce4 [[4:9]] =>   * Xfce4 a été mis à jour à la version 4.6.2, corrigeant plusieurs bogues et mettant à jour les programmes utilisés dans Xubuntu ; <|> xfce4
96 Mot inconnu : Nanny [[10:15]] =>   * Gnome Nanny, un filtre parental, est inclus par défaut ; <|> nanny
98 Mot inconnu : OEM [[27:30]] =>   * Un mode d'installation OEM est disponible. <|> oem
102 Mot inconnu : Mythubuntu [[4:14]] =>   * Mythubuntu profite de MythTV 0.23.1 et d'un nouvel outil de sauvegarde et de récupération. <|> mythubuntu
102 Mot inconnu : MythTV [[26:32]] =>   * Mythubuntu profite de MythTV 0.23.1 et d'un nouvel outil de sauvegarde et de récupération. <|> mythtv
106 Mot inconnu : multitouch [[102:112]] =>   * Le noyau Linux 2.6.35 inclut des mises à jour pour une meilleure prise en charge du multipoint (//multitouch// des pavés tactiles), des correctifs d'ALSA pour la prise en charge des microphones avec plusieurs pilotes audio et une meilleure sécurité pour les processeurs ARM; <|> multitouch
107 Mot inconnu : Magic [[7:12]] =>   * Le Magic Trackpad d'Apple dispose de pilotes intégrés au noyau permettant la prise en charge du multitoucher jusqu'à 10 doigts ; <|> magic
107 Mot inconnu : Trackpad [[13:21]] =>   * Le Magic Trackpad d'Apple dispose de pilotes intégrés au noyau permettant la prise en charge du multitoucher jusqu'à 10 doigts ; <|> trackpad
107 Mot inconnu : multitoucher [[100:112]] =>   * Le Magic Trackpad d'Apple dispose de pilotes intégrés au noyau permettant la prise en charge du multitoucher jusqu'à 10 doigts ; <|> multitoucher
109 Mot inconnu : SPARC [[22:27]] =>   * Les architectures SPARC et IA-64 (Itanium) ne sont plus soutenues, suite à une décision de l'Ubuntu Tech Board; <|> sparc
109 Mot inconnu : Itanium [[38:45]] =>   * Les architectures SPARC et IA-64 (Itanium) ne sont plus soutenues, suite à une décision de l'Ubuntu Tech Board; <|> itanium
109 Mot inconnu : Board [[109:114]] =>   * Les architectures SPARC et IA-64 (Itanium) ne sont plus soutenues, suite à une décision de l'Ubuntu Tech Board; <|> board
110 Mot inconnu : padsp [[265:270]] =>   * L'émulation OSS d'ALSA a été supprimée pour éviter les conflits empêchant un programme d'accéder à la carte audio lorsque un programme utilisant OSS vient le bloquer. Les programmes n'utilisant qu'OSS restent donc muets. Pour contourner le problème, utilisez **padsp**. (D'autres solutions de remplacement sont en cours de développement et d'évaluation.) <|> padsp

112 Mot inconnu : i586 [[78:82]] => <note important>Avec Ubuntu 10.10, la prise en charge des processeurs de type i586 et antérieurs est abandonné, ainsi que les processeurs de type i686 sans prise en charge du jeu d'instructions CMOV.\\ Pour savoir si votre processeur est géré par Ubuntu 10.10, exécutez la commande suivante depuis une session live d'Ubuntu 10.04 LTS ou antérieure, ou à partir de votre installation existante : <|> i586
112 Mot inconnu : i686 [[146:150]] => <note important>Avec Ubuntu 10.10, la prise en charge des processeurs de type i586 et antérieurs est abandonné, ainsi que les processeurs de type i686 sans prise en charge du jeu d'instructions CMOV.\\ Pour savoir si votre processeur est géré par Ubuntu 10.10, exécutez la commande suivante depuis une session live d'Ubuntu 10.04 LTS ou antérieure, ou à partir de votre installation existante : <|> i686
112 Mot inconnu : CMOV [[194:198]] => <note important>Avec Ubuntu 10.10, la prise en charge des processeurs de type i586 et antérieurs est abandonné, ainsi que les processeurs de type i686 sans prise en charge du jeu d'instructions CMOV.\\ Pour savoir si votre processeur est géré par Ubuntu 10.10, exécutez la commande suivante depuis une session live d'Ubuntu 10.04 LTS ou antérieure, ou à partir de votre installation existante : <|> cmov
