
4 Mot inconnu : EncFS => ====== Chiffrez aisément vos répertoires avec EncFS ====== | encfs
36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - un second répertoire dans lequel vous pourrez créer des données //en clair//, après authentification ("//mount directory//"). |  -  => suggestions : [' – ', ' — ', ' − ']
36 Mot inconnu : mount =>   - un second répertoire dans lequel vous pourrez créer des données //en clair//, après authentification ("//mount directory//"). | mount
36 Mot inconnu : directory =>   - un second répertoire dans lequel vous pourrez créer des données //en clair//, après authentification ("//mount directory//"). | directory
37 Mot inconnu : EncFS => L'idée est la suivante : vous donnez temporairement accès au second répertoire en fournissant un mot de passe (initialement choisi par vous), et créez vos données en clair dans ce répertoire. Ensuite, vous refermez l'accès à ce répertoire. EncFS s'occupe de "copier" les données du second répertoire (accès temporaire) vers le premier (stockage permanent), tout en les chiffrant. Après avoir fermé l'accès au second répertoire, ce dernier apparaît vide, tandis que le premier répertoire contient les fichiers chiffrés, donc inaccessibles. Pour pouvoir de nouveau modifier les données conservées dans le répertoire de stockage, il faut redonner accès par mot de passe au second répertoire, qui sert donc de répertoire de travail. | encfs
37 Guillemets typographiques ouvrants. => L'idée est la suivante : vous donnez temporairement accès au second répertoire en fournissant un mot de passe (initialement choisi par vous), et créez vos données en clair dans ce répertoire. Ensuite, vous refermez l'accès à ce répertoire. EncFS s'occupe de "copier" les données du second répertoire (accès temporaire) vers le premier (stockage permanent), tout en les chiffrant. Après avoir fermé l'accès au second répertoire, ce dernier apparaît vide, tandis que le premier répertoire contient les fichiers chiffrés, donc inaccessibles. Pour pouvoir de nouveau modifier les données conservées dans le répertoire de stockage, il faut redonner accès par mot de passe au second répertoire, qui sert donc de répertoire de travail. | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. => L'idée est la suivante : vous donnez temporairement accès au second répertoire en fournissant un mot de passe (initialement choisi par vous), et créez vos données en clair dans ce répertoire. Ensuite, vous refermez l'accès à ce répertoire. EncFS s'occupe de "copier" les données du second répertoire (accès temporaire) vers le premier (stockage permanent), tout en les chiffrant. Après avoir fermé l'accès au second répertoire, ce dernier apparaît vide, tandis que le premier répertoire contient les fichiers chiffrés, donc inaccessibles. Pour pouvoir de nouveau modifier les données conservées dans le répertoire de stockage, il faut redonner accès par mot de passe au second répertoire, qui sert donc de répertoire de travail. | " => suggestions : ['\xa0»', '”']
39 Mot inconnu : EncFS => Note technique : EncFS gère donc des couples de fichiers « en clair / chiffré ». Dans le répertoire de stockage, les noms de fichiers sont par ailleurs chiffrés. Les avantages d'EncFS par rapport aux autres programmes de chiffrement de données sont principalement sa simplicité et sa souplesse d'utilisation. Voyez en fin de page les avantages/défauts courants. | encfs
39 Mot inconnu : EncFS => Note technique : EncFS gère donc des couples de fichiers « en clair / chiffré ». Dans le répertoire de stockage, les noms de fichiers sont par ailleurs chiffrés. Les avantages d'EncFS par rapport aux autres programmes de chiffrement de données sont principalement sa simplicité et sa souplesse d'utilisation. Voyez en fin de page les avantages/défauts courants. | encfs

44 Mot inconnu : gnome-encfs-manager => Pour un usage simple, installez [[gnome-encfs-manager]]. | gnome-encfs-manager

48 Guillemets typographiques fermants. => Dans notre exemple, le répertoire de stockage des données chiffrées sera ''~/.coffre'' et le répertoire « de travail » (pour manipuler les données en clair après authentification) sera ''~/coffre_open''. Tapez donc : | '' => suggestions : ['\xa0»', '”']
48 Mot inconnu : coffre_open => Dans notre exemple, le répertoire de stockage des données chiffrées sera ''~/.coffre'' et le répertoire « de travail » (pour manipuler les données en clair après authentification) sera ''~/coffre_open''. Tapez donc : | coffre_open
48 Guillemets typographiques fermants. => Dans notre exemple, le répertoire de stockage des données chiffrées sera ''~/.coffre'' et le répertoire « de travail » (pour manipuler les données en clair après authentification) sera ''~/coffre_open''. Tapez donc : | '' => suggestions : ['\xa0»', '”']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   encfs /home/$USER/.coffre/ /home/$USER/coffre_open/ |    => suggestions : ['']
50 Mot inconnu : encfs =>   encfs /home/$USER/.coffre/ /home/$USER/coffre_open/ | encfs
50 Mot inconnu : coffre_open =>   encfs /home/$USER/.coffre/ /home/$USER/coffre_open/ | coffre_open

52 Guillemets typographiques ouvrants. => Attention, la commande ''encfs'' attend des chemins complets : écrivez donc ''/home/$USER/'' et pas le raccourci ''~/'' ! | '' => suggestions : ['«\xa0', '“']
52 Mot inconnu : encfs => Attention, la commande ''encfs'' attend des chemins complets : écrivez donc ''/home/$USER/'' et pas le raccourci ''~/'' ! | encfs
52 Guillemets typographiques fermants. => Attention, la commande ''encfs'' attend des chemins complets : écrivez donc ''/home/$USER/'' et pas le raccourci ''~/'' ! | '' => suggestions : ['\xa0»', '”']

54 Mot inconnu : EncFS => La première fois qu'elle est écrite, cette commande permet de créer et paramétrer les répertoires utilisés pour stocker et manipuler les données chiffrées par EncFS. Voici un exemple de ce que vous devriez obtenir dans votre terminal : | encfs

94 Espace(s) en fin de ligne à supprimer. => </code>   |    => suggestions : ['']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']
97 Guillemets typographiques ouvrants. => À la question « Veuillez choisir au moins une des options suivantes », vous pouvez choisir le mode « paranoïaque » en tapant ''p'' puis ''[Entrée]''. Ce mode est le plus sécurisé. | '' => suggestions : ['«\xa0', '“']
97 Guillemets typographiques fermants. => À la question « Veuillez choisir au moins une des options suivantes », vous pouvez choisir le mode « paranoïaque » en tapant ''p'' puis ''[Entrée]''. Ce mode est le plus sécurisé. | '' => suggestions : ['\xa0»', '”']

99 Mot inconnu : Github => Trouvé sur la [[https://github.com/vgough/encfs|page Github]]<sup>(en)</sup> d'EncFS. | github
99 Mot inconnu : EncFS => Trouvé sur la [[https://github.com/vgough/encfs|page Github]]<sup>(en)</sup> d'EncFS. | encfs

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      cat /proc/mounts |       => suggestions : ['']
104 Mot inconnu : cat =>      cat /proc/mounts | cat
104 Mot inconnu : proc =>      cat /proc/mounts | proc
104 Mot inconnu : mounts =>      cat /proc/mounts | mounts

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      encfs /home/$USER/coffre_open fuse rw,nosuid,nodev,user_id=1000,group_id=1000,default_permissions 0 0 |       => suggestions : ['']
109 Mot inconnu : encfs =>      encfs /home/$USER/coffre_open fuse rw,nosuid,nodev,user_id=1000,group_id=1000,default_permissions 0 0 | encfs
109 Mot inconnu : coffre_open =>      encfs /home/$USER/coffre_open fuse rw,nosuid,nodev,user_id=1000,group_id=1000,default_permissions 0 0 | coffre_open
109 Mot inconnu : rw =>      encfs /home/$USER/coffre_open fuse rw,nosuid,nodev,user_id=1000,group_id=1000,default_permissions 0 0 | rw
109 Il manque un espace. =>      encfs /home/$USER/coffre_open fuse rw,nosuid,nodev,user_id=1000,group_id=1000,default_permissions 0 0 | nosuid => suggestions : [' nosuid']
109 Mot inconnu : nosuid =>      encfs /home/$USER/coffre_open fuse rw,nosuid,nodev,user_id=1000,group_id=1000,default_permissions 0 0 | nosuid
109 Mot inconnu : nodev =>      encfs /home/$USER/coffre_open fuse rw,nosuid,nodev,user_id=1000,group_id=1000,default_permissions 0 0 | nodev
109 Il manque un espace. =>      encfs /home/$USER/coffre_open fuse rw,nosuid,nodev,user_id=1000,group_id=1000,default_permissions 0 0 | user_id => suggestions : [' user_id']
109 Mot inconnu : user_id =>      encfs /home/$USER/coffre_open fuse rw,nosuid,nodev,user_id=1000,group_id=1000,default_permissions 0 0 | user_id
109 Mot inconnu : group_id =>      encfs /home/$USER/coffre_open fuse rw,nosuid,nodev,user_id=1000,group_id=1000,default_permissions 0 0 | group_id
109 Mot inconnu : default_permissions =>      encfs /home/$USER/coffre_open fuse rw,nosuid,nodev,user_id=1000,group_id=1000,default_permissions 0 0 | default_permissions

113 Mot inconnu : Note2 => **Note2** : le répertoire des données en clair (ici "coffre") peut être changé à volonté. Il n'y a pas de lien définitif entre les deux répertoires. Veillez toutefois dans ce cas à ce que : | note2
113 Guillemets typographiques ouvrants. => **Note2** : le répertoire des données en clair (ici "coffre") peut être changé à volonté. Il n'y a pas de lien définitif entre les deux répertoires. Veillez toutefois dans ce cas à ce que : | " => suggestions : ['«\xa0', '“']
113 Guillemets typographiques fermants. => **Note2** : le répertoire des données en clair (ici "coffre") peut être changé à volonté. Il n'y a pas de lien définitif entre les deux répertoires. Veillez toutefois dans ce cas à ce que : | " => suggestions : ['\xa0»', '”']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le nouveau répertoire ait bien été créé et soit vide |    => suggestions : ['']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * il y ait concordance entre le chemin de montage et celui de démontage.;-) |    => suggestions : ['']
115 Ce verbe ne devrait pas être au subjonctif. =>   * il y ait concordance entre le chemin de montage et celui de démontage.;-) | ait => suggestions : ['avait', 'eut', 'aura', 'a']

120 Incohérence avec “ON” : “Pour” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => 1. **ON** Pour //accéder// aux données en clair, il suffit de réutiliser la même commande qu'au début, à savoir, dans notre exemple : | pour => suggestions : []

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   encfs /home/$USER/.coffre/ /home/$USER/coffre_open/ |    => suggestions : ['']
122 Mot inconnu : encfs =>   encfs /home/$USER/.coffre/ /home/$USER/coffre_open/ | encfs
122 Mot inconnu : coffre_open =>   encfs /home/$USER/.coffre/ /home/$USER/coffre_open/ | coffre_open

124 Mot inconnu : EncFS => Contrairement à la première fois, EncFS détecte qu'une initialisation a déjà été faite sur ces deux répertoires et se contente de demander le mot de passe pour débloquer l'accès au répertoire « de travail » (qu'il montera pour vous avec la commande ''fusermount''). | encfs
124 Guillemets typographiques ouvrants. => Contrairement à la première fois, EncFS détecte qu'une initialisation a déjà été faite sur ces deux répertoires et se contente de demander le mot de passe pour débloquer l'accès au répertoire « de travail » (qu'il montera pour vous avec la commande ''fusermount''). | '' => suggestions : ['«\xa0', '“']
124 Mot inconnu : fusermount => Contrairement à la première fois, EncFS détecte qu'une initialisation a déjà été faite sur ces deux répertoires et se contente de demander le mot de passe pour débloquer l'accès au répertoire « de travail » (qu'il montera pour vous avec la commande ''fusermount''). | fusermount
124 Guillemets typographiques fermants. => Contrairement à la première fois, EncFS détecte qu'une initialisation a déjà été faite sur ces deux répertoires et se contente de demander le mot de passe pour débloquer l'accès au répertoire « de travail » (qu'il montera pour vous avec la commande ''fusermount''). | '' => suggestions : ['\xa0»', '”']

126 Mot inconnu : coffre_open => **Toute donnée créée/copiée/déplacée en clair dans le répertoire de travail (ici, ''~/coffre_open'') sera //automatiquement// stockée sous forme chiffrée dans le répertoire de stockage (ici, ''~/.coffre'').** | coffre_open
126 Guillemets typographiques fermants. => **Toute donnée créée/copiée/déplacée en clair dans le répertoire de travail (ici, ''~/coffre_open'') sera //automatiquement// stockée sous forme chiffrée dans le répertoire de stockage (ici, ''~/.coffre'').** | '' => suggestions : ['\xa0»', '”']
126 Guillemets typographiques fermants. => **Toute donnée créée/copiée/déplacée en clair dans le répertoire de travail (ici, ''~/coffre_open'') sera //automatiquement// stockée sous forme chiffrée dans le répertoire de stockage (ici, ''~/.coffre'').** | '' => suggestions : ['\xa0»', '”']

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   fusermount -u /home/$USER/coffre_open |    => suggestions : ['']
130 Mot inconnu : fusermount =>   fusermount -u /home/$USER/coffre_open | fusermount
130 Il manque un espace à côté du tiret. =>   fusermount -u /home/$USER/coffre_open |  - => suggestions : [' – ', ' — ']
130 Mot inconnu : coffre_open =>   fusermount -u /home/$USER/coffre_open | coffre_open

135 Mot inconnu : NTFS => Notez en particulier que, puisque vous utilisez fuse, il vous est possible de travailler sur un couple de répertoires placé sur une partition NTFS. | ntfs

139 Espace(s) en fin de ligne à supprimer. => ==== Changement du mot de passe ====   |    => suggestions : ['']

142 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   encfsctl passwd ~/.coffre |    => suggestions : ['']
142 Mot inconnu : encfsctl =>   encfsctl passwd ~/.coffre | encfsctl
142 Mot inconnu : passwd =>   encfsctl passwd ~/.coffre | passwd

143 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

145 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Pour automatiser sur une session, choisissez **pam_mount** |     => suggestions : ['']
147 Mot inconnu : pam_mount =>    * Pour automatiser sur une session, choisissez **pam_mount** | pam_mount

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Sur une interface Gnome ou Unity, choisissez **Gnome EncFS** Manager ou **Cryptkeeper**, qui sont écrits en gtk" |     => suggestions : ['']
148 Mot inconnu : Unity =>    * Sur une interface Gnome ou Unity, choisissez **Gnome EncFS** Manager ou **Cryptkeeper**, qui sont écrits en gtk" | unity
148 Mot inconnu : EncFS =>    * Sur une interface Gnome ou Unity, choisissez **Gnome EncFS** Manager ou **Cryptkeeper**, qui sont écrits en gtk" | encfs
148 Mot inconnu : Cryptkeeper =>    * Sur une interface Gnome ou Unity, choisissez **Gnome EncFS** Manager ou **Cryptkeeper**, qui sont écrits en gtk" | cryptkeeper
148 Guillemets typographiques fermants. =>    * Sur une interface Gnome ou Unity, choisissez **Gnome EncFS** Manager ou **Cryptkeeper**, qui sont écrits en gtk" | " => suggestions : ['\xa0»', '”']

149 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Sur une interface KDE, choisissez **Fusible**. |     => suggestions : ['']
149 Mot inconnu : KDE =>    * Sur une interface KDE, choisissez **Fusible**. | kde

153 Mot inconnu : pam_mount => ==== pam_mount ==== | pam_mount
156 Mot inconnu : encfs => **Note**: Il est impératif que le mot de passe de la session soit identique à celui d'encfs. En effet, pam_mount va transmettre le mot de passe tapé lors de l'ouverture de la session à encfs pour le déchiffrement du système de fichiers. | encfs
156 Mot inconnu : pam_mount => **Note**: Il est impératif que le mot de passe de la session soit identique à celui d'encfs. En effet, pam_mount va transmettre le mot de passe tapé lors de l'ouverture de la session à encfs pour le déchiffrement du système de fichiers. | pam_mount
156 Mot inconnu : encfs => **Note**: Il est impératif que le mot de passe de la session soit identique à celui d'encfs. En effet, pam_mount va transmettre le mot de passe tapé lors de l'ouverture de la session à encfs pour le déchiffrement du système de fichiers. | encfs

157 Mot inconnu : FIXME => FIXME exemple à recycler\\ | fixme

158 Mot inconnu : ubuntuone => L'exemple suivant montre comment utiliser cette technique pour sécuriser des données qui seront ensuite synchronisées sur [[ubuntuone|Ubuntu One]]. Vous devez au préalable avoir créé un répertoire ~/Ubuntu One/.Encrypted comme décrit dans le début de cet article. | ubuntuone
158 Mot inconnu : One => L'exemple suivant montre comment utiliser cette technique pour sécuriser des données qui seront ensuite synchronisées sur [[ubuntuone|Ubuntu One]]. Vous devez au préalable avoir créé un répertoire ~/Ubuntu One/.Encrypted comme décrit dans le début de cet article. | one
158 Mot inconnu : One => L'exemple suivant montre comment utiliser cette technique pour sécuriser des données qui seront ensuite synchronisées sur [[ubuntuone|Ubuntu One]]. Vous devez au préalable avoir créé un répertoire ~/Ubuntu One/.Encrypted comme décrit dans le début de cet article. | one
158 Mot inconnu : Encrypted => L'exemple suivant montre comment utiliser cette technique pour sécuriser des données qui seront ensuite synchronisées sur [[ubuntuone|Ubuntu One]]. Vous devez au préalable avoir créé un répertoire ~/Ubuntu One/.Encrypted comme décrit dans le début de cet article. | encrypted

160 Mot inconnu : pam_mount => Installer pam_mount | pam_mount

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     sudo apt-get install  libpam-mount libpam-encfs |      => suggestions : ['']
162 Mot inconnu : sudo =>     sudo apt-get install  libpam-mount libpam-encfs | sudo
162 Mot inconnu : apt-get =>     sudo apt-get install  libpam-mount libpam-encfs | apt-get
162 Mot inconnu : install =>     sudo apt-get install  libpam-mount libpam-encfs | install
162 Espace(s) surnuméraire(s) à supprimer. =>     sudo apt-get install  libpam-mount libpam-encfs |    => suggestions : [' ']
162 Mot inconnu : libpam-mount =>     sudo apt-get install  libpam-mount libpam-encfs | libpam-mount
162 Mot inconnu : libpam-encfs =>     sudo apt-get install  libpam-mount libpam-encfs | libpam-encfs

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     cd |      => suggestions : ['']

167 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     mkdir ~/Encrypted/ |      => suggestions : ['']
167 Mot inconnu : mkdir =>     mkdir ~/Encrypted/ | mkdir
167 Mot inconnu : Encrypted =>     mkdir ~/Encrypted/ | encrypted

168 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     ln -s ~/Ubuntu\ One/.Encrypted/ .Encrypted |      => suggestions : ['']
168 Il manque un espace à côté du tiret. =>     ln -s ~/Ubuntu\ One/.Encrypted/ .Encrypted |  - => suggestions : [' – ', ' — ']
168 Mot inconnu : One =>     ln -s ~/Ubuntu\ One/.Encrypted/ .Encrypted | one
168 Mot inconnu : Encrypted =>     ln -s ~/Ubuntu\ One/.Encrypted/ .Encrypted | encrypted
168 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>     ln -s ~/Ubuntu\ One/.Encrypted/ .Encrypted |  . => suggestions : ['. ', '.']
168 Mot inconnu : Encrypted =>     ln -s ~/Ubuntu\ One/.Encrypted/ .Encrypted | encrypted

170 Mot inconnu : Editer => Editer le fichier /etc/security/pam_mount.conf.xml | editer

171 Mot inconnu : definitions => Rechercher la ligne <!-- Volume definitions --> | definitions

174 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     <volume user="<<utilisateur>>" fstype="fuse" path="encfs#/home/<<utilisateur>>/.Encrypted" mountpoint="/home/<<utilisateur>>/Encrypted" /> |      => suggestions : ['']
174 Mot inconnu : fstype =>     <volume user="<<utilisateur>>" fstype="fuse" path="encfs#/home/<<utilisateur>>/.Encrypted" mountpoint="/home/<<utilisateur>>/Encrypted" /> | fstype
174 Guillemets typographiques ouvrants. =>     <volume user="<<utilisateur>>" fstype="fuse" path="encfs#/home/<<utilisateur>>/.Encrypted" mountpoint="/home/<<utilisateur>>/Encrypted" /> | " => suggestions : ['«\xa0', '“']
174 Guillemets typographiques fermants. =>     <volume user="<<utilisateur>>" fstype="fuse" path="encfs#/home/<<utilisateur>>/.Encrypted" mountpoint="/home/<<utilisateur>>/Encrypted" /> | " => suggestions : ['\xa0»', '”']
174 Mot inconnu : path =>     <volume user="<<utilisateur>>" fstype="fuse" path="encfs#/home/<<utilisateur>>/.Encrypted" mountpoint="/home/<<utilisateur>>/Encrypted" /> | path
174 Guillemets typographiques ouvrants. =>     <volume user="<<utilisateur>>" fstype="fuse" path="encfs#/home/<<utilisateur>>/.Encrypted" mountpoint="/home/<<utilisateur>>/Encrypted" /> | " => suggestions : ['«\xa0', '“']
174 Mot inconnu : encfs =>     <volume user="<<utilisateur>>" fstype="fuse" path="encfs#/home/<<utilisateur>>/.Encrypted" mountpoint="/home/<<utilisateur>>/Encrypted" /> | encfs
174 Mot inconnu : Encrypted =>     <volume user="<<utilisateur>>" fstype="fuse" path="encfs#/home/<<utilisateur>>/.Encrypted" mountpoint="/home/<<utilisateur>>/Encrypted" /> | encrypted
174 Guillemets typographiques fermants. =>     <volume user="<<utilisateur>>" fstype="fuse" path="encfs#/home/<<utilisateur>>/.Encrypted" mountpoint="/home/<<utilisateur>>/Encrypted" /> | " => suggestions : ['\xa0»', '”']
174 Mot inconnu : mountpoint =>     <volume user="<<utilisateur>>" fstype="fuse" path="encfs#/home/<<utilisateur>>/.Encrypted" mountpoint="/home/<<utilisateur>>/Encrypted" /> | mountpoint
174 Mot inconnu : Encrypted =>     <volume user="<<utilisateur>>" fstype="fuse" path="encfs#/home/<<utilisateur>>/.Encrypted" mountpoint="/home/<<utilisateur>>/Encrypted" /> | encrypted
174 Guillemets typographiques fermants. =>     <volume user="<<utilisateur>>" fstype="fuse" path="encfs#/home/<<utilisateur>>/.Encrypted" mountpoint="/home/<<utilisateur>>/Encrypted" /> | " => suggestions : ['\xa0»', '”']

