
5 Mot inconnu : Docky => ====== Docky ====== | docky
72 Mot inconnu : ctrl => Faire ctrl+X puis O et touche "Entrée" pour sauvegarder. | ctrl
72 Guillemets typographiques ouvrants. => Faire ctrl+X puis O et touche "Entrée" pour sauvegarder. | " => suggestions : ['«\xa0', '“']
72 Guillemets typographiques fermants. => Faire ctrl+X puis O et touche "Entrée" pour sauvegarder. | " => suggestions : ['\xa0»', '”']

85 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. => Puis on rend exécutables ces 2 scripts nouvellement crées: | crées => suggestions : ['crée']

106 Mot inconnu : rob1 => //Contributeur principal : rob1.\\  | rob1
106 Espace(s) en fin de ligne à supprimer. => //Contributeur principal : rob1.\\  |   => suggestions : ['']

107 Écriture invariable. Utilisez un point médian. => Autre(s) Contributeur(s) : metalux.// | autre(s) => suggestions : ['Autre·s']
107 Écriture invariable. Utilisez un point médian. => Autre(s) Contributeur(s) : metalux.// | contributeur(s) => suggestions : ['Contributeur·s']
107 Mot inconnu : metalux => Autre(s) Contributeur(s) : metalux.// | metalux
