
5 Mot inconnu : webmail => ====== Intégrer son webmail à Ubuntu ====== | webmail
57 Mot inconnu : imap =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap. | imap

60 Mot inconnu : Webmails => ==== Autres Webmails ==== | webmails

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **[[apt>coolmail]]** : un notifier de mail avec des effets graphiques ; |    => suggestions : ['']
62 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **[[apt>coolmail]]** : un notifier de mail avec des effets graphiques ; |  -  => suggestions : [' – ', ' — ', ' − ']
62 Mot inconnu : coolmail =>   - **[[apt>coolmail]]** : un notifier de mail avec des effets graphiques ; | coolmail
62 Conjugaison erronée. Accord avec “un…”. Le verbe devrait être à la 3ᵉ personne du singulier. =>   - **[[apt>coolmail]]** : un notifier de mail avec des effets graphiques ; | notifier => suggestions : ['notifie', 'notifia', 'notifiait']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **[[apt>bbmail]]** pour Blackbox / Fluxbox ; |    => suggestions : ['']
63 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **[[apt>bbmail]]** pour Blackbox / Fluxbox ; |  -  => suggestions : [' – ', ' — ', ' − ']
63 Mot inconnu : bbmail =>   - **[[apt>bbmail]]** pour Blackbox / Fluxbox ; | bbmail
63 Mot inconnu : Blackbox =>   - **[[apt>bbmail]]** pour Blackbox / Fluxbox ; | blackbox
63 Mot inconnu : Fluxbox =>   - **[[apt>bbmail]]** pour Blackbox / Fluxbox ; | fluxbox

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap |    => suggestions : ['']
64 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap |  -  => suggestions : [' – ', ' — ', ' − ']
64 Mot inconnu : xfce4-mailwatch-plugin =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap | xfce4-mailwatch-plugin
64 Mot inconnu : XOffice =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap | xoffice
64 Mot inconnu : Gmail =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap | gmail
64 Mot inconnu : pop3 =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap | pop3
64 Mot inconnu : imap =>   - **[[apt>xfce4-mailwatch-plugin]]** pour XOffice 4 : Gmail, pop3, imap | imap

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - **[[Mail notification]]** pop3, imap... |    => suggestions : ['']
65 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - **[[Mail notification]]** pop3, imap... |  -  => suggestions : [' – ', ' — ', ' − ']
65 Mot inconnu : pop3 =>   - **[[Mail notification]]** pop3, imap... | pop3
65 Mot inconnu : imap =>   - **[[Mail notification]]** pop3, imap... | imap
65 Typographie : points de suspension. Utilisez le caractère dédié. =>   - **[[Mail notification]]** pop3, imap... | ... => suggestions : ['…']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[liste_de_services_web_libres#courriel|Liste des services de courriel libres]] |    => suggestions : ['']
74 Mot inconnu : liste_de_services_web_libres =>   * [[liste_de_services_web_libres#courriel|Liste des services de courriel libres]] | liste_de_services_web_libres
