
3 Mot inconnu : Fvwm-crystal => ====== Fvwm-crystal ====== | fvwm-crystal
42 Mot inconnu : freedesktop => Sur le menu des applications, il est compatible avec les catégories additionnelles de la norme freedesktop, si bien que c'est le seul bureau où vous retrouverez toutes vos applications rangées dans des catégories ad-hoc au lieu de les avoir toutes entassées dans les catégories principales. Il faut le régénérer avoir installé des nouveau logiciels, cela se trouve dans le menu Préférences->Générez le menu des applications. | freedesktop
42 Accord de nombre erroné : « nouveau » devrait être au pluriel. => Sur le menu des applications, il est compatible avec les catégories additionnelles de la norme freedesktop, si bien que c'est le seul bureau où vous retrouverez toutes vos applications rangées dans des catégories ad-hoc au lieu de les avoir toutes entassées dans les catégories principales. Il faut le régénérer avoir installé des nouveau logiciels, cela se trouve dans le menu Préférences->Générez le menu des applications. | nouveau => suggestions : ['nouveaux']

45 Mot inconnu : Win_R => <note warning>Je vous déconseille de changer le réglage Menu sur le bureau, car le menu n'est pas disponible sur tous les thèmes depuis un bouton. Si bien que si vous oubliez son raccourci clavier (Alt+Win_R),  vous aurez perdu le menu.</note> | win_r
45 Espace(s) surnuméraire(s) à supprimer. => <note warning>Je vous déconseille de changer le réglage Menu sur le bureau, car le menu n'est pas disponible sur tous les thèmes depuis un bouton. Si bien que si vous oubliez son raccourci clavier (Alt+Win_R),  vous aurez perdu le menu.</note> |    => suggestions : [' ']
47 Mot inconnu : fvwm => Les screenshots se trouvent dans ~/.fvwm/screenshots | fvwm

49 Mot inconnu : personel => Vous pouvez créer un lien symbolique vers votre dossier personel avec la commande suivante : | personel

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ln -s ~/.fvwm/screenshots ~/screenshots |    => suggestions : ['']
51 Il manque un espace à côté du tiret. =>   ln -s ~/.fvwm/screenshots ~/screenshots |  - => suggestions : [' – ', ' — ']
51 Mot inconnu : fvwm =>   ln -s ~/.fvwm/screenshots ~/screenshots | fvwm

55 Mot inconnu : wallpapers => Vous pouvez créer un dossier wallpapers dans votre dossier personnel et taper la commande suivante pour créer un lien symbolique :  | wallpapers
55 Espace(s) en fin de ligne à supprimer. => Vous pouvez créer un dossier wallpapers dans votre dossier personnel et taper la commande suivante pour créer un lien symbolique :  |   => suggestions : ['']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ln -s /home/toi/wallpapers /usr/share/fvwm-crystal/fvwm/wallpapers |    => suggestions : ['']
57 Mot inconnu : sudo =>   sudo ln -s /home/toi/wallpapers /usr/share/fvwm-crystal/fvwm/wallpapers | sudo
57 Il manque un espace à côté du tiret. =>   sudo ln -s /home/toi/wallpapers /usr/share/fvwm-crystal/fvwm/wallpapers |  - => suggestions : [' – ', ' — ']

59 Typographie : points de suspension. Utilisez le caractère dédié. => Bien sur il faut remplacer **toi** par votre nom d'utilisateur... | ... => suggestions : ['…']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ln -s /usr/share/backgrounds /usr/share/fvwm-crystal/fvwm/wallpapers/ubuntu |    => suggestions : ['']
63 Mot inconnu : sudo =>   sudo ln -s /usr/share/backgrounds /usr/share/fvwm-crystal/fvwm/wallpapers/ubuntu | sudo
63 Il manque un espace à côté du tiret. =>   sudo ln -s /usr/share/backgrounds /usr/share/fvwm-crystal/fvwm/wallpapers/ubuntu |  - => suggestions : [' – ', ' — ']

65 Mot inconnu : Xmms => === Le menu Xmms === | xmms

66 Mot inconnu : fvwm-cristal => Par défaut fvwm-cristal utilise [[xmms]] ([[apt://xmms2|installer]]) pour lire la musique donc vous pouvez charger des playlists et gérer [[xmms]] sans l'ouvrir... | fvwm-cristal
66 Mot inconnu : xmms => Par défaut fvwm-cristal utilise [[xmms]] ([[apt://xmms2|installer]]) pour lire la musique donc vous pouvez charger des playlists et gérer [[xmms]] sans l'ouvrir... | xmms
66 Mot inconnu : xmms2 => Par défaut fvwm-cristal utilise [[xmms]] ([[apt://xmms2|installer]]) pour lire la musique donc vous pouvez charger des playlists et gérer [[xmms]] sans l'ouvrir... | xmms2
66 Mot inconnu : xmms => Par défaut fvwm-cristal utilise [[xmms]] ([[apt://xmms2|installer]]) pour lire la musique donc vous pouvez charger des playlists et gérer [[xmms]] sans l'ouvrir... | xmms
66 Typographie : points de suspension. Utilisez le caractère dédié. => Par défaut fvwm-cristal utilise [[xmms]] ([[apt://xmms2|installer]]) pour lire la musique donc vous pouvez charger des playlists et gérer [[xmms]] sans l'ouvrir... | ... => suggestions : ['…']

69 Typographie : points de suspension. Utilisez le caractère dédié. => C'est ici que vous trouverez vos logiciels installés... | ... => suggestions : ['…']

74 Mot inconnu : KDE => C'est un sélecteur de bureau virtuel comme il peut en avoir dans Mate ou KDE mais avec quelques spécificités : | kde

78 Pas d’espace après ce signe. => -- Vous pouvez vous déplacer ou vous voulez avec le clic droit de la souris ( même entre deux espaces de travail). | (  => suggestions : ['(']

80 Pas d’espace après ce signe. => -- Si vous cliquez n'importe où sur le bureau avec le bouton du milieu de la souris( mais pas dans une fenêtre ) vous pourrez passer d'un bureau a un autre juste en déplacent la souris ( plus rapide ) | (  => suggestions : ['(']
80 Pas d’espace avant ce signe. => -- Si vous cliquez n'importe où sur le bureau avec le bouton du milieu de la souris( mais pas dans une fenêtre ) vous pourrez passer d'un bureau a un autre juste en déplacent la souris ( plus rapide ) |  ) => suggestions : [')']
80 Pas d’espace après ce signe. => -- Si vous cliquez n'importe où sur le bureau avec le bouton du milieu de la souris( mais pas dans une fenêtre ) vous pourrez passer d'un bureau a un autre juste en déplacent la souris ( plus rapide ) | (  => suggestions : ['(']
80 Pas d’espace avant ce signe. => -- Si vous cliquez n'importe où sur le bureau avec le bouton du milieu de la souris( mais pas dans une fenêtre ) vous pourrez passer d'un bureau a un autre juste en déplacent la souris ( plus rapide ) |  ) => suggestions : [')']

84 Mot inconnu : desklet => C'est une zone de notification si vous utilisez des programmes qui tournent tout le temps (desklet, wifi, etc... ) | desklet
84 Un seul point après « etc. » => C'est une zone de notification si vous utilisez des programmes qui tournent tout le temps (desklet, wifi, etc... ) | etc... => suggestions : ['etc.']
84 Pas d’espace avant ce signe. => C'est une zone de notification si vous utilisez des programmes qui tournent tout le temps (desklet, wifi, etc... ) |  ) => suggestions : [')']

88 Il manque un trait d’union. => Vous pouvez réduire toutes les applications là dedans en cliquant ( sans relâcher sur la croix "fermer" de votre fenêtre, un menu va apparaître choisissez iconify | là dedans => suggestions : ['là-dedans']
88 Pas d’espace après ce signe. => Vous pouvez réduire toutes les applications là dedans en cliquant ( sans relâcher sur la croix "fermer" de votre fenêtre, un menu va apparaître choisissez iconify | (  => suggestions : ['(']
88 Guillemets typographiques ouvrants. => Vous pouvez réduire toutes les applications là dedans en cliquant ( sans relâcher sur la croix "fermer" de votre fenêtre, un menu va apparaître choisissez iconify | " => suggestions : ['«\xa0', '“']
88 Guillemets typographiques fermants. => Vous pouvez réduire toutes les applications là dedans en cliquant ( sans relâcher sur la croix "fermer" de votre fenêtre, un menu va apparaître choisissez iconify | " => suggestions : ['\xa0»', '”']
88 Mot inconnu : iconify => Vous pouvez réduire toutes les applications là dedans en cliquant ( sans relâcher sur la croix "fermer" de votre fenêtre, un menu va apparaître choisissez iconify | iconify

94 Typographie : points de suspension. Utilisez le caractère dédié. => Tout est dans le titre, passez de l'un à l'autre avec la souris... | ... => suggestions : ['…']

98 Pas d’espace après ce signe. => Rien de nouveau pour vous ( j'espère :!: ) | (  => suggestions : ['(']
98 Une de ces ponctuations est superflue. => Rien de nouveau pour vous ( j'espère :!: ) | :! => suggestions : [':', '!']
98 Pas d’espace avant ce signe. => Rien de nouveau pour vous ( j'espère :!: ) |  ) => suggestions : [')']

100 Accord de nombre erroné avec « truc ». => Si vous trouvez d'autres truc marquez les !!! | autres => suggestions : ['autre']
100 Accord de nombre erroné avec « autres ». => Si vous trouvez d'autres truc marquez les !!! | truc => suggestions : ['trucs']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT + TAB -- Changer de fenêtres. |      => suggestions : ['']
103 Mot inconnu : TAB =>     * ALT + TAB -- Changer de fenêtres. | tab

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT + F1 - ALT + F10 - de commutation de bureau virtuel, 1-10 |      => suggestions : ['']
104 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT + F1 - ALT + F10 - de commutation de bureau virtuel, 1-10 |  -  => suggestions : [' – ', ' — ', ' − ']
104 Mot inconnu : F10 =>     * ALT + F1 - ALT + F10 - de commutation de bureau virtuel, 1-10 | f10
104 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT + F1 - ALT + F10 - de commutation de bureau virtuel, 1-10 |  -  => suggestions : [' – ', ' — ', ' − ']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT + Escape - la commutation entre les deux ordinateurs de bureau récemment utilisée (cool stuff) |      => suggestions : ['']
105 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT + Escape - la commutation entre les deux ordinateurs de bureau récemment utilisée (cool stuff) |  -  => suggestions : [' – ', ' — ', ' − ']
105 Mot inconnu : stuff =>     * ALT + Escape - la commutation entre les deux ordinateurs de bureau récemment utilisée (cool stuff) | stuff

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Num-5 - changement d'approche entre les deux applications récentes (encore plus cool stuff!) |      => suggestions : ['']
106 Mot inconnu : Num-5 =>     * Num-5 - changement d'approche entre les deux applications récentes (encore plus cool stuff!) | num-5
106 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * Num-5 - changement d'approche entre les deux applications récentes (encore plus cool stuff!) |  -  => suggestions : [' – ', ' — ', ' − ']
106 Mot inconnu : stuff =>     * Num-5 - changement d'approche entre les deux applications récentes (encore plus cool stuff!) | stuff

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT + »- ouvre et ferme la fenêtre QuakeConsole - un terminal virtuel de Nice (qui peut être xterm, aterm ou mrxvt, gnome-terminal, selon notre choix) - L'administration vient de nulle part et se présente dans la partie supérieure du bureau |      => suggestions : ['']
107 Mot inconnu : QuakeConsole =>     * ALT + »- ouvre et ferme la fenêtre QuakeConsole - un terminal virtuel de Nice (qui peut être xterm, aterm ou mrxvt, gnome-terminal, selon notre choix) - L'administration vient de nulle part et se présente dans la partie supérieure du bureau | quakeconsole
107 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT + »- ouvre et ferme la fenêtre QuakeConsole - un terminal virtuel de Nice (qui peut être xterm, aterm ou mrxvt, gnome-terminal, selon notre choix) - L'administration vient de nulle part et se présente dans la partie supérieure du bureau |  -  => suggestions : [' – ', ' — ', ' − ']
107 Mot inconnu : xterm =>     * ALT + »- ouvre et ferme la fenêtre QuakeConsole - un terminal virtuel de Nice (qui peut être xterm, aterm ou mrxvt, gnome-terminal, selon notre choix) - L'administration vient de nulle part et se présente dans la partie supérieure du bureau | xterm
107 Mot inconnu : aterm =>     * ALT + »- ouvre et ferme la fenêtre QuakeConsole - un terminal virtuel de Nice (qui peut être xterm, aterm ou mrxvt, gnome-terminal, selon notre choix) - L'administration vient de nulle part et se présente dans la partie supérieure du bureau | aterm
107 Mot inconnu : mrxvt =>     * ALT + »- ouvre et ferme la fenêtre QuakeConsole - un terminal virtuel de Nice (qui peut être xterm, aterm ou mrxvt, gnome-terminal, selon notre choix) - L'administration vient de nulle part et se présente dans la partie supérieure du bureau | mrxvt
107 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT + »- ouvre et ferme la fenêtre QuakeConsole - un terminal virtuel de Nice (qui peut être xterm, aterm ou mrxvt, gnome-terminal, selon notre choix) - L'administration vient de nulle part et se présente dans la partie supérieure du bureau |  -  => suggestions : [' – ', ' — ', ' − ']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT + Maj + `- ouvre une nouvelle fenêtre de terminal (xterm, aterm, mrxvt, Eterm ou gnome-terminal) |      => suggestions : ['']
108 Mot inconnu : xterm =>     * ALT + Maj + `- ouvre une nouvelle fenêtre de terminal (xterm, aterm, mrxvt, Eterm ou gnome-terminal) | xterm
108 Mot inconnu : aterm =>     * ALT + Maj + `- ouvre une nouvelle fenêtre de terminal (xterm, aterm, mrxvt, Eterm ou gnome-terminal) | aterm
108 Mot inconnu : mrxvt =>     * ALT + Maj + `- ouvre une nouvelle fenêtre de terminal (xterm, aterm, mrxvt, Eterm ou gnome-terminal) | mrxvt
108 Mot inconnu : Eterm =>     * ALT + Maj + `- ouvre une nouvelle fenêtre de terminal (xterm, aterm, mrxvt, Eterm ou gnome-terminal) | eterm

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT +; - ouvre et ferme FvwmConsole - un endroit où nous pouvons regarder les journaux de FVWM, ainsi que des commandes et des scripts FVWM - utilisé habituellement pour lancer des applications personnalisées |      => suggestions : ['']
109 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT +; - ouvre et ferme FvwmConsole - un endroit où nous pouvons regarder les journaux de FVWM, ainsi que des commandes et des scripts FVWM - utilisé habituellement pour lancer des applications personnalisées |  -  => suggestions : [' – ', ' — ', ' − ']
109 Mot inconnu : FvwmConsole =>     * ALT +; - ouvre et ferme FvwmConsole - un endroit où nous pouvons regarder les journaux de FVWM, ainsi que des commandes et des scripts FVWM - utilisé habituellement pour lancer des applications personnalisées | fvwmconsole
109 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT +; - ouvre et ferme FvwmConsole - un endroit où nous pouvons regarder les journaux de FVWM, ainsi que des commandes et des scripts FVWM - utilisé habituellement pour lancer des applications personnalisées |  -  => suggestions : [' – ', ' — ', ' − ']
109 Mot inconnu : FVWM =>     * ALT +; - ouvre et ferme FvwmConsole - un endroit où nous pouvons regarder les journaux de FVWM, ainsi que des commandes et des scripts FVWM - utilisé habituellement pour lancer des applications personnalisées | fvwm
109 Mot inconnu : FVWM =>     * ALT +; - ouvre et ferme FvwmConsole - un endroit où nous pouvons regarder les journaux de FVWM, ainsi que des commandes et des scripts FVWM - utilisé habituellement pour lancer des applications personnalisées | fvwm
109 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT +; - ouvre et ferme FvwmConsole - un endroit où nous pouvons regarder les journaux de FVWM, ainsi que des commandes et des scripts FVWM - utilisé habituellement pour lancer des applications personnalisées |  -  => suggestions : [' – ', ' — ', ' − ']

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT + Menu - déclenche un spectacle de menu vers le haut (menu Diamond avec toutes les applications, etc) |      => suggestions : ['']
110 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT + Menu - déclenche un spectacle de menu vers le haut (menu Diamond avec toutes les applications, etc) |  -  => suggestions : [' – ', ' — ', ' − ']
110 Mot inconnu : Diamond =>     * ALT + Menu - déclenche un spectacle de menu vers le haut (menu Diamond avec toutes les applications, etc) | diamond

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT + = maximise la fenêtre courante (aller et retour) |      => suggestions : ['']

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT + Retour arrière réduit la fenêtre en cours à une icône de bureau |      => suggestions : ['']

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT + Maj + Retour arrière ferme la fenêtre courante |      => suggestions : ['']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT + Maj + = - plein écran (et le retour à une taille normale) |      => suggestions : ['']
114 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT + Maj + = - plein écran (et le retour à une taille normale) |  -  => suggestions : [' – ', ' — ', ' − ']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT + Z / B - piste précédente / suivante dans le lecteur de musique |      => suggestions : ['']
115 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT + Z / B - piste précédente / suivante dans le lecteur de musique |  -  => suggestions : [' – ', ' — ', ' − ']

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT + x / c / v - jouer / pause / stop musique |      => suggestions : ['']
116 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT + x / c / v - jouer / pause / stop musique |  -  => suggestions : [' – ', ' — ', ' − ']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ALT +. /, - Volume haut / bas  |      => suggestions : ['']
117 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     * ALT +. /, - Volume haut / bas  |  -  => suggestions : [' – ', ' — ', ' − ']
117 Espace(s) en fin de ligne à supprimer. =>     * ALT +. /, - Volume haut / bas  |   => suggestions : ['']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://browse.deviantart.com/customization/screenshots/nix/#order=9&q=fvwm|Deviantart]] |    => suggestions : ['']

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * http://www.as.ua.edu/~flux/fvwm/ |    => suggestions : ['']
123 Mot inconnu : fvwm =>   * http://www.as.ua.edu/~flux/fvwm/ | fvwm

133 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => ===== Applications a utiliser avec fvwm-crystal ===== | a => suggestions : ['à']
133 Incohérence probable avec “a” : “utiliser” n’est pas un participe passé. => ===== Applications a utiliser avec fvwm-crystal ===== | utiliser => suggestions : ['utilisé']
133 Mot inconnu : fvwm-crystal => ===== Applications a utiliser avec fvwm-crystal ===== | fvwm-crystal
135 S’il s’agit d’une préposition et non d’un adjectif, “plein” doit être au singulier. => Si vous n'utilisez que ce windows manager il faut faire attention aux dépendances qui vont vous être proposées à l'installation d'une application, une application venant de [[Gnome]] aura tendance à installer pleins de paquets liés à Gnome, et il en sera de même avec KDE. | pleins => suggestions : ['plein']
135 Mot inconnu : KDE => Si vous n'utilisez que ce windows manager il faut faire attention aux dépendances qui vont vous être proposées à l'installation d'une application, une application venant de [[Gnome]] aura tendance à installer pleins de paquets liés à Gnome, et il en sera de même avec KDE. | kde

137 Guillemets typographiques ouvrants. => Vous pouvez installer ce que vous voulez mais attention vous risquez de vous retrouver avec beaucoup de paquets dont vous direz "mais c'est quoi ce truc ? je ne l'ai jamais installé ! " | " => suggestions : ['«\xa0', '“']
137 Guillemets fermants. => Vous pouvez installer ce que vous voulez mais attention vous risquez de vous retrouver avec beaucoup de paquets dont vous direz "mais c'est quoi ce truc ? je ne l'ai jamais installé ! " |  " => suggestions : ['\xa0»', '”']

143 Mot inconnu : xmms => Normalement xmms est traitée comme une dépendance mais il existe par exemples des utilitaires pour la musique en mode console : [[moc]] pour le lancer tapez mocp dans une console et "?" pour afficher la liste des commandes. | xmms
143 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Normalement xmms est traitée comme une dépendance mais il existe par exemples des utilitaires pour la musique en mode console : [[moc]] pour le lancer tapez mocp dans une console et "?" pour afficher la liste des commandes. |  mais => suggestions : [', mais']
143 Mot inconnu : moc => Normalement xmms est traitée comme une dépendance mais il existe par exemples des utilitaires pour la musique en mode console : [[moc]] pour le lancer tapez mocp dans une console et "?" pour afficher la liste des commandes. | moc
143 Mot inconnu : mocp => Normalement xmms est traitée comme une dépendance mais il existe par exemples des utilitaires pour la musique en mode console : [[moc]] pour le lancer tapez mocp dans une console et "?" pour afficher la liste des commandes. | mocp
143 Guillemets fermants. => Normalement xmms est traitée comme une dépendance mais il existe par exemples des utilitaires pour la musique en mode console : [[moc]] pour le lancer tapez mocp dans une console et "?" pour afficher la liste des commandes. |  " => suggestions : ['\xa0»', '”']
143 Guillemets typographiques fermants. => Normalement xmms est traitée comme une dépendance mais il existe par exemples des utilitaires pour la musique en mode console : [[moc]] pour le lancer tapez mocp dans une console et "?" pour afficher la liste des commandes. | " => suggestions : ['\xa0»', '”']

145 Mot inconnu : fvwm-crystal => D'autres lecteurs sympathiques à utiliser avec fvwm-crystal sont alsaplayer, mpd et mplayer. | fvwm-crystal
145 Mot inconnu : alsaplayer => D'autres lecteurs sympathiques à utiliser avec fvwm-crystal sont alsaplayer, mpd et mplayer. | alsaplayer
145 Mot inconnu : mpd => D'autres lecteurs sympathiques à utiliser avec fvwm-crystal sont alsaplayer, mpd et mplayer. | mpd
145 Mot inconnu : mplayer => D'autres lecteurs sympathiques à utiliser avec fvwm-crystal sont alsaplayer, mpd et mplayer. | mplayer
149 Mot inconnu : xdg => Dans ces dernières versions, un gestionnaire de bureau natif a été ajouté. Il propose 3 groupes d'icônes: $HOME, les répertoires xdg utilisateurs ($HOME/Musique, etc.) et les partitions montées. Les deux premiers boutons de la souris peuvent être associés aux gestionnaires de fichiers de votre choix et même à des commandes personnalisées. Le bouton de droit est une menu contextuel qui soit vous indique le chemin associé à l'icône, soit dans le cas de $HOME, vous propose son menu de préférence. | xdg
149 Accord de genre erroné : « menu » est masculin. => Dans ces dernières versions, un gestionnaire de bureau natif a été ajouté. Il propose 3 groupes d'icônes: $HOME, les répertoires xdg utilisateurs ($HOME/Musique, etc.) et les partitions montées. Les deux premiers boutons de la souris peuvent être associés aux gestionnaires de fichiers de votre choix et même à des commandes personnalisées. Le bouton de droit est une menu contextuel qui soit vous indique le chemin associé à l'icône, soit dans le cas de $HOME, vous propose son menu de préférence. | une => suggestions : ['un']
