5 Mot inconnu : isc-dhcp-server => ====== Serveur PC : isc-dhcp-server ====== | isc-dhcp-server
14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * statiquement, en configurant le réseau directement sur l'ordinateur, |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * dynamiquement, avec un serveur DHCP qui attribue les adresses en fonction de son fichier de configuration. |    => suggestions : ['']

20 Mot inconnu : FIXME => FIXME<note tip><note important>tip</note><note important>important</note></note> | fixme
20 Mot inconnu : tip => FIXME<note tip><note important>tip</note><note important>important</note></note> | tip

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'un réseau local. |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Connaître les bases de TCP/IP (adressage, sous-réseaux, etc.). |    => suggestions : ['']
25 Mot inconnu : TCP =>   * Connaître les bases de TCP/IP (adressage, sous-réseaux, etc.). | tcp

29 Mot inconnu : isc-dhcp-server => isc-dhcp-server remplace dhcp3-server | isc-dhcp-server
29 Mot inconnu : dhcp3-server => isc-dhcp-server remplace dhcp3-server | dhcp3-server

37 Mot inconnu : dhcpd => Vous aurez également besoin d'éditer le fichier **/etc/default/isc-dhcp-server** pour spécifier les interfaces que dhcpd (le démon de isc-dhcp-server) devra écouter. Par défaut, il écoute l'interface eth0. | dhcpd
37 Élision de l’article devant un mot commençant par une voyelle. => Vous aurez également besoin d'éditer le fichier **/etc/default/isc-dhcp-server** pour spécifier les interfaces que dhcpd (le démon de isc-dhcp-server) devra écouter. Par défaut, il écoute l'interface eth0. | de  => suggestions : ['d’']
37 Mot inconnu : isc-dhcp-server => Vous aurez également besoin d'éditer le fichier **/etc/default/isc-dhcp-server** pour spécifier les interfaces que dhcpd (le démon de isc-dhcp-server) devra écouter. Par défaut, il écoute l'interface eth0. | isc-dhcp-server
37 Mot inconnu : eth0 => Vous aurez également besoin d'éditer le fichier **/etc/default/isc-dhcp-server** pour spécifier les interfaces que dhcpd (le démon de isc-dhcp-server) devra écouter. Par défaut, il écoute l'interface eth0. | eth0

45 Mot inconnu : Editer => Editer le fichier : | editer

49 Mot inconnu : add => # (add your comments here)  | add
49 Mot inconnu : your => # (add your comments here)  | your
49 Mot inconnu : comments => # (add your comments here)  | comments
49 Mot inconnu : here => # (add your comments here)  | here
49 Espace(s) en fin de ligne à supprimer. => # (add your comments here)  |   => suggestions : ['']

50 Mot inconnu : default-lease-time => default-lease-time 600; | default-lease-time

51 Mot inconnu : max-lease-time => max-lease-time 7200; | max-lease-time

52 Mot inconnu : subnet-mask => option subnet-mask 255.255.255.0; | subnet-mask

53 Mot inconnu : broadcast-address => option broadcast-address 192.168.1.255; | broadcast-address

54 Mot inconnu : routers => option routers 192.168.1.254; | routers

55 Mot inconnu : domain-name-servers => option domain-name-servers 192.168.1.1, 192.168.1.2; | domain-name-servers

56 Mot inconnu : domain-name => option domain-name "ubuntu-fr.lan"; | domain-name
56 Guillemets typographiques ouvrants. => option domain-name "ubuntu-fr.lan"; | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : ubuntu-fr => option domain-name "ubuntu-fr.lan"; | ubuntu-fr
56 Mot inconnu : lan => option domain-name "ubuntu-fr.lan"; | lan
56 Guillemets typographiques fermants. => option domain-name "ubuntu-fr.lan"; | " => suggestions : ['\xa0»', '”']

57 Mot inconnu : ntp-servers => option ntp-servers 192.168.1.254; | ntp-servers

59 Mot inconnu : subnet => subnet 192.168.1.0 netmask 255.255.255.0 { | subnet
59 Mot inconnu : netmask => subnet 192.168.1.0 netmask 255.255.255.0 { | netmask

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   range 192.168.1.10 192.168.1.100; |    => suggestions : ['']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   range 192.168.1.150 192.168.1.200; |    => suggestions : ['']

62 Espace(s) en fin de ligne à supprimer. => }  |   => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * un masque de sous réseau à 255.255.255.0 |    => suggestions : ['']
68 Il manque probablement un trait d’union. =>   * un masque de sous réseau à 255.255.255.0 | sous réseau => suggestions : ['sous-réseau']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une adresse de multi-diffusion à 192.168.1.255 |    => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une adresse de routeur/passerelle à 192.168.1.254 |    => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * des serveurs DNS à 192.168.1.1 et 192.168.1.2 |    => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * un suffixe DNS ubuntu-fr.lan |    => suggestions : ['']
72 Mot inconnu : ubuntu-fr =>   * un suffixe DNS ubuntu-fr.lan | ubuntu-fr
72 Mot inconnu : lan =>   * un suffixe DNS ubuntu-fr.lan | lan

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * un serveur de temps |    => suggestions : ['']

75 Mot inconnu : WINS => <note>Si vous devez spécifier un serveur WINS pour vos clients Windows, vous devez inclure l'option //netbios-name-servers// : | wins
75 Mot inconnu : netbios-name-servers => <note>Si vous devez spécifier un serveur WINS pour vos clients Windows, vous devez inclure l'option //netbios-name-servers// : | netbios-name-servers

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

80 Mot inconnu : host => Dans ce cas, l'adresse IP que reçoit le client est toujours la même. Pour cela il suffit d'ajouter une directive //host// dans la définition du subnet. Pour chaque client, il faut donner son adresse fixe en fonction de son adresse MAC. | host
80 Mot inconnu : subnet => Dans ce cas, l'adresse IP que reçoit le client est toujours la même. Pour cela il suffit d'ajouter une directive //host// dans la définition du subnet. Pour chaque client, il faut donner son adresse fixe en fonction de son adresse MAC. | subnet

83 Mot inconnu : deny => deny unknown-clients; | deny
83 Mot inconnu : unknown-clients => deny unknown-clients; | unknown-clients

85 Mot inconnu : subnet => subnet 192.168.1.0 netmask 255.255.255.0 { | subnet
85 Mot inconnu : netmask => subnet 192.168.1.0 netmask 255.255.255.0 { | netmask

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     host client1 { |      => suggestions : ['']
86 Mot inconnu : host =>     host client1 { | host
86 Mot inconnu : client1 =>     host client1 { | client1

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         hardware ethernet DD:GH:DF:E5:F7:D7; |          => suggestions : ['']
87 Mot inconnu : ethernet =>         hardware ethernet DD:GH:DF:E5:F7:D7; | ethernet
87 Mot inconnu : DD =>         hardware ethernet DD:GH:DF:E5:F7:D7; | dd
87 Il manque un espace. =>         hardware ethernet DD:GH:DF:E5:F7:D7; | gh => suggestions : [' GH']
87 Mot inconnu : DF =>         hardware ethernet DD:GH:DF:E5:F7:D7; | df
87 Il manque un espace. =>         hardware ethernet DD:GH:DF:E5:F7:D7; | e5 => suggestions : [' E5']
87 Mot inconnu : E5 =>         hardware ethernet DD:GH:DF:E5:F7:D7; | e5
87 Mot inconnu : F7 =>         hardware ethernet DD:GH:DF:E5:F7:D7; | f7
87 Il manque un espace. =>         hardware ethernet DD:GH:DF:E5:F7:D7; | d7 => suggestions : [' D7']
87 Mot inconnu : D7 =>         hardware ethernet DD:GH:DF:E5:F7:D7; | d7

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         fixed-address 192.168.1.20; |          => suggestions : ['']
88 Mot inconnu : fixed-address =>         fixed-address 192.168.1.20; | fixed-address

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     } |      => suggestions : ['']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     host client2 { |      => suggestions : ['']
90 Mot inconnu : host =>     host client2 { | host
90 Mot inconnu : client2 =>     host client2 { | client2

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         hardware ethernet 00:JJ:YU:38:AC:45; |          => suggestions : ['']
91 Mot inconnu : ethernet =>         hardware ethernet 00:JJ:YU:38:AC:45; | ethernet
91 Mot inconnu : JJ =>         hardware ethernet 00:JJ:YU:38:AC:45; | jj
91 Mot inconnu : YU =>         hardware ethernet 00:JJ:YU:38:AC:45; | yu
91 Il manque un espace. =>         hardware ethernet 00:JJ:YU:38:AC:45; | 38 => suggestions : [' 38']
91 Il manque un espace. =>         hardware ethernet 00:JJ:YU:38:AC:45; | 45 => suggestions : [' 45']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         fixed-address 192.168.1.21; |          => suggestions : ['']
92 Mot inconnu : fixed-address =>         fixed-address 192.168.1.21; | fixed-address

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     } |      => suggestions : ['']

97 Mot inconnu : deny => L'option **deny unknown-clients** 8-)interdit l'attribution d'une adresse IP à une station dont l'adresse MAC est inconnue du serveur.   | deny
97 Mot inconnu : unknown-clients => L'option **deny unknown-clients** 8-)interdit l'attribution d'une adresse IP à une station dont l'adresse MAC est inconnue du serveur.   | unknown-clients
97 Il manque un espace après la parenthèse. => L'option **deny unknown-clients** 8-)interdit l'attribution d'une adresse IP à une station dont l'adresse MAC est inconnue du serveur.   | ) => suggestions : [') ']
97 Espace(s) en fin de ligne à supprimer. => L'option **deny unknown-clients** 8-)interdit l'attribution d'une adresse IP à une station dont l'adresse MAC est inconnue du serveur.   |    => suggestions : ['']

101 Mot inconnu : Ecoutes => ===== Ecoutes sur plusieurs interfaces ===== | ecoutes

106 Guillemets typographiques ouvrants. => INTERFACES="eth0 eth1" | " => suggestions : ['«\xa0', '“']
106 Mot inconnu : eth0 => INTERFACES="eth0 eth1" | eth0
106 Mot inconnu : eth1 => INTERFACES="eth0 eth1" | eth1
106 Guillemets typographiques fermants. => INTERFACES="eth0 eth1" | " => suggestions : ['\xa0»', '”']

109 Mot inconnu : eth0 => Dans ce cas l'écoute se fait sur eth0 et eth1. | eth0
109 Mot inconnu : eth1 => Dans ce cas l'écoute se fait sur eth0 et eth1. | eth1

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le réseau internet (que nous ne configurons pas, l'interface connectée dessus obtient automatiquement son IP, par le serveur DHCP du FAI((Fournisseur d'accès à Internet)) ; ceci dit vous pouvez adapter la configuration afin d'intégrer le serveur DHCP sur un réseau local). |    => suggestions : ['']
116 Il manque un espace avant la parenthèse. =>   * Le réseau internet (que nous ne configurons pas, l'interface connectée dessus obtient automatiquement son IP, par le serveur DHCP du FAI((Fournisseur d'accès à Internet)) ; ceci dit vous pouvez adapter la configuration afin d'intégrer le serveur DHCP sur un réseau local). | ( => suggestions : [' (']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le réseau local ''192.168.1.*'' réservé aux serveurs (web, FTP, messagerie, etc.). |    => suggestions : ['']
117 Guillemets typographiques ouvrants. =>   * Le réseau local ''192.168.1.*'' réservé aux serveurs (web, FTP, messagerie, etc.). | '' => suggestions : ['«\xa0', '“']
117 Grands nombres : utilisez des espaces insécables plutôt que des points. =>   * Le réseau local ''192.168.1.*'' réservé aux serveurs (web, FTP, messagerie, etc.). | 192.168 => suggestions : ['192\xa0168']

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le réseau local ''192.168.2.*'' réservé aux clients (réseau local partagé). |    => suggestions : ['']
118 Guillemets typographiques ouvrants. =>   * Le réseau local ''192.168.2.*'' réservé aux clients (réseau local partagé). | '' => suggestions : ['«\xa0', '“']
118 Grands nombres : utilisez des espaces insécables plutôt que des points. =>   * Le réseau local ''192.168.2.*'' réservé aux clients (réseau local partagé). | 192.168 => suggestions : ['192\xa0168']
119 Guillemets typographiques ouvrants. => Il y a 4 autres machines sur les réseaux : ''192.168.1.2'' (nommée ''ftp''), ''192.168.1.3'' (nommée ''web''), ''192.168.1.4'' (nommée ''mail'') et ''192.168.2.2'' (nommée ''portable''). | '' => suggestions : ['«\xa0', '“']
119 Guillemets typographiques fermants. => Il y a 4 autres machines sur les réseaux : ''192.168.1.2'' (nommée ''ftp''), ''192.168.1.3'' (nommée ''web''), ''192.168.1.4'' (nommée ''mail'') et ''192.168.2.2'' (nommée ''portable''). | '' => suggestions : ['\xa0»', '”']
119 Guillemets typographiques ouvrants. => Il y a 4 autres machines sur les réseaux : ''192.168.1.2'' (nommée ''ftp''), ''192.168.1.3'' (nommée ''web''), ''192.168.1.4'' (nommée ''mail'') et ''192.168.2.2'' (nommée ''portable''). | '' => suggestions : ['«\xa0', '“']
119 Guillemets typographiques fermants. => Il y a 4 autres machines sur les réseaux : ''192.168.1.2'' (nommée ''ftp''), ''192.168.1.3'' (nommée ''web''), ''192.168.1.4'' (nommée ''mail'') et ''192.168.2.2'' (nommée ''portable''). | '' => suggestions : ['\xa0»', '”']
119 Guillemets typographiques ouvrants. => Il y a 4 autres machines sur les réseaux : ''192.168.1.2'' (nommée ''ftp''), ''192.168.1.3'' (nommée ''web''), ''192.168.1.4'' (nommée ''mail'') et ''192.168.2.2'' (nommée ''portable''). | '' => suggestions : ['«\xa0', '“']
119 Guillemets typographiques fermants. => Il y a 4 autres machines sur les réseaux : ''192.168.1.2'' (nommée ''ftp''), ''192.168.1.3'' (nommée ''web''), ''192.168.1.4'' (nommée ''mail'') et ''192.168.2.2'' (nommée ''portable''). | '' => suggestions : ['\xa0»', '”']
119 Guillemets typographiques ouvrants. => Il y a 4 autres machines sur les réseaux : ''192.168.1.2'' (nommée ''ftp''), ''192.168.1.3'' (nommée ''web''), ''192.168.1.4'' (nommée ''mail'') et ''192.168.2.2'' (nommée ''portable''). | '' => suggestions : ['«\xa0', '“']
119 Guillemets typographiques fermants. => Il y a 4 autres machines sur les réseaux : ''192.168.1.2'' (nommée ''ftp''), ''192.168.1.3'' (nommée ''web''), ''192.168.1.4'' (nommée ''mail'') et ''192.168.2.2'' (nommée ''portable''). | '' => suggestions : ['\xa0»', '”']

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Aucune machine inconnue ne se verra attribuer une adresse IP par DHCP (voir fichier de configuration //« option deny unknown-clients »//). |    => suggestions : ['']
120 Mot inconnu : deny =>   * Aucune machine inconnue ne se verra attribuer une adresse IP par DHCP (voir fichier de configuration //« option deny unknown-clients »//). | deny
120 Mot inconnu : unknown-clients =>   * Aucune machine inconnue ne se verra attribuer une adresse IP par DHCP (voir fichier de configuration //« option deny unknown-clients »//). | unknown-clients

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les interfaces sur lesquelles le serveur démarre doivent avoir une adresse quand le service dhcp démarre. On leur attribuera les adresses 192.168.1.1 et 192.168.2.1. (volontairement le réseau 192.168.0.0 n'est pas utilisé : il est souvent pris par le modem/routeur de votre FAI). |    => suggestions : ['']
123 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * les interfaces sur lesquelles le serveur démarre doivent avoir une adresse quand le service dhcp démarre. On leur attribuera les adresses 192.168.1.1 et 192.168.2.1. (volontairement le réseau 192.168.0.0 n'est pas utilisé : il est souvent pris par le modem/routeur de votre FAI). | les => suggestions : ['Les']
123 Mot inconnu : dhcp =>   * les interfaces sur lesquelles le serveur démarre doivent avoir une adresse quand le service dhcp démarre. On leur attribuera les adresses 192.168.1.1 et 192.168.2.1. (volontairement le réseau 192.168.0.0 n'est pas utilisé : il est souvent pris par le modem/routeur de votre FAI). | dhcp

135 Mot inconnu : server-name => server-name "dns.ubuntu-fr.lan"; | server-name
135 Guillemets typographiques ouvrants. => server-name "dns.ubuntu-fr.lan"; | " => suggestions : ['«\xa0', '“']
135 Mot inconnu : dns => server-name "dns.ubuntu-fr.lan"; | dns
135 Mot inconnu : ubuntu-fr => server-name "dns.ubuntu-fr.lan"; | ubuntu-fr
135 Mot inconnu : lan => server-name "dns.ubuntu-fr.lan"; | lan
135 Guillemets typographiques fermants. => server-name "dns.ubuntu-fr.lan"; | " => suggestions : ['\xa0»', '”']

138 Mot inconnu : authoritative => authoritative; | authoritative

141 Mot inconnu : subnet-mask => option subnet-mask 255.255.255.0; | subnet-mask

146 Mot inconnu : domain-name => option domain-name "ubuntu-fr.lan"; | domain-name
146 Guillemets typographiques ouvrants. => option domain-name "ubuntu-fr.lan"; | " => suggestions : ['«\xa0', '“']
146 Mot inconnu : ubuntu-fr => option domain-name "ubuntu-fr.lan"; | ubuntu-fr
146 Mot inconnu : lan => option domain-name "ubuntu-fr.lan"; | lan
146 Guillemets typographiques fermants. => option domain-name "ubuntu-fr.lan"; | " => suggestions : ['\xa0»', '”']

149 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => # a remplacer par l ip de votre serveur dns ou par celle de votre fai | a => suggestions : ['à']
149 Incohérence probable avec “a” : “remplacer” n’est pas un participe passé. => # a remplacer par l ip de votre serveur dns ou par celle de votre fai | remplacer => suggestions : ['remplacé']
149 Mot inconnu : ip => # a remplacer par l ip de votre serveur dns ou par celle de votre fai | ip
149 Mot inconnu : dns => # a remplacer par l ip de votre serveur dns ou par celle de votre fai | dns
149 Mot inconnu : fai => # a remplacer par l ip de votre serveur dns ou par celle de votre fai | fai

150 Mot inconnu : domain-name-servers => option domain-name-servers XXX.XXX.XXX.XXX; | domain-name-servers
150 Il manque un espace. => option domain-name-servers XXX.XXX.XXX.XXX; | xxx => suggestions : [' XXX']

153 Mot inconnu : ddns-update-style => ddns-update-style none; | ddns-update-style

156 Mot inconnu : default-lease-time => default-lease-time 3600; | default-lease-time

157 Mot inconnu : max-lease-time => max-lease-time 7200; | max-lease-time

161 Il manque un espace avant la parenthèse. => ## refus(deny)/autorise(allow) les clients inconnus (refuse client inconnu) | ( => suggestions : [' (']
161 Mot inconnu : deny => ## refus(deny)/autorise(allow) les clients inconnus (refuse client inconnu) | deny
161 Il manque un espace avant la parenthèse. => ## refus(deny)/autorise(allow) les clients inconnus (refuse client inconnu) | ( => suggestions : [' (']
161 Mot inconnu : allow => ## refus(deny)/autorise(allow) les clients inconnus (refuse client inconnu) | allow

162 Mot inconnu : deny => deny unknown-clients; | deny
162 Mot inconnu : unknown-clients => deny unknown-clients; | unknown-clients

164 Mot inconnu : this => ## Use this to send dhcp log messages to a different log file (you also | this
164 Mot inconnu : to => ## Use this to send dhcp log messages to a different log file (you also | to
164 Mot inconnu : send => ## Use this to send dhcp log messages to a different log file (you also | send
164 Mot inconnu : dhcp => ## Use this to send dhcp log messages to a different log file (you also | dhcp
164 Mot inconnu : to => ## Use this to send dhcp log messages to a different log file (you also | to
164 Mot inconnu : different => ## Use this to send dhcp log messages to a different log file (you also | different
164 Mot inconnu : you => ## Use this to send dhcp log messages to a different log file (you also | you
164 Mot inconnu : also => ## Use this to send dhcp log messages to a different log file (you also | also

165 Mot inconnu : to => ## have to hack syslog.conf to complete the redirection). | to
165 Mot inconnu : hack => ## have to hack syslog.conf to complete the redirection). | hack
165 Mot inconnu : syslog => ## have to hack syslog.conf to complete the redirection). | syslog
165 Il manque un espace. => ## have to hack syslog.conf to complete the redirection). | conf => suggestions : [' conf']
165 Mot inconnu : to => ## have to hack syslog.conf to complete the redirection). | to
165 Mot inconnu : complete => ## have to hack syslog.conf to complete the redirection). | complete
165 Mot inconnu : the => ## have to hack syslog.conf to complete the redirection). | the

166 Mot inconnu : log-facility => log-facility local7; | log-facility
166 Mot inconnu : local7 => log-facility local7; | local7

168 Mot inconnu : PXE => ### PXE ### | pxe

169 Mot inconnu : boot => ## Permet le boot réseau pour TFTP  | boot
169 Mot inconnu : TFTP => ## Permet le boot réseau pour TFTP  | tftp
169 Espace(s) en fin de ligne à supprimer. => ## Permet le boot réseau pour TFTP  |   => suggestions : ['']

170 Mot inconnu : allow => allow bootp; | allow
170 Mot inconnu : bootp => allow bootp; | bootp

171 Mot inconnu : allow => allow booting; | allow
171 Mot inconnu : booting => allow booting; | booting

174 Grands nombres : utilisez des espaces insécables plutôt que des points. => ## déclaration sous réseau 192.168.1.* | 192.168 => suggestions : ['192\xa0168']

175 Mot inconnu : subnet => subnet 192.168.1.0 netmask 255.255.255.0 { | subnet
175 Mot inconnu : netmask => subnet 192.168.1.0 netmask 255.255.255.0 { | netmask

176 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Si vous voulez spécifier un domaine différent de celui par défaut : |    => suggestions : ['']

177 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   option domain-name "ubuntu-fr.lan"; |    => suggestions : ['']
177 Mot inconnu : domain-name =>   option domain-name "ubuntu-fr.lan"; | domain-name
177 Guillemets typographiques ouvrants. =>   option domain-name "ubuntu-fr.lan"; | " => suggestions : ['«\xa0', '“']
177 Mot inconnu : ubuntu-fr =>   option domain-name "ubuntu-fr.lan"; | ubuntu-fr
177 Mot inconnu : lan =>   option domain-name "ubuntu-fr.lan"; | lan
177 Guillemets typographiques fermants. =>   option domain-name "ubuntu-fr.lan"; | " => suggestions : ['\xa0»', '”']

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ## Adresse de diffusion  |    => suggestions : ['']
178 Espace(s) en fin de ligne à supprimer. =>   ## Adresse de diffusion  |   => suggestions : ['']

179 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   option broadcast-address 192.168.1.255; |    => suggestions : ['']
179 Mot inconnu : broadcast-address =>   option broadcast-address 192.168.1.255; | broadcast-address

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ## Serveurs DNS  |    => suggestions : ['']
180 Espace(s) en fin de ligne à supprimer. =>   ## Serveurs DNS  |   => suggestions : ['']

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   option domain-name-servers 8.8.8.8, 1.1.1.1; |    => suggestions : ['']
181 Mot inconnu : domain-name-servers =>   option domain-name-servers 8.8.8.8, 1.1.1.1; | domain-name-servers

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ## routeur par défaut |    => suggestions : ['']

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   option routers 192.168.1.1; |    => suggestions : ['']
