
5 Mot inconnu : Creator [[11:18]] => ====== USB Creator ====== <|> creator
70 Guillemets typographiques ouvrants. [[43:44]] => b/ Démarrer le PC sur le live-USB. La zone "non allouée" est **automatiquement gravée en ext4 lors du démarrage** (qui peut prendre plusieurs minutes), __mais__ les droits sur cette 2e partition sont **root:root**. Donc elle est à peu près invisible et inutilisable (c'est la raison du blocage initiale de l'espace libre pour les transferts de fichiers).  <|> " => suggestions : « “
70 Guillemets typographiques fermants. [[55:56]] => b/ Démarrer le PC sur le live-USB. La zone "non allouée" est **automatiquement gravée en ext4 lors du démarrage** (qui peut prendre plusieurs minutes), __mais__ les droits sur cette 2e partition sont **root:root**. Donc elle est à peu près invisible et inutilisable (c'est la raison du blocage initiale de l'espace libre pour les transferts de fichiers).  <|> " => suggestions :  »”
70 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[178:180]] => b/ Démarrer le PC sur le live-USB. La zone "non allouée" est **automatiquement gravée en ext4 lors du démarrage** (qui peut prendre plusieurs minutes), __mais__ les droits sur cette 2e partition sont **root:root**. Donc elle est à peu près invisible et inutilisable (c'est la raison du blocage initiale de l'espace libre pour les transferts de fichiers).  <|> tt => suggestions : 2ᵉ
70 Il manque un espace. [[203:207]] => b/ Démarrer le PC sur le live-USB. La zone "non allouée" est **automatiquement gravée en ext4 lors du démarrage** (qui peut prendre plusieurs minutes), __mais__ les droits sur cette 2e partition sont **root:root**. Donc elle est à peu près invisible et inutilisable (c'est la raison du blocage initiale de l'espace libre pour les transferts de fichiers).  <|> oot: => suggestions :  root
70 Espace(s) en fin de ligne à supprimer. [[350:351]] => b/ Démarrer le PC sur le live-USB. La zone "non allouée" est **automatiquement gravée en ext4 lors du démarrage** (qui peut prendre plusieurs minutes), __mais__ les droits sur cette 2e partition sont **root:root**. Donc elle est à peu près invisible et inutilisable (c'est la raison du blocage initiale de l'espace libre pour les transferts de fichiers).  <|> r
74 Guillemets typographiques ouvrants. [[56:57]] => d/ Reformater la partition **ext4** en **FAT32** : menu "partition" > "formater la partition" > choisir le format **FAT32**. <|> " => suggestions : « “
74 Guillemets typographiques fermants. [[66:67]] => d/ Reformater la partition **ext4** en **FAT32** : menu "partition" > "formater la partition" > choisir le format **FAT32**. <|> " => suggestions :  »”
74 Guillemets typographiques ouvrants. [[70:71]] => d/ Reformater la partition **ext4** en **FAT32** : menu "partition" > "formater la partition" > choisir le format **FAT32**. <|> " => suggestions : « “
74 Guillemets typographiques fermants. [[92:93]] => d/ Reformater la partition **ext4** en **FAT32** : menu "partition" > "formater la partition" > choisir le format **FAT32**. <|> " => suggestions :  »”

76 Accord de genre erroné : « clé » est féminin. [[20:22]] => Vous avez désormais un clé "double emplois", qui fait à la fois live-USB et clé d'échange classique. Il faut bien sur que la clé soit assez grosse pour que ce soit intéressant. <|> un => suggestions : une
76 Guillemets typographiques ouvrants. [[27:28]] => Vous avez désormais un clé "double emplois", qui fait à la fois live-USB et clé d'échange classique. Il faut bien sur que la clé soit assez grosse pour que ce soit intéressant. <|> " => suggestions : « “
76 Guillemets typographiques fermants. [[42:43]] => Vous avez désormais un clé "double emplois", qui fait à la fois live-USB et clé d'échange classique. Il faut bien sur que la clé soit assez grosse pour que ce soit intéressant. <|> " => suggestions :  »”
76 Confusion probable : “sur” est une préposition ou un adjectif signifiant acide ou aigre ; utilisez “sûr” pour certain, vrai ou sans danger. [[114:117]] => Vous avez désormais un clé "double emplois", qui fait à la fois live-USB et clé d'échange classique. Il faut bien sur que la clé soit assez grosse pour que ce soit intéressant. <|> sur => suggestions : sûr
83 Guillemets typographiques ouvrants. [[16:17]] =>   * puis **menu "options du disque"** (en haut à droite de l’écran) > "formater le disque" > option "MBR/DOS" (supprime tous le contenu, toutes les partitions) ; <|> " => suggestions : « “
83 Guillemets typographiques fermants. [[34:35]] =>   * puis **menu "options du disque"** (en haut à droite de l’écran) > "formater le disque" > option "MBR/DOS" (supprime tous le contenu, toutes les partitions) ; <|> " => suggestions :  »”
83 Guillemets typographiques ouvrants. [[70:71]] =>   * puis **menu "options du disque"** (en haut à droite de l’écran) > "formater le disque" > option "MBR/DOS" (supprime tous le contenu, toutes les partitions) ; <|> " => suggestions : « “
83 Guillemets typographiques fermants. [[89:90]] =>   * puis **menu "options du disque"** (en haut à droite de l’écran) > "formater le disque" > option "MBR/DOS" (supprime tous le contenu, toutes les partitions) ; <|> " => suggestions :  »”
83 Guillemets typographiques ouvrants. [[100:101]] =>   * puis **menu "options du disque"** (en haut à droite de l’écran) > "formater le disque" > option "MBR/DOS" (supprime tous le contenu, toutes les partitions) ; <|> " => suggestions : « “
83 Guillemets typographiques fermants. [[108:109]] =>   * puis **menu "options du disque"** (en haut à droite de l’écran) > "formater le disque" > option "MBR/DOS" (supprime tous le contenu, toutes les partitions) ; <|> " => suggestions :  »”
84 Guillemets typographiques ouvrants. [[16:17]] =>   * puis **menu "options de partition supplémentaires"** (en dessous des partitions) > "créer une partition dans l'espace non alloué" > "suivant" > cocher "compatible avec tous les systèmes et périphériques (FAT)" > "Créer". <|> " => suggestions : « “
84 Guillemets typographiques fermants. [[53:54]] =>   * puis **menu "options de partition supplémentaires"** (en dessous des partitions) > "créer une partition dans l'espace non alloué" > "suivant" > cocher "compatible avec tous les systèmes et périphériques (FAT)" > "Créer". <|> " => suggestions :  »”
84 Guillemets typographiques ouvrants. [[87:88]] =>   * puis **menu "options de partition supplémentaires"** (en dessous des partitions) > "créer une partition dans l'espace non alloué" > "suivant" > cocher "compatible avec tous les systèmes et périphériques (FAT)" > "Créer". <|> " => suggestions : « “
84 Guillemets typographiques fermants. [[132:133]] =>   * puis **menu "options de partition supplémentaires"** (en dessous des partitions) > "créer une partition dans l'espace non alloué" > "suivant" > cocher "compatible avec tous les systèmes et périphériques (FAT)" > "Créer". <|> " => suggestions :  »”
84 Guillemets typographiques ouvrants. [[136:137]] =>   * puis **menu "options de partition supplémentaires"** (en dessous des partitions) > "créer une partition dans l'espace non alloué" > "suivant" > cocher "compatible avec tous les systèmes et périphériques (FAT)" > "Créer". <|> " => suggestions : « “
84 Guillemets typographiques fermants. [[144:145]] =>   * puis **menu "options de partition supplémentaires"** (en dessous des partitions) > "créer une partition dans l'espace non alloué" > "suivant" > cocher "compatible avec tous les systèmes et périphériques (FAT)" > "Créer". <|> " => suggestions :  »”
84 Guillemets typographiques ouvrants. [[155:156]] =>   * puis **menu "options de partition supplémentaires"** (en dessous des partitions) > "créer une partition dans l'espace non alloué" > "suivant" > cocher "compatible avec tous les systèmes et périphériques (FAT)" > "Créer". <|> " => suggestions : « “
84 Guillemets typographiques ouvrants. [[216:217]] =>   * puis **menu "options de partition supplémentaires"** (en dessous des partitions) > "créer une partition dans l'espace non alloué" > "suivant" > cocher "compatible avec tous les systèmes et périphériques (FAT)" > "Créer". <|> " => suggestions : « “
84 Guillemets typographiques fermants. [[222:223]] =>   * puis **menu "options de partition supplémentaires"** (en dessous des partitions) > "créer une partition dans l'espace non alloué" > "suivant" > cocher "compatible avec tous les systèmes et périphériques (FAT)" > "Créer". <|> " => suggestions :  »”

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  
