
3 Mot inconnu : Extundelete => ======Extundelete====== | extundelete
19 Guillemets typographiques fermants. => ==== Dans une instance "live". ==== | " => suggestions : ['\xa0»', '”']

23 Mot inconnu : sudo => sudo apt install extundelete</code> | sudo
23 Mot inconnu : install => sudo apt install extundelete</code> | install
23 Mot inconnu : extundelete => sudo apt install extundelete</code> | extundelete
25 Espace(s) en fin de ligne à supprimer. => <note importante>Points-clefs :\\  |   => suggestions : ['']

26 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - **La partition source** (celle qui contient les éléments à récupérer) **doit être démontée.**\\  | -  => suggestions : ['—\xa0', '–\xa0']
26 Espace(s) en fin de ligne à supprimer. => - **La partition source** (celle qui contient les éléments à récupérer) **doit être démontée.**\\  |   => suggestions : ['']

27 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Ne pas mettre de barre oblique au début du chemin d'accès à la source. Ni au début du chemin d'accès à la destination.\\  | -  => suggestions : ['—\xa0', '–\xa0']
27 Espace(s) en fin de ligne à supprimer. => - Ne pas mettre de barre oblique au début du chemin d'accès à la source. Ni au début du chemin d'accès à la destination.\\  |   => suggestions : ['']

28 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Le répertoire de destination est par défaut le répertoire courant. Si on veut en spécifier un autre, il faut écrire : | -  => suggestions : ['—\xa0', '–\xa0']

35 Mot inconnu : extundelete => Se positionner dans un répertoire, idéalement vide afin que extundelete puisse y déposer les fichiers récupérés. Puis exécuter la commande  | extundelete
35 Espace(s) en fin de ligne à supprimer. => Se positionner dans un répertoire, idéalement vide afin que extundelete puisse y déposer les fichiers récupérés. Puis exécuter la commande  |   => suggestions : ['']

39 Mot inconnu : sdxn => pour récupérer l'ensemble des fichiers supprimés sur le volume sdxn | sdxn

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Faire en sorte que le volume contenant le répertoire ne soit pas utilisé.  Cela peut obliger à changer d'instance. |    => suggestions : ['']
43 Espace(s) surnuméraire(s) à supprimer. =>   * Faire en sorte que le volume contenant le répertoire ne soit pas utilisé.  Cela peut obliger à changer d'instance. |    => suggestions : [' ']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Se positionner dans un répertoire ayant suffisamment d'espace pour recevoir la duplication de la récupération. |    => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Trouver la  référence de l'instant en retranchant suffisamment de temps: Par exemple // bash -c  "date '+%s' -d '- 1440 minutes' " // |    => suggestions : ['']
45 Espace(s) surnuméraire(s) à supprimer. =>   * Trouver la  référence de l'instant en retranchant suffisamment de temps: Par exemple // bash -c  "date '+%s' -d '- 1440 minutes' " // |    => suggestions : [' ']
45 Mot inconnu : bash =>   * Trouver la  référence de l'instant en retranchant suffisamment de temps: Par exemple // bash -c  "date '+%s' -d '- 1440 minutes' " // | bash
45 Il manque un espace à côté du tiret. =>   * Trouver la  référence de l'instant en retranchant suffisamment de temps: Par exemple // bash -c  "date '+%s' -d '- 1440 minutes' " // |  - => suggestions : [' – ', ' — ']
45 Espace(s) surnuméraire(s) à supprimer. =>   * Trouver la  référence de l'instant en retranchant suffisamment de temps: Par exemple // bash -c  "date '+%s' -d '- 1440 minutes' " // |    => suggestions : [' ']
45 Guillemets typographiques ouvrants. =>   * Trouver la  référence de l'instant en retranchant suffisamment de temps: Par exemple // bash -c  "date '+%s' -d '- 1440 minutes' " // | " => suggestions : ['«\xa0', '“']
45 Il manque un espace. =>   * Trouver la  référence de l'instant en retranchant suffisamment de temps: Par exemple // bash -c  "date '+%s' -d '- 1440 minutes' " // | s => suggestions : [' s']
45 Guillemets typographiques fermants. =>   * Trouver la  référence de l'instant en retranchant suffisamment de temps: Par exemple // bash -c  "date '+%s' -d '- 1440 minutes' " // | ' => suggestions : ['”', '’', '›']
45 Guillemets typographiques fermants. =>   * Trouver la  référence de l'instant en retranchant suffisamment de temps: Par exemple // bash -c  "date '+%s' -d '- 1440 minutes' " // | ' => suggestions : ['”', '’', '›']
45 Guillemets isolés. =>   * Trouver la  référence de l'instant en retranchant suffisamment de temps: Par exemple // bash -c  "date '+%s' -d '- 1440 minutes' " // |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lancer la récupération. A titre d'exemple: |    => suggestions : ['']
46 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. =>   * Lancer la récupération. A titre d'exemple: | a => suggestions : ['À']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ne reste plus qu'à explorer le contenu du répertoire de réception. |    => suggestions : ['']

51 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Ne pas oublier de mettre le clavier en français via la commande   **setxkbmap fr**. | -  => suggestions : ['—\xa0', '–\xa0']
51 Espace(s) surnuméraire(s) à supprimer. => - Ne pas oublier de mettre le clavier en français via la commande   **setxkbmap fr**. |     => suggestions : [' ']
51 Mot inconnu : setxkbmap => - Ne pas oublier de mettre le clavier en français via la commande   **setxkbmap fr**. | setxkbmap

53 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Préparer un support de récupération ayant une partition formatée en EXT4. | -  => suggestions : ['—\xa0', '–\xa0']
53 Mot inconnu : EXT4 => - Préparer un support de récupération ayant une partition formatée en EXT4. | ext4

55 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Monter la partition via les commandes  | -  => suggestions : ['—\xa0', '–\xa0']
55 Espace(s) en fin de ligne à supprimer. => - Monter la partition via les commandes  |   => suggestions : ['']

57 Mot inconnu : sudo => sudo mount /dev/sdXN  /mnt/SORTIE</code> | sudo
57 Mot inconnu : mount => sudo mount /dev/sdXN  /mnt/SORTIE</code> | mount
57 Espace(s) surnuméraire(s) à supprimer. => sudo mount /dev/sdXN  /mnt/SORTIE</code> |    => suggestions : [' ']

58 Mot inconnu : XN => sans oublier de remplacer **XN** par les bonnes valeurs. (utiliser au besoin les commandes    **sudo blkid** et **sudo fdisk -l**). | xn
58 Espace(s) surnuméraire(s) à supprimer. => sans oublier de remplacer **XN** par les bonnes valeurs. (utiliser au besoin les commandes    **sudo blkid** et **sudo fdisk -l**). |      => suggestions : [' ']
58 Mot inconnu : sudo => sans oublier de remplacer **XN** par les bonnes valeurs. (utiliser au besoin les commandes    **sudo blkid** et **sudo fdisk -l**). | sudo
58 Mot inconnu : blkid => sans oublier de remplacer **XN** par les bonnes valeurs. (utiliser au besoin les commandes    **sudo blkid** et **sudo fdisk -l**). | blkid
58 Mot inconnu : sudo => sans oublier de remplacer **XN** par les bonnes valeurs. (utiliser au besoin les commandes    **sudo blkid** et **sudo fdisk -l**). | sudo
58 Mot inconnu : fdisk => sans oublier de remplacer **XN** par les bonnes valeurs. (utiliser au besoin les commandes    **sudo blkid** et **sudo fdisk -l**). | fdisk
58 Il manque un espace à côté du tiret. => sans oublier de remplacer **XN** par les bonnes valeurs. (utiliser au besoin les commandes    **sudo blkid** et **sudo fdisk -l**). |  - => suggestions : [' – ', ' — ']

60 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Créer un répertoire de récupération via la commande | -  => suggestions : ['—\xa0', '–\xa0']

63 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Lancer la récupération. Ci-desous, un exemple de récupération de tout ce qui a été modifié dans le répertoire /home depuis le   19/12/2017 12 heures 17 stocké dans la partition sda2. | -  => suggestions : ['—\xa0', '–\xa0']
63 Mot inconnu : Ci-desous => - Lancer la récupération. Ci-desous, un exemple de récupération de tout ce qui a été modifié dans le répertoire /home depuis le   19/12/2017 12 heures 17 stocké dans la partition sda2. | ci-desous
63 Espace(s) surnuméraire(s) à supprimer. => - Lancer la récupération. Ci-desous, un exemple de récupération de tout ce qui a été modifié dans le répertoire /home depuis le   19/12/2017 12 heures 17 stocké dans la partition sda2. |     => suggestions : [' ']
63 Mot inconnu : sda2 => - Lancer la récupération. Ci-desous, un exemple de récupération de tout ce qui a été modifié dans le répertoire /home depuis le   19/12/2017 12 heures 17 stocké dans la partition sda2. | sda2

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [[http://extundelete.sourceforge.net/|site officiel]] |    => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si le fichier est dans une partition NTFS, consulter https://www.howtogeek.com/howto/13706/recover-deleted-files-on-an-ntfs-hard-drive-from-a-ubuntu-live-cd/ |    => suggestions : ['']
78 Mot inconnu : NTFS =>   * Si le fichier est dans une partition NTFS, consulter https://www.howtogeek.com/howto/13706/recover-deleted-files-on-an-ntfs-hard-drive-from-a-ubuntu-live-cd/ | ntfs

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Le logiciel  est déjà installé (Ubuntu 16.04.2 ). |    => suggestions : ['']
79 Espace(s) surnuméraire(s) à supprimer. =>   Le logiciel  est déjà installé (Ubuntu 16.04.2 ). |    => suggestions : [' ']
79 Pas d’espace avant ce signe. =>   Le logiciel  est déjà installé (Ubuntu 16.04.2 ). |  ) => suggestions : [')']
