
7 Mot inconnu : Banshee => ====== Banshee : un gestionnaire multimédia ====== | banshee
88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * espace : Recherche tous les mots clés |    => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''OR'', ''|'', '','' : Recherche l'un ou l'autre des mots clés |    => suggestions : ['']
89 Guillemets typographiques ouvrants. =>   * ''OR'', ''|'', '','' : Recherche l'un ou l'autre des mots clés | '' => suggestions : ['«\xa0', '“']
89 Guillemets typographiques fermants. =>   * ''OR'', ''|'', '','' : Recherche l'un ou l'autre des mots clés | '' => suggestions : ['\xa0»', '”']
89 Guillemets fermants. =>   * ''OR'', ''|'', '','' : Recherche l'un ou l'autre des mots clés |  '' => suggestions : ['\xa0»', '”']
89 Guillemets typographiques fermants. =>   * ''OR'', ''|'', '','' : Recherche l'un ou l'autre des mots clés | '' => suggestions : ['\xa0»', '”']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''NOT'', ''not'', ''-'' : Recherche tout sauf le mot clé indiqué après l'opérateur NON |    => suggestions : ['']
90 Guillemets typographiques ouvrants. =>   * ''NOT'', ''not'', ''-'' : Recherche tout sauf le mot clé indiqué après l'opérateur NON | '' => suggestions : ['«\xa0', '“']
90 Mot inconnu : NOT =>   * ''NOT'', ''not'', ''-'' : Recherche tout sauf le mot clé indiqué après l'opérateur NON | not
90 Guillemets typographiques fermants. =>   * ''NOT'', ''not'', ''-'' : Recherche tout sauf le mot clé indiqué après l'opérateur NON | '' => suggestions : ['\xa0»', '”']
90 Guillemets typographiques ouvrants. =>   * ''NOT'', ''not'', ''-'' : Recherche tout sauf le mot clé indiqué après l'opérateur NON | '' => suggestions : ['«\xa0', '“']
90 Mot inconnu : not =>   * ''NOT'', ''not'', ''-'' : Recherche tout sauf le mot clé indiqué après l'opérateur NON | not
90 Guillemets typographiques fermants. =>   * ''NOT'', ''not'', ''-'' : Recherche tout sauf le mot clé indiqué après l'opérateur NON | '' => suggestions : ['\xa0»', '”']

94 Guillemets typographiques ouvrants. => Il est possible de limiter la recherche uniquement à certains champs en faisant précéder le mot clé par le nom du champ en anglais suivi de '':''. Par exemple, ''composer:haydn'' recherchera les morceaux dont le nom du compositeur contient //Haydn// | '' => suggestions : ['«\xa0', '“']
94 Il manque un espace. => Il est possible de limiter la recherche uniquement à certains champs en faisant précéder le mot clé par le nom du champ en anglais suivi de '':''. Par exemple, ''composer:haydn'' recherchera les morceaux dont le nom du compositeur contient //Haydn// | haydn => suggestions : [' haydn']
94 Mot inconnu : haydn => Il est possible de limiter la recherche uniquement à certains champs en faisant précéder le mot clé par le nom du champ en anglais suivi de '':''. Par exemple, ''composer:haydn'' recherchera les morceaux dont le nom du compositeur contient //Haydn// | haydn
94 Guillemets typographiques fermants. => Il est possible de limiter la recherche uniquement à certains champs en faisant précéder le mot clé par le nom du champ en anglais suivi de '':''. Par exemple, ''composer:haydn'' recherchera les morceaux dont le nom du compositeur contient //Haydn// | '' => suggestions : ['\xa0»', '”']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''artist'', ''by'', ''artists'' : Limite la recherche au nom de l'artiste |    => suggestions : ['']
96 Guillemets typographiques ouvrants. =>   * ''artist'', ''by'', ''artists'' : Limite la recherche au nom de l'artiste | '' => suggestions : ['«\xa0', '“']
96 Mot inconnu : artist =>   * ''artist'', ''by'', ''artists'' : Limite la recherche au nom de l'artiste | artist
96 Guillemets typographiques fermants. =>   * ''artist'', ''by'', ''artists'' : Limite la recherche au nom de l'artiste | '' => suggestions : ['\xa0»', '”']
96 Guillemets typographiques ouvrants. =>   * ''artist'', ''by'', ''artists'' : Limite la recherche au nom de l'artiste | '' => suggestions : ['«\xa0', '“']
96 Mot inconnu : by =>   * ''artist'', ''by'', ''artists'' : Limite la recherche au nom de l'artiste | by
96 Guillemets typographiques fermants. =>   * ''artist'', ''by'', ''artists'' : Limite la recherche au nom de l'artiste | '' => suggestions : ['\xa0»', '”']
96 Guillemets typographiques ouvrants. =>   * ''artist'', ''by'', ''artists'' : Limite la recherche au nom de l'artiste | '' => suggestions : ['«\xa0', '“']
96 Mot inconnu : artists =>   * ''artist'', ''by'', ''artists'' : Limite la recherche au nom de l'artiste | artists
96 Guillemets typographiques fermants. =>   * ''artist'', ''by'', ''artists'' : Limite la recherche au nom de l'artiste | '' => suggestions : ['\xa0»', '”']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''title'', ''titled'' : Limite la recherche au titre du morceau |    => suggestions : ['']
97 Guillemets typographiques ouvrants. =>   * ''title'', ''titled'' : Limite la recherche au titre du morceau | '' => suggestions : ['«\xa0', '“']
97 Mot inconnu : title =>   * ''title'', ''titled'' : Limite la recherche au titre du morceau | title
97 Guillemets typographiques fermants. =>   * ''title'', ''titled'' : Limite la recherche au titre du morceau | '' => suggestions : ['\xa0»', '”']
97 Guillemets typographiques ouvrants. =>   * ''title'', ''titled'' : Limite la recherche au titre du morceau | '' => suggestions : ['«\xa0', '“']
97 Mot inconnu : titled =>   * ''title'', ''titled'' : Limite la recherche au titre du morceau | titled
97 Guillemets typographiques fermants. =>   * ''title'', ''titled'' : Limite la recherche au titre du morceau | '' => suggestions : ['\xa0»', '”']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''album'', ''on'', ''from'' : Limite la recherche au titre de l'album |    => suggestions : ['']
98 Guillemets typographiques ouvrants. =>   * ''album'', ''on'', ''from'' : Limite la recherche au titre de l'album | '' => suggestions : ['«\xa0', '“']
98 Guillemets typographiques fermants. =>   * ''album'', ''on'', ''from'' : Limite la recherche au titre de l'album | '' => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. =>   * ''album'', ''on'', ''from'' : Limite la recherche au titre de l'album | '' => suggestions : ['«\xa0', '“']
98 Guillemets typographiques fermants. =>   * ''album'', ''on'', ''from'' : Limite la recherche au titre de l'album | '' => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. =>   * ''album'', ''on'', ''from'' : Limite la recherche au titre de l'album | '' => suggestions : ['«\xa0', '“']
98 Mot inconnu : from =>   * ''album'', ''on'', ''from'' : Limite la recherche au titre de l'album | from
98 Guillemets typographiques fermants. =>   * ''album'', ''on'', ''from'' : Limite la recherche au titre de l'album | '' => suggestions : ['\xa0»', '”']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''composer'' : Limite la recherche au nom du compositeur |    => suggestions : ['']
99 Guillemets typographiques ouvrants. =>   * ''composer'' : Limite la recherche au nom du compositeur | '' => suggestions : ['«\xa0', '“']
99 Guillemets typographiques fermants. =>   * ''composer'' : Limite la recherche au nom du compositeur | '' => suggestions : ['\xa0»', '”']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''disc'', ''discnum'', ''cd'' : Limite la recherche au numéro du disque |    => suggestions : ['']
100 Guillemets typographiques ouvrants. =>   * ''disc'', ''discnum'', ''cd'' : Limite la recherche au numéro du disque | '' => suggestions : ['«\xa0', '“']
100 Mot inconnu : disc =>   * ''disc'', ''discnum'', ''cd'' : Limite la recherche au numéro du disque | disc
100 Guillemets typographiques fermants. =>   * ''disc'', ''discnum'', ''cd'' : Limite la recherche au numéro du disque | '' => suggestions : ['\xa0»', '”']
100 Guillemets typographiques ouvrants. =>   * ''disc'', ''discnum'', ''cd'' : Limite la recherche au numéro du disque | '' => suggestions : ['«\xa0', '“']
100 Mot inconnu : discnum =>   * ''disc'', ''discnum'', ''cd'' : Limite la recherche au numéro du disque | discnum
100 Guillemets typographiques fermants. =>   * ''disc'', ''discnum'', ''cd'' : Limite la recherche au numéro du disque | '' => suggestions : ['\xa0»', '”']
100 Guillemets typographiques ouvrants. =>   * ''disc'', ''discnum'', ''cd'' : Limite la recherche au numéro du disque | '' => suggestions : ['«\xa0', '“']
100 Guillemets typographiques fermants. =>   * ''disc'', ''discnum'', ''cd'' : Limite la recherche au numéro du disque | '' => suggestions : ['\xa0»', '”']

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''year'', ''released'' : Limite la recherche à l'année |    => suggestions : ['']
101 Guillemets typographiques ouvrants. =>   * ''year'', ''released'' : Limite la recherche à l'année | '' => suggestions : ['«\xa0', '“']
101 Mot inconnu : year =>   * ''year'', ''released'' : Limite la recherche à l'année | year
101 Guillemets typographiques fermants. =>   * ''year'', ''released'' : Limite la recherche à l'année | '' => suggestions : ['\xa0»', '”']
101 Guillemets typographiques ouvrants. =>   * ''year'', ''released'' : Limite la recherche à l'année | '' => suggestions : ['«\xa0', '“']
101 Mot inconnu : released =>   * ''year'', ''released'' : Limite la recherche à l'année | released
101 Guillemets typographiques fermants. =>   * ''year'', ''released'' : Limite la recherche à l'année | '' => suggestions : ['\xa0»', '”']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''rating'', ''stars'' : Limite la recherche à la note du morceau |    => suggestions : ['']
102 Guillemets typographiques ouvrants. =>   * ''rating'', ''stars'' : Limite la recherche à la note du morceau | '' => suggestions : ['«\xa0', '“']
102 Guillemets typographiques fermants. =>   * ''rating'', ''stars'' : Limite la recherche à la note du morceau | '' => suggestions : ['\xa0»', '”']
102 Guillemets typographiques ouvrants. =>   * ''rating'', ''stars'' : Limite la recherche à la note du morceau | '' => suggestions : ['«\xa0', '“']
102 Guillemets typographiques fermants. =>   * ''rating'', ''stars'' : Limite la recherche à la note du morceau | '' => suggestions : ['\xa0»', '”']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''plays'', ''playcount'' : Limite la recherche au nombre de lectures du morceau |    => suggestions : ['']
103 Guillemets typographiques ouvrants. =>   * ''plays'', ''playcount'' : Limite la recherche au nombre de lectures du morceau | '' => suggestions : ['«\xa0', '“']
103 Mot inconnu : plays =>   * ''plays'', ''playcount'' : Limite la recherche au nombre de lectures du morceau | plays
103 Guillemets typographiques fermants. =>   * ''plays'', ''playcount'' : Limite la recherche au nombre de lectures du morceau | '' => suggestions : ['\xa0»', '”']
103 Guillemets typographiques ouvrants. =>   * ''plays'', ''playcount'' : Limite la recherche au nombre de lectures du morceau | '' => suggestions : ['«\xa0', '“']
103 Mot inconnu : playcount =>   * ''plays'', ''playcount'' : Limite la recherche au nombre de lectures du morceau | playcount
103 Guillemets typographiques fermants. =>   * ''plays'', ''playcount'' : Limite la recherche au nombre de lectures du morceau | '' => suggestions : ['\xa0»', '”']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''skips'', ''skipcount'' : Limite la recherche au nombre de fois où le morceau a été passé/sauté |    => suggestions : ['']
104 Guillemets typographiques ouvrants. =>   * ''skips'', ''skipcount'' : Limite la recherche au nombre de fois où le morceau a été passé/sauté | '' => suggestions : ['«\xa0', '“']
104 Mot inconnu : skips =>   * ''skips'', ''skipcount'' : Limite la recherche au nombre de fois où le morceau a été passé/sauté | skips
104 Guillemets typographiques fermants. =>   * ''skips'', ''skipcount'' : Limite la recherche au nombre de fois où le morceau a été passé/sauté | '' => suggestions : ['\xa0»', '”']
104 Guillemets typographiques ouvrants. =>   * ''skips'', ''skipcount'' : Limite la recherche au nombre de fois où le morceau a été passé/sauté | '' => suggestions : ['«\xa0', '“']
104 Mot inconnu : skipcount =>   * ''skips'', ''skipcount'' : Limite la recherche au nombre de fois où le morceau a été passé/sauté | skipcount
104 Guillemets typographiques fermants. =>   * ''skips'', ''skipcount'' : Limite la recherche au nombre de fois où le morceau a été passé/sauté | '' => suggestions : ['\xa0»', '”']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''path'', ''uri'', ''file'' : Limite la recherche au nom du fichier ou du dossier |    => suggestions : ['']
105 Guillemets typographiques ouvrants. =>   * ''path'', ''uri'', ''file'' : Limite la recherche au nom du fichier ou du dossier | '' => suggestions : ['«\xa0', '“']
105 Mot inconnu : path =>   * ''path'', ''uri'', ''file'' : Limite la recherche au nom du fichier ou du dossier | path
105 Guillemets typographiques fermants. =>   * ''path'', ''uri'', ''file'' : Limite la recherche au nom du fichier ou du dossier | '' => suggestions : ['\xa0»', '”']
105 Guillemets typographiques ouvrants. =>   * ''path'', ''uri'', ''file'' : Limite la recherche au nom du fichier ou du dossier | '' => suggestions : ['«\xa0', '“']
105 Mot inconnu : uri =>   * ''path'', ''uri'', ''file'' : Limite la recherche au nom du fichier ou du dossier | uri
105 Guillemets typographiques fermants. =>   * ''path'', ''uri'', ''file'' : Limite la recherche au nom du fichier ou du dossier | '' => suggestions : ['\xa0»', '”']
105 Guillemets typographiques ouvrants. =>   * ''path'', ''uri'', ''file'' : Limite la recherche au nom du fichier ou du dossier | '' => suggestions : ['«\xa0', '“']
105 Guillemets typographiques fermants. =>   * ''path'', ''uri'', ''file'' : Limite la recherche au nom du fichier ou du dossier | '' => suggestions : ['\xa0»', '”']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''mimetype'', ''type'', ''format'' : Limite la recherche à type Mime du fichier |    => suggestions : ['']
106 Guillemets typographiques ouvrants. =>   * ''mimetype'', ''type'', ''format'' : Limite la recherche à type Mime du fichier | '' => suggestions : ['«\xa0', '“']
106 Mot inconnu : mimetype =>   * ''mimetype'', ''type'', ''format'' : Limite la recherche à type Mime du fichier | mimetype
106 Guillemets typographiques fermants. =>   * ''mimetype'', ''type'', ''format'' : Limite la recherche à type Mime du fichier | '' => suggestions : ['\xa0»', '”']
106 Guillemets typographiques ouvrants. =>   * ''mimetype'', ''type'', ''format'' : Limite la recherche à type Mime du fichier | '' => suggestions : ['«\xa0', '“']
106 Guillemets typographiques fermants. =>   * ''mimetype'', ''type'', ''format'' : Limite la recherche à type Mime du fichier | '' => suggestions : ['\xa0»', '”']
106 Guillemets typographiques ouvrants. =>   * ''mimetype'', ''type'', ''format'' : Limite la recherche à type Mime du fichier | '' => suggestions : ['«\xa0', '“']
106 Guillemets typographiques fermants. =>   * ''mimetype'', ''type'', ''format'' : Limite la recherche à type Mime du fichier | '' => suggestions : ['\xa0»', '”']

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''lastplayed'', ''played'' : Limite la recherche à la dernière date/heure de lecture |    => suggestions : ['']
107 Guillemets typographiques ouvrants. =>   * ''lastplayed'', ''played'' : Limite la recherche à la dernière date/heure de lecture | '' => suggestions : ['«\xa0', '“']
107 Mot inconnu : lastplayed =>   * ''lastplayed'', ''played'' : Limite la recherche à la dernière date/heure de lecture | lastplayed
