
4 Mot inconnu : PCSX2 => ====== PCSX2 ====== | pcsx2
20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une copie du bios de la PlayStation 2. Recherchez un fichier nommé : "scph39001.bin" ou "scph30004r.bin". |    => suggestions : ['']
20 Accord de nombre erroné : « bios » devrait être au singulier. =>   * Une copie du bios de la PlayStation 2. Recherchez un fichier nommé : "scph39001.bin" ou "scph30004r.bin". | bios => suggestions : ['bio']
20 Mot inconnu : PlayStation =>   * Une copie du bios de la PlayStation 2. Recherchez un fichier nommé : "scph39001.bin" ou "scph30004r.bin". | playstation
20 Guillemets typographiques ouvrants. =>   * Une copie du bios de la PlayStation 2. Recherchez un fichier nommé : "scph39001.bin" ou "scph30004r.bin". | " => suggestions : ['«\xa0', '“']
20 Mot inconnu : scph39001 =>   * Une copie du bios de la PlayStation 2. Recherchez un fichier nommé : "scph39001.bin" ou "scph30004r.bin". | scph39001
20 Mot inconnu : bin =>   * Une copie du bios de la PlayStation 2. Recherchez un fichier nommé : "scph39001.bin" ou "scph30004r.bin". | bin
20 Guillemets typographiques fermants. =>   * Une copie du bios de la PlayStation 2. Recherchez un fichier nommé : "scph39001.bin" ou "scph30004r.bin". | " => suggestions : ['\xa0»', '”']
20 Guillemets typographiques ouvrants. =>   * Une copie du bios de la PlayStation 2. Recherchez un fichier nommé : "scph39001.bin" ou "scph30004r.bin". | " => suggestions : ['«\xa0', '“']
20 Mot inconnu : scph30004r =>   * Une copie du bios de la PlayStation 2. Recherchez un fichier nommé : "scph39001.bin" ou "scph30004r.bin". | scph30004r
20 Mot inconnu : bin =>   * Une copie du bios de la PlayStation 2. Recherchez un fichier nommé : "scph39001.bin" ou "scph30004r.bin". | bin
20 Guillemets typographiques fermants. =>   * Une copie du bios de la PlayStation 2. Recherchez un fichier nommé : "scph39001.bin" ou "scph30004r.bin". | " => suggestions : ['\xa0»', '”']

23 Accord de nombre erroné : « bios » devrait être au singulier. => Pour posséder une copie du bios de la PlayStation 2, vous devez obligatoirement posséder, chez vous, une console PlayStation 2 !</note> | bios => suggestions : ['bio']
23 Mot inconnu : PlayStation => Pour posséder une copie du bios de la PlayStation 2, vous devez obligatoirement posséder, chez vous, une console PlayStation 2 !</note> | playstation
23 Mot inconnu : PlayStation => Pour posséder une copie du bios de la PlayStation 2, vous devez obligatoirement posséder, chez vous, une console PlayStation 2 !</note> | playstation
28 Mot inconnu : libcg => **[[apt>libcg:i386,libwxgtk2:i386]]** | libcg
28 Mot inconnu : libwxgtk2 => **[[apt>libcg:i386,libwxgtk2:i386]]** | libwxgtk2

33 Espace(s) surnuméraire(s) à supprimer. => ==== Depuis les dépôts officiels  ==== |    => suggestions : [' ']

36 Mot inconnu : Flatpak => ==== Avec Flatpak ==== | flatpak

44 Mot inconnu : PCSX2 => Vous pouvez télécharger un binaire [[http://pcsx2.net/download/releases/linux.html|sur le site officiel de PCSX2]] | pcsx2
46 Mot inconnu : pcsx2 => Il s'agit d'un fichier compressé, il suffit de le décompresser et d'ouvrir le dossier créé; pour pcsx2, il suffira de double cliquer sur son exécutable. **N'oubliez pas de mettre le bios de la PS2 dans le dossier bios préalablement** | pcsx2
46 Accord de nombre erroné : « bios » est au pluriel. => Il s'agit d'un fichier compressé, il suffit de le décompresser et d'ouvrir le dossier créé; pour pcsx2, il suffira de double cliquer sur son exécutable. **N'oubliez pas de mettre le bios de la PS2 dans le dossier bios préalablement** | le => suggestions : ['les']
46 Accord de nombre erroné : « bios » devrait être au singulier. => Il s'agit d'un fichier compressé, il suffit de le décompresser et d'ouvrir le dossier créé; pour pcsx2, il suffira de double cliquer sur son exécutable. **N'oubliez pas de mettre le bios de la PS2 dans le dossier bios préalablement** | bios => suggestions : ['bio']
46 Mot inconnu : PS2 => Il s'agit d'un fichier compressé, il suffit de le décompresser et d'ouvrir le dossier créé; pour pcsx2, il suffira de double cliquer sur son exécutable. **N'oubliez pas de mettre le bios de la PS2 dans le dossier bios préalablement** | ps2
46 Accord de nombre erroné avec « le dossier » : « bios » devrait être au singulier. => Il s'agit d'un fichier compressé, il suffit de le décompresser et d'ouvrir le dossier créé; pour pcsx2, il suffira de double cliquer sur son exécutable. **N'oubliez pas de mettre le bios de la PS2 dans le dossier bios préalablement** | bios => suggestions : ['bio']

53 Accord de nombre erroné : « bios » est au pluriel. => mais avant de le lancer, assurez-vous d'avoir au préalable copié le bios | le => suggestions : ['les']
53 Accord de nombre erroné : « bios » devrait être au singulier. => mais avant de le lancer, assurez-vous d'avoir au préalable copié le bios | bios => suggestions : ['bio']

54 Mot inconnu : PS2 => de la PS2 dans le répertoire suivant : /home/nomdutilisateur/.pcsx2/bios. ou /home/nomdutilisateur/.config/PCSX2/bios | ps2

61 Accord de nombre erroné : « bios » devrait être au singulier. => Sélectionnez votre bios préféré dans la partie Bios, puis validez. | bios => suggestions : ['bio']
61 Accord de nombre erroné avec « la partie » : « Bios » devrait être au singulier. => Sélectionnez votre bios préféré dans la partie Bios, puis validez. | bios => suggestions : ['Bio']

63 Mot inconnu : PS2 => Si vous souhaitez charger vos jeux PS2 à partir d'images disque au lieu d'utiliser votre lecteur CD/DVD, sélectionnez alors le plugin : EFP Iso qui se trouve dans la partie Cdvdrom de la présente boite de dialogue. | ps2
63 Mot inconnu : EFP => Si vous souhaitez charger vos jeux PS2 à partir d'images disque au lieu d'utiliser votre lecteur CD/DVD, sélectionnez alors le plugin : EFP Iso qui se trouve dans la partie Cdvdrom de la présente boite de dialogue. | efp
63 Mot inconnu : Iso => Si vous souhaitez charger vos jeux PS2 à partir d'images disque au lieu d'utiliser votre lecteur CD/DVD, sélectionnez alors le plugin : EFP Iso qui se trouve dans la partie Cdvdrom de la présente boite de dialogue. | iso
63 Mot inconnu : Cdvdrom => Si vous souhaitez charger vos jeux PS2 à partir d'images disque au lieu d'utiliser votre lecteur CD/DVD, sélectionnez alors le plugin : EFP Iso qui se trouve dans la partie Cdvdrom de la présente boite de dialogue. | cdvdrom

65 Mot inconnu : PCSX2 => Rendez-vous dans le menu interne de PCSX2, Configuration/Cpu. Cochez les options | pcsx2
65 Mot inconnu : Cpu => Rendez-vous dans le menu interne de PCSX2, Configuration/Cpu. Cochez les options | cpu

66 Mot inconnu : Multi-Threaded => Multi-Threaded GS mode (MTGS) et Dual Core Mode (DC). Relancez PCSX2. | multi-threaded
66 Mot inconnu : MTGS => Multi-Threaded GS mode (MTGS) et Dual Core Mode (DC). Relancez PCSX2. | mtgs
66 Mot inconnu : Core => Multi-Threaded GS mode (MTGS) et Dual Core Mode (DC). Relancez PCSX2. | core
66 Mot inconnu : DC => Multi-Threaded GS mode (MTGS) et Dual Core Mode (DC). Relancez PCSX2. | dc
66 Mot inconnu : PCSX2 => Multi-Threaded GS mode (MTGS) et Dual Core Mode (DC). Relancez PCSX2. | pcsx2

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.pcsx2.net/|Site officiel de l'émulateur PCSX2]] [en] |    => suggestions : ['']
74 Mot inconnu : PCSX2 =>   * [[http://www.pcsx2.net/|Site officiel de l'émulateur PCSX2]] [en] | pcsx2

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.pcsx2.net/compat.php?c=key|Liste de compatibilité officielle]] [en] |    => suggestions : ['']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://ubuntuforums.org/showthread.php?t=631979|Guide pour recompiler soi-même]] [en] |    => suggestions : ['']
