
4 Mot inconnu : Apt-move => ====== Apt-move ====== | apt-move
36 Mot inconnu : binary =>   # Valeurs possibles : binary, source, both (n'utiliser qu'une valeur). | binary
36 Mot inconnu : both =>   # Valeurs possibles : binary, source, both (n'utiliser qu'une valeur). | both

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   PKGTYPE=binary |    => suggestions : ['']
37 Mot inconnu : PKGTYPE =>   PKGTYPE=binary | pkgtype
37 Mot inconnu : binary =>   PKGTYPE=binary | binary

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Chemin absolu du cache des paquets. Initialement celui de apt-get par défaut. |    => suggestions : ['']
39 Élision de l’article devant un mot commençant par une voyelle. =>   # Chemin absolu du cache des paquets. Initialement celui de apt-get par défaut. | de  => suggestions : ['d’']
39 Mot inconnu : apt-get =>   # Chemin absolu du cache des paquets. Initialement celui de apt-get par défaut. | apt-get

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   FILECACHE=/var/cache/apt/archives |    => suggestions : ['']
40 Mot inconnu : FILECACHE =>   FILECACHE=/var/cache/apt/archives | filecache

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

42 Mot inconnu : The => # The full (absolute) path to your local cache of Packages files.  The | the
42 Mot inconnu : absolute => # The full (absolute) path to your local cache of Packages files.  The | absolute
42 Mot inconnu : path => # The full (absolute) path to your local cache of Packages files.  The | path
42 Mot inconnu : to => # The full (absolute) path to your local cache of Packages files.  The | to
42 Mot inconnu : your => # The full (absolute) path to your local cache of Packages files.  The | your
42 Mot inconnu : of => # The full (absolute) path to your local cache of Packages files.  The | of
42 Espace(s) surnuméraire(s) à supprimer. => # The full (absolute) path to your local cache of Packages files.  The |    => suggestions : [' ']
42 Mot inconnu : The => # The full (absolute) path to your local cache of Packages files.  The | the

43 Mot inconnu : default => # default will work for the apt-get Packages, unless you've reconfigured apt. | default
43 Mot inconnu : will => # default will work for the apt-get Packages, unless you've reconfigured apt. | will
43 Mot inconnu : work => # default will work for the apt-get Packages, unless you've reconfigured apt. | work
43 Mot inconnu : the => # default will work for the apt-get Packages, unless you've reconfigured apt. | the
43 Mot inconnu : apt-get => # default will work for the apt-get Packages, unless you've reconfigured apt. | apt-get
43 Mot inconnu : unless => # default will work for the apt-get Packages, unless you've reconfigured apt. | unless
43 Mot inconnu : you've => # default will work for the apt-get Packages, unless you've reconfigured apt. | you've
43 Mot inconnu : reconfigured => # default will work for the apt-get Packages, unless you've reconfigured apt. | reconfigured

44 Mot inconnu : LISTSTATE => LISTSTATE=/var/lib/apt/lists | liststate

46 Mot inconnu : you => # Do you want apt-move to delete obsolete files from your mirror? (yes/no) | you
46 Mot inconnu : want => # Do you want apt-move to delete obsolete files from your mirror? (yes/no) | want
46 Mot inconnu : apt-move => # Do you want apt-move to delete obsolete files from your mirror? (yes/no) | apt-move
46 Mot inconnu : to => # Do you want apt-move to delete obsolete files from your mirror? (yes/no) | to
46 Mot inconnu : delete => # Do you want apt-move to delete obsolete files from your mirror? (yes/no) | delete
46 Mot inconnu : obsolete => # Do you want apt-move to delete obsolete files from your mirror? (yes/no) | obsolete
46 Mot inconnu : from => # Do you want apt-move to delete obsolete files from your mirror? (yes/no) | from
46 Mot inconnu : your => # Do you want apt-move to delete obsolete files from your mirror? (yes/no) | your
46 Mot inconnu : mirror => # Do you want apt-move to delete obsolete files from your mirror? (yes/no) | mirror
46 Mot inconnu : yes => # Do you want apt-move to delete obsolete files from your mirror? (yes/no) | yes

47 Mot inconnu : DELETE => DELETE=no | delete

49 Mot inconnu : percentage => # Maximum percentage of files to delete during a normal run. | percentage
49 Mot inconnu : of => # Maximum percentage of files to delete during a normal run. | of
49 Mot inconnu : to => # Maximum percentage of files to delete during a normal run. | to
49 Mot inconnu : delete => # Maximum percentage of files to delete during a normal run. | delete
49 Mot inconnu : during => # Maximum percentage of files to delete during a normal run. | during
49 Mot inconnu : run => # Maximum percentage of files to delete during a normal run. | run

50 Mot inconnu : MAXDELETE => MAXDELETE=20 | maxdelete

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # Choisir "yes" si vous voulez garder les fichiers originaux avec "move"/"movefile" |    => suggestions : ['']
51 Guillemets typographiques ouvrants. =>   # Choisir "yes" si vous voulez garder les fichiers originaux avec "move"/"movefile" | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : yes =>   # Choisir "yes" si vous voulez garder les fichiers originaux avec "move"/"movefile" | yes
51 Guillemets typographiques fermants. =>   # Choisir "yes" si vous voulez garder les fichiers originaux avec "move"/"movefile" | " => suggestions : ['\xa0»', '”']
51 Guillemets typographiques ouvrants. =>   # Choisir "yes" si vous voulez garder les fichiers originaux avec "move"/"movefile" | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : move =>   # Choisir "yes" si vous voulez garder les fichiers originaux avec "move"/"movefile" | move
51 Guillemets typographiques fermants. =>   # Choisir "yes" si vous voulez garder les fichiers originaux avec "move"/"movefile" | " => suggestions : ['\xa0»', '”']
51 Guillemets typographiques ouvrants. =>   # Choisir "yes" si vous voulez garder les fichiers originaux avec "move"/"movefile" | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : movefile =>   # Choisir "yes" si vous voulez garder les fichiers originaux avec "move"/"movefile" | movefile
51 Guillemets typographiques fermants. =>   # Choisir "yes" si vous voulez garder les fichiers originaux avec "move"/"movefile" | " => suggestions : ['\xa0»', '”']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   COPYONLY=no |    => suggestions : ['']
52 Mot inconnu : COPYONLY =>   COPYONLY=no | copyonly

56 Mot inconnu : apt-move => Voici les diverses commandes qui vous permettent d'utiliser apt-move: | apt-move

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   COPYONLY=yes |    => suggestions : ['']
69 Mot inconnu : COPYONLY =>   COPYONLY=yes | copyonly
69 Mot inconnu : yes =>   COPYONLY=yes | yes

71 Mot inconnu : apt-move => Cette modification permet que apt-move ne détruise pas les paquets dans **/var/cache/apt/archives/**. | apt-move

81 Accord de genre erroné : « cd » est féminin. => Dans cet exemple, vous n'avez besoin que des paquets qui ne sont pas dans le cd original d'Ubuntu puisque vous les avez déjà, donc vous pouvez détruire ces paquets avec le script une fois votre cd-rom monté : | le => suggestions : ['la']

92 Mot inconnu : apt-move => ==== Exécuter apt-move pour créer la structure de l'archive ==== | apt-move

97 Mot inconnu : mirrors => Puisque le répertoire /mirrors/debian est un répertoire qui appartient à root la manipulation devient plus facile avec cet utilisateur, donc : | mirrors
97 Mot inconnu : debian => Puisque le répertoire /mirrors/debian est un répertoire qui appartient à root la manipulation devient plus facile avec cet utilisateur, donc : | debian
97 Mot inconnu : root => Puisque le répertoire /mirrors/debian est un répertoire qui appartient à root la manipulation devient plus facile avec cet utilisateur, donc : | root

103 Mot inconnu : apt-move => Ensuite, on lance apt-move : | apt-move

113 Mot inconnu : restricted => **Ici on ne prend que les fichiers main et restricted ** | restricted

115 Mot inconnu : Release => Vous devez aussi refaire le fichier Release, pour ce faire vous devez vous faire un fichier de configuration apt nommé ~/myapt.conf qui contient ceci : | release
115 Mot inconnu : myapt => Vous devez aussi refaire le fichier Release, pour ce faire vous devez vous faire un fichier de configuration apt nommé ~/myapt.conf qui contient ceci : | myapt
115 Il manque un espace. => Vous devez aussi refaire le fichier Release, pour ce faire vous devez vous faire un fichier de configuration apt nommé ~/myapt.conf qui contient ceci : | conf => suggestions : [' conf']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   APT::FTPArchive::Release { |    => suggestions : ['']
117 Une de ces ponctuations est superflue. =>   APT::FTPArchive::Release { | :: => suggestions : [':', ':']
117 Mot inconnu : FTPArchive =>   APT::FTPArchive::Release { | ftparchive
117 Une de ces ponctuations est superflue. =>   APT::FTPArchive::Release { | :: => suggestions : [':', ':']
117 Mot inconnu : Release =>   APT::FTPArchive::Release { | release

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Origin "APT-Move"; |    => suggestions : ['']
118 Mot inconnu : Origin =>   Origin "APT-Move"; | origin
118 Guillemets typographiques ouvrants. =>   Origin "APT-Move"; | " => suggestions : ['«\xa0', '“']
118 Mot inconnu : APT-Move =>   Origin "APT-Move"; | apt-move
118 Guillemets typographiques fermants. =>   Origin "APT-Move"; | " => suggestions : ['\xa0»', '”']

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Label "APT-Move"; |    => suggestions : ['']
119 Guillemets typographiques ouvrants. =>   Label "APT-Move"; | " => suggestions : ['«\xa0', '“']
119 Mot inconnu : APT-Move =>   Label "APT-Move"; | apt-move
119 Guillemets typographiques fermants. =>   Label "APT-Move"; | " => suggestions : ['\xa0»', '”']

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Suite "trusty"; |    => suggestions : ['']
120 Guillemets typographiques ouvrants. =>   Suite "trusty"; | " => suggestions : ['«\xa0', '“']
120 Guillemets typographiques fermants. =>   Suite "trusty"; | " => suggestions : ['\xa0»', '”']

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Codename "trusty"; |    => suggestions : ['']
121 Mot inconnu : Codename =>   Codename "trusty"; | codename
121 Guillemets typographiques ouvrants. =>   Codename "trusty"; | " => suggestions : ['«\xa0', '“']
121 Guillemets typographiques fermants. =>   Codename "trusty"; | " => suggestions : ['\xa0»', '”']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Architectures "i386"; |    => suggestions : ['']
122 Guillemets typographiques ouvrants. =>   Architectures "i386"; | " => suggestions : ['«\xa0', '“']
122 Mot inconnu : i386 =>   Architectures "i386"; | i386
122 Guillemets typographiques fermants. =>   Architectures "i386"; | " => suggestions : ['\xa0»', '”']

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Components "main restricted"; |    => suggestions : ['']
123 Mot inconnu : Components =>   Components "main restricted"; | components
123 Guillemets typographiques ouvrants. =>   Components "main restricted"; | " => suggestions : ['«\xa0', '“']
123 Mot inconnu : restricted =>   Components "main restricted"; | restricted
123 Guillemets typographiques fermants. =>   Components "main restricted"; | " => suggestions : ['\xa0»', '”']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Description "Ubuntu Updates CD"; |    => suggestions : ['']
124 Guillemets typographiques ouvrants. =>   Description "Ubuntu Updates CD"; | " => suggestions : ['«\xa0', '“']
124 Mot inconnu : Updates =>   Description "Ubuntu Updates CD"; | updates
124 Guillemets typographiques fermants. =>   Description "Ubuntu Updates CD"; | " => suggestions : ['\xa0»', '”']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   }; |    => suggestions : ['']

128 Mot inconnu : i386 => Pensez de nouveau à modifier le nom de la version, tout comme l'architecture i386 peut-être amd64. | i386
128 Mot inconnu : amd64 => Pensez de nouveau à modifier le nom de la version, tout comme l'architecture i386 peut-être amd64. | amd64

140 Mot inconnu : apt-move => Ensuite, supprimez le répertoire **.apt-move** : | apt-move

144 Mot inconnu : disk => Vous pouvez identifier le cd-rom à l'aide du dossier **.disk** et du fichier info à l'intérieur : | disk

146 Mot inconnu : echo => echo Ubuntu-Updates `date +%Y-%m-%d` > .disk/info</code> | echo
146 Mot inconnu : Ubuntu-Updates => echo Ubuntu-Updates `date +%Y-%m-%d` > .disk/info</code> | ubuntu-updates
146 Il manque un espace. => echo Ubuntu-Updates `date +%Y-%m-%d` > .disk/info</code> | y- => suggestions : [' Y-']
146 Il manque un espace. => echo Ubuntu-Updates `date +%Y-%m-%d` > .disk/info</code> | m- => suggestions : [' m-']
146 Il manque un espace. => echo Ubuntu-Updates `date +%Y-%m-%d` > .disk/info</code> | d => suggestions : [' d']
146 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => echo Ubuntu-Updates `date +%Y-%m-%d` > .disk/info</code> |  . => suggestions : ['. ', '.']
146 Mot inconnu : disk => echo Ubuntu-Updates `date +%Y-%m-%d` > .disk/info</code> | disk

148 S’il s’agit d’un impératif, mettez un trait d’union. => Puis, ajoutez lui votre clé publique : | ajoutez lui => suggestions : ['ajoutez-lui']

153 Mot inconnu : mirrors => Copiez le contenu de ///mirrors/debian// dans un cd-rom. | mirrors
153 Mot inconnu : debian => Copiez le contenu de ///mirrors/debian// dans un cd-rom. | debian

162 Mot inconnu : Synaptic => Synaptic permet aussi l'ajout de cd-rom dans le menu //Édition -> Ajouter un cédérom//. | synaptic

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?pid=213248#p213248|Le tutoriel]] de Dexter sur le forum, pour créer un CD avec uniquement un choix de paquets. |    => suggestions : ['']
171 Mot inconnu : Dexter =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?pid=213248#p213248|Le tutoriel]] de Dexter sur le forum, pour créer un CD avec uniquement un choix de paquets. | dexter
178 Mot inconnu : community => // Basé sur [[https://wiki.ubuntu.com/AptMoveHowto|AptMoveHowto]] par les contributeurs de la "[[https://help.ubuntu.com/community/UserDocumentation| community documentation for Ubuntu]]".// | community
