
2 Mot inconnu : X555 [[12:16]] => ====== ASUS X555 (core i3) ====== <|> x555
40 Guillemets typographiques ouvrants. [[100:101]] => Dans les raccourcis claviers, Catégorie=Système, sous-catégorie=Matériel, changer le raccourci pour "Augmenter la luminosité de l'écran" en super+F6 ("super" = touche window$). <|> " => suggestions : « “
40 Guillemets typographiques fermants. [[135:136]] => Dans les raccourcis claviers, Catégorie=Système, sous-catégorie=Matériel, changer le raccourci pour "Augmenter la luminosité de l'écran" en super+F6 ("super" = touche window$). <|> " => suggestions :  »”
40 Mot inconnu : F6 [[146:148]] => Dans les raccourcis claviers, Catégorie=Système, sous-catégorie=Matériel, changer le raccourci pour "Augmenter la luminosité de l'écran" en super+F6 ("super" = touche window$). <|> f6
40 Guillemets typographiques ouvrants. [[150:151]] => Dans les raccourcis claviers, Catégorie=Système, sous-catégorie=Matériel, changer le raccourci pour "Augmenter la luminosité de l'écran" en super+F6 ("super" = touche window$). <|> " => suggestions : « “
40 Guillemets typographiques fermants. [[156:157]] => Dans les raccourcis claviers, Catégorie=Système, sous-catégorie=Matériel, changer le raccourci pour "Augmenter la luminosité de l'écran" en super+F6 ("super" = touche window$). <|> " => suggestions :  »”
40 Mot inconnu : window [[167:173]] => Dans les raccourcis claviers, Catégorie=Système, sous-catégorie=Matériel, changer le raccourci pour "Augmenter la luminosité de l'écran" en super+F6 ("super" = touche window$). <|> window

42 Guillemets typographiques ouvrants. [[15:16]] => Même topo pour "Diminuer la luminosité de l'écran". <|> " => suggestions : « “
42 Guillemets typographiques fermants. [[49:50]] => Même topo pour "Diminuer la luminosité de l'écran". <|> " => suggestions :  »”

44 Mot inconnu : EDIT [[6:10]] => <note>EDIT 2017/05/17:  solution pour activer les touches de raccourcis luminosité Fn+F5/F6 --> <|> edit
44 Espace(s) surnuméraire(s) à supprimer. [[22:24]] => <note>EDIT 2017/05/17:  solution pour activer les touches de raccourcis luminosité Fn+F5/F6 --> <|>    => suggestions :  
44 Mot inconnu : Fn [[83:85]] => <note>EDIT 2017/05/17:  solution pour activer les touches de raccourcis luminosité Fn+F5/F6 --> <|> fn
44 Mot inconnu : F5 [[86:88]] => <note>EDIT 2017/05/17:  solution pour activer les touches de raccourcis luminosité Fn+F5/F6 --> <|> f5
44 Mot inconnu : F6 [[89:91]] => <note>EDIT 2017/05/17:  solution pour activer les touches de raccourcis luminosité Fn+F5/F6 --> <|> f6

48 Mot inconnu : toggle_touchpad [[18:33]] => Créer un document toggle_touchpad.sh et le rendre exécutable (via ses propriétés). <|> toggle_touchpad
48 Mot inconnu : sh [[34:36]] => Créer un document toggle_touchpad.sh et le rendre exécutable (via ses propriétés). <|> sh

63 Mot inconnu : F9 [[122:124]] => Dans les raccourcis claviers, créer un raccourci personnalisé qui pointe vers ce fichier et y affecter le raccourci super+F9 <|> f9

65 Guillemets typographiques ouvrants. [[19:20]] => === Activer touche "Verr num" au démarrage === <|> " => suggestions : « “
65 Mot inconnu : Verr [[20:24]] => === Activer touche "Verr num" au démarrage === <|> verr
65 Guillemets typographiques fermants. [[28:29]] => === Activer touche "Verr num" au démarrage === <|> " => suggestions :  »”

68 Mot inconnu : ascenceur [[51:60]] => === avoir les flèches permettant de faire bouger l'ascenceur dans libreoffice calc === <|> ascenceur
68 Mot inconnu : calc [[78:82]] => === avoir les flèches permettant de faire bouger l'ascenceur dans libreoffice calc === <|> calc

69 Guillemets typographiques ouvrants. [[35:36]] => Dans les thèmes, sélectionner dans "Contrôles" : Mint-X-Fixed <|> " => suggestions : « “
69 Guillemets typographiques fermants. [[45:46]] => Dans les thèmes, sélectionner dans "Contrôles" : Mint-X-Fixed <|> " => suggestions :  »”
69 Mot inconnu : Mint-X-Fixed [[49:61]] => Dans les thèmes, sélectionner dans "Contrôles" : Mint-X-Fixed <|> mint-x-fixed
