
4 Mot inconnu : XeLaTeX => ====== XeLaTeX, langage de description de document ======  | xelatex
52 Mot inconnu : XeTeX => La plupart des éditeurs LaTeX gèrent nativement XeLaTeX — c’est le cas de [[LaTeXila]], pour lequel il faut aller dans le menu //LaTeXila → Gérer les outils de construction//, puis cocher la case //XeTeX → PDF (Latexmk)//. L’icône de compilation en XeLaTeX apparaitra alors aux côtés de l’icône de compilation LaTeX que vous utilisez habituellement ; si vous ne compilez qu’en XeLaTeX, il est possible de cacher l’icône pour LaTeX en décochant sa case dans le menu sus-décrit. | xetex
52 Mot inconnu : Latexmk => La plupart des éditeurs LaTeX gèrent nativement XeLaTeX — c’est le cas de [[LaTeXila]], pour lequel il faut aller dans le menu //LaTeXila → Gérer les outils de construction//, puis cocher la case //XeTeX → PDF (Latexmk)//. L’icône de compilation en XeLaTeX apparaitra alors aux côtés de l’icône de compilation LaTeX que vous utilisez habituellement ; si vous ne compilez qu’en XeLaTeX, il est possible de cacher l’icône pour LaTeX en décochant sa case dans le menu sus-décrit. | latexmk
52 Mot inconnu : XeLaTeX => La plupart des éditeurs LaTeX gèrent nativement XeLaTeX — c’est le cas de [[LaTeXila]], pour lequel il faut aller dans le menu //LaTeXila → Gérer les outils de construction//, puis cocher la case //XeTeX → PDF (Latexmk)//. L’icône de compilation en XeLaTeX apparaitra alors aux côtés de l’icône de compilation LaTeX que vous utilisez habituellement ; si vous ne compilez qu’en XeLaTeX, il est possible de cacher l’icône pour LaTeX en décochant sa case dans le menu sus-décrit. | xelatex
52 Mot inconnu : LaTeX => La plupart des éditeurs LaTeX gèrent nativement XeLaTeX — c’est le cas de [[LaTeXila]], pour lequel il faut aller dans le menu //LaTeXila → Gérer les outils de construction//, puis cocher la case //XeTeX → PDF (Latexmk)//. L’icône de compilation en XeLaTeX apparaitra alors aux côtés de l’icône de compilation LaTeX que vous utilisez habituellement ; si vous ne compilez qu’en XeLaTeX, il est possible de cacher l’icône pour LaTeX en décochant sa case dans le menu sus-décrit. | latex
52 Mot inconnu : XeLaTeX => La plupart des éditeurs LaTeX gèrent nativement XeLaTeX — c’est le cas de [[LaTeXila]], pour lequel il faut aller dans le menu //LaTeXila → Gérer les outils de construction//, puis cocher la case //XeTeX → PDF (Latexmk)//. L’icône de compilation en XeLaTeX apparaitra alors aux côtés de l’icône de compilation LaTeX que vous utilisez habituellement ; si vous ne compilez qu’en XeLaTeX, il est possible de cacher l’icône pour LaTeX en décochant sa case dans le menu sus-décrit. | xelatex
52 Mot inconnu : LaTeX => La plupart des éditeurs LaTeX gèrent nativement XeLaTeX — c’est le cas de [[LaTeXila]], pour lequel il faut aller dans le menu //LaTeXila → Gérer les outils de construction//, puis cocher la case //XeTeX → PDF (Latexmk)//. L’icône de compilation en XeLaTeX apparaitra alors aux côtés de l’icône de compilation LaTeX que vous utilisez habituellement ; si vous ne compilez qu’en XeLaTeX, il est possible de cacher l’icône pour LaTeX en décochant sa case dans le menu sus-décrit. | latex

54 Mot inconnu : XeLaTeX => Reportez-vous à la documentation de votre éditeur favori pour savoir comment compiler en XeLaTeX. | xelatex

56 Mot inconnu : LuaLaTeX => ===== Choisir sa police de caractères (fonctionne aussi avec LuaLaTeX) ===== | lualatex

76 Espace(s) en fin de ligne à supprimer. => sélectionne les ligatures stylistiques et les chiffres elzéviriens.  |   => suggestions : ['']
83 Mot inconnu : Juillerat => //Contributeurs : [[utilisateurs:grigouille]], Raymond Juillerat, dpled.// | juillerat
83 Mot inconnu : dpled => //Contributeurs : [[utilisateurs:grigouille]], Raymond Juillerat, dpled.// | dpled
