
4 Mot inconnu : FreeDiams => ====== FreeDiams ====== | freediams
50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Informations concernant les interactions disponibles :  |    => suggestions : ['']
50 Espace(s) en fin de ligne à supprimer. =>   * Informations concernant les interactions disponibles :  |   => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Les DCI ou classes de DCI interagissant |      => suggestions : ['']
51 Mot inconnu : DCI =>     * Les DCI ou classes de DCI interagissant | dci
51 Mot inconnu : DCI =>     * Les DCI ou classes de DCI interagissant | dci

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Le niveau risque |      => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * La nature du risque |      => suggestions : ['']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * La conduite à tenir face à cette interaction |      => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * En français et en anglais |      => suggestions : ['']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Lorsque FreeDiams est connecté à un gestionnaire de dossier médicaux compatible : |    => suggestions : ['']
57 Mot inconnu : FreeDiams =>   * Lorsque FreeDiams est connecté à un gestionnaire de dossier médicaux compatible : | freediams

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Gestion des allergies pharmacologiques du patient |      => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Gestion des intolérances pharmacologiques du patient |      => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Gestion des contre-indications selon le terrain physiologique (insuffisance rénale, grossesse, allaitement) (en cours de développement) |      => suggestions : ['']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Retour et classification de la prescription dans le dossier médical |      => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Création de protocoles thérapeutiques réutilisables (un protocole ne concerne qu'un médicament) pour accélérer les prescriptions |    => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Création de modèles de prescription réutilisables (un modèle correspond à une ordonnance complexe pouvant contenir plusieurs médicaments) |    => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Possibilité de définir finement la "phrase posologique" (phrase qui apparaît dans la prescription; ex: Prendre 1 comprimé tous les jours pendant 1 mois...) |    => suggestions : ['']
65 Guillemets typographiques ouvrants. =>   * Possibilité de définir finement la "phrase posologique" (phrase qui apparaît dans la prescription; ex: Prendre 1 comprimé tous les jours pendant 1 mois...) | " => suggestions : ['«\xa0', '“']
65 Guillemets typographiques fermants. =>   * Possibilité de définir finement la "phrase posologique" (phrase qui apparaît dans la prescription; ex: Prendre 1 comprimé tous les jours pendant 1 mois...) | " => suggestions : ['\xa0»', '”']
65 Avec une unité de mesure, mettez un espace insécable. =>   * Possibilité de définir finement la "phrase posologique" (phrase qui apparaît dans la prescription; ex: Prendre 1 comprimé tous les jours pendant 1 mois...) | 1 mois => suggestions : ['1\xa0mois']
65 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Possibilité de définir finement la "phrase posologique" (phrase qui apparaît dans la prescription; ex: Prendre 1 comprimé tous les jours pendant 1 mois...) | ... => suggestions : ['…']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Possibilité de partager ses protocoles personnels et ses modèles avec d'autres utilisateurs de FreeDiams (en cours de développement) |    => suggestions : ['']
66 Mot inconnu : FreeDiams =>   * Possibilité de partager ses protocoles personnels et ses modèles avec d'autres utilisateurs de FreeDiams (en cours de développement) | freediams

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Impression de haute qualité |    => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entêtes, pieds de page et tatouage d'impression totalement paramétrables |    => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Impression deux feuilles par page automatique (sans configuration du pilote d'impression) |    => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sauvegarde et restauration de ses données personnels automatiques |    => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Reportez-vous à la documentation de FreeDiams (//F1// ou menu //À propos/Aide//), |    => suggestions : ['']
87 Mot inconnu : FreeDiams =>   * Reportez-vous à la documentation de FreeDiams (//F1// ou menu //À propos/Aide//), | freediams

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ou à la [[http://www.freemedforms.com/fr/manuals/freediams/toc|documentation en ligne]]. |    => suggestions : ['']

95 Mot inconnu : FreeDiams => Toutes les informations concernant FreeDiams sont disponibles sur le [[http://www.freemedforms.com/fr/freediams_doc|site internet du projet FreeMedForms]]. | freediams
95 Mot inconnu : FreeMedForms => Toutes les informations concernant FreeDiams sont disponibles sur le [[http://www.freemedforms.com/fr/freediams_doc|site internet du projet FreeMedForms]]. | freemedforms

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://freemedforms.com/_media/pdf/freemedforms_fosdem2011.pdf|Présentation au FOSDEM 2011 (pdf)]] |    => suggestions : ['']
101 Mot inconnu : FOSDEM =>   * [[https://freemedforms.com/_media/pdf/freemedforms_fosdem2011.pdf|Présentation au FOSDEM 2011 (pdf)]] | fosdem

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://video.fosdem.org/2011/lightningtalks/freemedforms.xvid.avi|Présentation au FOSDEM 2011 (Vidéo téléchargeable en anglais)]] |    => suggestions : ['']
102 Mot inconnu : FOSDEM =>   * [[https://video.fosdem.org/2011/lightningtalks/freemedforms.xvid.avi|Présentation au FOSDEM 2011 (Vidéo téléchargeable en anglais)]] | fosdem

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://tinyurl/fmf_rmll2011|Présentation aux RMLL 2011]] |    => suggestions : ['']
103 Mot inconnu : RMLL =>   * [[http://tinyurl/fmf_rmll2011|Présentation aux RMLL 2011]] | rmll

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://freemedforms.com/fr/science?do=showtag&tag=fr%3Ascience|Présentation aux congrès médicaux]] |    => suggestions : ['']

106 Ceci est un verbe à la 1ʳᵉ personne du pluriel. Sujet (“nous” ou équivalent) introuvable. => ===== Connections ===== | connections => suggestions : ['Connectaient']

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * FreeDiams est le module prescripteur de la suite [[http://www.freemedforms.com|FreeMedForms]]. |    => suggestions : ['']
108 Mot inconnu : FreeDiams =>   * FreeDiams est le module prescripteur de la suite [[http://www.freemedforms.com|FreeMedForms]]. | freediams

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * FreeDiams est utilisé par [[wp>GNUmed]]. |    => suggestions : ['']
109 Mot inconnu : FreeDiams =>   * FreeDiams est utilisé par [[wp>GNUmed]]. | freediams
109 Mot inconnu : GNUmed =>   * FreeDiams est utilisé par [[wp>GNUmed]]. | gnumed

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * FreeDiams peut être automatiquement configuré pour une utilisation au sein de la suite MedinTux. |    => suggestions : ['']
110 Mot inconnu : FreeDiams =>   * FreeDiams peut être automatiquement configuré pour une utilisation au sein de la suite MedinTux. | freediams
110 Mot inconnu : MedinTux =>   * FreeDiams peut être automatiquement configuré pour une utilisation au sein de la suite MedinTux. | medintux

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en/fr)** [[http://www.freemedforms.com|Site officiel du logiciel]] |    => suggestions : ['']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://packages.debian.org/fr/sid/freediams|Informations sur le paquet Debian-Med]] |    => suggestions : ['']
117 Mot inconnu : Debian-Med =>   * [[https://packages.debian.org/fr/sid/freediams|Informations sur le paquet Debian-Med]] | debian-med

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.masef.com/freewares3/freediams.htm|Revue française sur le site des MASEF]] |    => suggestions : ['']
118 Mot inconnu : MASEF =>   * [[http://www.masef.com/freewares3/freediams.htm|Revue française sur le site des MASEF]] | masef

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://salaam.homeunix.com/bin/view/Gnumed/FreeDiams|Revue sur le site de GNUmed]] |    => suggestions : ['']
119 Mot inconnu : GNUmed =>   * [[http://salaam.homeunix.com/bin/view/Gnumed/FreeDiams|Revue sur le site de GNUmed]] | gnumed

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://softsupplier.com/review-freediams-0-5-0-beta-109095/|Une autre revue en anglais (FreeDiams 0.5.0 beta)]] |    => suggestions : ['']
120 Mot inconnu : FreeDiams =>   * [[http://softsupplier.com/review-freediams-0-5-0-beta-109095/|Une autre revue en anglais (FreeDiams 0.5.0 beta)]] | freediams
120 Mot inconnu : beta =>   * [[http://softsupplier.com/review-freediams-0-5-0-beta-109095/|Une autre revue en anglais (FreeDiams 0.5.0 beta)]] | beta

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.framasoft.net/article5030.html|Infos sur le site de FramaSoft]] |    => suggestions : ['']
121 Mot inconnu : FramaSoft =>   * [[http://www.framasoft.net/article5030.html|Infos sur le site de FramaSoft]] | framasoft
