
7 Mot inconnu : PHP-XDebug [[18:28]] => ====== Eclipse et PHP-XDebug ====== <|> php-xdebug
17 Mot inconnu : PECL [[126:130]] => Bien entendu la version Xdebug  peut aussi s'installer en téléchargeant les binaires du site, en compilant les sources ou via PECL. Pour les anglophones qui préfèrent installer la dernière version, je vous invite à consulter les liens en bas de page ;-) <|> pecl
31 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[36:37]] => Note : le numéro de version PHP est a adapter <|> a => suggestions : ['à']
31 Incohérence probable avec “a” : “adapter” n’est pas un participe passé. [[38:45]] => Note : le numéro de version PHP est a adapter <|> adapter => suggestions : ['adapté']

40 Mot inconnu : Xdebug [[19:25]] => vous devez activer Xdebug en ajoutant les lignes suivantes :  <|> xdebug
40 Espace(s) en fin de ligne à supprimer. [[60:61]] => vous devez activer Xdebug en ajoutant les lignes suivantes :  <|>   => suggestions : ['']
41 Mot inconnu : XDebug [[4:10]] =>   * XDebug < 3 : <|> xdebug
47 Mot inconnu : XDebug [[4:10]] =>   * XDebug >= 3 <|> xdebug
47 Signe “supérieur ou égal”. [[11:13]] =>   * XDebug >= 3 <|> >= => suggestions : ['≥', '⩾']

56 Espace(s) en fin de ligne à supprimer. [[26:27]] => Relancez le serveur apache  <|>   => suggestions : ['']

60 Après la préposition “Pour”, le verbe devrait être à l’infinitif. [[5:13]] => Pour vérifiez l'installation, créez une page test.php contenant ces lignes : <|> vérifiez => suggestions : ['vérifier']
60 Mot inconnu : php [[50:53]] => Pour vérifiez l'installation, créez une page test.php contenant ces lignes : <|> php
90 Mot inconnu : PDT [[37:40]] => Par défaut il manque le plugin PHP : PDT <|> pdt

91 Mot inconnu : Help [[19:23]] => Aller dans le menu Help/Install new software... <|> help
91 Mot inconnu : Install [[24:31]] => Aller dans le menu Help/Install new software... <|> install
91 Typographie : points de suspension. Utilisez le caractère dédié. [[44:47]] => Aller dans le menu Help/Install new software... <|> ... => suggestions : ['…']

92 Guillemets typographiques ouvrants. [[12:13]] => Collez dans "work with" l'URL suivante : <|> " => suggestions : ['«\xa0', '“']
92 Mot inconnu : work [[13:17]] => Collez dans "work with" l'URL suivante : <|> work
92 Mot inconnu : with [[18:22]] => Collez dans "work with" l'URL suivante : <|> with
92 Guillemets typographiques fermants. [[22:23]] => Collez dans "work with" l'URL suivante : <|> " => suggestions : ['\xa0»', '”']

94 Mot inconnu : Add [[19:22]] => puis on clique sur Add... <|> add
94 Typographie : points de suspension. Utilisez le caractère dédié. [[22:25]] => puis on clique sur Add... <|> ... => suggestions : ['…']

95 Guillemets typographiques ouvrants. [[36:37]] => Cliquez sur OK sur la fenêtre popup "Add Repository" sans indiquer de Name. <|> " => suggestions : ['«\xa0', '“']
95 Mot inconnu : Add [[37:40]] => Cliquez sur OK sur la fenêtre popup "Add Repository" sans indiquer de Name. <|> add
95 Mot inconnu : Repository [[41:51]] => Cliquez sur OK sur la fenêtre popup "Add Repository" sans indiquer de Name. <|> repository
95 Guillemets typographiques fermants. [[51:52]] => Cliquez sur OK sur la fenêtre popup "Add Repository" sans indiquer de Name. <|> " => suggestions : ['\xa0»', '”']
95 Mot inconnu : Name [[70:74]] => Cliquez sur OK sur la fenêtre popup "Add Repository" sans indiquer de Name. <|> name

96 Mot inconnu : PDT [[20:23]] => Cochez le module de PDT. Cliquez sur Finish en bas de la fenêtre. <|> pdt

99 Mot inconnu : XDebug [[5:11]] => ==== XDebug ==== <|> xdebug

101 Guillemets typographiques ouvrants. [[34:35]] => Lancez Eclipse, puis dans le menu "Window -> Preferences". <|> " => suggestions : ['«\xa0', '“']
101 Mot inconnu : Window [[35:41]] => Lancez Eclipse, puis dans le menu "Window -> Preferences". <|> window
101 Mot inconnu : Preferences [[45:56]] => Lancez Eclipse, puis dans le menu "Window -> Preferences". <|> preferences
101 Guillemets typographiques fermants. [[56:57]] => Lancez Eclipse, puis dans le menu "Window -> Preferences". <|> " => suggestions : ['\xa0»', '”']

103 Mot inconnu : Debug [[20:25]] => Sélectionnez PHP -> Debug, vous obtenez ceci par défaut. <|> debug

107 Guillemets typographiques ouvrants. [[20:21]] => Cliquez sur le lien "PHP Executables", dans la nouvelle fenêtre cliquez sur le bouton "Add", et renseignez comme ceci : <|> " => suggestions : ['«\xa0', '“']
107 Mot inconnu : Executables [[25:36]] => Cliquez sur le lien "PHP Executables", dans la nouvelle fenêtre cliquez sur le bouton "Add", et renseignez comme ceci : <|> executables
107 Guillemets typographiques fermants. [[36:37]] => Cliquez sur le lien "PHP Executables", dans la nouvelle fenêtre cliquez sur le bouton "Add", et renseignez comme ceci : <|> " => suggestions : ['\xa0»', '”']
107 Guillemets typographiques ouvrants. [[86:87]] => Cliquez sur le lien "PHP Executables", dans la nouvelle fenêtre cliquez sur le bouton "Add", et renseignez comme ceci : <|> " => suggestions : ['«\xa0', '“']
107 Mot inconnu : Add [[87:90]] => Cliquez sur le lien "PHP Executables", dans la nouvelle fenêtre cliquez sur le bouton "Add", et renseignez comme ceci : <|> add
107 Guillemets typographiques fermants. [[90:91]] => Cliquez sur le lien "PHP Executables", dans la nouvelle fenêtre cliquez sur le bouton "Add", et renseignez comme ceci : <|> " => suggestions : ['\xa0»', '”']

111 Mot inconnu : php [[51:54]] => <note tip>Pour valider le chemin vers l'exécutable php (ou tout autre exécutable), utilisez la commande suivante dans un terminal "which php".</note> <|> php
111 Guillemets typographiques ouvrants. [[130:131]] => <note tip>Pour valider le chemin vers l'exécutable php (ou tout autre exécutable), utilisez la commande suivante dans un terminal "which php".</note> <|> " => suggestions : ['«\xa0', '“']
111 Mot inconnu : which [[131:136]] => <note tip>Pour valider le chemin vers l'exécutable php (ou tout autre exécutable), utilisez la commande suivante dans un terminal "which php".</note> <|> which
111 Mot inconnu : php [[137:140]] => <note tip>Pour valider le chemin vers l'exécutable php (ou tout autre exécutable), utilisez la commande suivante dans un terminal "which php".</note> <|> php
111 Guillemets typographiques fermants. [[140:141]] => <note tip>Pour valider le chemin vers l'exécutable php (ou tout autre exécutable), utilisez la commande suivante dans un terminal "which php".</note> <|> " => suggestions : ['\xa0»', '”']

114 Mot inconnu : Debug [[23:28]] => Revenez sur la section Debug pour compléter les informations comme ci-dessous : <|> debug

118 Mot inconnu : Rq [[0:2]] => Rq : Attention, pour XDebug >=3, le port d'ecoute par defaut a préciser est 9003 (et non 9000 avant). <|> rq
118 Mot inconnu : XDebug [[21:27]] => Rq : Attention, pour XDebug >=3, le port d'ecoute par defaut a préciser est 9003 (et non 9000 avant). <|> xdebug
118 Signe “supérieur ou égal”. [[28:30]] => Rq : Attention, pour XDebug >=3, le port d'ecoute par defaut a préciser est 9003 (et non 9000 avant). <|> >= => suggestions : ['≥', '⩾']
118 Mot inconnu : ecoute [[43:49]] => Rq : Attention, pour XDebug >=3, le port d'ecoute par defaut a préciser est 9003 (et non 9000 avant). <|> ecoute
118 Mot inconnu : defaut [[54:60]] => Rq : Attention, pour XDebug >=3, le port d'ecoute par defaut a préciser est 9003 (et non 9000 avant). <|> defaut
118 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[61:62]] => Rq : Attention, pour XDebug >=3, le port d'ecoute par defaut a préciser est 9003 (et non 9000 avant). <|> a => suggestions : ['à']
118 Incohérence probable avec “a” : “préciser” n’est pas un participe passé. [[63:71]] => Rq : Attention, pour XDebug >=3, le port d'ecoute par defaut a préciser est 9003 (et non 9000 avant). <|> préciser => suggestions : ['précisé']

121 Mot inconnu : debug [[201:206]] => Je pense que ce paramétrage n'est pas requis si Firefox est le navigateur par défaut, mais on va tout de même s'y intéresser car cela peut aussi être valable pour utiliser d'autres navigateurs pour le debug. <|> debug

123 Guillemets typographiques ouvrants. [[19:20]] => Allez dans le menu "Window -> Preferences", déployez la section "General" et sélectionnez "Web Browser", vous arrivez ici :  <|> " => suggestions : ['«\xa0', '“']
123 Mot inconnu : Window [[20:26]] => Allez dans le menu "Window -> Preferences", déployez la section "General" et sélectionnez "Web Browser", vous arrivez ici :  <|> window
123 Mot inconnu : Preferences [[30:41]] => Allez dans le menu "Window -> Preferences", déployez la section "General" et sélectionnez "Web Browser", vous arrivez ici :  <|> preferences
123 Guillemets typographiques fermants. [[41:42]] => Allez dans le menu "Window -> Preferences", déployez la section "General" et sélectionnez "Web Browser", vous arrivez ici :  <|> " => suggestions : ['\xa0»', '”']
123 Guillemets typographiques ouvrants. [[64:65]] => Allez dans le menu "Window -> Preferences", déployez la section "General" et sélectionnez "Web Browser", vous arrivez ici :  <|> " => suggestions : ['«\xa0', '“']
123 Mot inconnu : General [[65:72]] => Allez dans le menu "Window -> Preferences", déployez la section "General" et sélectionnez "Web Browser", vous arrivez ici :  <|> general
123 Guillemets typographiques fermants. [[72:73]] => Allez dans le menu "Window -> Preferences", déployez la section "General" et sélectionnez "Web Browser", vous arrivez ici :  <|> " => suggestions : ['\xa0»', '”']
123 Guillemets typographiques ouvrants. [[90:91]] => Allez dans le menu "Window -> Preferences", déployez la section "General" et sélectionnez "Web Browser", vous arrivez ici :  <|> " => suggestions : ['«\xa0', '“']
123 Mot inconnu : Browser [[95:102]] => Allez dans le menu "Window -> Preferences", déployez la section "General" et sélectionnez "Web Browser", vous arrivez ici :  <|> browser
123 Guillemets typographiques fermants. [[102:103]] => Allez dans le menu "Window -> Preferences", déployez la section "General" et sélectionnez "Web Browser", vous arrivez ici :  <|> " => suggestions : ['\xa0»', '”']
123 Espace(s) en fin de ligne à supprimer. [[123:124]] => Allez dans le menu "Window -> Preferences", déployez la section "General" et sélectionnez "Web Browser", vous arrivez ici :  <|>   => suggestions : ['']

127 Guillemets typographiques ouvrants. [[22:23]] => Cliquez sur le bouton "New" et ajoutez les informations suivantes : <|> " => suggestions : ['«\xa0', '“']
127 Guillemets typographiques fermants. [[26:27]] => Cliquez sur le bouton "New" et ajoutez les informations suivantes : <|> " => suggestions : ['\xa0»', '”']

139 Guillemets typographiques ouvrants. [[19:20]] => Allez dans le menu "Run", et vous obtiendrez des sous-menus spécifiques comme ci-dessous <|> " => suggestions : ['«\xa0', '“']
139 Mot inconnu : Run [[20:23]] => Allez dans le menu "Run", et vous obtiendrez des sous-menus spécifiques comme ci-dessous <|> run
139 Guillemets typographiques fermants. [[23:24]] => Allez dans le menu "Run", et vous obtiendrez des sous-menus spécifiques comme ci-dessous <|> " => suggestions : ['\xa0»', '”']

143 Typographie : points de suspension. Utilisez le caractère dédié. [[184:187]] => Si tel n'est pas le cas, il faut revoir les paramètres de votre projet, mais à l'heure actuelle, je ne m'en souviens plus trop :-? ayant fait cette manipulation il y a pas mal de temps... donc si une autre personne avant moi veut bien compléter : FIXME ;-) <|> ... => suggestions : ['…']
