
6 Espace(s) en fin de ligne à supprimer. => Voici toutes les optimisations pour accélérer Ubuntu.   |    => suggestions : ['']
45 Espace(s) en fin de ligne à supprimer. => Si vous avez 1 Gio de mémoire vive ou plus, vous pouvez essayer de diminuer la propension de Linux à utiliser le fichier d'échange. Le système travaillera un peu plus en mémoire. Selon les utilisations, il peut devenir plus réactif, ou pas.  |   => suggestions : ['']

51 Espace(s) surnuméraire(s) à supprimer. => ==== Composants inutiles dans le BIOS  ==== |    => suggestions : [' ']

53 Mot inconnu : kernel => Désactiver les composants non utilisés sur votre PC permettra au [[kernel]] de démarrer sans prendre en compte ces éléments et par là même de lui faire gagner du temps, et améliorer l'autonomie sur les portables. | kernel

74 Mot inconnu : SpeedStep => On veillera aussi à activer le SpeedStep chez Intel et le PowerNow sur AMD, sans quoi la consommation du processeur sera maximale en permanence ! En effet, ces deux fonctions désignent la possibilité de moduler la fréquence du processeur en fonction de la charge qu'il subit. | speedstep
74 Mot inconnu : PowerNow => On veillera aussi à activer le SpeedStep chez Intel et le PowerNow sur AMD, sans quoi la consommation du processeur sera maximale en permanence ! En effet, ces deux fonctions désignent la possibilité de moduler la fréquence du processeur en fonction de la charge qu'il subit. | powernow

78 Mot inconnu : application_demarrage => Lors de l'ouverture d'une session Ubuntu, certaines applications parfois inutiles se lancent. Vous pouvez [[tutoriel/application_demarrage|choisir vous-même]] celles dont vous avez vraiment besoin. C'est à vous de décider quelles applications vous sont utiles.\\  | application_demarrage
78 Espace(s) en fin de ligne à supprimer. => Lors de l'ouverture d'une session Ubuntu, certaines applications parfois inutiles se lancent. Vous pouvez [[tutoriel/application_demarrage|choisir vous-même]] celles dont vous avez vraiment besoin. C'est à vous de décider quelles applications vous sont utiles.\\  |   => suggestions : ['']

79 Erreur de numérisation ? Virgules au lieu de points ? => Pour l'environnement de l'utilisateur, on peut par exemple se passer de l'aide visuelle, du bureau à distance, du gestionnaire de Bluetooth,...\\  | ,... => suggestions : ['….']
79 Typographie : points de suspension. Utilisez le caractère dédié. => Pour l'environnement de l'utilisateur, on peut par exemple se passer de l'aide visuelle, du bureau à distance, du gestionnaire de Bluetooth,...\\  | ... => suggestions : ['…']
79 Espace(s) en fin de ligne à supprimer. => Pour l'environnement de l'utilisateur, on peut par exemple se passer de l'aide visuelle, du bureau à distance, du gestionnaire de Bluetooth,...\\  |   => suggestions : ['']

82 Mot inconnu : comment_supprimer_un_paquet => Vous pouvez désactiver un service, ou mieux, [[tutoriel/comment_supprimer_un_paquet|désinstaller le paquet correspondant]]. En effet, la lecture de fichier de configuration ralentit légèrement le démarrage du système même si le service ne démarre pas. | comment_supprimer_un_paquet

88 Espace(s) en fin de ligne à supprimer. => \\  |   => suggestions : ['']

89 Mot inconnu : comment_supprimer_un_paquet => La liste ci-dessous donne le nom des paquets. Pour désinstaller, voir [[tutoriel/comment_supprimer_un_paquet|comment supprimer un paquet]]. | comment_supprimer_un_paquet

90 Espace(s) en fin de ligne à supprimer. => \\  |   => suggestions : ['']

93 Mot inconnu : bluez => <note important>Attention, certains paquets comme bluez désinstallent unity-control-center quand ils sont désinstallés. Cela empêche ensuite d'afficher les paramètres systèmes avec l'environnement de bureau Unity, Ubuntu qui utilise Unity ne permet donc pas de désinstaller ce paquet, d'autres variantes officielles d'Ubuntu le permettent !</note> | bluez
93 Mot inconnu : unity-control-center => <note important>Attention, certains paquets comme bluez désinstallent unity-control-center quand ils sont désinstallés. Cela empêche ensuite d'afficher les paramètres systèmes avec l'environnement de bureau Unity, Ubuntu qui utilise Unity ne permet donc pas de désinstaller ce paquet, d'autres variantes officielles d'Ubuntu le permettent !</note> | unity-control-center
93 Mot inconnu : Unity => <note important>Attention, certains paquets comme bluez désinstallent unity-control-center quand ils sont désinstallés. Cela empêche ensuite d'afficher les paramètres systèmes avec l'environnement de bureau Unity, Ubuntu qui utilise Unity ne permet donc pas de désinstaller ce paquet, d'autres variantes officielles d'Ubuntu le permettent !</note> | unity
93 Mot inconnu : Unity => <note important>Attention, certains paquets comme bluez désinstallent unity-control-center quand ils sont désinstallés. Cela empêche ensuite d'afficher les paramètres systèmes avec l'environnement de bureau Unity, Ubuntu qui utilise Unity ne permet donc pas de désinstaller ce paquet, d'autres variantes officielles d'Ubuntu le permettent !</note> | unity

104 Guillemets typographiques ouvrants. => Si vous n'utilisez pas de connexion ppp (protocole nécessaire aux modems ADSL mais inutile si une "box" ADSL vous donne accès à l'Internet par Ethernet ou Wifi), vous pouvez désinstaller : | " => suggestions : ['«\xa0', '“']
104 Guillemets typographiques fermants. => Si vous n'utilisez pas de connexion ppp (protocole nécessaire aux modems ADSL mais inutile si une "box" ADSL vous donne accès à l'Internet par Ethernet ou Wifi), vous pouvez désinstaller : | " => suggestions : ['\xa0»', '”']

127 Mot inconnu : FIXME => FIXME attention, il semble que cette désinstallation supprime l'accès à gnome-control-center (dans la version UbuntuGnome), donc les paramètres généraux (problème vétuste voir si c'est encore le cas). | fixme
127 Mot inconnu : gnome-control-center => FIXME attention, il semble que cette désinstallation supprime l'accès à gnome-control-center (dans la version UbuntuGnome), donc les paramètres généraux (problème vétuste voir si c'est encore le cas). | gnome-control-center
127 Mot inconnu : UbuntuGnome => FIXME attention, il semble que cette désinstallation supprime l'accès à gnome-control-center (dans la version UbuntuGnome), donc les paramètres généraux (problème vétuste voir si c'est encore le cas). | ubuntugnome

140 Mot inconnu : cron => **cron** | cron

157 Mot inconnu : mlocate => **mlocate** | mlocate

159 Mot inconnu : locate => Si vous pensez qu'aucun utilisateur ne recherchera des fichiers indexés avec [[locate|mlocate]], vous pouvez désinstaller : | locate
168 Mot inconnu : Xubuntu => <note tip>Si vous utilisez Ubuntu ou Kubuntu, et que vous le trouvez trop lent, il est fortement conseillé d'essayer une variante légère comme Xubuntu ou Lubuntu par exemple. Voir [[mini_ram|cette page]] pour plus d'informations.</note> | xubuntu
168 Mot inconnu : mini_ram => <note tip>Si vous utilisez Ubuntu ou Kubuntu, et que vous le trouvez trop lent, il est fortement conseillé d'essayer une variante légère comme Xubuntu ou Lubuntu par exemple. Voir [[mini_ram|cette page]] pour plus d'informations.</note> | mini_ram

172 Pas d’espace après ce signe. => Certains logiciels ralentissent peut-être votre Ubuntu ( exemple screenlets ) : il faudrait penser à les désactiver ou les désinstaller. | (  => suggestions : ['(']
172 Mot inconnu : screenlets => Certains logiciels ralentissent peut-être votre Ubuntu ( exemple screenlets ) : il faudrait penser à les désactiver ou les désinstaller. | screenlets
172 Pas d’espace avant ce signe. => Certains logiciels ralentissent peut-être votre Ubuntu ( exemple screenlets ) : il faudrait penser à les désactiver ou les désinstaller. |  ) => suggestions : [')']

179 Mot inconnu : liste_applications_legeres => Vous pouvez utiliser des [[liste_applications_legeres|applications légères]] (vous pouvez détecter les applications gourmandes via le [[moniteur système]]) | liste_applications_legeres

193 Mot inconnu : rsyslog => Le changement suivant dans /etc/[[rsyslog.conf]] permet d'économiser du CPU, de l'énergie et de l'espace disque. | rsyslog
193 Il manque un espace. => Le changement suivant dans /etc/[[rsyslog.conf]] permet d'économiser du CPU, de l'énergie et de l'espace disque. | conf => suggestions : [' conf']

203 Il manque un espace. => Si vous remplacez la balise "%msg%" par "%rawmsg%", vous serez pollués par des timestamps avec une distribution récente. | msg => suggestions : [' msg']
203 Mot inconnu : msg => Si vous remplacez la balise "%msg%" par "%rawmsg%", vous serez pollués par des timestamps avec une distribution récente. | msg
203 Il manque un espace. => Si vous remplacez la balise "%msg%" par "%rawmsg%", vous serez pollués par des timestamps avec une distribution récente. | rawmsg => suggestions : [' rawmsg']
203 Mot inconnu : rawmsg => Si vous remplacez la balise "%msg%" par "%rawmsg%", vous serez pollués par des timestamps avec une distribution récente. | rawmsg
203 Mot inconnu : timestamps => Si vous remplacez la balise "%msg%" par "%rawmsg%", vous serez pollués par des timestamps avec une distribution récente. | timestamps

206 Mot inconnu : logrotate => Désactiver la compression lors de la rotation des fichiers journaux réalisée par [[logrotate]] permet de réduire l'utilisation du processeur, de la mémoire et du disque dur (moins de lecture/écriture). Cela conduit à économiser de l'énergie et à augmenter légèrement la durée de vie du disque dur. | logrotate
206 Incohérence avec “par” : “permet” est une forme verbale conjuguée. => Désactiver la compression lors de la rotation des fichiers journaux réalisée par [[logrotate]] permet de réduire l'utilisation du processeur, de la mémoire et du disque dur (moins de lecture/écriture). Cela conduit à économiser de l'énergie et à augmenter légèrement la durée de vie du disque dur. | permet => suggestions : ['permissions', 'permis']

211 Confusion probable : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => Plusieurs possibilités s'offrent a vous afin de mettre votre cache de navigateur [[Firefox]] ou [[Chromium-browser]] en mémoire vive (à condition d'avoir //suffisamment// de mémoire vive), cette manipulation peut servir pour d'autres choses. | a => suggestions : ['à']
211 Mot inconnu : Chromium-browser => Plusieurs possibilités s'offrent a vous afin de mettre votre cache de navigateur [[Firefox]] ou [[Chromium-browser]] en mémoire vive (à condition d'avoir //suffisamment// de mémoire vive), cette manipulation peut servir pour d'autres choses. | chromium-browser

213 Mot inconnu : tmp => Simple, nous allons mettre /tmp en mémoire vive, mais comporte un petit problème de sécurité, bien que le tmp soit effacé à chaque redémarrage (( tout comme la mémoire vive volatile)) si vous avez plusieurs utilisateurs, ils pourront voir votre cache de navigation : | tmp
213 Pas d’espace après ce signe. => Simple, nous allons mettre /tmp en mémoire vive, mais comporte un petit problème de sécurité, bien que le tmp soit effacé à chaque redémarrage (( tout comme la mémoire vive volatile)) si vous avez plusieurs utilisateurs, ils pourront voir votre cache de navigation : | (  => suggestions : ['(']

217 Mot inconnu : tmpfs => tmpfs	/tmp	tmpfs	mode=1777	0	0</file> | tmpfs
217 Mot inconnu : tmpfs => tmpfs	/tmp	tmpfs	mode=1777	0	0</file> | tmpfs
220 Espace(s) en fin de ligne à supprimer. => Alternative :  |   => suggestions : ['']

221 Il manque un espace. => ouvrez about:config | config => suggestions : [' config']

235 Mot inconnu : IPv6 => ==== Désactiver le support IPv6 ==== | ipv6

239 Guillemets typographiques ouvrants. => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  | " => suggestions : ['«\xa0', '“']
239 Guillemets typographiques fermants. => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  | " => suggestions : ['\xa0»', '”']
239 Mot inconnu : IPv6 => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  | ipv6
239 Mot inconnu : IPv6 => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  | ipv6
239 Mot inconnu : IPv4 => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  | ipv4
239 Mot inconnu : v4 => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  | v4
239 Mot inconnu : IPv6 => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  | ipv6
239 Mot inconnu : router-advertisement => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  | router-advertisement
239 Typographie : points de suspension. Utilisez le caractère dédié. => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  | ... => suggestions : ['…']
239 Mot inconnu : stack => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  | stack
239 Mot inconnu : IPv6 => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  | ipv6
239 Mot inconnu : IPv4 => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  | ipv4
239 Espace(s) en fin de ligne à supprimer. => Le "ralentissement" provient du fait que les logiciels, pensant que IPv6 est fonctionnel, vont commencer par faire des requêtes IPv6, puis IPv4 une fois que les premières auront échoués. Les requêtes les plus visibles utilisant ce mécanisme sont les requêtes DNS, qui mettent quelques secondes à expirer avant de repasser en v4. Il est fortement conseillé de tenter d'identifier le problème de connectivité IPv6 en amont (problème d'opérateur, de routeur local qui utilise à tort du router-advertisement ...) avant de désactiver purement et simplement toute la stack. IPv6 et IPv4 sont réellement différents; le plus tôt vous essaierez de comprendre son fonctionnement et plus rapidement vous saurez être à l'aise avec.  |   => suggestions : ['']

242 Mot inconnu : IPv6 => ===Contrôler si IPv6 est activé sur votre PC=== | ipv6

244 Mot inconnu : IPv6 => Pour savoir si IPv6 est activé sur votre PC ou non, saisissez dans un [[terminal]] la commande suivante : | ipv6

248 Mot inconnu : IPv6 => Si IPv6 est activé, réponse sous cette forme : | ipv6

251 Mot inconnu : inet6 => inet6 ::1/128 scope host  | inet6
251 Une de ces ponctuations est superflue. => inet6 ::1/128 scope host  | :: => suggestions : [':', ':']
251 Mot inconnu : scope => inet6 ::1/128 scope host  | scope
251 Mot inconnu : host => inet6 ::1/128 scope host  | host
251 Espace(s) en fin de ligne à supprimer. => inet6 ::1/128 scope host  |   => suggestions : ['']

252 Mot inconnu : inet6 => inet6 fe80::a00:27ff:fe21:8552/64 scope link  | inet6
252 Mot inconnu : fe80 => inet6 fe80::a00:27ff:fe21:8552/64 scope link  | fe80
252 Une de ces ponctuations est superflue. => inet6 fe80::a00:27ff:fe21:8552/64 scope link  | :: => suggestions : [':', ':']
252 Mot inconnu : a00 => inet6 fe80::a00:27ff:fe21:8552/64 scope link  | a00
252 Il manque un espace. => inet6 fe80::a00:27ff:fe21:8552/64 scope link  | 27ff => suggestions : [' 27ff']
252 Mot inconnu : ff => inet6 fe80::a00:27ff:fe21:8552/64 scope link  | ff
252 Mot inconnu : fe21 => inet6 fe80::a00:27ff:fe21:8552/64 scope link  | fe21
252 Il manque un espace. => inet6 fe80::a00:27ff:fe21:8552/64 scope link  | 8552 => suggestions : [' 8552']
252 Mot inconnu : scope => inet6 fe80::a00:27ff:fe21:8552/64 scope link  | scope
252 Mot inconnu : link => inet6 fe80::a00:27ff:fe21:8552/64 scope link  | link
252 Espace(s) en fin de ligne à supprimer. => inet6 fe80::a00:27ff:fe21:8552/64 scope link  |   => suggestions : ['']

255 Mot inconnu : IPv6 => Si IPv6 est non activé, la commande ne retournera aucune ligne | ipv6

257 Mot inconnu : IPv6 => === Désactiver IPv6 === | ipv6

261 Mot inconnu : enabled => 0 = enabled, 1 = disabled | enabled
261 Mot inconnu : disabled => 0 = enabled, 1 = disabled | disabled

263 Mot inconnu : reboot => Pour désactiver, ponctuellement mais ce sera perdu au prochain reboot: | reboot

274 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
275 Mot inconnu : IPv6 => <note warning>Note d'un utilisateur : attention, désactiver ainsi IPv6 peut conduire à des dysfonctionnement du gestionnaire d'impression CUPS qui pourrait ne plus afficher vos imprimantes locales correctement. FIXME</note>  | ipv6
275 Accord de nombre erroné : « dysfonctionnement » devrait être au pluriel. => <note warning>Note d'un utilisateur : attention, désactiver ainsi IPv6 peut conduire à des dysfonctionnement du gestionnaire d'impression CUPS qui pourrait ne plus afficher vos imprimantes locales correctement. FIXME</note>  | dysfonctionnement => suggestions : ['dysfonctionnements']
275 Mot inconnu : CUPS => <note warning>Note d'un utilisateur : attention, désactiver ainsi IPv6 peut conduire à des dysfonctionnement du gestionnaire d'impression CUPS qui pourrait ne plus afficher vos imprimantes locales correctement. FIXME</note>  | cups
275 Mot inconnu : FIXME => <note warning>Note d'un utilisateur : attention, désactiver ainsi IPv6 peut conduire à des dysfonctionnement du gestionnaire d'impression CUPS qui pourrait ne plus afficher vos imprimantes locales correctement. FIXME</note>  | fixme
275 Espace(s) en fin de ligne à supprimer. => <note warning>Note d'un utilisateur : attention, désactiver ainsi IPv6 peut conduire à des dysfonctionnement du gestionnaire d'impression CUPS qui pourrait ne plus afficher vos imprimantes locales correctement. FIXME</note>  |   => suggestions : ['']

277 Mot inconnu : IPv6 => <note warning>Après avoir désactivé l'IPv6, l'X11Forwarding via ssh ne fonctionne plus, il faut donc taper les commandes suivantes : | ipv6
277 Mot inconnu : X11Forwarding => <note warning>Après avoir désactivé l'IPv6, l'X11Forwarding via ssh ne fonctionne plus, il faut donc taper les commandes suivantes : | x11forwarding
277 Mot inconnu : ssh => <note warning>Après avoir désactivé l'IPv6, l'X11Forwarding via ssh ne fonctionne plus, il faut donc taper les commandes suivantes : | ssh
317 Mot inconnu : Dailymotion => Vous allez sur Youtube, Dailymotion, vous jouez à des jeux en flash et ça rame. Ou vous avez installé des plugins flash et ça rame : | dailymotion

319 Guillemets typographiques ouvrants. => === Installer le lecteur flash "officiel" édité par Adobe (mais propriétaire / privateur) === | " => suggestions : ['«\xa0', '“']
319 Guillemets typographiques fermants. => === Installer le lecteur flash "officiel" édité par Adobe (mais propriétaire / privateur) === | " => suggestions : ['\xa0»', '”']

320 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

330 Mot inconnu : VLC => ====Avec le lecteur multimédia VLC==== | vlc

358 Mot inconnu : Nautilus => ==== Accélérer le gestionnaire de fichiers Nautilus ==== | nautilus

367 Mot inconnu : Nautilus => Nautilus sera plus réactif pour accéder aux dossiers. Les options qui ralentissent le plus l'accès au dossier sont "Fichier Texte" et Vignettes (pour les images). | nautilus
367 Guillemets typographiques ouvrants. => Nautilus sera plus réactif pour accéder aux dossiers. Les options qui ralentissent le plus l'accès au dossier sont "Fichier Texte" et Vignettes (pour les images). | " => suggestions : ['«\xa0', '“']
367 Accord avec la forme verbale “sont” : “Fichier” devrait être au pluriel. => Nautilus sera plus réactif pour accéder aux dossiers. Les options qui ralentissent le plus l'accès au dossier sont "Fichier Texte" et Vignettes (pour les images). | fichier => suggestions : ['Fichiers']
367 Guillemets typographiques fermants. => Nautilus sera plus réactif pour accéder aux dossiers. Les options qui ralentissent le plus l'accès au dossier sont "Fichier Texte" et Vignettes (pour les images). | " => suggestions : ['\xa0»', '”']

369 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Si vous n'utilisez aucun de ces trois paramètres alors vous pouvez nettoyer le cache des vignettes en les supprimant manuellement dans le dossier caché .thumbnail de votre /home. |  . => suggestions : ['. ', '.']
369 Mot inconnu : thumbnail => Si vous n'utilisez aucun de ces trois paramètres alors vous pouvez nettoyer le cache des vignettes en les supprimant manuellement dans le dossier caché .thumbnail de votre /home. | thumbnail
