
5 Mot inconnu : Inspiron => ====== Dell Inspiron 9400 ====== | inspiron
13 Mot inconnu : X1400 => == ATI X1400 Mobility == | x1400
13 Mot inconnu : Mobility => == ATI X1400 Mobility == | mobility

15 Mot inconnu : radeon => Reconnue et prise en charge par le pilote libre [[radeon]]. Supporte la 3D et Compiz. | radeon
15 Mot inconnu : Compiz => Reconnue et prise en charge par le pilote libre [[radeon]]. Supporte la 3D et Compiz. | compiz

17 Mot inconnu : GeForce => == Nvidia GeForce 7900GS == | geforce

19 Mot inconnu : nv => Par défaut, le pilote [[nv]] est utilisé. Mais il ne supporte que la 2D et les couleurs sont limitées à 16bits. Pour profiter au mieux de votre carte graphique, l'installation du pilote nvidia propriétaire s'avère indispensable. Rendez-vous dans Système > Administration > Pilotes de périphériques. | nv
19 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. => Par défaut, le pilote [[nv]] est utilisé. Mais il ne supporte que la 2D et les couleurs sont limitées à 16bits. Pour profiter au mieux de votre carte graphique, l'installation du pilote nvidia propriétaire s'avère indispensable. Rendez-vous dans Système > Administration > Pilotes de périphériques. | 2d => suggestions : ['2ᵈ']
19 Mot inconnu : nvidia => Par défaut, le pilote [[nv]] est utilisé. Mais il ne supporte que la 2D et les couleurs sont limitées à 16bits. Pour profiter au mieux de votre carte graphique, l'installation du pilote nvidia propriétaire s'avère indispensable. Rendez-vous dans Système > Administration > Pilotes de périphériques. | nvidia

21 Mot inconnu : freezes => <note important>Il semble qu'il y ait un bug récurent dans les pilotes Nvidia, qui fait que la gestion de l'énergie provoque des flashs noirs, puis finalement des freezes du système. Pour corriger ça, petite modification à faire.</note> | freezes

33 Mot inconnu : Inspiron => Sur la majorité des ordinateurs, tous les canaux audios sont réglés au maximum, et c'est en agissant sur le Master qu'on régule le volume. Mais sur l'Inspiron 9400, c'est le PCM... Master et LFE doivent en permanence être à fond. | inspiron
33 Mot inconnu : PCM => Sur la majorité des ordinateurs, tous les canaux audios sont réglés au maximum, et c'est en agissant sur le Master qu'on régule le volume. Mais sur l'Inspiron 9400, c'est le PCM... Master et LFE doivent en permanence être à fond. | pcm
33 Typographie : points de suspension. Utilisez le caractère dédié. => Sur la majorité des ordinateurs, tous les canaux audios sont réglés au maximum, et c'est en agissant sur le Master qu'on régule le volume. Mais sur l'Inspiron 9400, c'est le PCM... Master et LFE doivent en permanence être à fond. | ... => suggestions : ['…']
33 Mot inconnu : LFE => Sur la majorité des ordinateurs, tous les canaux audios sont réglés au maximum, et c'est en agissant sur le Master qu'on régule le volume. Mais sur l'Inspiron 9400, c'est le PCM... Master et LFE doivent en permanence être à fond. | lfe

35 Mot inconnu : Pulseaudio => Le problème c'est qu'Ubuntu intègre maintenant Pulseaudio, qui s'occupe du mixage des canaux, et par défaut il ne le fait pas bien. Du coup le réglage du volume est archaïque, ou passe tout seul à 100% ce qui réveille vos voisins et vous flanque une crise cardiaque. | pulseaudio

65 Guillemets typographiques ouvrants. => Redémarrez votre ordinateur, la gestion du son est maintenant correcte. Si ce n'est pas le cas, tapez "alsamixer" en console, et réglez le Master ainsi que le LFE à fond (avec la flèche "haut"). Vérifiez que le canal n'est pas coupé (avec la touche M). | " => suggestions : ['«\xa0', '“']
65 Mot inconnu : alsamixer => Redémarrez votre ordinateur, la gestion du son est maintenant correcte. Si ce n'est pas le cas, tapez "alsamixer" en console, et réglez le Master ainsi que le LFE à fond (avec la flèche "haut"). Vérifiez que le canal n'est pas coupé (avec la touche M). | alsamixer
65 Guillemets typographiques fermants. => Redémarrez votre ordinateur, la gestion du son est maintenant correcte. Si ce n'est pas le cas, tapez "alsamixer" en console, et réglez le Master ainsi que le LFE à fond (avec la flèche "haut"). Vérifiez que le canal n'est pas coupé (avec la touche M). | " => suggestions : ['\xa0»', '”']
65 Mot inconnu : LFE => Redémarrez votre ordinateur, la gestion du son est maintenant correcte. Si ce n'est pas le cas, tapez "alsamixer" en console, et réglez le Master ainsi que le LFE à fond (avec la flèche "haut"). Vérifiez que le canal n'est pas coupé (avec la touche M). | lfe
65 Guillemets typographiques ouvrants. => Redémarrez votre ordinateur, la gestion du son est maintenant correcte. Si ce n'est pas le cas, tapez "alsamixer" en console, et réglez le Master ainsi que le LFE à fond (avec la flèche "haut"). Vérifiez que le canal n'est pas coupé (avec la touche M). | " => suggestions : ['«\xa0', '“']
65 Guillemets typographiques fermants. => Redémarrez votre ordinateur, la gestion du son est maintenant correcte. Si ce n'est pas le cas, tapez "alsamixer" en console, et réglez le Master ainsi que le LFE à fond (avec la flèche "haut"). Vérifiez que le canal n'est pas coupé (avec la touche M). | " => suggestions : ['\xa0»', '”']

69 Mot inconnu : Inspiron => Le bip système de l'Inspiron est excessivement fort... du coup il a tendance à faire sursauter l'utilisateur et réveiller tout le monde dans la maison. Pour l'étouffer définitivement, nous allons blacklister son pilote: | inspiron
69 Typographie : points de suspension. Utilisez le caractère dédié. => Le bip système de l'Inspiron est excessivement fort... du coup il a tendance à faire sursauter l'utilisateur et réveiller tout le monde dans la maison. Pour l'étouffer définitivement, nous allons blacklister son pilote: | ... => suggestions : ['…']
