1 Mot inconnu : Teamspeak => ====== Teamspeak et Wine ====== | teamspeak
23 Confusion probable. Pour évoquer la ferveur (religieuse), écrivez “foi”. => Le problème avec OSS c'est qu'il ne gère qu'un seul flux audio a la fois. Par exemple, vous ne pourriez entendre qu'une musique si vous en lanciez deux à la fois ! Ici, Teamspeak primera sur Wine si vous lancez Teamspeak en premier et inversement. | fois => suggestions : ['foi']
23 Mot inconnu : Teamspeak => Le problème avec OSS c'est qu'il ne gère qu'un seul flux audio a la fois. Par exemple, vous ne pourriez entendre qu'une musique si vous en lanciez deux à la fois ! Ici, Teamspeak primera sur Wine si vous lancez Teamspeak en premier et inversement. | teamspeak
23 Mot inconnu : Wine => Le problème avec OSS c'est qu'il ne gère qu'un seul flux audio a la fois. Par exemple, vous ne pourriez entendre qu'une musique si vous en lanciez deux à la fois ! Ici, Teamspeak primera sur Wine si vous lancez Teamspeak en premier et inversement. | wine
23 Mot inconnu : Teamspeak => Le problème avec OSS c'est qu'il ne gère qu'un seul flux audio a la fois. Par exemple, vous ne pourriez entendre qu'une musique si vous en lanciez deux à la fois ! Ici, Teamspeak primera sur Wine si vous lancez Teamspeak en premier et inversement. | teamspeak

28 Mot inconnu : Teamspeak => Vous avez sûrement une carte son déjà incluse dans votre PC, mais si vous avez un tel problème avec Teamspeak et Wine, c'est qu'elle ne supporte pas le mixage matériel (qui résoudrait ce problème). Vous pouvez donc en acheter une qui le supporte ou essayer les solutions ci-dessous si votre budget ne le permet pas (et même s'il le permet :-P). | teamspeak
28 Mot inconnu : Wine => Vous avez sûrement une carte son déjà incluse dans votre PC, mais si vous avez un tel problème avec Teamspeak et Wine, c'est qu'elle ne supporte pas le mixage matériel (qui résoudrait ce problème). Vous pouvez donc en acheter une qui le supporte ou essayer les solutions ci-dessous si votre budget ne le permet pas (et même s'il le permet :-P). | wine

30 Mot inconnu : Alsa => ===== Alsa ===== | alsa
32 Mot inconnu : Alsa => OSS est maintenant dépassé (non, ne dites pas ouf! ^_^), car un nouveau système audio a fait son apparition : Alsa. Alsa permet de mixer les flux audio: vous pouvez lancer deux musiques en même temps et les entendre toutes les deux. Cependant, Teamspeak ne supporte pas Alsa par défaut, et le pilote Alsa de Wine reste lent (du moins sur les petites configs). | alsa
32 Mot inconnu : Alsa => OSS est maintenant dépassé (non, ne dites pas ouf! ^_^), car un nouveau système audio a fait son apparition : Alsa. Alsa permet de mixer les flux audio: vous pouvez lancer deux musiques en même temps et les entendre toutes les deux. Cependant, Teamspeak ne supporte pas Alsa par défaut, et le pilote Alsa de Wine reste lent (du moins sur les petites configs). | alsa
32 Mot inconnu : Teamspeak => OSS est maintenant dépassé (non, ne dites pas ouf! ^_^), car un nouveau système audio a fait son apparition : Alsa. Alsa permet de mixer les flux audio: vous pouvez lancer deux musiques en même temps et les entendre toutes les deux. Cependant, Teamspeak ne supporte pas Alsa par défaut, et le pilote Alsa de Wine reste lent (du moins sur les petites configs). | teamspeak
32 Mot inconnu : Alsa => OSS est maintenant dépassé (non, ne dites pas ouf! ^_^), car un nouveau système audio a fait son apparition : Alsa. Alsa permet de mixer les flux audio: vous pouvez lancer deux musiques en même temps et les entendre toutes les deux. Cependant, Teamspeak ne supporte pas Alsa par défaut, et le pilote Alsa de Wine reste lent (du moins sur les petites configs). | alsa
32 Mot inconnu : Alsa => OSS est maintenant dépassé (non, ne dites pas ouf! ^_^), car un nouveau système audio a fait son apparition : Alsa. Alsa permet de mixer les flux audio: vous pouvez lancer deux musiques en même temps et les entendre toutes les deux. Cependant, Teamspeak ne supporte pas Alsa par défaut, et le pilote Alsa de Wine reste lent (du moins sur les petites configs). | alsa
32 Mot inconnu : Wine => OSS est maintenant dépassé (non, ne dites pas ouf! ^_^), car un nouveau système audio a fait son apparition : Alsa. Alsa permet de mixer les flux audio: vous pouvez lancer deux musiques en même temps et les entendre toutes les deux. Cependant, Teamspeak ne supporte pas Alsa par défaut, et le pilote Alsa de Wine reste lent (du moins sur les petites configs). | wine

35 Mot inconnu : Teamspeak => La version 3 de Teamspeak utilisera Alsa comme système audio, et d'ici là  de nouvelles versions de Wine supportant mieux le pilote Alsa devraient sortir. | teamspeak
35 Mot inconnu : Alsa => La version 3 de Teamspeak utilisera Alsa comme système audio, et d'ici là  de nouvelles versions de Wine supportant mieux le pilote Alsa devraient sortir. | alsa
35 Espace(s) surnuméraire(s) à supprimer. => La version 3 de Teamspeak utilisera Alsa comme système audio, et d'ici là  de nouvelles versions de Wine supportant mieux le pilote Alsa devraient sortir. |    => suggestions : [' ']
35 Mot inconnu : Wine => La version 3 de Teamspeak utilisera Alsa comme système audio, et d'ici là  de nouvelles versions de Wine supportant mieux le pilote Alsa devraient sortir. | wine
35 Mot inconnu : Alsa => La version 3 de Teamspeak utilisera Alsa comme système audio, et d'ici là  de nouvelles versions de Wine supportant mieux le pilote Alsa devraient sortir. | alsa

38 Mot inconnu : Alsa => Si votre config le permet, activez le pilote Alsa pour Wine et lancez Teamspeak grâce à aoss, cela devrait régler le problème. Si aoss n'est pas installé, lisez la prochaine section. | alsa
38 Mot inconnu : Wine => Si votre config le permet, activez le pilote Alsa pour Wine et lancez Teamspeak grâce à aoss, cela devrait régler le problème. Si aoss n'est pas installé, lisez la prochaine section. | wine
38 Mot inconnu : Teamspeak => Si votre config le permet, activez le pilote Alsa pour Wine et lancez Teamspeak grâce à aoss, cela devrait régler le problème. Si aoss n'est pas installé, lisez la prochaine section. | teamspeak
38 Mot inconnu : aoss => Si votre config le permet, activez le pilote Alsa pour Wine et lancez Teamspeak grâce à aoss, cela devrait régler le problème. Si aoss n'est pas installé, lisez la prochaine section. | aoss
38 Mot inconnu : aoss => Si votre config le permet, activez le pilote Alsa pour Wine et lancez Teamspeak grâce à aoss, cela devrait régler le problème. Si aoss n'est pas installé, lisez la prochaine section. | aoss

40 Mot inconnu : Teamspeak => Pour lancer Teamspeak avec aoss : | teamspeak
40 Mot inconnu : aoss => Pour lancer Teamspeak avec aoss : | aoss

43 Mot inconnu : Aoss => ===== Aoss ===== | aoss

45 Mot inconnu : Aoss => Aoss (ou alsa-oss) est un logiciel qui fait passer un programme OSS en Alsa | aoss
45 Mot inconnu : alsa-oss => Aoss (ou alsa-oss) est un logiciel qui fait passer un programme OSS en Alsa | alsa-oss
45 Mot inconnu : Alsa => Aoss (ou alsa-oss) est un logiciel qui fait passer un programme OSS en Alsa | alsa

46 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => et avec quelques modifications permet de régler la plupart des problèmes. C'est la seule alternative possible à OSS qui fonctionne pour Teamspeak et Wine. | et => suggestions : ['Et']
46 Mot inconnu : Teamspeak => et avec quelques modifications permet de régler la plupart des problèmes. C'est la seule alternative possible à OSS qui fonctionne pour Teamspeak et Wine. | teamspeak
46 Mot inconnu : Wine => et avec quelques modifications permet de régler la plupart des problèmes. C'est la seule alternative possible à OSS qui fonctionne pour Teamspeak et Wine. | wine

52 Mot inconnu : aoss => ==== Installer aoss ==== | aoss

56 Mot inconnu : dmixer => ===== Plugin dmixer ===== | dmixer

58 Mot inconnu : Dmixer => Dmixer est un plugin Alsa qui lui permet de mixer le son en logiciel (à moins d'avoir une carte son qui le supporte en matériel [voir [[wine_teamspeak#Carte son|Carte son]]]. | dmixer
58 Mot inconnu : Alsa => Dmixer est un plugin Alsa qui lui permet de mixer le son en logiciel (à moins d'avoir une carte son qui le supporte en matériel [voir [[wine_teamspeak#Carte son|Carte son]]]. | alsa
58 Mot inconnu : wine_teamspeak => Dmixer est un plugin Alsa qui lui permet de mixer le son en logiciel (à moins d'avoir une carte son qui le supporte en matériel [voir [[wine_teamspeak#Carte son|Carte son]]]. | wine_teamspeak

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   }</code> |    => suggestions : ['']

100 Mot inconnu : ESD => ==== Configuration de ESD ==== | esd

101 Mot inconnu : ESD => ESD est le système audio intégré à Gnome, il fait la liaison entre Alsa et les sons du système. | esd
101 Mot inconnu : Alsa => ESD est le système audio intégré à Gnome, il fait la liaison entre Alsa et les sons du système. | alsa

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   spawn_options= |    => suggestions : ['']
106 Mot inconnu : spawn_options =>   spawn_options= | spawn_options

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ex : spawn_options=-terminate -nobeeps -as 1 -d dmixer |    => suggestions : ['']
108 Mot inconnu : spawn_options =>   ex : spawn_options=-terminate -nobeeps -as 1 -d dmixer | spawn_options
108 Mot inconnu : terminate =>   ex : spawn_options=-terminate -nobeeps -as 1 -d dmixer | terminate
108 Mot inconnu : nobeeps =>   ex : spawn_options=-terminate -nobeeps -as 1 -d dmixer | nobeeps
108 Il manque un espace à côté du tiret. =>   ex : spawn_options=-terminate -nobeeps -as 1 -d dmixer |  - => suggestions : [' – ', ' — ']
108 Mot inconnu : dmixer =>   ex : spawn_options=-terminate -nobeeps -as 1 -d dmixer | dmixer

120 Mot inconnu : Wine => ===== Configuration de Wine ===== | wine

122 Mot inconnu : Wine => Pour configurer Wine, vous devez vous assurer qu'il est installé (logique ;-)). Ensuite, ouvrez un terminal et tapez : | wine

129 Mot inconnu : Teamspeak => ===== Configuration de Teamspeak ===== | teamspeak

133 Mot inconnu : aoss => ===== Lancer les applications en aoss ===== | aoss

134 Mot inconnu : aoss => Rien de difficile, il faut juste ajouter aoss devant wine et teamspeak : | aoss
134 Mot inconnu : wine => Rien de difficile, il faut juste ajouter aoss devant wine et teamspeak : | wine
134 Mot inconnu : teamspeak => Rien de difficile, il faut juste ajouter aoss devant wine et teamspeak : | teamspeak

136 Mot inconnu : Teamspeak => Lancement de Teamspeak : | teamspeak

139 Mot inconnu : Wine => Lancement de Wine : | wine

145 Ceci est un verbe à la 2ᵉ personne du pluriel. Sujet (“vous” ou équivalent) introuvable. => Voilà vous devriez être capable de parler sous Teamspeak, d'entendre les autres parler et de jouer à vos jeux Wine favoris en même temps. | devriez => suggestions : ['devraient']
145 Mot inconnu : Teamspeak => Voilà vous devriez être capable de parler sous Teamspeak, d'entendre les autres parler et de jouer à vos jeux Wine favoris en même temps. | teamspeak
145 Mot inconnu : Wine => Voilà vous devriez être capable de parler sous Teamspeak, d'entendre les autres parler et de jouer à vos jeux Wine favoris en même temps. | wine
