
5 Mot inconnu : Red5 => ====== Red5 : serveur Flash ====== | red5
32 Mot inconnu : red5-shutdown =>   ./chemin/vers/red5/red5-shutdown.sh | red5-shutdown
32 Mot inconnu : sh =>   ./chemin/vers/red5/red5-shutdown.sh | sh

34 Mot inconnu : red5 => ==== Mettre red5 en tant que service ==== | red5

36 Mot inconnu : init-script => <note>[[https://serverfault.com/questions/166099/startup-script-for-red5-on-ubuntu-9-04|Source de l'init-script]]</note> | init-script

38 Mot inconnu : RED5_HOME => Déposez ce script dans le fichier **/etc/init.d/red5** en personnalisant la variable RED5_HOME : | red5_home

40 Mot inconnu : to => #The script to start Red 5 Tapas Mishra | to
40 Mot inconnu : start => #The script to start Red 5 Tapas Mishra | start
40 Mot inconnu : Red => #The script to start Red 5 Tapas Mishra | red
40 Mot inconnu : Mishra => #The script to start Red 5 Tapas Mishra | mishra

41 Mot inconnu : some => ##Begin some thing some thing | some
41 Mot inconnu : thing => ##Begin some thing some thing | thing
41 Mot inconnu : some => ##Begin some thing some thing | some
41 Mot inconnu : thing => ##Begin some thing some thing | thing

42 Mot inconnu : BEGIN => ### BEGIN INIT INFO | begin
42 Mot inconnu : INIT => ### BEGIN INIT INFO | init

43 Mot inconnu : Provides => # Provides:          Red5 | provides
43 Espace(s) surnuméraire(s) à supprimer. => # Provides:          Red5 |            => suggestions : [' ']
43 Mot inconnu : Red5 => # Provides:          Red5 | red5

44 Mot inconnu : Required-Start => # Required-Start:    No idea | required-start
44 Espace(s) surnuméraire(s) à supprimer. => # Required-Start:    No idea |      => suggestions : [' ']
44 Mot inconnu : idea => # Required-Start:    No idea | idea

45 Mot inconnu : Required-Stop => # Required-Stop:     No idea | required-stop
45 Espace(s) surnuméraire(s) à supprimer. => # Required-Stop:     No idea |       => suggestions : [' ']
45 Mot inconnu : idea => # Required-Stop:     No idea | idea

46 Mot inconnu : Default-Start => # Default-Start:     2 3 4 5 | default-start
46 Espace(s) surnuméraire(s) à supprimer. => # Default-Start:     2 3 4 5 |       => suggestions : [' ']

47 Mot inconnu : Default-Stop => # Default-Stop:      0 1 6 | default-stop
47 Espace(s) surnuméraire(s) à supprimer. => # Default-Stop:      0 1 6 |        => suggestions : [' ']
48 Mot inconnu : Red5 => # Short-Description: Red5 Streaming Server | red5
48 Mot inconnu : Server => # Short-Description: Red5 Streaming Server | server
49 Espace(s) surnuméraire(s) à supprimer. => # Description:       Ubuntu init script for Red5 server |         => suggestions : [' ']
49 Mot inconnu : init => # Description:       Ubuntu init script for Red5 server | init
49 Mot inconnu : Red5 => # Description:       Ubuntu init script for Red5 server | red5
49 Mot inconnu : server => # Description:       Ubuntu init script for Red5 server | server

50 Mot inconnu : END => ### END INIT INFO | end
50 Mot inconnu : INIT => ### END INIT INFO | init

52 Mot inconnu : PATH => PATH=/usr/local/sbin:/usr/local/bin:/sbin:/bin:/usr/sbin:/usr/bin | path

53 Mot inconnu : DAEMON => DAEMON="/usr/local/bin/red5-0.9.1/red5.sh" | daemon
53 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => DAEMON="/usr/local/bin/red5-0.9.1/red5.sh" | -0 => suggestions : ['−0', '– 0', '— 0']
53 Guillemets typographiques fermants. => DAEMON="/usr/local/bin/red5-0.9.1/red5.sh" | " => suggestions : ['\xa0»', '”']

54 Mot inconnu : NAME => NAME="Red5" | name
54 Guillemets typographiques ouvrants. => NAME="Red5" | " => suggestions : ['«\xa0', '“']
54 Mot inconnu : Red5 => NAME="Red5" | red5
54 Guillemets typographiques fermants. => NAME="Red5" | " => suggestions : ['\xa0»', '”']

55 Mot inconnu : RED5_HOME => RED5_HOME=/usr/local/bin/red5-0.9.1 | red5_home
55 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => RED5_HOME=/usr/local/bin/red5-0.9.1 | -0 => suggestions : ['−0', '– 0', '— 0']

56 Mot inconnu : PIDFILE => PIDFILE=/var/run/$NAME.pid | pidfile
56 Mot inconnu : NAME => PIDFILE=/var/run/$NAME.pid | name
56 Mot inconnu : pid => PIDFILE=/var/run/$NAME.pid | pid

57 Mot inconnu : SCRIPTNAME => SCRIPTNAME=/etc/init.d/$NAME | scriptname
57 Mot inconnu : NAME => SCRIPTNAME=/etc/init.d/$NAME | name

58 Mot inconnu : DESC => DESC="Red5 Ubuntu Server" | desc
58 Guillemets typographiques ouvrants. => DESC="Red5 Ubuntu Server" | " => suggestions : ['«\xa0', '“']
58 Mot inconnu : Red5 => DESC="Red5 Ubuntu Server" | red5
58 Mot inconnu : Server => DESC="Red5 Ubuntu Server" | server
58 Guillemets typographiques fermants. => DESC="Red5 Ubuntu Server" | " => suggestions : ['\xa0»', '”']

61 Il manque un espace à côté du tiret. => set -e |  - => suggestions : [' – ', ' — ']

63 Mot inconnu : PROCESS_DIR => PROCESS_DIR="/usr/local/bin/red5-0.9.1" | process_dir
63 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => PROCESS_DIR="/usr/local/bin/red5-0.9.1" | -0 => suggestions : ['−0', '– 0', '— 0']
63 Guillemets typographiques fermants. => PROCESS_DIR="/usr/local/bin/red5-0.9.1" | " => suggestions : ['\xa0»', '”']

65 Guillemets typographiques fermants. => case "$1" in | " => suggestions : ['\xa0»', '”']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   start) |    => suggestions : ['']
66 Mot inconnu : start =>   start) | start

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         log_daemon_msg "Starting $DESC" "$NAME" |          => suggestions : ['']
67 Mot inconnu : log_daemon_msg =>         log_daemon_msg "Starting $DESC" "$NAME" | log_daemon_msg
67 Guillemets typographiques ouvrants. =>         log_daemon_msg "Starting $DESC" "$NAME" | " => suggestions : ['«\xa0', '“']
67 Mot inconnu : Starting =>         log_daemon_msg "Starting $DESC" "$NAME" | starting
67 Mot inconnu : DESC =>         log_daemon_msg "Starting $DESC" "$NAME" | desc
67 Guillemets typographiques fermants. =>         log_daemon_msg "Starting $DESC" "$NAME" | " => suggestions : ['\xa0»', '”']
67 Mot inconnu : NAME =>         log_daemon_msg "Starting $DESC" "$NAME" | name
67 Guillemets typographiques fermants. =>         log_daemon_msg "Starting $DESC" "$NAME" | " => suggestions : ['\xa0»', '”']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         start-stop-daemon --start --pidfile $PIDFILE \ |          => suggestions : ['']
68 Mot inconnu : start-stop-daemon =>         start-stop-daemon --start --pidfile $PIDFILE \ | start-stop-daemon
68 Mot inconnu : start =>         start-stop-daemon --start --pidfile $PIDFILE \ | start
68 Mot inconnu : pidfile =>         start-stop-daemon --start --pidfile $PIDFILE \ | pidfile
68 Mot inconnu : PIDFILE =>         start-stop-daemon --start --pidfile $PIDFILE \ | pidfile

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 --chdir $RED5_HOME --background --make-pidfile \ |                  => suggestions : ['']
69 Mot inconnu : chdir =>                 --chdir $RED5_HOME --background --make-pidfile \ | chdir
69 Mot inconnu : RED5_HOME =>                 --chdir $RED5_HOME --background --make-pidfile \ | red5_home
69 Mot inconnu : make-pidfile =>                 --chdir $RED5_HOME --background --make-pidfile \ | make-pidfile

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 --exec $DAEMON |                  => suggestions : ['']
70 Mot inconnu : exec =>                 --exec $DAEMON | exec
70 Mot inconnu : DAEMON =>                 --exec $DAEMON | daemon

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         log_end_msg $? |          => suggestions : ['']
71 Mot inconnu : log_end_msg =>         log_end_msg $? | log_end_msg

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
72 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    stop) |     => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         log_daemon_msg "Stopping $DESC" "$NAME" |          => suggestions : ['']
74 Mot inconnu : log_daemon_msg =>         log_daemon_msg "Stopping $DESC" "$NAME" | log_daemon_msg
74 Guillemets typographiques ouvrants. =>         log_daemon_msg "Stopping $DESC" "$NAME" | " => suggestions : ['«\xa0', '“']
74 Mot inconnu : Stopping =>         log_daemon_msg "Stopping $DESC" "$NAME" | stopping
74 Mot inconnu : DESC =>         log_daemon_msg "Stopping $DESC" "$NAME" | desc
74 Guillemets typographiques fermants. =>         log_daemon_msg "Stopping $DESC" "$NAME" | " => suggestions : ['\xa0»', '”']
74 Mot inconnu : NAME =>         log_daemon_msg "Stopping $DESC" "$NAME" | name
74 Guillemets typographiques fermants. =>         log_daemon_msg "Stopping $DESC" "$NAME" | " => suggestions : ['\xa0»', '”']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         start-stop-daemon --stop --quiet --pidfile $PIDFILE \ |          => suggestions : ['']
75 Mot inconnu : start-stop-daemon =>         start-stop-daemon --stop --quiet --pidfile $PIDFILE \ | start-stop-daemon
75 Mot inconnu : pidfile =>         start-stop-daemon --stop --quiet --pidfile $PIDFILE \ | pidfile
75 Mot inconnu : PIDFILE =>         start-stop-daemon --stop --quiet --pidfile $PIDFILE \ | pidfile

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>              --name java |               => suggestions : ['']
76 Mot inconnu : name =>              --name java | name

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         rm -f $PIDFILE |          => suggestions : ['']
77 Mot inconnu : rm =>         rm -f $PIDFILE | rm
77 Il manque un espace à côté du tiret. =>         rm -f $PIDFILE |  - => suggestions : [' – ', ' — ']
77 Mot inconnu : PIDFILE =>         rm -f $PIDFILE | pidfile

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         log_end_msg $? |          => suggestions : ['']
78 Mot inconnu : log_end_msg =>         log_end_msg $? | log_end_msg

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
79 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   restart|force-reload) |    => suggestions : ['']
80 Mot inconnu : restart =>   restart|force-reload) | restart
80 Mot inconnu : force-reload =>   restart|force-reload) | force-reload

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         echo -n "Restarting $DESC: $NAME" |          => suggestions : ['']
81 Mot inconnu : echo =>         echo -n "Restarting $DESC: $NAME" | echo
81 Il manque un espace à côté du tiret. =>         echo -n "Restarting $DESC: $NAME" |  - => suggestions : [' – ', ' — ']
81 Guillemets typographiques ouvrants. =>         echo -n "Restarting $DESC: $NAME" | " => suggestions : ['«\xa0', '“']
81 Mot inconnu : Restarting =>         echo -n "Restarting $DESC: $NAME" | restarting
81 Mot inconnu : DESC =>         echo -n "Restarting $DESC: $NAME" | desc
81 Mot inconnu : NAME =>         echo -n "Restarting $DESC: $NAME" | name
81 Guillemets typographiques fermants. =>         echo -n "Restarting $DESC: $NAME" | " => suggestions : ['\xa0»', '”']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         start-stop-daemon --stop --quiet --pidfile $PIDFILE \ |          => suggestions : ['']
82 Mot inconnu : start-stop-daemon =>         start-stop-daemon --stop --quiet --pidfile $PIDFILE \ | start-stop-daemon
82 Mot inconnu : pidfile =>         start-stop-daemon --stop --quiet --pidfile $PIDFILE \ | pidfile
82 Mot inconnu : PIDFILE =>         start-stop-daemon --stop --quiet --pidfile $PIDFILE \ | pidfile

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 --name java |                  => suggestions : ['']
83 Mot inconnu : name =>                 --name java | name

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         rm -f $PIDFILE |          => suggestions : ['']
84 Mot inconnu : rm =>         rm -f $PIDFILE | rm
84 Il manque un espace à côté du tiret. =>         rm -f $PIDFILE |  - => suggestions : [' – ', ' — ']
84 Mot inconnu : PIDFILE =>         rm -f $PIDFILE | pidfile

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         sleep 1 |          => suggestions : ['']
85 Mot inconnu : sleep =>         sleep 1 | sleep

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         echo -e |          => suggestions : ['']
86 Mot inconnu : echo =>         echo -e | echo
86 Il manque un espace à côté du tiret. =>         echo -e |  - => suggestions : [' – ', ' — ']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         $0 start |          => suggestions : ['']
87 Mot inconnu : start =>         $0 start | start

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
88 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *) |    => suggestions : ['']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         echo "Usage: $0 {start|stop|restart|force-reload}" >&2 |          => suggestions : ['']
90 Mot inconnu : echo =>         echo "Usage: $0 {start|stop|restart|force-reload}" >&2 | echo
90 Guillemets typographiques ouvrants. =>         echo "Usage: $0 {start|stop|restart|force-reload}" >&2 | " => suggestions : ['«\xa0', '“']
90 Mot inconnu : start =>         echo "Usage: $0 {start|stop|restart|force-reload}" >&2 | start
90 Mot inconnu : restart =>         echo "Usage: $0 {start|stop|restart|force-reload}" >&2 | restart
90 Mot inconnu : force-reload =>         echo "Usage: $0 {start|stop|restart|force-reload}" >&2 | force-reload

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         exit 1 |          => suggestions : ['']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         ;; |          => suggestions : ['']
92 Une de ces ponctuations est superflue. =>         ;; | ;; => suggestions : [';', ';']

93 Mot inconnu : esac => esac | esac

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod +x /etc/init.d/red5 |    => suggestions : ['']
100 Mot inconnu : sudo =>   sudo chmod +x /etc/init.d/red5 | sudo
100 Mot inconnu : chmod =>   sudo chmod +x /etc/init.d/red5 | chmod

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo update-rc.d red5 defaults |    => suggestions : ['']
101 Mot inconnu : sudo =>   sudo update-rc.d red5 defaults | sudo
101 Mot inconnu : update-rc =>   sudo update-rc.d red5 defaults | update-rc
101 Mot inconnu : red5 =>   sudo update-rc.d red5 defaults | red5
101 Mot inconnu : defaults =>   sudo update-rc.d red5 defaults | defaults

103 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ==== Par paquet .deb ==== |  . => suggestions : ['. ', '.']
103 Mot inconnu : deb => ==== Par paquet .deb ==== | deb

105 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => La version 0.6.2 est disponible en .deb. |  . => suggestions : ['. ', '.']
105 Mot inconnu : deb => La version 0.6.2 est disponible en .deb. | deb

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   wget http://dl.fancycode.com/red5/debian/0.6.2/red5_0.6.2-1_all.deb |    => suggestions : ['']
109 Mot inconnu : wget =>   wget http://dl.fancycode.com/red5/debian/0.6.2/red5_0.6.2-1_all.deb | wget

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   dpkg -i red5_0.6.2-1_all.deb # installe le paquet |    => suggestions : ['']
113 Mot inconnu : dpkg =>   dpkg -i red5_0.6.2-1_all.deb # installe le paquet | dpkg
113 Il manque un espace à côté du tiret. =>   dpkg -i red5_0.6.2-1_all.deb # installe le paquet |  - => suggestions : [' – ', ' — ']
113 Mot inconnu : red5_0 =>   dpkg -i red5_0.6.2-1_all.deb # installe le paquet | red5_0
113 Mot inconnu : _all =>   dpkg -i red5_0.6.2-1_all.deb # installe le paquet | _all
113 Mot inconnu : deb =>   dpkg -i red5_0.6.2-1_all.deb # installe le paquet | deb

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/red5 stop |    => suggestions : ['']
117 Mot inconnu : sudo =>   sudo /etc/init.d/red5 stop | sudo

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/red5 start |    => suggestions : ['']
118 Mot inconnu : sudo =>   sudo /etc/init.d/red5 start | sudo
118 Mot inconnu : start =>   sudo /etc/init.d/red5 start | start

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/red5 restart |    => suggestions : ['']
119 Mot inconnu : sudo =>   sudo /etc/init.d/red5 restart | sudo
119 Mot inconnu : restart =>   sudo /etc/init.d/red5 restart | restart

123 Il manque un trait d’union. => Pour tester l'installation de votre nouveau serveur, rendez vous sur le localhost au port 5080 : [[http://localhost:5080/]] | rendez vous => suggestions : ['rendez-vous']
123 Mot inconnu : localhost => Pour tester l'installation de votre nouveau serveur, rendez vous sur le localhost au port 5080 : [[http://localhost:5080/]] | localhost

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://www.red5pro.com/|Site officiel de Red5]] |    => suggestions : ['']
133 Mot inconnu : Red5 =>   * **(en)** [[https://www.red5pro.com/|Site officiel de Red5]] | red5

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[https://github.com/Red5/|GitHub de Red5]] |    => suggestions : ['']
134 Mot inconnu : GitHub =>   * **(en)** [[https://github.com/Red5/|GitHub de Red5]] | github
134 Mot inconnu : Red5 =>   * **(en)** [[https://github.com/Red5/|GitHub de Red5]] | red5
