
3 Mot inconnu : MTP => ====== MTP : transfert de fichiers multimédias sur des périphériques ====== | mtp
41 Mot inconnu : mtp => Il faut alors faire une mise à jour de libmtp via le PPA de libmtp ((https://launchpad.net/~fossfreedom/+archive/ubuntu/libmtp)). | mtp

45 Mot inconnu : MTP => On peut alors relancer le montage du périphérique MTP : | mtp

56 Mot inconnu : Dolphin => ====Avec Dolphin==== | dolphin

63 Mot inconnu : Dolphin => ====Erreur d'accès avec Dolphin (Kubuntu 20.04)==== | dolphin

65 Mot inconnu : dophin => Si dophin n'ouvre pas le périphérique essayer en console  | dophin
65 Espace(s) en fin de ligne à supprimer. => Si dophin n'ouvre pas le périphérique essayer en console  |   => suggestions : ['']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   $ mtp-detect  |    => suggestions : ['']
67 Mot inconnu : mtp-detect =>   $ mtp-detect  | mtp-detect
67 Espace(s) en fin de ligne à supprimer. =>   $ mtp-detect  |   => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   error returned by libusb_claim_interface() = -6LIBMTP PANIC: Unable to initialize device |    => suggestions : ['']
71 Mot inconnu : error =>   error returned by libusb_claim_interface() = -6LIBMTP PANIC: Unable to initialize device | error
71 Mot inconnu : returned =>   error returned by libusb_claim_interface() = -6LIBMTP PANIC: Unable to initialize device | returned
71 Mot inconnu : by =>   error returned by libusb_claim_interface() = -6LIBMTP PANIC: Unable to initialize device | by
71 Mot inconnu : libusb_claim_interface =>   error returned by libusb_claim_interface() = -6LIBMTP PANIC: Unable to initialize device | libusb_claim_interface
71 Mot inconnu : LIBMTP =>   error returned by libusb_claim_interface() = -6LIBMTP PANIC: Unable to initialize device | libmtp
71 Mot inconnu : Unable =>   error returned by libusb_claim_interface() = -6LIBMTP PANIC: Unable to initialize device | unable
71 Mot inconnu : to =>   error returned by libusb_claim_interface() = -6LIBMTP PANIC: Unable to initialize device | to
71 Mot inconnu : initialize =>   error returned by libusb_claim_interface() = -6LIBMTP PANIC: Unable to initialize device | initialize
71 Mot inconnu : device =>   error returned by libusb_claim_interface() = -6LIBMTP PANIC: Unable to initialize device | device

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ensuite vous pourrez accéder au smartphone dans dolphin normalement |    => suggestions : ['']
78 Mot inconnu : dolphin =>   * ensuite vous pourrez accéder au smartphone dans dolphin normalement | dolphin

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://korben.info/installer-nexus-7-android-4-0-ubuntu.html|Connecter une tablette ou un téléphone Android 4.0 ou supérieur sous Ubuntu]]. La page de Korben |    => suggestions : ['']
82 Mot inconnu : Korben =>   * **(fr)** [[https://korben.info/installer-nexus-7-android-4-0-ubuntu.html|Connecter une tablette ou un téléphone Android 4.0 ou supérieur sous Ubuntu]]. La page de Korben | korben
