
5 Mot inconnu : Eee => ======  Asus Eee PC 1011PX ====== | eee
33 Mot inconnu : SCLRTC1 => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | sclrtc1
33 Guillemets typographiques fermants. => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | " => suggestions : ['\xa0»', '”']
33 Mot inconnu : Echap => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | echap
33 Mot inconnu : boot => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | boot
33 Typographie des composés chimiques. => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | f2 => suggestions : ['F₂']
33 Mot inconnu : F2 => Sur certains modèles, il est impossible d'accéder au BIOS pour démarrer sur un support USB (Les touches F2 ou Echap sont inactives durant le boot). Le système démarre soit sur windows, soit sur ExpressGate Cloud. Pour accéder au BIOS, il faut effacer la mémoire CMOS. Pour cela, enlevez la batterie et débranchez complètement l'appareil. Ensuite, ouvrez la trappe située au dos de l'ordinateur et enlevez la barrette mémoire. Sur la carte mère, il vous faut trouver 2 petits triangles couleur cuivre juxtaposés par leur base. A côté il est écrit "SCLRTC1". Il faut mettre en contact les 2 petits triangles, par exemple avec un fil électrique (les tournevis font souvent de mauvais contact). Enfin, remontez le tout. Au redémarrage, en appuyant sur la touche Echap vous aurez accès au choix pour le boot et sur la touche F2 à la configuration du BIOS. | f2

35 Mot inconnu : dual-boot => === Installer en dual-boot === | dual-boot

36 Accord de nombre erroné avec « 7 » : « Starter » devrait être au pluriel. => Le 1011PX est fourni avec Windows 7 Starter par défaut. | starter => suggestions : ['Starters']

38 Mot inconnu : dual-boot => Comme le disque est déjà occupé par 4 partitions primaires, pour mettre la machine en dual-boot, il faut modifier les partitions, faire comme suit : | dual-boot

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * réduire la partition C (sda1) de Windows à 40 Go (facultatif) |    => suggestions : ['']
39 Mot inconnu : sda1 =>   * réduire la partition C (sda1) de Windows à 40 Go (facultatif) | sda1

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ne pas supprimer la partition sda2 de 15 Go, elle contient la restauration Windows7 |    => suggestions : ['']
40 Mot inconnu : sda2 =>   * ne pas supprimer la partition sda2 de 15 Go, elle contient la restauration Windows7 | sda2
40 Mot inconnu : Windows7 =>   * ne pas supprimer la partition sda2 de 15 Go, elle contient la restauration Windows7 | windows7

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * supprimer la partition "data" et la remplacer par une partition étendue contenant : |    => suggestions : ['']
41 Guillemets typographiques ouvrants. =>   * supprimer la partition "data" et la remplacer par une partition étendue contenant : | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. =>   * supprimer la partition "data" et la remplacer par une partition étendue contenant : | " => suggestions : ['\xa0»', '”']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         - une partition système en ext4 pour Ubuntu (12 Go), formatée en / |          => suggestions : ['']
42 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>         - une partition système en ext4 pour Ubuntu (12 Go), formatée en / |  -  => suggestions : [' – ', ' — ', ' − ']
42 Mot inconnu : ext4 =>         - une partition système en ext4 pour Ubuntu (12 Go), formatée en / | ext4

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         - une partition swap de 2 Go |          => suggestions : ['']
43 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>         - une partition swap de 2 Go |  -  => suggestions : [' – ', ' — ', ' − ']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         - une partition "data" en ext4, (+- 160 Go) formatée en /home (ou en FAT32 pour la rendre visible de Windows et de Ubuntu). |          => suggestions : ['']
44 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>         - une partition "data" en ext4, (+- 160 Go) formatée en /home (ou en FAT32 pour la rendre visible de Windows et de Ubuntu). |  -  => suggestions : [' – ', ' — ', ' − ']
44 Guillemets typographiques ouvrants. =>         - une partition "data" en ext4, (+- 160 Go) formatée en /home (ou en FAT32 pour la rendre visible de Windows et de Ubuntu). | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. =>         - une partition "data" en ext4, (+- 160 Go) formatée en /home (ou en FAT32 pour la rendre visible de Windows et de Ubuntu). | " => suggestions : ['\xa0»', '”']
44 Mot inconnu : ext4 =>         - une partition "data" en ext4, (+- 160 Go) formatée en /home (ou en FAT32 pour la rendre visible de Windows et de Ubuntu). | ext4
44 Mot inconnu : FAT32 =>         - une partition "data" en ext4, (+- 160 Go) formatée en /home (ou en FAT32 pour la rendre visible de Windows et de Ubuntu). | fat32

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ne pas toucher à la partition sda4 sauf si on sait ce qu'on fait (Partition inconnue) ! |    => suggestions : ['']
45 Mot inconnu : sda4 =>   * ne pas toucher à la partition sda4 sauf si on sait ce qu'on fait (Partition inconnue) ! | sda4
47 Mot inconnu : sda2 => Un utilisateur avancé pourra réduire le C à 40 Go et déplacer sda2 de 60 Go vers la gauche de manière à avoir une partition étendue d'environ 240 Go). | sda2
49 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Le Live-USB d'Ubuntu (ou mieux de Lubuntu car le système sera plus réactif) installera le menu de démarrage, avec Ubuntu et Windows. |  car => suggestions : [', car']

53 Mot inconnu : Gb => Les fiches techniques laissent supposer qu'il est théoriquement possible de remplacer la mémoire de base (1 Gb) par une mémoire de 2 Gb. | gb
53 Mot inconnu : Gb => Les fiches techniques laissent supposer qu'il est théoriquement possible de remplacer la mémoire de base (1 Gb) par une mémoire de 2 Gb. | gb
55 Espace(s) en fin de ligne à supprimer. => Toutefois, sur certains modèles (Belgique), la trappe de l'emplacement mémoire au dos de l'appareil s'ouvre sur la carte mère, et pas sur l'emplacement dédié à la RAM !!! Sur ces modèles, la RAM est soudée à la carte mère. Un 1011PX n'est donc pas un autre !  |   => suggestions : ['']

57 Mot inconnu : GB => Si vous souhaitez une machine avec 2 GB de RAM, vérifiez bien avant l'achat ! | gb

59 Pas d’espace avant une virgule. => <note tip> En appliquant les conseils de la page [[optimisation|Optimisation]] , la mémoire de base de 1 Gb devrait vous suffire. </note> |  , => suggestions : [',']
59 Mot inconnu : Gb => <note tip> En appliquant les conseils de la page [[optimisation|Optimisation]] , la mémoire de base de 1 Gb devrait vous suffire. </note> | gb

61 Mot inconnu : asus => J'ai augmenté mon asus  eee Pc 1011px à 2Go sans aucun problème, la trappe s'ouvre au bon endroit et la mémoire est enfichable. | asus
61 Espace(s) surnuméraire(s) à supprimer. => J'ai augmenté mon asus  eee Pc 1011px à 2Go sans aucun problème, la trappe s'ouvre au bon endroit et la mémoire est enfichable. |    => suggestions : [' ']
61 Mot inconnu : eee => J'ai augmenté mon asus  eee Pc 1011px à 2Go sans aucun problème, la trappe s'ouvre au bon endroit et la mémoire est enfichable. | eee

62 Typographie : points de suspension. Utilisez le caractère dédié. => Moi j'ai un modèle où la trappe ouvre sur la carte mère...;; la Ram est-elle vraiment soudée? | ... => suggestions : ['…']
62 Une de ces ponctuations est superflue. => Moi j'ai un modèle où la trappe ouvre sur la carte mère...;; la Ram est-elle vraiment soudée? | ;; => suggestions : [';', ';']
62 Mot inconnu : Ram => Moi j'ai un modèle où la trappe ouvre sur la carte mère...;; la Ram est-elle vraiment soudée? | ram

66 Mot inconnu : alsamixer => En l'absence de son après l'installation, il faut vérifier les réglages de gain dans alsamixer (à appeler en ligne de commande). De façon inattendue, le gain du haut parleur interne correspond au réglage "headphone". En augmentant le gain "heaphone" le son est normalement exploitable. Il faut cependant effectuer ce réglage après chaque déconnexion. | alsamixer
66 Guillemets typographiques ouvrants. => En l'absence de son après l'installation, il faut vérifier les réglages de gain dans alsamixer (à appeler en ligne de commande). De façon inattendue, le gain du haut parleur interne correspond au réglage "headphone". En augmentant le gain "heaphone" le son est normalement exploitable. Il faut cependant effectuer ce réglage après chaque déconnexion. | " => suggestions : ['«\xa0', '“']
66 Mot inconnu : headphone => En l'absence de son après l'installation, il faut vérifier les réglages de gain dans alsamixer (à appeler en ligne de commande). De façon inattendue, le gain du haut parleur interne correspond au réglage "headphone". En augmentant le gain "heaphone" le son est normalement exploitable. Il faut cependant effectuer ce réglage après chaque déconnexion. | headphone
66 Guillemets typographiques fermants. => En l'absence de son après l'installation, il faut vérifier les réglages de gain dans alsamixer (à appeler en ligne de commande). De façon inattendue, le gain du haut parleur interne correspond au réglage "headphone". En augmentant le gain "heaphone" le son est normalement exploitable. Il faut cependant effectuer ce réglage après chaque déconnexion. | " => suggestions : ['\xa0»', '”']
66 Guillemets typographiques ouvrants. => En l'absence de son après l'installation, il faut vérifier les réglages de gain dans alsamixer (à appeler en ligne de commande). De façon inattendue, le gain du haut parleur interne correspond au réglage "headphone". En augmentant le gain "heaphone" le son est normalement exploitable. Il faut cependant effectuer ce réglage après chaque déconnexion. | " => suggestions : ['«\xa0', '“']
66 Mot inconnu : heaphone => En l'absence de son après l'installation, il faut vérifier les réglages de gain dans alsamixer (à appeler en ligne de commande). De façon inattendue, le gain du haut parleur interne correspond au réglage "headphone". En augmentant le gain "heaphone" le son est normalement exploitable. Il faut cependant effectuer ce réglage après chaque déconnexion. | heaphone
66 Guillemets typographiques fermants. => En l'absence de son après l'installation, il faut vérifier les réglages de gain dans alsamixer (à appeler en ligne de commande). De façon inattendue, le gain du haut parleur interne correspond au réglage "headphone". En augmentant le gain "heaphone" le son est normalement exploitable. Il faut cependant effectuer ce réglage après chaque déconnexion. | " => suggestions : ['\xa0»', '”']

70 Mot inconnu : sleep => //Texte du script (un retard de 10 secondes par sleep est indispensable pour que le réglage se fasse après le démarrage du processus alsa) :// sleep 10 && amixer -c 0 set Headphone 100%  | sleep
70 Mot inconnu : alsa => //Texte du script (un retard de 10 secondes par sleep est indispensable pour que le réglage se fasse après le démarrage du processus alsa) :// sleep 10 && amixer -c 0 set Headphone 100%  | alsa
70 Mot inconnu : sleep => //Texte du script (un retard de 10 secondes par sleep est indispensable pour que le réglage se fasse après le démarrage du processus alsa) :// sleep 10 && amixer -c 0 set Headphone 100%  | sleep
70 Mot inconnu : amixer => //Texte du script (un retard de 10 secondes par sleep est indispensable pour que le réglage se fasse après le démarrage du processus alsa) :// sleep 10 && amixer -c 0 set Headphone 100%  | amixer
70 Il manque un espace à côté du tiret. => //Texte du script (un retard de 10 secondes par sleep est indispensable pour que le réglage se fasse après le démarrage du processus alsa) :// sleep 10 && amixer -c 0 set Headphone 100%  |  - => suggestions : [' – ', ' — ']
70 Mot inconnu : Headphone => //Texte du script (un retard de 10 secondes par sleep est indispensable pour que le réglage se fasse après le démarrage du processus alsa) :// sleep 10 && amixer -c 0 set Headphone 100%  | headphone
70 Espace(s) en fin de ligne à supprimer. => //Texte du script (un retard de 10 secondes par sleep est indispensable pour que le réglage se fasse après le démarrage du processus alsa) :// sleep 10 && amixer -c 0 set Headphone 100%  |   => suggestions : ['']
72 Guillemets typographiques ouvrants. => Pour un démarrage automatique dans Lubuntu 15.04 : appeler "Applications par défaut pour LXSession" (dans préférence). Onglet démarrage automatique. Mettre le nom du script. Cliquer sur ajouter. | " => suggestions : ['«\xa0', '“']
72 Mot inconnu : LXSession => Pour un démarrage automatique dans Lubuntu 15.04 : appeler "Applications par défaut pour LXSession" (dans préférence). Onglet démarrage automatique. Mettre le nom du script. Cliquer sur ajouter. | lxsession
72 Guillemets typographiques fermants. => Pour un démarrage automatique dans Lubuntu 15.04 : appeler "Applications par défaut pour LXSession" (dans préférence). Onglet démarrage automatique. Mettre le nom du script. Cliquer sur ajouter. | " => suggestions : ['\xa0»', '”']

76 Mot inconnu : GB => Avec 1 GB de RAM, l'appareil est utilisable mais peut rapidement se saturer, selon votre utilisation. | gb

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (en) [[https://www.asus.com/Eee/Eee_PC/Eee_PC_1011PX/|Site officiel]]  |    => suggestions : ['']
86 Espace(s) en fin de ligne à supprimer. =>   * (en) [[https://www.asus.com/Eee/Eee_PC/Eee_PC_1011PX/|Site officiel]]  |   => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * (fr) [[http://forum.ubuntu-fr.org/viewtopic.php?pid=7101131#p7101131|Voir note sur la consommation d'énergie (post 5)]] |    => suggestions : ['']
