
3 Mot inconnu : Jetty => ====== Jetty ====== | jetty

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo update-rc.d jetty defaults |    => suggestions : ['']
60 Mot inconnu : sudo =>   sudo update-rc.d jetty defaults | sudo
60 Mot inconnu : update-rc =>   sudo update-rc.d jetty defaults | update-rc
60 Mot inconnu : jetty =>   sudo update-rc.d jetty defaults | jetty
60 Mot inconnu : defaults =>   sudo update-rc.d jetty defaults | defaults

62 Mot inconnu : Jetty => Jetty sera désormais lancé à chaque démarrage de la machine. | jetty

67 Mot inconnu : Jetty => Depuis les sources, Jetty peut être lancé avec la commande : | jetty

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   java -jar start.jar etc/jetty.xml |    => suggestions : ['']
69 Il manque un espace à côté du tiret. =>   java -jar start.jar etc/jetty.xml |  - => suggestions : [' – ', ' — ']
69 Mot inconnu : start =>   java -jar start.jar etc/jetty.xml | start
69 Il manque un espace. =>   java -jar start.jar etc/jetty.xml | jar => suggestions : [' jar']
69 Mot inconnu : jetty =>   java -jar start.jar etc/jetty.xml | jetty
69 Mot inconnu : xml =>   java -jar start.jar etc/jetty.xml | xml

73 Mot inconnu : Jetty => Toutefois, près avoir installé Jetty depuis les dépôts ou bien [[#finir_l_installation_proprement|installé proprement]] Jetty et [[#automatiser_le _lancement_de_jetty|automatisé son lancement]], Jetty sera comme beaucoup de services, démarré par défaut et pourra être respectivement démarré, arrêté et redémarré, avec les commandes : | jetty
73 Mot inconnu : Jetty => Toutefois, près avoir installé Jetty depuis les dépôts ou bien [[#finir_l_installation_proprement|installé proprement]] Jetty et [[#automatiser_le _lancement_de_jetty|automatisé son lancement]], Jetty sera comme beaucoup de services, démarré par défaut et pourra être respectivement démarré, arrêté et redémarré, avec les commandes : | jetty
73 Mot inconnu : _lancement_de_jetty => Toutefois, près avoir installé Jetty depuis les dépôts ou bien [[#finir_l_installation_proprement|installé proprement]] Jetty et [[#automatiser_le _lancement_de_jetty|automatisé son lancement]], Jetty sera comme beaucoup de services, démarré par défaut et pourra être respectivement démarré, arrêté et redémarré, avec les commandes : | _lancement_de_jetty
73 Mot inconnu : Jetty => Toutefois, près avoir installé Jetty depuis les dépôts ou bien [[#finir_l_installation_proprement|installé proprement]] Jetty et [[#automatiser_le _lancement_de_jetty|automatisé son lancement]], Jetty sera comme beaucoup de services, démarré par défaut et pourra être respectivement démarré, arrêté et redémarré, avec les commandes : | jetty

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/jetty start |    => suggestions : ['']
75 Mot inconnu : sudo =>   sudo /etc/init.d/jetty start | sudo
75 Mot inconnu : start =>   sudo /etc/init.d/jetty start | start

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/jetty stop |    => suggestions : ['']
76 Mot inconnu : sudo =>   sudo /etc/init.d/jetty stop | sudo

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/jetty restart |    => suggestions : ['']
77 Mot inconnu : sudo =>   sudo /etc/init.d/jetty restart | sudo
77 Mot inconnu : restart =>   sudo /etc/init.d/jetty restart | restart

79 Mot inconnu : start => <note important>Si vous avez cette erreur lors du **start** : | start

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   \** ERROR: JETTY_HOME not set, you need to set it or install in a standard location |    => suggestions : ['']
80 Mot inconnu : ERROR =>   \** ERROR: JETTY_HOME not set, you need to set it or install in a standard location | error
80 Mot inconnu : JETTY_HOME =>   \** ERROR: JETTY_HOME not set, you need to set it or install in a standard location | jetty_home
80 Mot inconnu : not =>   \** ERROR: JETTY_HOME not set, you need to set it or install in a standard location | not
80 Mot inconnu : you =>   \** ERROR: JETTY_HOME not set, you need to set it or install in a standard location | you
80 Mot inconnu : need =>   \** ERROR: JETTY_HOME not set, you need to set it or install in a standard location | need
80 Mot inconnu : to =>   \** ERROR: JETTY_HOME not set, you need to set it or install in a standard location | to
80 Mot inconnu : it =>   \** ERROR: JETTY_HOME not set, you need to set it or install in a standard location | it
80 Mot inconnu : install =>   \** ERROR: JETTY_HOME not set, you need to set it or install in a standard location | install

81 Mot inconnu : JETTY_HOME => Alors il faut setter la variable **$JETTY_HOME** en créant le fichier ///etc/default/jetty// : | jetty_home

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vim /etc/default/jetty |    => suggestions : ['']
82 Mot inconnu : sudo =>   sudo vim /etc/default/jetty | sudo
82 Mot inconnu : vim =>   sudo vim /etc/default/jetty | vim

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   JETTY_HOME=/opt/jetty |    => suggestions : ['']
84 Mot inconnu : JETTY_HOME =>   JETTY_HOME=/opt/jetty | jetty_home

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.mortbay.org/jetty/|Site officiel de Jetty]]. |    => suggestions : ['']
92 Mot inconnu : Jetty =>   * **(en)** [[http://www.mortbay.org/jetty/|Site officiel de Jetty]]. | jetty
