
2 Mot inconnu : Intellivision => ====== Émuler l'Intellivision ====== | intellivision
6 Mot inconnu : miniexec => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | miniexec
6 Mot inconnu : bin => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | bin
6 Guillemets typographiques fermants. => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | '' => suggestions : ['\xa0»', '”']
6 Guillemets typographiques ouvrants. => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | '' => suggestions : ['«\xa0', '“']
6 Mot inconnu : minigrom => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | minigrom
6 Mot inconnu : bin => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | bin
6 Guillemets typographiques fermants. => Les émulateurs ont besoin au minimum des fichiers ''exec.bin'' et ''grom.bin'' pour fonctionner. Il en existe des versions libres, ''miniexec.bin'' et ''minigrom.bin'', mais qui sont peu compatibles avec les jeux originaux. | '' => suggestions : ['\xa0»', '”']

8 Guillemets typographiques ouvrants. => Les quelques jeux qui utilisent le synthétiseur vocal nécessitent ''ivoice.bin''. Les jeux ECS ont besoin du fichier ''ecs.bin''. | '' => suggestions : ['«\xa0', '“']
8 Mot inconnu : ivoice => Les quelques jeux qui utilisent le synthétiseur vocal nécessitent ''ivoice.bin''. Les jeux ECS ont besoin du fichier ''ecs.bin''. | ivoice
8 Mot inconnu : bin => Les quelques jeux qui utilisent le synthétiseur vocal nécessitent ''ivoice.bin''. Les jeux ECS ont besoin du fichier ''ecs.bin''. | bin
8 Guillemets typographiques fermants. => Les quelques jeux qui utilisent le synthétiseur vocal nécessitent ''ivoice.bin''. Les jeux ECS ont besoin du fichier ''ecs.bin''. | '' => suggestions : ['\xa0»', '”']
8 Guillemets typographiques ouvrants. => Les quelques jeux qui utilisent le synthétiseur vocal nécessitent ''ivoice.bin''. Les jeux ECS ont besoin du fichier ''ecs.bin''. | '' => suggestions : ['«\xa0', '“']
8 Mot inconnu : ecs => Les quelques jeux qui utilisent le synthétiseur vocal nécessitent ''ivoice.bin''. Les jeux ECS ont besoin du fichier ''ecs.bin''. | ecs
8 Mot inconnu : bin => Les quelques jeux qui utilisent le synthétiseur vocal nécessitent ''ivoice.bin''. Les jeux ECS ont besoin du fichier ''ecs.bin''. | bin
8 Guillemets typographiques fermants. => Les quelques jeux qui utilisent le synthétiseur vocal nécessitent ''ivoice.bin''. Les jeux ECS ont besoin du fichier ''ecs.bin''. | '' => suggestions : ['\xa0»', '”']

10 Mot inconnu : bin => Les jeux sont aux formats bin (+ fichier cfg) ou rom. | bin
10 Mot inconnu : cfg => Les jeux sont aux formats bin (+ fichier cfg) ou rom. | cfg

12 Mot inconnu : overlay => Les manettes ont un clavier numérique sur lequel on peut placer un //overlay// qui redéfinit les touches. Par exemple, pour le jeu d'échecs //USCF Chess//, le 1 deviendra le fou, le 2 la tour, etc. | overlay
12 Mot inconnu : USCF => Les manettes ont un clavier numérique sur lequel on peut placer un //overlay// qui redéfinit les touches. Par exemple, pour le jeu d'échecs //USCF Chess//, le 1 deviendra le fou, le 2 la tour, etc. | uscf
12 Mot inconnu : Chess => Les manettes ont un clavier numérique sur lequel on peut placer un //overlay// qui redéfinit les touches. Par exemple, pour le jeu d'échecs //USCF Chess//, le 1 deviendra le fou, le 2 la tour, etc. | chess

14 Mot inconnu : jzIntv => ===== jzIntv ===== | jzintv

15 Mot inconnu : im14u2c => > [[http://spatula-city.org/~im14u2c/intv/|jzIntv]] est le seul émulateur natif exclusivement dédié à l'Intellivision. Il s'utilise en ligne de commande : | im14u2c
15 Mot inconnu : intv => > [[http://spatula-city.org/~im14u2c/intv/|jzIntv]] est le seul émulateur natif exclusivement dédié à l'Intellivision. Il s'utilise en ligne de commande : | intv
15 Mot inconnu : Intellivision => > [[http://spatula-city.org/~im14u2c/intv/|jzIntv]] est le seul émulateur natif exclusivement dédié à l'Intellivision. Il s'utilise en ligne de commande : | intellivision

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Télécharger l'archive à partir du site officiel et décompressez-la. |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le sous-dossier //rom//, placez les fichiers ''exec.bin'' et ''grom.bin''. |    => suggestions : ['']
18 Guillemets typographiques ouvrants. =>   * Dans le sous-dossier //rom//, placez les fichiers ''exec.bin'' et ''grom.bin''. | '' => suggestions : ['«\xa0', '“']
18 Mot inconnu : exec =>   * Dans le sous-dossier //rom//, placez les fichiers ''exec.bin'' et ''grom.bin''. | exec
18 Mot inconnu : bin =>   * Dans le sous-dossier //rom//, placez les fichiers ''exec.bin'' et ''grom.bin''. | bin
18 Guillemets typographiques fermants. =>   * Dans le sous-dossier //rom//, placez les fichiers ''exec.bin'' et ''grom.bin''. | '' => suggestions : ['\xa0»', '”']
18 Guillemets typographiques ouvrants. =>   * Dans le sous-dossier //rom//, placez les fichiers ''exec.bin'' et ''grom.bin''. | '' => suggestions : ['«\xa0', '“']
18 Mot inconnu : grom =>   * Dans le sous-dossier //rom//, placez les fichiers ''exec.bin'' et ''grom.bin''. | grom
18 Mot inconnu : bin =>   * Dans le sous-dossier //rom//, placez les fichiers ''exec.bin'' et ''grom.bin''. | bin
18 Guillemets typographiques fermants. =>   * Dans le sous-dossier //rom//, placez les fichiers ''exec.bin'' et ''grom.bin''. | '' => suggestions : ['\xa0»', '”']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ouvrez un terminal (Ctrl + Alt + T) dans le sous-dossier //bin// : |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <code bash>./jzintv '/Chemin/vers/votre/jeu.bin'</code> |    => suggestions : ['']

23 Mot inconnu : jzIntv => > Il existe une interface qui simplifie un peu l'utilisation de jzIntv (testée uniquement sous xenial) : | jzintv

26 Mot inconnu : sudo => sudo apt-get install gtk-jzintv</code> | sudo
26 Mot inconnu : apt-get => sudo apt-get install gtk-jzintv</code> | apt-get
26 Mot inconnu : install => sudo apt-get install gtk-jzintv</code> | install
26 Mot inconnu : gtk-jzintv => sudo apt-get install gtk-jzintv</code> | gtk-jzintv

27 Mot inconnu : ROMs => Les ROMs vont dans le dossier '''/usr/games/intv/roms''' et les fichiers ''exec.bin'' et ''grom.bin'' dans '''/usr/games/intv/bios''' | roms
27 Guillemets typographiques ouvrants. => Les ROMs vont dans le dossier '''/usr/games/intv/roms''' et les fichiers ''exec.bin'' et ''grom.bin'' dans '''/usr/games/intv/bios''' | '' => suggestions : ['«\xa0', '“']
27 Mot inconnu : exec => Les ROMs vont dans le dossier '''/usr/games/intv/roms''' et les fichiers ''exec.bin'' et ''grom.bin'' dans '''/usr/games/intv/bios''' | exec
27 Mot inconnu : bin => Les ROMs vont dans le dossier '''/usr/games/intv/roms''' et les fichiers ''exec.bin'' et ''grom.bin'' dans '''/usr/games/intv/bios''' | bin
27 Guillemets typographiques fermants. => Les ROMs vont dans le dossier '''/usr/games/intv/roms''' et les fichiers ''exec.bin'' et ''grom.bin'' dans '''/usr/games/intv/bios''' | '' => suggestions : ['\xa0»', '”']
27 Guillemets typographiques ouvrants. => Les ROMs vont dans le dossier '''/usr/games/intv/roms''' et les fichiers ''exec.bin'' et ''grom.bin'' dans '''/usr/games/intv/bios''' | '' => suggestions : ['«\xa0', '“']
27 Mot inconnu : grom => Les ROMs vont dans le dossier '''/usr/games/intv/roms''' et les fichiers ''exec.bin'' et ''grom.bin'' dans '''/usr/games/intv/bios''' | grom
27 Mot inconnu : bin => Les ROMs vont dans le dossier '''/usr/games/intv/roms''' et les fichiers ''exec.bin'' et ''grom.bin'' dans '''/usr/games/intv/bios''' | bin
27 Guillemets typographiques fermants. => Les ROMs vont dans le dossier '''/usr/games/intv/roms''' et les fichiers ''exec.bin'' et ''grom.bin'' dans '''/usr/games/intv/bios''' | '' => suggestions : ['\xa0»', '”']

28 Mot inconnu : MAME => ===== Utilisation de MAME ===== | mame

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installez [[mame|MAME]] : |    => suggestions : ['']
30 Mot inconnu : mame =>   * Installez [[mame|MAME]] : | mame

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    <code bash># apt-get install mame</code> |     => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Se procurer le BIOS de la console (fichier ''intv.zip''). |    => suggestions : ['']
32 Guillemets typographiques ouvrants. =>   * Se procurer le BIOS de la console (fichier ''intv.zip''). | '' => suggestions : ['«\xa0', '“']
32 Mot inconnu : intv =>   * Se procurer le BIOS de la console (fichier ''intv.zip''). | intv
32 Il manque un espace. =>   * Se procurer le BIOS de la console (fichier ''intv.zip''). | zip => suggestions : [' zip']
32 Guillemets typographiques fermants. =>   * Se procurer le BIOS de la console (fichier ''intv.zip''). | '' => suggestions : ['\xa0»', '”']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Placez ce fichier dans le dossier roms de MAME (qui peut être par exemple : ''/usr/local/share/games/mame/roms''). |    => suggestions : ['']
33 Accord de nombre erroné avec « le dossier » : « roms » devrait être au singulier. =>   * Placez ce fichier dans le dossier roms de MAME (qui peut être par exemple : ''/usr/local/share/games/mame/roms''). | roms => suggestions : ['rom']
33 Mot inconnu : MAME =>   * Placez ce fichier dans le dossier roms de MAME (qui peut être par exemple : ''/usr/local/share/games/mame/roms''). | mame

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Procurez-vous des fichiers de jeux au format .bin, .rom ou .int (à placer n'importe où). |    => suggestions : ['']
34 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * Procurez-vous des fichiers de jeux au format .bin, .rom ou .int (à placer n'importe où). |  . => suggestions : ['. ', '.']
34 Mot inconnu : bin =>   * Procurez-vous des fichiers de jeux au format .bin, .rom ou .int (à placer n'importe où). | bin
34 Une de ces ponctuations est superflue. =>   * Procurez-vous des fichiers de jeux au format .bin, .rom ou .int (à placer n'importe où). | , . => suggestions : [',', '.']
34 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * Procurez-vous des fichiers de jeux au format .bin, .rom ou .int (à placer n'importe où). |  . => suggestions : ['. ', '.']
34 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * Procurez-vous des fichiers de jeux au format .bin, .rom ou .int (à placer n'importe où). |  . => suggestions : ['. ', '.']
34 Mot inconnu : int =>   * Procurez-vous des fichiers de jeux au format .bin, .rom ou .int (à placer n'importe où). | int

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Utilisez la commande : |    => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    <code bash>$ mame intv -cart "chemin/du/fichier/jeu.bin"</code> |     => suggestions : ['']
36 Il manque un espace à côté du tiret. =>    <code bash>$ mame intv -cart "chemin/du/fichier/jeu.bin"</code> |  - => suggestions : [' – ', ' — ']
36 Guillemets typographiques ouvrants. =>    <code bash>$ mame intv -cart "chemin/du/fichier/jeu.bin"</code> | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. =>    <code bash>$ mame intv -cart "chemin/du/fichier/jeu.bin"</code> | " => suggestions : ['\xa0»', '”']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     |     => suggestions : ['']

38 Mot inconnu : Wine => ===== Utilisation de Wine ===== | wine

39 Mot inconnu : Bliss => ==== Bliss ==== | bliss

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Installez [[Wine]] |    => suggestions : ['']
42 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Installez [[Wine]] |  -  => suggestions : [' – ', ' — ', ' − ']
42 Mot inconnu : Wine =>   - Installez [[Wine]] | wine

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Téléchargez [[http://emulation.gametechwiki.com/images/4/4d/Bliss2.0.5-beta.zip|Bliss]] |    => suggestions : ['']
43 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Téléchargez [[http://emulation.gametechwiki.com/images/4/4d/Bliss2.0.5-beta.zip|Bliss]] |  -  => suggestions : [' – ', ' — ', ' − ']

45 Mot inconnu : Nostalgia => ==== Nostalgia ==== | nostalgia

46 Mot inconnu : Nostalgia => Nostalgia propose une interface complète, avec catalogue des jeux et possibilité d'ajouter les jaquettes et les manuels. | nostalgia

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Installez [[Wine]] : [[apt>wine]] |    => suggestions : ['']
47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Installez [[Wine]] : [[apt>wine]] |  -  => suggestions : [' – ', ' — ', ' − ']
47 Mot inconnu : Wine =>   - Installez [[Wine]] : [[apt>wine]] | wine
47 Mot inconnu : wine =>   - Installez [[Wine]] : [[apt>wine]] | wine

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Téléchargez Nostalgia à partir du site officiel : http://www.intellivision.us/intvgames/nostalgia/nostalgia.php |    => suggestions : ['']
48 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Téléchargez Nostalgia à partir du site officiel : http://www.intellivision.us/intvgames/nostalgia/nostalgia.php |  -  => suggestions : [' – ', ' — ', ' − ']
48 Mot inconnu : Nostalgia =>   - Téléchargez Nostalgia à partir du site officiel : http://www.intellivision.us/intvgames/nostalgia/nostalgia.php | nostalgia

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lancez nostalgia5_setup.exe afin de procéder à l'installation |    => suggestions : ['']
49 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lancez nostalgia5_setup.exe afin de procéder à l'installation |  -  => suggestions : [' – ', ' — ', ' − ']
49 Mot inconnu : nostalgia5_setup =>   - Lancez nostalgia5_setup.exe afin de procéder à l'installation | nostalgia5_setup
49 Mot inconnu : exe =>   - Lancez nostalgia5_setup.exe afin de procéder à l'installation | exe

51 Mot inconnu : wine => >Les fichiers de jeux doivent être placés dans le dossier /.wine/drive_c/Program Files (x86)/Nostalgia/roms (l'emplacement est configurable dans les paramètres). Les fichiers **GROM.INT** et **EXEC.INT** sont à placer directement dans le dossier 'Nostalgia'. | wine
51 Mot inconnu : drive_c => >Les fichiers de jeux doivent être placés dans le dossier /.wine/drive_c/Program Files (x86)/Nostalgia/roms (l'emplacement est configurable dans les paramètres). Les fichiers **GROM.INT** et **EXEC.INT** sont à placer directement dans le dossier 'Nostalgia'. | drive_c
51 Mot inconnu : Program => >Les fichiers de jeux doivent être placés dans le dossier /.wine/drive_c/Program Files (x86)/Nostalgia/roms (l'emplacement est configurable dans les paramètres). Les fichiers **GROM.INT** et **EXEC.INT** sont à placer directement dans le dossier 'Nostalgia'. | program
51 Mot inconnu : x86 => >Les fichiers de jeux doivent être placés dans le dossier /.wine/drive_c/Program Files (x86)/Nostalgia/roms (l'emplacement est configurable dans les paramètres). Les fichiers **GROM.INT** et **EXEC.INT** sont à placer directement dans le dossier 'Nostalgia'. | x86
51 Mot inconnu : Nostalgia => >Les fichiers de jeux doivent être placés dans le dossier /.wine/drive_c/Program Files (x86)/Nostalgia/roms (l'emplacement est configurable dans les paramètres). Les fichiers **GROM.INT** et **EXEC.INT** sont à placer directement dans le dossier 'Nostalgia'. | nostalgia
51 Mot inconnu : GROM => >Les fichiers de jeux doivent être placés dans le dossier /.wine/drive_c/Program Files (x86)/Nostalgia/roms (l'emplacement est configurable dans les paramètres). Les fichiers **GROM.INT** et **EXEC.INT** sont à placer directement dans le dossier 'Nostalgia'. | grom
51 Mot inconnu : INT => >Les fichiers de jeux doivent être placés dans le dossier /.wine/drive_c/Program Files (x86)/Nostalgia/roms (l'emplacement est configurable dans les paramètres). Les fichiers **GROM.INT** et **EXEC.INT** sont à placer directement dans le dossier 'Nostalgia'. | int
51 Mot inconnu : EXEC => >Les fichiers de jeux doivent être placés dans le dossier /.wine/drive_c/Program Files (x86)/Nostalgia/roms (l'emplacement est configurable dans les paramètres). Les fichiers **GROM.INT** et **EXEC.INT** sont à placer directement dans le dossier 'Nostalgia'. | exec
51 Mot inconnu : INT => >Les fichiers de jeux doivent être placés dans le dossier /.wine/drive_c/Program Files (x86)/Nostalgia/roms (l'emplacement est configurable dans les paramètres). Les fichiers **GROM.INT** et **EXEC.INT** sont à placer directement dans le dossier 'Nostalgia'. | int
51 Guillemets typographiques ouvrants. => >Les fichiers de jeux doivent être placés dans le dossier /.wine/drive_c/Program Files (x86)/Nostalgia/roms (l'emplacement est configurable dans les paramètres). Les fichiers **GROM.INT** et **EXEC.INT** sont à placer directement dans le dossier 'Nostalgia'. | ' => suggestions : ['“', '‘', '‹']
51 Mot inconnu : Nostalgia => >Les fichiers de jeux doivent être placés dans le dossier /.wine/drive_c/Program Files (x86)/Nostalgia/roms (l'emplacement est configurable dans les paramètres). Les fichiers **GROM.INT** et **EXEC.INT** sont à placer directement dans le dossier 'Nostalgia'. | nostalgia

55 Mot inconnu : Playable => >Sous le catalogue des jeux, vous avez le choix d'afficher toute la base de données ou seulement les jeux jouables (//Show Playable Games//). | playable
55 Mot inconnu : Games => >Sous le catalogue des jeux, vous avez le choix d'afficher toute la base de données ou seulement les jeux jouables (//Show Playable Games//). | games

57 Mot inconnu : txt => >Le site de l'émulateur propose des manuels au format txt et des jaquettes et overlays, à placer dans les dossiers 'Nostalgia/manuals' et 'Nostalgia/images'. | txt
57 Mot inconnu : overlays => >Le site de l'émulateur propose des manuels au format txt et des jaquettes et overlays, à placer dans les dossiers 'Nostalgia/manuals' et 'Nostalgia/images'. | overlays
57 Guillemets typographiques ouvrants. => >Le site de l'émulateur propose des manuels au format txt et des jaquettes et overlays, à placer dans les dossiers 'Nostalgia/manuals' et 'Nostalgia/images'. | ' => suggestions : ['“', '‘', '‹']
57 Mot inconnu : Nostalgia => >Le site de l'émulateur propose des manuels au format txt et des jaquettes et overlays, à placer dans les dossiers 'Nostalgia/manuals' et 'Nostalgia/images'. | nostalgia
57 Mot inconnu : manuals => >Le site de l'émulateur propose des manuels au format txt et des jaquettes et overlays, à placer dans les dossiers 'Nostalgia/manuals' et 'Nostalgia/images'. | manuals
57 Guillemets typographiques fermants. => >Le site de l'émulateur propose des manuels au format txt et des jaquettes et overlays, à placer dans les dossiers 'Nostalgia/manuals' et 'Nostalgia/images'. | ' => suggestions : ['”', '’', '›']
57 Guillemets typographiques ouvrants. => >Le site de l'émulateur propose des manuels au format txt et des jaquettes et overlays, à placer dans les dossiers 'Nostalgia/manuals' et 'Nostalgia/images'. | ' => suggestions : ['“', '‘', '‹']
57 Mot inconnu : Nostalgia => >Le site de l'émulateur propose des manuels au format txt et des jaquettes et overlays, à placer dans les dossiers 'Nostalgia/manuals' et 'Nostalgia/images'. | nostalgia

58 Mot inconnu : jzIntvGUI => ==== jzIntvGUI ==== | jzintvgui

66 Mot inconnu : Intellivoice => ==== Intellivoice ==== | intellivoice

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *//Space Spartans// |    => suggestions : ['']
69 Mot inconnu : Space =>   *//Space Spartans// | space
69 Mot inconnu : Spartans =>   *//Space Spartans// | spartans

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *//Bomb Squad// |    => suggestions : ['']
70 Mot inconnu : Bomb =>   *//Bomb Squad// | bomb
70 Mot inconnu : Squad =>   *//Bomb Squad// | squad

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *//B-17 Bomber// |    => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *//Tron: Solar Sailer// |    => suggestions : ['']
72 Mot inconnu : Tron =>   *//Tron: Solar Sailer// | tron
72 Mot inconnu : Solar =>   *//Tron: Solar Sailer// | solar
72 Mot inconnu : Sailer =>   *//Tron: Solar Sailer// | sailer

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *//World Series Major League Baseball// |    => suggestions : ['']
73 Mot inconnu : World =>   *//World Series Major League Baseball// | world
73 Mot inconnu : Series =>   *//World Series Major League Baseball// | series
73 Mot inconnu : League =>   *//World Series Major League Baseball// | league

74 Guillemets typographiques ouvrants. => Pour l'émulation, vous devez disposer d'un fichier du type ''IntelliVoice BIOS (1981) (Mattel).int'', ou plus communément nommé ''ivoice.bin''. | '' => suggestions : ['«\xa0', '“']
74 Mot inconnu : IntelliVoice => Pour l'émulation, vous devez disposer d'un fichier du type ''IntelliVoice BIOS (1981) (Mattel).int'', ou plus communément nommé ''ivoice.bin''. | intellivoice
74 Mot inconnu : Mattel => Pour l'émulation, vous devez disposer d'un fichier du type ''IntelliVoice BIOS (1981) (Mattel).int'', ou plus communément nommé ''ivoice.bin''. | mattel
74 Mot inconnu : int => Pour l'émulation, vous devez disposer d'un fichier du type ''IntelliVoice BIOS (1981) (Mattel).int'', ou plus communément nommé ''ivoice.bin''. | int
74 Guillemets typographiques fermants. => Pour l'émulation, vous devez disposer d'un fichier du type ''IntelliVoice BIOS (1981) (Mattel).int'', ou plus communément nommé ''ivoice.bin''. | '' => suggestions : ['\xa0»', '”']
74 Guillemets typographiques ouvrants. => Pour l'émulation, vous devez disposer d'un fichier du type ''IntelliVoice BIOS (1981) (Mattel).int'', ou plus communément nommé ''ivoice.bin''. | '' => suggestions : ['«\xa0', '“']
74 Mot inconnu : ivoice => Pour l'émulation, vous devez disposer d'un fichier du type ''IntelliVoice BIOS (1981) (Mattel).int'', ou plus communément nommé ''ivoice.bin''. | ivoice
74 Mot inconnu : bin => Pour l'émulation, vous devez disposer d'un fichier du type ''IntelliVoice BIOS (1981) (Mattel).int'', ou plus communément nommé ''ivoice.bin''. | bin
74 Guillemets typographiques fermants. => Pour l'émulation, vous devez disposer d'un fichier du type ''IntelliVoice BIOS (1981) (Mattel).int'', ou plus communément nommé ''ivoice.bin''. | '' => suggestions : ['\xa0»', '”']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://fr.wikipedia.org/wiki/Liste_de_jeux_Intellivision|Liste de jeux Intellivision]] |    => suggestions : ['']
78 Mot inconnu : Intellivision =>   * [[https://fr.wikipedia.org/wiki/Liste_de_jeux_Intellivision|Liste de jeux Intellivision]] | intellivision

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.progettoemma.net/mess/system.php?machine=intv|Fiche MAME]] |    => suggestions : ['']
81 Mot inconnu : MAME =>   * [[http://www.progettoemma.net/mess/system.php?machine=intv|Fiche MAME]] | mame

