
4 Mot inconnu : Gigabyte [[7:15]] => ====== Gigabyte GA-990XA-UD3 ====== <|> gigabyte
24 Mot inconnu : MSI-X [[90:95]] => Si au démarrage de GNU/Linux vous avez un message du genre "**xhci_hcd : Failed to enable MSI-X**" c'est qu'il y a un problème avec l'USB3 il va falloir indiquer à grub que c'est pas une carte mère MSI. <|> msi-x
24 Mot inconnu : USB3 [[134:138]] => Si au démarrage de GNU/Linux vous avez un message du genre "**xhci_hcd : Failed to enable MSI-X**" c'est qu'il y a un problème avec l'USB3 il va falloir indiquer à grub que c'est pas une carte mère MSI. <|> usb3
24 Mot inconnu : MSI [[198:201]] => Si au démarrage de GNU/Linux vous avez un message du genre "**xhci_hcd : Failed to enable MSI-X**" c'est qu'il y a un problème avec l'USB3 il va falloir indiquer à grub que c'est pas une carte mère MSI. <|> msi

43 Mot inconnu : it87 [[18:22]] => Charger le module it87 : <|> it87

52 Mot inconnu : it87 [[91:95]] => Vous pouvez connaître la température du CPU grâce à la sonde de la carte mère et le module it87 pour cela utiliser cette commande: <|> it87

67 Mot inconnu : rev [[48:51]] => Pour fonctionner correctement cette carte mère (rev 1) utilise les pilotes suivant du noyau Linux : <|> rev

68 Mot inconnu : ahci [[2:6]] => **ahci, i2c-piix4, sp5100_tco, pata_atiixp, snd-hda-intel, amd64_edac_mod, k10temp, r8169, ohci1394.** <|> ahci
68 Mot inconnu : i2c-piix4 [[8:17]] => **ahci, i2c-piix4, sp5100_tco, pata_atiixp, snd-hda-intel, amd64_edac_mod, k10temp, r8169, ohci1394.** <|> i2c-piix4
68 Mot inconnu : sp5100_tco [[19:29]] => **ahci, i2c-piix4, sp5100_tco, pata_atiixp, snd-hda-intel, amd64_edac_mod, k10temp, r8169, ohci1394.** <|> sp5100_tco
68 Mot inconnu : pata_atiixp [[31:42]] => **ahci, i2c-piix4, sp5100_tco, pata_atiixp, snd-hda-intel, amd64_edac_mod, k10temp, r8169, ohci1394.** <|> pata_atiixp
68 Mot inconnu : snd-hda-intel [[44:57]] => **ahci, i2c-piix4, sp5100_tco, pata_atiixp, snd-hda-intel, amd64_edac_mod, k10temp, r8169, ohci1394.** <|> snd-hda-intel
68 Mot inconnu : amd64_edac_mod [[59:73]] => **ahci, i2c-piix4, sp5100_tco, pata_atiixp, snd-hda-intel, amd64_edac_mod, k10temp, r8169, ohci1394.** <|> amd64_edac_mod
68 Mot inconnu : k10temp [[75:82]] => **ahci, i2c-piix4, sp5100_tco, pata_atiixp, snd-hda-intel, amd64_edac_mod, k10temp, r8169, ohci1394.** <|> k10temp
68 Mot inconnu : r8169 [[84:89]] => **ahci, i2c-piix4, sp5100_tco, pata_atiixp, snd-hda-intel, amd64_edac_mod, k10temp, r8169, ohci1394.** <|> r8169
68 Mot inconnu : ohci1394 [[91:99]] => **ahci, i2c-piix4, sp5100_tco, pata_atiixp, snd-hda-intel, amd64_edac_mod, k10temp, r8169, ohci1394.** <|> ohci1394
