1 Mot inconnu : Advanced [[14:22]] => ====== Oxford Advanced Learner Dictionnary ====== <|> advanced
110 Mot inconnu : OALD8 [[52:57]] => Vous pouvez réinstaller flash player - nécessaire a OALD8 - et les autres logiciels supprimés  pendant la manipulation. <|> oald8
110 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[57:60]] => Vous pouvez réinstaller flash player - nécessaire a OALD8 - et les autres logiciels supprimés  pendant la manipulation. <|>  -  => suggestions : None
110 Espace(s) surnuméraire(s) à supprimer. [[93:95]] => Vous pouvez réinstaller flash player - nécessaire a OALD8 - et les autres logiciels supprimés  pendant la manipulation. <|>    => suggestions : None

114 Mot inconnu : Problemes [[5:14]] => ==== Problemes Connus ==== <|> problemes

127 Mot inconnu : Autheur [[0:7]] => Autheur : Y.Mulleneers, avec l'aimable aide de Monsieur Roger Sutcliffe pour la version 7. Sowa pour la version 8 <|> autheur
127 Mot inconnu : Mulleneers [[12:22]] => Autheur : Y.Mulleneers, avec l'aimable aide de Monsieur Roger Sutcliffe pour la version 7. Sowa pour la version 8 <|> mulleneers
127 Mot inconnu : Sutcliffe [[62:71]] => Autheur : Y.Mulleneers, avec l'aimable aide de Monsieur Roger Sutcliffe pour la version 7. Sowa pour la version 8 <|> sutcliffe
127 Mot inconnu : Sowa [[91:95]] => Autheur : Y.Mulleneers, avec l'aimable aide de Monsieur Roger Sutcliffe pour la version 7. Sowa pour la version 8 <|> sowa
