10 Espace(s) en fin de ligne à supprimer. [[41:42]] =>   * suppression d'une partie d'une piste,  <|>  
78 Guillemets typographiques fermants. [[186:187]] => En fait, il n'est pas possible de se déplacer pendant la lecture. Pausez la musique, puis cliquez sur un endroit dans la bande. Vous mettrez ainsi un petit marqueur. Si vous faites "lire", alors la lecture se fera a partir de votre petit marqueur !\\ <|> " => suggestions :  »”
78 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. [[214:215]] => En fait, il n'est pas possible de se déplacer pendant la lecture. Pausez la musique, puis cliquez sur un endroit dans la bande. Vous mettrez ainsi un petit marqueur. Si vous faites "lire", alors la lecture se fera a partir de votre petit marqueur !\\ <|> a => suggestions : à

90 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. [[14:18]] => //(Lors de la 1ère utilisation)// <|> 1ère => suggestions : 1ʳᵉ

96 Mot inconnu : default [[141:148]] => Lorsque vous voulez capturer un flux audio en continu (streaming), il peut être pratique d'enregistrer tout simplement\\ la sortie audio //**default: Line0**// (ce qui sort de vos hauts-parleurs). \\ <|> default
96 Mot inconnu : Line0 [[150:155]] => Lorsque vous voulez capturer un flux audio en continu (streaming), il peut être pratique d'enregistrer tout simplement\\ la sortie audio //**default: Line0**// (ce qui sort de vos hauts-parleurs). \\ <|> line0

104 Mot inconnu : Pavucontrol [[31:42]] => ==Dans le contrôleur de volume Pavucontrol== <|> pavucontrol

105 Guillemets typographiques ouvrants. [[14:15]] => Dans l'onglet "Enregistrement" apparaît alors \\ <|> " => suggestions : « “
105 Guillemets typographiques fermants. [[29:30]] => Dans l'onglet "Enregistrement" apparaît alors \\ <|> " => suggestions :  »”
109 Espace(s) surnuméraire(s) à supprimer. [[64:66]] => Allez dans Audacity et miracle ça marche !! Maintenant, Audacity  enregistre les sons de l'ordinateur  :-) \\ <|>    => suggestions :  
109 Espace(s) surnuméraire(s) à supprimer. [[101:103]] => Allez dans Audacity et miracle ça marche !! Maintenant, Audacity  enregistre les sons de l'ordinateur  :-) \\ <|>    => suggestions :  

110 Pléonasme. [[53:70]] => Les réglages seront conservés les fois suivantes, il suffit simplement de lancer Audacity. <|> suffit simplement => suggestions : suffit
113 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[27:30]] =>   * Onglet //Enregistrement - > Afficher - > **all streams (tous les flux)**// <|>  -  => suggestions :  –  —  − 
113 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[40:43]] =>   * Onglet //Enregistrement - > Afficher - > **all streams (tous les flux)**// <|>  -  => suggestions :  –  —  − 
113 Mot inconnu : all [[47:50]] =>   * Onglet //Enregistrement - > Afficher - > **all streams (tous les flux)**// <|> all
113 Mot inconnu : streams [[51:58]] =>   * Onglet //Enregistrement - > Afficher - > **all streams (tous les flux)**// <|> streams
114 Mot inconnu : all [[55:58]] =>   * Onglet //Périphériques de sortie -> Afficher ->  **all output devices**// <|> all
114 Mot inconnu : devices [[66:73]] =>   * Onglet //Périphériques de sortie -> Afficher ->  **all output devices**// <|> devices
115 Espace(s) surnuméraire(s) à supprimer. [[35:37]] =>   * Onglet //Périphériques d'entrée  -> Afficher ->  **all input devices**// (Ou bien uniquement //**Monitor**// pour éviter d'avoir en plus les sons provenant d'un éventuel microphone incorporé) <|>    => suggestions :  
115 Mot inconnu : all [[55:58]] =>   * Onglet //Périphériques d'entrée  -> Afficher ->  **all input devices**// (Ou bien uniquement //**Monitor**// pour éviter d'avoir en plus les sons provenant d'un éventuel microphone incorporé) <|> all
115 Mot inconnu : devices [[65:72]] =>   * Onglet //Périphériques d'entrée  -> Afficher ->  **all input devices**// (Ou bien uniquement //**Monitor**// pour éviter d'avoir en plus les sons provenant d'un éventuel microphone incorporé) <|> devices

117 Guillemets typographiques ouvrants. [[90:91]] => N'oubliez pas non plus de vérifier que le niveau sonore du lecteur audio de l'application "source" ne soit pas trop faible. <|> " => suggestions : « “
117 Guillemets typographiques fermants. [[97:98]] => N'oubliez pas non plus de vérifier que le niveau sonore du lecteur audio de l'application "source" ne soit pas trop faible. <|> " => suggestions :  »”

125 Mot inconnu : PavuControl [[7:18]] => Dans //PavuControl//: <|> pavucontrol
127 Mot inconnu : plugged [[100:107]] =>   * pour l'onglet //Périphérique d'entrée//, //Audio interne Stéréo analogique// et //Entrée ligne (plugged in)//, l'information //plugged in// ne s'affiche que lorsque le câble est effectivement connecté!\\ C'est à ce niveau qu'il faut ajuster l'amplification du signal pour ne pas saturer l'entrée du PC (entre 40% et 50% par exemple) <|> plugged
127 Mot inconnu : plugged [[131:138]] =>   * pour l'onglet //Périphérique d'entrée//, //Audio interne Stéréo analogique// et //Entrée ligne (plugged in)//, l'information //plugged in// ne s'affiche que lorsque le câble est effectivement connecté!\\ C'est à ce niveau qu'il faut ajuster l'amplification du signal pour ne pas saturer l'entrée du PC (entre 40% et 50% par exemple) <|> plugged
128 Mot inconnu : default [[51:58]] => Au niveau d'Audacity, les paramètres //ALSA// et //default: Line:0// par défaut doivent convenir. <|> default
128 Il manque un espace. [[65:66]] => Au niveau d'Audacity, les paramètres //ALSA// et //default: Line:0// par défaut doivent convenir. <|> 0 => suggestions :  0
138 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[9:12]] =>   * loupe - : dézoomer !! (si si ! je vous jure !) <|>  -  => suggestions :  –  —  − 
138 Doublon. [[27:32]] =>   * loupe - : dézoomer !! (si si ! je vous jure !) <|> si si => suggestions : si

144 Il manque un trait d’union. [[157:166]] => Vous avez certainement remarqué qu'en utilisant la sélection, vous sélectionnez les 2 pistes. Pour les dissocier, cliquez sur le petit triangle vers le bas, au dessus de "muet" "solo". Puis, cliquez sur "Séparer les pistes stéréo". <|> au dessus => suggestions : au-dessus
144 Guillemets typographiques ouvrants. [[170:171]] => Vous avez certainement remarqué qu'en utilisant la sélection, vous sélectionnez les 2 pistes. Pour les dissocier, cliquez sur le petit triangle vers le bas, au dessus de "muet" "solo". Puis, cliquez sur "Séparer les pistes stéréo". <|> " => suggestions : « “
144 Guillemets typographiques fermants. [[175:176]] => Vous avez certainement remarqué qu'en utilisant la sélection, vous sélectionnez les 2 pistes. Pour les dissocier, cliquez sur le petit triangle vers le bas, au dessus de "muet" "solo". Puis, cliquez sur "Séparer les pistes stéréo". <|> " => suggestions :  »”
144 Guillemets typographiques ouvrants. [[177:178]] => Vous avez certainement remarqué qu'en utilisant la sélection, vous sélectionnez les 2 pistes. Pour les dissocier, cliquez sur le petit triangle vers le bas, au dessus de "muet" "solo". Puis, cliquez sur "Séparer les pistes stéréo". <|> " => suggestions : « “
144 Guillemets typographiques fermants. [[182:183]] => Vous avez certainement remarqué qu'en utilisant la sélection, vous sélectionnez les 2 pistes. Pour les dissocier, cliquez sur le petit triangle vers le bas, au dessus de "muet" "solo". Puis, cliquez sur "Séparer les pistes stéréo". <|> " => suggestions :  »”
144 Guillemets typographiques ouvrants. [[203:204]] => Vous avez certainement remarqué qu'en utilisant la sélection, vous sélectionnez les 2 pistes. Pour les dissocier, cliquez sur le petit triangle vers le bas, au dessus de "muet" "solo". Puis, cliquez sur "Séparer les pistes stéréo". <|> " => suggestions : « “
144 Guillemets typographiques fermants. [[229:230]] => Vous avez certainement remarqué qu'en utilisant la sélection, vous sélectionnez les 2 pistes. Pour les dissocier, cliquez sur le petit triangle vers le bas, au dessus de "muet" "solo". Puis, cliquez sur "Séparer les pistes stéréo". <|> " => suggestions :  »”
