
4 Mot inconnu : gPodder => ====== gPodder ====== | gpodder
40 Mot inconnu : gPodder => Par défaut, gPodder télécharge les podcasts dans le répertoire ~/gPodder/Download. | gpodder
40 Mot inconnu : Download => Par défaut, gPodder télécharge les podcasts dans le répertoire ~/gPodder/Download. | download

42 Mot inconnu : gPodder => Vous pouvez paramétrer gPodder pour qu'il télécharge les podcasts et/ou sa base de données dans un répertoire spécifique en créant le fichier //.pam_environment// dans votre Dossier Personnel (Home). | gpodder
42 Mot inconnu : pam_environment => Vous pouvez paramétrer gPodder pour qu'il télécharge les podcasts et/ou sa base de données dans un répertoire spécifique en créant le fichier //.pam_environment// dans votre Dossier Personnel (Home). | pam_environment

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <note warning>Cette manipulation n'affecte que l'utilisateur courant ...</note> |   => suggestions : ['']
54 Typographie : points de suspension. Utilisez le caractère dédié. =>  <note warning>Cette manipulation n'affecte que l'utilisateur courant ...</note> | ... => suggestions : ['…']

58 Guillemets typographiques ouvrants. => Vous pouvez choisir la fréquence de mises à jour de vos podcasts par "Podcasts" dans la barre d'outil, puis "Mises à jour" (3ème onglet à partir de la gauche). Là, un curseur vous permettra de choisir cette fréquence. | " => suggestions : ['«\xa0', '“']
58 Guillemets typographiques fermants. => Vous pouvez choisir la fréquence de mises à jour de vos podcasts par "Podcasts" dans la barre d'outil, puis "Mises à jour" (3ème onglet à partir de la gauche). Là, un curseur vous permettra de choisir cette fréquence. | " => suggestions : ['\xa0»', '”']
58 Guillemets typographiques ouvrants. => Vous pouvez choisir la fréquence de mises à jour de vos podcasts par "Podcasts" dans la barre d'outil, puis "Mises à jour" (3ème onglet à partir de la gauche). Là, un curseur vous permettra de choisir cette fréquence. | " => suggestions : ['«\xa0', '“']
58 Guillemets typographiques fermants. => Vous pouvez choisir la fréquence de mises à jour de vos podcasts par "Podcasts" dans la barre d'outil, puis "Mises à jour" (3ème onglet à partir de la gauche). Là, un curseur vous permettra de choisir cette fréquence. | " => suggestions : ['\xa0»', '”']
58 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Vous pouvez choisir la fréquence de mises à jour de vos podcasts par "Podcasts" dans la barre d'outil, puis "Mises à jour" (3ème onglet à partir de la gauche). Là, un curseur vous permettra de choisir cette fréquence. | 3ème => suggestions : ['3ᵉ']

60 Mot inconnu : Audacious => ==== Ajouter un épisode à la liste de lecture d'Audacious ==== | audacious

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquez sur **Podcasts > Préférences** //(Ctrl+P)//  |    => suggestions : ['']
61 Espace(s) en fin de ligne à supprimer. =>   * Cliquez sur **Podcasts > Préférences** //(Ctrl+P)//  |   => suggestions : ['']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans l'onglet **Général** à coté de la case **Lecteur audio**, cliquez sur le **crayon** |    => suggestions : ['']
62 Confusion : “coté” est le participe passé du verbe “coter”. =>   * Dans l'onglet **Général** à coté de la case **Lecteur audio**, cliquez sur le **crayon** | coté => suggestions : ['côté', 'côtés']

70 Mot inconnu : gPodder => [[http://gpodder.org/|Site officiel de gPodder]]  | gpodder
70 Espace(s) en fin de ligne à supprimer. => [[http://gpodder.org/|Site officiel de gPodder]]  |   => suggestions : ['']
