
4 Espace(s) surnuméraire(s) à supprimer. => ====== Écran tactile  ====== |    => suggestions : [' ']
39 Mot inconnu : mts => 0408 est le 'Vendor' et 3000 est le 'Model' ; c'est comme ceci qu'on identifie précisément le périphérique. Par exemple le IIYAMA Pro Lite 2250 mts et l'ACER 230, bien que de marque différente sont tous les deux caractérisés par le même numéro que dans l'exemple. Ce qui marche pour l'un marchera donc pour l'autre. | mts

43 Mot inconnu : multitouch => Une bonne source d'information est le **[[https://wiki.ubuntu.com/Multitouch|wiki sur le multitouch d'Ubuntu]]** en Anglais dédié au sujet ; il est en pleine élaboration. | multitouch
43 Si vous parlez de la langue, pas de majuscule. => Une bonne source d'information est le **[[https://wiki.ubuntu.com/Multitouch|wiki sur le multitouch d'Ubuntu]]** en Anglais dédié au sujet ; il est en pleine élaboration. | anglais => suggestions : ['anglais']

59 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Télécharger l'archive .zip sur GitHub. |  . => suggestions : ['. ', '.']
59 Mot inconnu : GitHub => Télécharger l'archive .zip sur GitHub. | github

62 Mot inconnu : répértoire => Se déplacer dans le répértoire de téléchargement et décompresser le fichier | répértoire

80 Mot inconnu : icon => Remplacer './icon.svg' par '/home/UTILISATEUR/Scripts/ScreenRotator-master/icon.svg', enregistrer et fermer (remplacer évidemment 'UTILISATEUR' par votre nom d'utilisateur. | icon
80 Mot inconnu : svg => Remplacer './icon.svg' par '/home/UTILISATEUR/Scripts/ScreenRotator-master/icon.svg', enregistrer et fermer (remplacer évidemment 'UTILISATEUR' par votre nom d'utilisateur. | svg
80 Guillemets typographiques fermants. => Remplacer './icon.svg' par '/home/UTILISATEUR/Scripts/ScreenRotator-master/icon.svg', enregistrer et fermer (remplacer évidemment 'UTILISATEUR' par votre nom d'utilisateur. | ' => suggestions : ['”', '’', '›']
80 Guillemets typographiques ouvrants. => Remplacer './icon.svg' par '/home/UTILISATEUR/Scripts/ScreenRotator-master/icon.svg', enregistrer et fermer (remplacer évidemment 'UTILISATEUR' par votre nom d'utilisateur. | ' => suggestions : ['“', '‘', '‹']
80 Guillemets typographiques fermants. => Remplacer './icon.svg' par '/home/UTILISATEUR/Scripts/ScreenRotator-master/icon.svg', enregistrer et fermer (remplacer évidemment 'UTILISATEUR' par votre nom d'utilisateur. | ' => suggestions : ['”', '’', '›']

82 Guillemets typographiques ouvrants. => Enfin, ouvrir "applications au démarrage" à partir du lanceur d'Unity et ajouter une entrée avec pour commande '/home/UTILISATEUR/Scripts/ScreenRotator-master/ScreenRotator.py' (en remplaçant également 'UTILISATEUR' par votre nom d'utilisateur). | " => suggestions : ['«\xa0', '“']
82 Guillemets typographiques fermants. => Enfin, ouvrir "applications au démarrage" à partir du lanceur d'Unity et ajouter une entrée avec pour commande '/home/UTILISATEUR/Scripts/ScreenRotator-master/ScreenRotator.py' (en remplaçant également 'UTILISATEUR' par votre nom d'utilisateur). | " => suggestions : ['\xa0»', '”']
82 Mot inconnu : Unity => Enfin, ouvrir "applications au démarrage" à partir du lanceur d'Unity et ajouter une entrée avec pour commande '/home/UTILISATEUR/Scripts/ScreenRotator-master/ScreenRotator.py' (en remplaçant également 'UTILISATEUR' par votre nom d'utilisateur). | unity
82 Guillemets typographiques fermants. => Enfin, ouvrir "applications au démarrage" à partir du lanceur d'Unity et ajouter une entrée avec pour commande '/home/UTILISATEUR/Scripts/ScreenRotator-master/ScreenRotator.py' (en remplaçant également 'UTILISATEUR' par votre nom d'utilisateur). | ' => suggestions : ['”', '’', '›']
82 Guillemets typographiques ouvrants. => Enfin, ouvrir "applications au démarrage" à partir du lanceur d'Unity et ajouter une entrée avec pour commande '/home/UTILISATEUR/Scripts/ScreenRotator-master/ScreenRotator.py' (en remplaçant également 'UTILISATEUR' par votre nom d'utilisateur). | ' => suggestions : ['“', '‘', '‹']
82 Guillemets typographiques fermants. => Enfin, ouvrir "applications au démarrage" à partir du lanceur d'Unity et ajouter une entrée avec pour commande '/home/UTILISATEUR/Scripts/ScreenRotator-master/ScreenRotator.py' (en remplaçant également 'UTILISATEUR' par votre nom d'utilisateur). | ' => suggestions : ['”', '’', '›']

89 Mot inconnu : asus_eee_pc_t101mt => se reporter à cette page [[asus_eee_pc_t101mt|Asus Eee PC T101MT]] | asus_eee_pc_t101mt
89 Mot inconnu : Eee => se reporter à cette page [[asus_eee_pc_t101mt|Asus Eee PC T101MT]] | eee
89 Mot inconnu : T101MT => se reporter à cette page [[asus_eee_pc_t101mt|Asus Eee PC T101MT]] | t101mt

107 Espace(s) surnuméraire(s) à supprimer. => Il suffit d'activer les options d'accessibilité, puis d'aller ds Souris > accessibilité  et cliquer sur "Déclencher le clic secondaire par maintient du bouton principal". |    => suggestions : [' ']
107 Guillemets typographiques ouvrants. => Il suffit d'activer les options d'accessibilité, puis d'aller ds Souris > accessibilité  et cliquer sur "Déclencher le clic secondaire par maintient du bouton principal". | " => suggestions : ['«\xa0', '“']
107 Incohérence avec “par” : “maintient” est une forme verbale conjuguée. => Il suffit d'activer les options d'accessibilité, puis d'aller ds Souris > accessibilité  et cliquer sur "Déclencher le clic secondaire par maintient du bouton principal". | maintient => suggestions : ['maintien', 'maintiens']
107 Guillemets typographiques fermants. => Il suffit d'activer les options d'accessibilité, puis d'aller ds Souris > accessibilité  et cliquer sur "Déclencher le clic secondaire par maintient du bouton principal". | " => suggestions : ['\xa0»', '”']

108 Guillemets typographiques ouvrants. => Ainsi, un clic "long" équivaux a un clic droit. | " => suggestions : ['«\xa0', '“']
108 Guillemets typographiques fermants. => Ainsi, un clic "long" équivaux a un clic droit. | " => suggestions : ['\xa0»', '”']
108 Conjugaison erronée. Accord avec “un clic…”. Le verbe devrait être à la 3ᵉ personne du singulier. => Ainsi, un clic "long" équivaux a un clic droit. | équivaux => suggestions : ['équivaut']
108 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => Ainsi, un clic "long" équivaux a un clic droit. | a => suggestions : ['à']

123 Mot inconnu : IIYAMA => **Acer 230H :** idem que pour IIYAMA Pro Lite | iiyama

125 Mot inconnu : LD220Z => **Samsung LD220Z :** le driver propriétaire de NextWindow est nw-fermi comme sur certains Smarttouch ; il y a une procédure compliquée ici  [[http://www.nextwindow.com/nextwindow_support/app_working_under_linux_2.html]] ; cependant, dans mon expérience, l'installation du pilote propriétaire suffit ; on le trouve à cette page ; pas de panique c'est en polonais, mais les liens pour télécharger les drivers sont clairs :-) | ld220z
125 Mot inconnu : NextWindow => **Samsung LD220Z :** le driver propriétaire de NextWindow est nw-fermi comme sur certains Smarttouch ; il y a une procédure compliquée ici  [[http://www.nextwindow.com/nextwindow_support/app_working_under_linux_2.html]] ; cependant, dans mon expérience, l'installation du pilote propriétaire suffit ; on le trouve à cette page ; pas de panique c'est en polonais, mais les liens pour télécharger les drivers sont clairs :-) | nextwindow
125 Mot inconnu : nw-fermi => **Samsung LD220Z :** le driver propriétaire de NextWindow est nw-fermi comme sur certains Smarttouch ; il y a une procédure compliquée ici  [[http://www.nextwindow.com/nextwindow_support/app_working_under_linux_2.html]] ; cependant, dans mon expérience, l'installation du pilote propriétaire suffit ; on le trouve à cette page ; pas de panique c'est en polonais, mais les liens pour télécharger les drivers sont clairs :-) | nw-fermi
125 Mot inconnu : Smarttouch => **Samsung LD220Z :** le driver propriétaire de NextWindow est nw-fermi comme sur certains Smarttouch ; il y a une procédure compliquée ici  [[http://www.nextwindow.com/nextwindow_support/app_working_under_linux_2.html]] ; cependant, dans mon expérience, l'installation du pilote propriétaire suffit ; on le trouve à cette page ; pas de panique c'est en polonais, mais les liens pour télécharger les drivers sont clairs :-) | smarttouch
125 Espace(s) surnuméraire(s) à supprimer. => **Samsung LD220Z :** le driver propriétaire de NextWindow est nw-fermi comme sur certains Smarttouch ; il y a une procédure compliquée ici  [[http://www.nextwindow.com/nextwindow_support/app_working_under_linux_2.html]] ; cependant, dans mon expérience, l'installation du pilote propriétaire suffit ; on le trouve à cette page ; pas de panique c'est en polonais, mais les liens pour télécharger les drivers sont clairs :-) |    => suggestions : [' ']

129 Mot inconnu : nw-fermi => En résumé, il faut télécharger installer le driver, et ensuite ajouter le module nw-fermi dans le fichier /etc/modules (en faisant ceci on dit de charger le module dès le démarrage du pc) ; dans mon expérience, pas besoin de d'installer le driver evtouch (qui se trouve dans Synaptics - xserver-xorg-input-evtouch), ni de générer un fichier xorg.conf... | nw-fermi
129 Incohérence. => En résumé, il faut télécharger installer le driver, et ensuite ajouter le module nw-fermi dans le fichier /etc/modules (en faisant ceci on dit de charger le module dès le démarrage du pc) ; dans mon expérience, pas besoin de d'installer le driver evtouch (qui se trouve dans Synaptics - xserver-xorg-input-evtouch), ni de générer un fichier xorg.conf... | de d' => suggestions : ['d’']
129 Mot inconnu : evtouch => En résumé, il faut télécharger installer le driver, et ensuite ajouter le module nw-fermi dans le fichier /etc/modules (en faisant ceci on dit de charger le module dès le démarrage du pc) ; dans mon expérience, pas besoin de d'installer le driver evtouch (qui se trouve dans Synaptics - xserver-xorg-input-evtouch), ni de générer un fichier xorg.conf... | evtouch
129 Mot inconnu : Synaptics => En résumé, il faut télécharger installer le driver, et ensuite ajouter le module nw-fermi dans le fichier /etc/modules (en faisant ceci on dit de charger le module dès le démarrage du pc) ; dans mon expérience, pas besoin de d'installer le driver evtouch (qui se trouve dans Synaptics - xserver-xorg-input-evtouch), ni de générer un fichier xorg.conf... | synaptics
129 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => En résumé, il faut télécharger installer le driver, et ensuite ajouter le module nw-fermi dans le fichier /etc/modules (en faisant ceci on dit de charger le module dès le démarrage du pc) ; dans mon expérience, pas besoin de d'installer le driver evtouch (qui se trouve dans Synaptics - xserver-xorg-input-evtouch), ni de générer un fichier xorg.conf... |  -  => suggestions : [' – ', ' — ', ' − ']
129 Mot inconnu : xserver-xorg-input-evtouch => En résumé, il faut télécharger installer le driver, et ensuite ajouter le module nw-fermi dans le fichier /etc/modules (en faisant ceci on dit de charger le module dès le démarrage du pc) ; dans mon expérience, pas besoin de d'installer le driver evtouch (qui se trouve dans Synaptics - xserver-xorg-input-evtouch), ni de générer un fichier xorg.conf... | xserver-xorg-input-evtouch
129 Mot inconnu : xorg => En résumé, il faut télécharger installer le driver, et ensuite ajouter le module nw-fermi dans le fichier /etc/modules (en faisant ceci on dit de charger le module dès le démarrage du pc) ; dans mon expérience, pas besoin de d'installer le driver evtouch (qui se trouve dans Synaptics - xserver-xorg-input-evtouch), ni de générer un fichier xorg.conf... | xorg
129 Il manque un espace. => En résumé, il faut télécharger installer le driver, et ensuite ajouter le module nw-fermi dans le fichier /etc/modules (en faisant ceci on dit de charger le module dès le démarrage du pc) ; dans mon expérience, pas besoin de d'installer le driver evtouch (qui se trouve dans Synaptics - xserver-xorg-input-evtouch), ni de générer un fichier xorg.conf... | conf => suggestions : [' conf']
129 Typographie : points de suspension. Utilisez le caractère dédié. => En résumé, il faut télécharger installer le driver, et ensuite ajouter le module nw-fermi dans le fichier /etc/modules (en faisant ceci on dit de charger le module dès le démarrage du pc) ; dans mon expérience, pas besoin de d'installer le driver evtouch (qui se trouve dans Synaptics - xserver-xorg-input-evtouch), ni de générer un fichier xorg.conf... | ... => suggestions : ['…']

132 Mot inconnu : Touchsmart => **PC Touchsmart de HP** :  | touchsmart
132 Mot inconnu : HP => **PC Touchsmart de HP** :  | hp
132 Espace(s) en fin de ligne à supprimer. => **PC Touchsmart de HP** :  |   => suggestions : ['']

133 Mot inconnu : IQ500 => => mai 2014, avec Ubuntu 13.10 sur IQ500 Fr : | iq500
