
5 Mot inconnu : AWStats => ====== AWStats ====== | awstats
157 Mot inconnu : geoip => Ce fichier va permettre d'effectuer la correspondance entre les adresses IP et les pays correspondants. Un domaine en .com par exemple peut se trouver en France, en Australie ou au Zimbabwe. Ce traitement va nous permettre de différencier les origines des internautes et d'affecter le nombre de pages et de hits aux pays correspondants. En résumé, il faut installer la base GeoIP, le programme PurePerl, modifier le fichier de configuration du site et le plugin geoip. | geoip

165 Mot inconnu : cron => <note tip>Vous pouvez automatiser ces deux étapes en rajoutant par exemple dans [[cron]] (dans un terminal, tapez **sudo crontab -e**) la commande : | cron
165 Mot inconnu : sudo => <note tip>Vous pouvez automatiser ces deux étapes en rajoutant par exemple dans [[cron]] (dans un terminal, tapez **sudo crontab -e**) la commande : | sudo
165 Mot inconnu : crontab => <note tip>Vous pouvez automatiser ces deux étapes en rajoutant par exemple dans [[cron]] (dans un terminal, tapez **sudo crontab -e**) la commande : | crontab
165 Il manque un espace à côté du tiret. => <note tip>Vous pouvez automatiser ces deux étapes en rajoutant par exemple dans [[cron]] (dans un terminal, tapez **sudo crontab -e**) la commande : |  - => suggestions : [' – ', ' — ']

178 Conjugaison erronée. Accord avec “Perl”. Le verbe devrait être à la 3ᵉ personne du singulier. => # Perl modules required: Geo::IP or Geo::IP::PurePerl (from Maxmind) | modules => suggestions : ['module']
178 Mot inconnu : required => # Perl modules required: Geo::IP or Geo::IP::PurePerl (from Maxmind) | required
178 Mot inconnu : Geo => # Perl modules required: Geo::IP or Geo::IP::PurePerl (from Maxmind) | geo
178 Une de ces ponctuations est superflue. => # Perl modules required: Geo::IP or Geo::IP::PurePerl (from Maxmind) | :: => suggestions : [':', ':']
178 Mot inconnu : Geo => # Perl modules required: Geo::IP or Geo::IP::PurePerl (from Maxmind) | geo
178 Une de ces ponctuations est superflue. => # Perl modules required: Geo::IP or Geo::IP::PurePerl (from Maxmind) | :: => suggestions : [':', ':']
178 Une de ces ponctuations est superflue. => # Perl modules required: Geo::IP or Geo::IP::PurePerl (from Maxmind) | :: => suggestions : [':', ':']
178 Mot inconnu : PurePerl => # Perl modules required: Geo::IP or Geo::IP::PurePerl (from Maxmind) | pureperl
178 Mot inconnu : from => # Perl modules required: Geo::IP or Geo::IP::PurePerl (from Maxmind) | from
178 Mot inconnu : Maxmind => # Perl modules required: Geo::IP or Geo::IP::PurePerl (from Maxmind) | maxmind

179 Mot inconnu : chart => # Country chart is built from an Internet IP-Country database. | chart
179 Mot inconnu : is => # Country chart is built from an Internet IP-Country database. | is
179 Mot inconnu : built => # Country chart is built from an Internet IP-Country database. | built
179 Mot inconnu : from => # Country chart is built from an Internet IP-Country database. | from
179 Mot inconnu : database => # Country chart is built from an Internet IP-Country database. | database

180 Mot inconnu : This => # This plugin is useless for intranet only log files. | this
180 Mot inconnu : is => # This plugin is useless for intranet only log files. | is
180 Mot inconnu : useless => # This plugin is useless for intranet only log files. | useless
180 Mot inconnu : only => # This plugin is useless for intranet only log files. | only
181 Mot inconnu : You => # Note: You must choose between using this plugin (need Perl Geo::IP module  | you
181 Mot inconnu : choose => # Note: You must choose between using this plugin (need Perl Geo::IP module  | choose
181 Mot inconnu : between => # Note: You must choose between using this plugin (need Perl Geo::IP module  | between
181 Mot inconnu : using => # Note: You must choose between using this plugin (need Perl Geo::IP module  | using
181 Mot inconnu : this => # Note: You must choose between using this plugin (need Perl Geo::IP module  | this
181 Mot inconnu : need => # Note: You must choose between using this plugin (need Perl Geo::IP module  | need
181 Mot inconnu : Geo => # Note: You must choose between using this plugin (need Perl Geo::IP module  | geo
181 Une de ces ponctuations est superflue. => # Note: You must choose between using this plugin (need Perl Geo::IP module  | :: => suggestions : [':', ':']
181 Espace(s) en fin de ligne à supprimer. => # Note: You must choose between using this plugin (need Perl Geo::IP module  |   => suggestions : ['']

182 Mot inconnu : from => # from Maxmind, database more up to date) or the GeoIPfree plugin (need | from
182 Mot inconnu : Maxmind => # from Maxmind, database more up to date) or the GeoIPfree plugin (need | maxmind
182 Mot inconnu : database => # from Maxmind, database more up to date) or the GeoIPfree plugin (need | database
182 Mot inconnu : up => # from Maxmind, database more up to date) or the GeoIPfree plugin (need | up
182 Mot inconnu : to => # from Maxmind, database more up to date) or the GeoIPfree plugin (need | to
182 Mot inconnu : the => # from Maxmind, database more up to date) or the GeoIPfree plugin (need | the
182 Mot inconnu : GeoIPfree => # from Maxmind, database more up to date) or the GeoIPfree plugin (need | geoipfree
182 Mot inconnu : need => # from Maxmind, database more up to date) or the GeoIPfree plugin (need | need

183 Mot inconnu : Geo => # Perl Geo::IPfree module, database less up to date). | geo
183 Une de ces ponctuations est superflue. => # Perl Geo::IPfree module, database less up to date). | :: => suggestions : [':', ':']
183 Mot inconnu : IPfree => # Perl Geo::IPfree module, database less up to date). | ipfree
183 Mot inconnu : database => # Perl Geo::IPfree module, database less up to date). | database
183 Mot inconnu : less => # Perl Geo::IPfree module, database less up to date). | less
183 Mot inconnu : up => # Perl Geo::IPfree module, database less up to date). | up
183 Mot inconnu : to => # Perl Geo::IPfree module, database less up to date). | to

184 Mot inconnu : This => # This plugin reduces AWStats speed of 8% ! | this
184 Mot inconnu : reduces => # This plugin reduces AWStats speed of 8% ! | reduces
184 Mot inconnu : AWStats => # This plugin reduces AWStats speed of 8% ! | awstats
184 Mot inconnu : of => # This plugin reduces AWStats speed of 8% ! | of

186 Mot inconnu : LoadPlugin => LoadPlugin="geoip GEOIP_STANDARD /usr/share/awstats/lib/GeoIP.dat"</file> | loadplugin
186 Guillemets typographiques ouvrants. => LoadPlugin="geoip GEOIP_STANDARD /usr/share/awstats/lib/GeoIP.dat"</file> | " => suggestions : ['«\xa0', '“']
186 Mot inconnu : geoip => LoadPlugin="geoip GEOIP_STANDARD /usr/share/awstats/lib/GeoIP.dat"</file> | geoip
186 Mot inconnu : GEOIP_STANDARD => LoadPlugin="geoip GEOIP_STANDARD /usr/share/awstats/lib/GeoIP.dat"</file> | geoip_standard

193 Mot inconnu : GeoIP => <note tip>Il y a d'autres modules GeoIP intéressants, par exemple GeoLiteCity. Il suffit alors d'adapter les instructions précédentes avec le fichier GeoLiteCity.dat.gz [[http://geolite.maxmind.com/download/geoip/database/|ici]] et en modifiant **geoip_city_maxmind.pm** au lieu de **geoip.pm**</note> | geoip
193 Mot inconnu : GeoLiteCity => <note tip>Il y a d'autres modules GeoIP intéressants, par exemple GeoLiteCity. Il suffit alors d'adapter les instructions précédentes avec le fichier GeoLiteCity.dat.gz [[http://geolite.maxmind.com/download/geoip/database/|ici]] et en modifiant **geoip_city_maxmind.pm** au lieu de **geoip.pm**</note> | geolitecity
193 Mot inconnu : geoip_city_maxmind => <note tip>Il y a d'autres modules GeoIP intéressants, par exemple GeoLiteCity. Il suffit alors d'adapter les instructions précédentes avec le fichier GeoLiteCity.dat.gz [[http://geolite.maxmind.com/download/geoip/database/|ici]] et en modifiant **geoip_city_maxmind.pm** au lieu de **geoip.pm**</note> | geoip_city_maxmind
193 Il manque un espace. => <note tip>Il y a d'autres modules GeoIP intéressants, par exemple GeoLiteCity. Il suffit alors d'adapter les instructions précédentes avec le fichier GeoLiteCity.dat.gz [[http://geolite.maxmind.com/download/geoip/database/|ici]] et en modifiant **geoip_city_maxmind.pm** au lieu de **geoip.pm**</note> | pm => suggestions : [' pm']
193 Mot inconnu : geoip => <note tip>Il y a d'autres modules GeoIP intéressants, par exemple GeoLiteCity. Il suffit alors d'adapter les instructions précédentes avec le fichier GeoLiteCity.dat.gz [[http://geolite.maxmind.com/download/geoip/database/|ici]] et en modifiant **geoip_city_maxmind.pm** au lieu de **geoip.pm**</note> | geoip
193 Il manque un espace. => <note tip>Il y a d'autres modules GeoIP intéressants, par exemple GeoLiteCity. Il suffit alors d'adapter les instructions précédentes avec le fichier GeoLiteCity.dat.gz [[http://geolite.maxmind.com/download/geoip/database/|ici]] et en modifiant **geoip_city_maxmind.pm** au lieu de **geoip.pm**</note> | pm => suggestions : [' pm']

203 Mot inconnu : eacute => # Affichage du Top 20 des T&eacute;l&eacute;chargements | eacute
203 Il manque un espace. => # Affichage du Top 20 des T&eacute;l&eacute;chargements | l => suggestions : [' l']
203 Mot inconnu : eacute => # Affichage du Top 20 des T&eacute;l&eacute;chargements | eacute
203 Il manque un espace. => # Affichage du Top 20 des T&eacute;l&eacute;chargements | chargements => suggestions : [' chargements']

204 Mot inconnu : ExtraSectionName1 => ExtraSectionName1="T&eacute;l&eacute;chargements (Top 20)" | extrasectionname1
204 Guillemets typographiques ouvrants. => ExtraSectionName1="T&eacute;l&eacute;chargements (Top 20)" | " => suggestions : ['«\xa0', '“']
204 Mot inconnu : eacute => ExtraSectionName1="T&eacute;l&eacute;chargements (Top 20)" | eacute
204 Il manque un espace. => ExtraSectionName1="T&eacute;l&eacute;chargements (Top 20)" | l => suggestions : [' l']
204 Mot inconnu : eacute => ExtraSectionName1="T&eacute;l&eacute;chargements (Top 20)" | eacute
204 Il manque un espace. => ExtraSectionName1="T&eacute;l&eacute;chargements (Top 20)" | chargements => suggestions : [' chargements']

205 Mot inconnu : ExtraSectionCodeFilter1 => ExtraSectionCodeFilter1="200 304" | extrasectioncodefilter1
205 Guillemets typographiques ouvrants. => ExtraSectionCodeFilter1="200 304" | " => suggestions : ['«\xa0', '“']
205 Grands nombres : utilisez des espaces insécables. => ExtraSectionCodeFilter1="200 304" | 200 304 => suggestions : ['200\xa0304']
205 Guillemets typographiques fermants. => ExtraSectionCodeFilter1="200 304" | " => suggestions : ['\xa0»', '”']

206 Mot inconnu : ExtraSectionCondition1 => ExtraSectionCondition1="URL,(.*((\.doc)|(\.exe)|(\.msi)|(\.pdf)|(\.rtf)|(\.swf)|(\.txt)|(\.vbs)|(\.xls)|(\.zip)))" | extrasectioncondition1
206 Guillemets typographiques ouvrants. => ExtraSectionCondition1="URL,(.*((\.doc)|(\.exe)|(\.msi)|(\.pdf)|(\.rtf)|(\.swf)|(\.txt)|(\.vbs)|(\.xls)|(\.zip)))" | " => suggestions : ['«\xa0', '“']
206 Mot inconnu : exe => ExtraSectionCondition1="URL,(.*((\.doc)|(\.exe)|(\.msi)|(\.pdf)|(\.rtf)|(\.swf)|(\.txt)|(\.vbs)|(\.xls)|(\.zip)))" | exe
206 Mot inconnu : msi => ExtraSectionCondition1="URL,(.*((\.doc)|(\.exe)|(\.msi)|(\.pdf)|(\.rtf)|(\.swf)|(\.txt)|(\.vbs)|(\.xls)|(\.zip)))" | msi
206 Mot inconnu : rtf => ExtraSectionCondition1="URL,(.*((\.doc)|(\.exe)|(\.msi)|(\.pdf)|(\.rtf)|(\.swf)|(\.txt)|(\.vbs)|(\.xls)|(\.zip)))" | rtf
206 Mot inconnu : swf => ExtraSectionCondition1="URL,(.*((\.doc)|(\.exe)|(\.msi)|(\.pdf)|(\.rtf)|(\.swf)|(\.txt)|(\.vbs)|(\.xls)|(\.zip)))" | swf
206 Mot inconnu : txt => ExtraSectionCondition1="URL,(.*((\.doc)|(\.exe)|(\.msi)|(\.pdf)|(\.rtf)|(\.swf)|(\.txt)|(\.vbs)|(\.xls)|(\.zip)))" | txt
206 Mot inconnu : vbs => ExtraSectionCondition1="URL,(.*((\.doc)|(\.exe)|(\.msi)|(\.pdf)|(\.rtf)|(\.swf)|(\.txt)|(\.vbs)|(\.xls)|(\.zip)))" | vbs
206 Mot inconnu : xls => ExtraSectionCondition1="URL,(.*((\.doc)|(\.exe)|(\.msi)|(\.pdf)|(\.rtf)|(\.swf)|(\.txt)|(\.vbs)|(\.xls)|(\.zip)))" | xls

207 Mot inconnu : ExtraSectionFirstColumnTitle1 => ExtraSectionFirstColumnTitle1="T&eacute;l&eacute;chargements" | extrasectionfirstcolumntitle1
207 Guillemets typographiques ouvrants. => ExtraSectionFirstColumnTitle1="T&eacute;l&eacute;chargements" | " => suggestions : ['«\xa0', '“']
207 Mot inconnu : eacute => ExtraSectionFirstColumnTitle1="T&eacute;l&eacute;chargements" | eacute
207 Il manque un espace. => ExtraSectionFirstColumnTitle1="T&eacute;l&eacute;chargements" | l => suggestions : [' l']
207 Mot inconnu : eacute => ExtraSectionFirstColumnTitle1="T&eacute;l&eacute;chargements" | eacute
207 Il manque un espace. => ExtraSectionFirstColumnTitle1="T&eacute;l&eacute;chargements" | chargements => suggestions : [' chargements']
207 Guillemets typographiques fermants. => ExtraSectionFirstColumnTitle1="T&eacute;l&eacute;chargements" | " => suggestions : ['\xa0»', '”']

208 Mot inconnu : ExtraSectionFirstColumnValues1 => ExtraSectionFirstColumnValues1="URL,(.*)" | extrasectionfirstcolumnvalues1
208 Guillemets typographiques ouvrants. => ExtraSectionFirstColumnValues1="URL,(.*)" | " => suggestions : ['«\xa0', '“']

209 Mot inconnu : ExtraSectionFirstColumnFormat1 => ExtraSectionFirstColumnFormat1="%s" | extrasectionfirstcolumnformat1
209 Il manque un espace. => ExtraSectionFirstColumnFormat1="%s" | s => suggestions : [' s']
209 Guillemets typographiques fermants. => ExtraSectionFirstColumnFormat1="%s" | " => suggestions : ['\xa0»', '”']

210 Mot inconnu : ExtraSectionStatTypes1 => ExtraSectionStatTypes1=HBL | extrasectionstattypes1
210 Mot inconnu : HBL => ExtraSectionStatTypes1=HBL | hbl

211 Mot inconnu : ExtraSectionAddAverageRow15 => ExtraSectionAddAverageRow15=0 | extrasectionaddaveragerow15

212 Mot inconnu : ExtraSectionAddSumRow1 => ExtraSectionAddSumRow1=1 | extrasectionaddsumrow1

213 Mot inconnu : MaxNbOfExtra1 => MaxNbOfExtra1=20 | maxnbofextra1

214 Mot inconnu : MinHitExtra1 => MinHitExtra1=1</file> | minhitextra1

228 Mot inconnu : ProFtpd => ===== ProFtpd ===== | proftpd

246 Mot inconnu : déja => Ajoutez les lignes suivantes au fichier (à la suite des commandes identiques existants déja) : | déja

269 Guillemets typographiques ouvrants. => Si vous avez un message qui vous dit qu'il y a des "corrupted records", faites bien attention à la note concernant les tabulations, c'est source d'erreur ! | " => suggestions : ['«\xa0', '“']
269 Mot inconnu : corrupted => Si vous avez un message qui vous dit qu'il y a des "corrupted records", faites bien attention à la note concernant les tabulations, c'est source d'erreur ! | corrupted
269 Guillemets typographiques fermants. => Si vous avez un message qui vous dit qu'il y a des "corrupted records", faites bien attention à la note concernant les tabulations, c'est source d'erreur ! | " => suggestions : ['\xa0»', '”']

271 Mot inconnu : proftpd => Voila, votre serveur proftpd est maintenant monitoré. | proftpd

276 Mot inconnu : FAQ-COM090 => **(en)** [[http://awstats.sourceforge.net/docs/awstats_faq.html#FTP|FAQ-COM090 : SETUP FOR FTP SERVER LOG FILES (proftpd, vsftpd, ...)]] | faq-com090
276 Mot inconnu : SETUP => **(en)** [[http://awstats.sourceforge.net/docs/awstats_faq.html#FTP|FAQ-COM090 : SETUP FOR FTP SERVER LOG FILES (proftpd, vsftpd, ...)]] | setup
276 Mot inconnu : SERVER => **(en)** [[http://awstats.sourceforge.net/docs/awstats_faq.html#FTP|FAQ-COM090 : SETUP FOR FTP SERVER LOG FILES (proftpd, vsftpd, ...)]] | server
276 Mot inconnu : proftpd => **(en)** [[http://awstats.sourceforge.net/docs/awstats_faq.html#FTP|FAQ-COM090 : SETUP FOR FTP SERVER LOG FILES (proftpd, vsftpd, ...)]] | proftpd
276 Mot inconnu : vsftpd => **(en)** [[http://awstats.sourceforge.net/docs/awstats_faq.html#FTP|FAQ-COM090 : SETUP FOR FTP SERVER LOG FILES (proftpd, vsftpd, ...)]] | vsftpd
276 Une de ces ponctuations est superflue. => **(en)** [[http://awstats.sourceforge.net/docs/awstats_faq.html#FTP|FAQ-COM090 : SETUP FOR FTP SERVER LOG FILES (proftpd, vsftpd, ...)]] | , . => suggestions : [',', '.']
276 Typographie : points de suspension. Utilisez le caractère dédié. => **(en)** [[http://awstats.sourceforge.net/docs/awstats_faq.html#FTP|FAQ-COM090 : SETUP FOR FTP SERVER LOG FILES (proftpd, vsftpd, ...)]] | ... => suggestions : ['…']

284 Mot inconnu : Cron => ==== Cron ==== | cron

287 Mot inconnu : cron => Le cron de awstats se trouve ici: | cron
287 Élision de l’article devant un mot commençant par une voyelle. => Le cron de awstats se trouve ici: | de  => suggestions : ['d’']
287 Mot inconnu : awstats => Le cron de awstats se trouve ici: | awstats

304 Mot inconnu : cron => Exécutez le cron toutes les dix minutes | cron

331 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A configurer en fonction de sa config mais, on peut habilement le changer par : | a => suggestions : ['À']

339 Mot inconnu : Contrib => Contrib: rapidos | contrib
339 Mot inconnu : rapidos => Contrib: rapidos | rapidos

359 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Vous n'avez qu'a modifier le contenu de la variable domaines en fonctions de vos domaines.\\ Tous les jours le systeme se chargera de générer des statsitiques pour vous :-) | a => suggestions : ['à']
359 Incohérence probable avec “a” : “modifier” n’est pas un participe passé. => Vous n'avez qu'a modifier le contenu de la variable domaines en fonctions de vos domaines.\\ Tous les jours le systeme se chargera de générer des statsitiques pour vous :-) | modifier => suggestions : ['modifié']
359 Mot inconnu : systeme => Vous n'avez qu'a modifier le contenu de la variable domaines en fonctions de vos domaines.\\ Tous les jours le systeme se chargera de générer des statsitiques pour vous :-) | systeme
359 Mot inconnu : statsitiques => Vous n'avez qu'a modifier le contenu de la variable domaines en fonctions de vos domaines.\\ Tous les jours le systeme se chargera de générer des statsitiques pour vous :-) | statsitiques

363 Mot inconnu : Contrib => Contrib: Pépou06 | contrib
363 Mot inconnu : Pépou06 => Contrib: Pépou06 | pépou06

365 Mot inconnu : editeur => Vérifier que vous avez bien l'editeur de texte nano installé : [[apt://nano]] | editeur
365 Mot inconnu : nano => Vérifier que vous avez bien l'editeur de texte nano installé : [[apt://nano]] | nano
365 Mot inconnu : nano => Vérifier que vous avez bien l'editeur de texte nano installé : [[apt://nano]] | nano

375 Mot inconnu : Sauvergarder => Sauvergarder, et relancez crontab : | sauvergarder
375 Mot inconnu : crontab => Sauvergarder, et relancez crontab : | crontab

387 Mot inconnu : emacs => //(Ne connaissant ni emacs, ni nano, je propose **vi** qui est fourni de base :D )// | emacs
387 Mot inconnu : nano => //(Ne connaissant ni emacs, ni nano, je propose **vi** qui est fourni de base :D )// | nano
387 Mot inconnu : vi => //(Ne connaissant ni emacs, ni nano, je propose **vi** qui est fourni de base :D )// | vi
387 Pas d’espace avant ce signe. => //(Ne connaissant ni emacs, ni nano, je propose **vi** qui est fourni de base :D )// |  ) => suggestions : [')']

389 Ce verbe devrait être un participe passé au masculin singulier. => Si vous avez respecte le format de noms de fichier de config : /etc/awstats///awstats.DOMAINE.TLD.conf// | respecte => suggestions : ['respecté']
389 Il manque un espace. => Si vous avez respecte le format de noms de fichier de config : /etc/awstats///awstats.DOMAINE.TLD.conf// | domaine => suggestions : [' DOMAINE']

391 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => Alors il existe une solution pour mettre a jour l'ensemble de vos stats | a => suggestions : ['à']
391 Mot inconnu : stats => Alors il existe une solution pour mettre a jour l'ensemble de vos stats | stats

397 Mot inconnu : generation => Par exemple pour une generation des stats toutes les dix minutes, | generation
397 Mot inconnu : stats => Par exemple pour une generation des stats toutes les dix minutes, | stats

398 Mot inconnu : verifiez => sur l'ensemble de vos fichiers (verifiez le chemin des fichiers) : | verifiez

404 Mot inconnu : logrotate => ==== logrotate (rotation des logs) ==== | logrotate

406 Mot inconnu : stats => La rotation des logs a pour effet de supprimer les logs apaches. Si une rotation intervient avant que les stats aient été lancées, on risque de perdre une partie des statistiques. Pour éviter ce problème, il suffit de lancer le script de mise à jour des stats juste avant que la rotation ne s'effectue. | stats
406 Mot inconnu : stats => La rotation des logs a pour effet de supprimer les logs apaches. Si une rotation intervient avant que les stats aient été lancées, on risque de perdre une partie des statistiques. Pour éviter ce problème, il suffit de lancer le script de mise à jour des stats juste avant que la rotation ne s'effectue. | stats

414 Mot inconnu : postrotate => Ajouter ces trois lignes juste avant postrotate : | postrotate

