
4 Mot inconnu : HjSplit => ====== HjSplit ====== | hjsplit
6 Mot inconnu : part02 => **HjSplit** était un logiciel multiplateforme permettant de découper et recoller un fichier en plusieurs morceaux, afin que ceux-ci puissent être envoyés sous la forme de plusieurs fichiers de moindre taille — reconnaissables par leurs extensions de type ''.001'', ''.002''… ou encore ''.part01'', ''.part02''… — lorsque la capacité de transfert était limitée, sur des forums internet par exemple. Si cette pratique est tombée en désuétude avec les progrès technologiques, il peut être utile de recoller d’anciens fichiers envoyés à l’époque où ils étaient indispensables. | part02
6 Guillemets typographiques fermants. => **HjSplit** était un logiciel multiplateforme permettant de découper et recoller un fichier en plusieurs morceaux, afin que ceux-ci puissent être envoyés sous la forme de plusieurs fichiers de moindre taille — reconnaissables par leurs extensions de type ''.001'', ''.002''… ou encore ''.part01'', ''.part02''… — lorsque la capacité de transfert était limitée, sur des forums internet par exemple. Si cette pratique est tombée en désuétude avec les progrès technologiques, il peut être utile de recoller d’anciens fichiers envoyés à l’époque où ils étaient indispensables. | '' => suggestions : ['\xa0»', '”']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Nous supposerons que nous avons trois fichiers, ''vidéo.mp4.001'', ''vidéo.mp4.002'' et ''vidéo.mp4.003'', à recoller pour former le fichier complet ''vidéo.mp4''.  |    => suggestions : ['']
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Nous supposerons que nous avons trois fichiers, ''vidéo.mp4.001'', ''vidéo.mp4.002'' et ''vidéo.mp4.003'', à recoller pour former le fichier complet ''vidéo.mp4''.  |  -  => suggestions : [' – ', ' — ', ' − ']
14 Guillemets typographiques ouvrants. =>   - Nous supposerons que nous avons trois fichiers, ''vidéo.mp4.001'', ''vidéo.mp4.002'' et ''vidéo.mp4.003'', à recoller pour former le fichier complet ''vidéo.mp4''.  | '' => suggestions : ['«\xa0', '“']
14 Guillemets typographiques fermants. =>   - Nous supposerons que nous avons trois fichiers, ''vidéo.mp4.001'', ''vidéo.mp4.002'' et ''vidéo.mp4.003'', à recoller pour former le fichier complet ''vidéo.mp4''.  | '' => suggestions : ['\xa0»', '”']
14 Guillemets typographiques ouvrants. =>   - Nous supposerons que nous avons trois fichiers, ''vidéo.mp4.001'', ''vidéo.mp4.002'' et ''vidéo.mp4.003'', à recoller pour former le fichier complet ''vidéo.mp4''.  | '' => suggestions : ['«\xa0', '“']
14 Guillemets typographiques fermants. =>   - Nous supposerons que nous avons trois fichiers, ''vidéo.mp4.001'', ''vidéo.mp4.002'' et ''vidéo.mp4.003'', à recoller pour former le fichier complet ''vidéo.mp4''.  | '' => suggestions : ['\xa0»', '”']
14 Guillemets typographiques ouvrants. =>   - Nous supposerons que nous avons trois fichiers, ''vidéo.mp4.001'', ''vidéo.mp4.002'' et ''vidéo.mp4.003'', à recoller pour former le fichier complet ''vidéo.mp4''.  | '' => suggestions : ['«\xa0', '“']
14 Guillemets typographiques fermants. =>   - Nous supposerons que nous avons trois fichiers, ''vidéo.mp4.001'', ''vidéo.mp4.002'' et ''vidéo.mp4.003'', à recoller pour former le fichier complet ''vidéo.mp4''.  | '' => suggestions : ['\xa0»', '”']
14 Guillemets typographiques ouvrants. =>   - Nous supposerons que nous avons trois fichiers, ''vidéo.mp4.001'', ''vidéo.mp4.002'' et ''vidéo.mp4.003'', à recoller pour former le fichier complet ''vidéo.mp4''.  | '' => suggestions : ['«\xa0', '“']
14 Mot inconnu : mp4 =>   - Nous supposerons que nous avons trois fichiers, ''vidéo.mp4.001'', ''vidéo.mp4.002'' et ''vidéo.mp4.003'', à recoller pour former le fichier complet ''vidéo.mp4''.  | mp4
14 Guillemets typographiques fermants. =>   - Nous supposerons que nous avons trois fichiers, ''vidéo.mp4.001'', ''vidéo.mp4.002'' et ''vidéo.mp4.003'', à recoller pour former le fichier complet ''vidéo.mp4''.  | '' => suggestions : ['\xa0»', '”']
14 Espace(s) en fin de ligne à supprimer. =>   - Nous supposerons que nous avons trois fichiers, ''vidéo.mp4.001'', ''vidéo.mp4.002'' et ''vidéo.mp4.003'', à recoller pour former le fichier complet ''vidéo.mp4''.  |   => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Placez tous les fichiers séparés dans le même dossier. |    => suggestions : ['']
15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Placez tous les fichiers séparés dans le même dossier. |  -  => suggestions : [' – ', ' — ', ' − ']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Votre fichier a été généré à côté des anciens ! Vous pouvez supprimer les parties. |    => suggestions : ['']
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Votre fichier a été généré à côté des anciens ! Vous pouvez supprimer les parties. |  -  => suggestions : [' – ', ' — ', ' − ']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Vous verrez que des fichiers ''nom_des_fichiers_séparésaa'', ''nom_des_fichiers_séparésab'', etc., ont été générés dans votre dossier. Ce sont l’équivalent des ''.001'' et consorts d’HjSplit. Vous pouvez les recoller en suivant les instructions de la section précédente. |    => suggestions : ['']
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Vous verrez que des fichiers ''nom_des_fichiers_séparésaa'', ''nom_des_fichiers_séparésab'', etc., ont été générés dans votre dossier. Ce sont l’équivalent des ''.001'' et consorts d’HjSplit. Vous pouvez les recoller en suivant les instructions de la section précédente. |  -  => suggestions : [' – ', ' — ', ' − ']
26 Guillemets typographiques ouvrants. =>   - Vous verrez que des fichiers ''nom_des_fichiers_séparésaa'', ''nom_des_fichiers_séparésab'', etc., ont été générés dans votre dossier. Ce sont l’équivalent des ''.001'' et consorts d’HjSplit. Vous pouvez les recoller en suivant les instructions de la section précédente. | '' => suggestions : ['«\xa0', '“']
26 Mot inconnu : nom_des_fichiers_séparésaa =>   - Vous verrez que des fichiers ''nom_des_fichiers_séparésaa'', ''nom_des_fichiers_séparésab'', etc., ont été générés dans votre dossier. Ce sont l’équivalent des ''.001'' et consorts d’HjSplit. Vous pouvez les recoller en suivant les instructions de la section précédente. | nom_des_fichiers_séparésaa
26 Guillemets typographiques fermants. =>   - Vous verrez que des fichiers ''nom_des_fichiers_séparésaa'', ''nom_des_fichiers_séparésab'', etc., ont été générés dans votre dossier. Ce sont l’équivalent des ''.001'' et consorts d’HjSplit. Vous pouvez les recoller en suivant les instructions de la section précédente. | '' => suggestions : ['\xa0»', '”']
26 Guillemets typographiques ouvrants. =>   - Vous verrez que des fichiers ''nom_des_fichiers_séparésaa'', ''nom_des_fichiers_séparésab'', etc., ont été générés dans votre dossier. Ce sont l’équivalent des ''.001'' et consorts d’HjSplit. Vous pouvez les recoller en suivant les instructions de la section précédente. | '' => suggestions : ['«\xa0', '“']
26 Mot inconnu : nom_des_fichiers_séparésab =>   - Vous verrez que des fichiers ''nom_des_fichiers_séparésaa'', ''nom_des_fichiers_séparésab'', etc., ont été générés dans votre dossier. Ce sont l’équivalent des ''.001'' et consorts d’HjSplit. Vous pouvez les recoller en suivant les instructions de la section précédente. | nom_des_fichiers_séparésab
26 Guillemets typographiques fermants. =>   - Vous verrez que des fichiers ''nom_des_fichiers_séparésaa'', ''nom_des_fichiers_séparésab'', etc., ont été générés dans votre dossier. Ce sont l’équivalent des ''.001'' et consorts d’HjSplit. Vous pouvez les recoller en suivant les instructions de la section précédente. | '' => suggestions : ['\xa0»', '”']
26 Guillemets fermants. =>   - Vous verrez que des fichiers ''nom_des_fichiers_séparésaa'', ''nom_des_fichiers_séparésab'', etc., ont été générés dans votre dossier. Ce sont l’équivalent des ''.001'' et consorts d’HjSplit. Vous pouvez les recoller en suivant les instructions de la section précédente. |  '' => suggestions : ['\xa0»', '”']
26 Guillemets typographiques fermants. =>   - Vous verrez que des fichiers ''nom_des_fichiers_séparésaa'', ''nom_des_fichiers_séparésab'', etc., ont été générés dans votre dossier. Ce sont l’équivalent des ''.001'' et consorts d’HjSplit. Vous pouvez les recoller en suivant les instructions de la section précédente. | '' => suggestions : ['\xa0»', '”']
26 Mot inconnu : HjSplit =>   - Vous verrez que des fichiers ''nom_des_fichiers_séparésaa'', ''nom_des_fichiers_séparésab'', etc., ont été générés dans votre dossier. Ce sont l’équivalent des ''.001'' et consorts d’HjSplit. Vous pouvez les recoller en suivant les instructions de la section précédente. | hjsplit

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Portail [[archivage]] |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(id)** [[http://www.hjsplit.org/|Site officiel]] (ou du moins ce qu’il en reste…) |    => suggestions : ['']
