
28 Mot inconnu : daemon => Par défaut, le daemon **motion** n'est pas activé/démarré. | daemon
223 Mot inconnu : unable => Si votre webcam fonctionne avec d'autres logiciels (cheese etc...) mais pas avec motion, et que l'on a une erreur du type "unable to find a palette format", la commande suivante peut résoudre ce problème : | unable
223 Mot inconnu : to => Si votre webcam fonctionne avec d'autres logiciels (cheese etc...) mais pas avec motion, et que l'on a une erreur du type "unable to find a palette format", la commande suivante peut résoudre ce problème : | to
223 Mot inconnu : find => Si votre webcam fonctionne avec d'autres logiciels (cheese etc...) mais pas avec motion, et que l'on a une erreur du type "unable to find a palette format", la commande suivante peut résoudre ce problème : | find
223 Guillemets typographiques fermants. => Si votre webcam fonctionne avec d'autres logiciels (cheese etc...) mais pas avec motion, et que l'on a une erreur du type "unable to find a palette format", la commande suivante peut résoudre ce problème : | " => suggestions : ['\xa0»', '”']

226 Mot inconnu : LTS => Attention sous Ubuntu 14.04 LTS la commande est la suivante  | lts
226 Espace(s) en fin de ligne à supprimer. => Attention sous Ubuntu 14.04 LTS la commande est la suivante  |   => suggestions : ['']

229 Mot inconnu : LTS => Sous Ubuntu 16.04 LTS pour une architecture 64bits la commande est la suivante  | lts
229 Espace(s) en fin de ligne à supprimer. => Sous Ubuntu 16.04 LTS pour une architecture 64bits la commande est la suivante  |   => suggestions : ['']
