
4 Mot inconnu : VNC => ====== VNC ====== | vnc
53 Mot inconnu : vino-preferences => Pour Ubuntu MATE depuis la version 18.04 LTS, le partage de bureau a disparu des menus et la commande vino-preferences n'existe plus. | vino-preferences

57 Typographie : points de suspension. Utilisez le caractère dédié. => Ce sont les mêmes options que celles des Préférences de partage de bureau... mais en anglais ! | ... => suggestions : ['…']

62 Mot inconnu : KDE => ===Serveur sous KDE=== | kde

68 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Cette première fenêtre permet de créer des invitations temporaires, ainsi si vous avez un problème pour configurer votre distribution vous pouvez donner un accès temporaire à une personne qui vous aidera a régler votre problème. Le premier bouton (//Nouvelle invitation personnelle…//) vous permet de créer cette invitation. Le deuxième bouton (//Nouvelle invitation par courrier électronique…//) permet d'envoyer simplement toutes les informations nécessaires pour se connecter par courriel. Ainsi vous n'aurez pas à chercher le bon mot de passe, l'adresse IP ou le port à utiliser. | a => suggestions : ['à']
68 Incohérence probable avec “a” : “régler” n’est pas un participe passé. => Cette première fenêtre permet de créer des invitations temporaires, ainsi si vous avez un problème pour configurer votre distribution vous pouvez donner un accès temporaire à une personne qui vous aidera a régler votre problème. Le premier bouton (//Nouvelle invitation personnelle…//) vous permet de créer cette invitation. Le deuxième bouton (//Nouvelle invitation par courrier électronique…//) permet d'envoyer simplement toutes les informations nécessaires pour se connecter par courriel. Ainsi vous n'aurez pas à chercher le bon mot de passe, l'adresse IP ou le port à utiliser. | régler => suggestions : ['réglé']

71 Mot inconnu : krfb => La partie intéressante se trouve dans la configuration de //krfb// dans le menu //Configuration -> Configurer Partage de Bureau...// : | krfb
71 Typographie : points de suspension. Utilisez le caractère dédié. => La partie intéressante se trouve dans la configuration de //krfb// dans le menu //Configuration -> Configurer Partage de Bureau...// : | ... => suggestions : ['…']

77 Accord de nombre erroné : « caractères » devrait être au singulier. => Comme vous le voyez dans cette configuration cette machine est accessible de manière permanente par tout utilisateur connaissant le mot de passe. Celui-ci doit donc être particulièrement sûr. Un bon mot de passe contient au minimum 7 caractères alphanumérique avec des majuscules, minuscules, un ou plusieurs chiffres et au moins un caractères non alphanumérique, comme un signe de ponctuation. | caractères => suggestions : ['caractère']

81 Il manque un trait d’union si “même” se rapporte à “vous”. => La case décochée ici (//Confirmer les connexions non invitées avant acceptation//), si elle est décochée, peut poser un problème. En effet, jusqu'à présent, si une personne essayait de prendre le contrôle de votre ordinateur, votre autorisation était sollicitée. Une fois cette case décochée, cette demande ne vous est plus faite. Donc si vous n'êtes pas devant votre ordinateur la personne aura tout loisir d'y faire ce qu'elle veut. Cette option est néanmoins utile si vous souhaitez vous même prendre le contrôle de votre ordinateur vu que dans ce cas vous ne serez pas devant votre écran pour accepter la connexion. Ceci, encore une fois, exige un mot de passe sécurisé. | vous même => suggestions : ['vous-même']

83 Espace(s) en fin de ligne à supprimer. => La case //Autoriser les connexions non invitées// sert à définir si les personnes se connectant de manière non invitée sont simples  |   => suggestions : ['']

85 Mot inconnu : VNC => Dans //Réseau// vous pouvez modifier le port que votre serveur VNC va écouter en attendant d'éventuelles connexions. | vnc

96 Mot inconnu : Unity => ===Le client sous Unity et Xfce=== | unity
96 Mot inconnu : Xfce => ===Le client sous Unity et Xfce=== | xfce

103 Mot inconnu : KDE => ===Le client sous KDE pour Kubuntu ==== | kde

105 Mot inconnu : VNC => Une fois la machine distante configurée, vous pouvez en prendre le contrôle en lançant le client VNC de KDE : //krdc//. | vnc
105 Mot inconnu : KDE => Une fois la machine distante configurée, vous pouvez en prendre le contrôle en lançant le client VNC de KDE : //krdc//. | kde
105 Mot inconnu : krdc => Une fois la machine distante configurée, vous pouvez en prendre le contrôle en lançant le client VNC de KDE : //krdc//. | krdc

106 Mot inconnu : Krdc => Cliquez sur menu //K → Internet → Krdc (Connexion à un bureau distant)//. | krdc

114 Mot inconnu : VNC => <note tip>Dans ce cas on utilise le protocole VNC, on peut également utiliser le protocole RDP.</note> | vnc
114 Mot inconnu : RDP => <note tip>Dans ce cas on utilise le protocole VNC, on peut également utiliser le protocole RDP.</note> | rdp

117 Mot inconnu : VNC => <note help>Si l'écran sur lequel on se connecte en VNC a une résolution supérieure un problème se produit : la barre de défilement  se met à descendre tout en bas quand on clique sur la barre de défilement sans possibilité de remonter à première vue (pas de possibilité de défilement avec la molette, normal sinon comment l'utiliser aussi avec vnc ?). \\ | vnc
117 Espace(s) surnuméraire(s) à supprimer. => <note help>Si l'écran sur lequel on se connecte en VNC a une résolution supérieure un problème se produit : la barre de défilement  se met à descendre tout en bas quand on clique sur la barre de défilement sans possibilité de remonter à première vue (pas de possibilité de défilement avec la molette, normal sinon comment l'utiliser aussi avec vnc ?). \\ |    => suggestions : [' ']
117 Mot inconnu : vnc => <note help>Si l'écran sur lequel on se connecte en VNC a une résolution supérieure un problème se produit : la barre de défilement  se met à descendre tout en bas quand on clique sur la barre de défilement sans possibilité de remonter à première vue (pas de possibilité de défilement avec la molette, normal sinon comment l'utiliser aussi avec vnc ?). \\ | vnc

118 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Néanmoins pour la faire remonter il suffit de cliquer sur le 3ème bouton de la souris ou à défaut sur le bouton droite et gauche en même temps. | 3ème => suggestions : ['3ᵉ']
118 Accord de genre erroné : « le bouton » est masculin, « droite » est féminin. => Néanmoins pour la faire remonter il suffit de cliquer sur le 3ème bouton de la souris ou à défaut sur le bouton droite et gauche en même temps. | droite => suggestions : ['droit']

122 Mot inconnu : VNC => Il existe des logiciels VNC libres utilisables sous Windows : | vnc

127 Mot inconnu : VNC => Logiciel propriétaire VNC: | vnc

146 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => La machine a contrôler s'appelle le **serveur**. | a => suggestions : ['à']
146 Ce verbe devrait être un participe passé au masculin singulier. => La machine a contrôler s'appelle le **serveur**. | contrôler => suggestions : ['contrôlé']

164 Mot inconnu : SSH => Sans entrer dans le détail '**-L**' permet à SSH de rediriger le port local **5901** vers le port distant **5900**, '**-X**' d'autoriser le transfert du serveur X de la machine distante (en gros son bureau) et '**-C**' de compresser les données transmises pour économiser la bande passante. | ssh

168 Mot inconnu : vncviewer => vncviewer ou vinagre se connecte alors via le port **5901** de la machine locale qui se trouve être redirigé par SSH vers le port **5900** de la machine distante... et le tour est joué. | vncviewer
168 Mot inconnu : vinagre => vncviewer ou vinagre se connecte alors via le port **5901** de la machine locale qui se trouve être redirigé par SSH vers le port **5900** de la machine distante... et le tour est joué. | vinagre
168 Mot inconnu : SSH => vncviewer ou vinagre se connecte alors via le port **5901** de la machine locale qui se trouve être redirigé par SSH vers le port **5900** de la machine distante... et le tour est joué. | ssh
168 Typographie : points de suspension. Utilisez le caractère dédié. => vncviewer ou vinagre se connecte alors via le port **5901** de la machine locale qui se trouve être redirigé par SSH vers le port **5900** de la machine distante... et le tour est joué. | ... => suggestions : ['…']
170 Mot inconnu : Server => <note help>Remarque : on peut aussi passer par les interfaces graphiques déjà disponibles (Terminal Server Client pour Gnome, Krdc pour KDE), ce qui évite d'ouvrir le deuxième terminal...</note> | server
170 Mot inconnu : Krdc => <note help>Remarque : on peut aussi passer par les interfaces graphiques déjà disponibles (Terminal Server Client pour Gnome, Krdc pour KDE), ce qui évite d'ouvrir le deuxième terminal...</note> | krdc
170 Mot inconnu : KDE => <note help>Remarque : on peut aussi passer par les interfaces graphiques déjà disponibles (Terminal Server Client pour Gnome, Krdc pour KDE), ce qui évite d'ouvrir le deuxième terminal...</note> | kde
170 Typographie : points de suspension. Utilisez le caractère dédié. => <note help>Remarque : on peut aussi passer par les interfaces graphiques déjà disponibles (Terminal Server Client pour Gnome, Krdc pour KDE), ce qui évite d'ouvrir le deuxième terminal...</note> | ... => suggestions : ['…']

173 Mot inconnu : ssh_vnc => Voir la page [[ssh_vnc|SSH VNC]]. | ssh_vnc
173 Mot inconnu : SSH => Voir la page [[ssh_vnc|SSH VNC]]. | ssh
173 Mot inconnu : VNC => Voir la page [[ssh_vnc|SSH VNC]]. | vnc

179 Dans la locution “en termes de”, mettez “terme” au pluriel. => <note important>Permettre la prise de contrôle à distance d'une machine présente un risque en terme de sécurité si l'on ne met pas en place une politique de connexion sécurisée. Vous devriez contrôler la connexion au serveur VNC en installant une connexion [[vpn]] et/ou un tunnel [[ssh]] (+ [[fail2ban]]), voire en configurant un [[pare-feu]] (dans le cas d'une utilisation locale et en maitrisant toute la configuration et les machines du réseau à 100%).</note> | en terme de => suggestions : ['en termes de']
179 Mot inconnu : VNC => <note important>Permettre la prise de contrôle à distance d'une machine présente un risque en terme de sécurité si l'on ne met pas en place une politique de connexion sécurisée. Vous devriez contrôler la connexion au serveur VNC en installant une connexion [[vpn]] et/ou un tunnel [[ssh]] (+ [[fail2ban]]), voire en configurant un [[pare-feu]] (dans le cas d'une utilisation locale et en maitrisant toute la configuration et les machines du réseau à 100%).</note> | vnc
179 Mot inconnu : vpn => <note important>Permettre la prise de contrôle à distance d'une machine présente un risque en terme de sécurité si l'on ne met pas en place une politique de connexion sécurisée. Vous devriez contrôler la connexion au serveur VNC en installant une connexion [[vpn]] et/ou un tunnel [[ssh]] (+ [[fail2ban]]), voire en configurant un [[pare-feu]] (dans le cas d'une utilisation locale et en maitrisant toute la configuration et les machines du réseau à 100%).</note> | vpn
179 Mot inconnu : ssh => <note important>Permettre la prise de contrôle à distance d'une machine présente un risque en terme de sécurité si l'on ne met pas en place une politique de connexion sécurisée. Vous devriez contrôler la connexion au serveur VNC en installant une connexion [[vpn]] et/ou un tunnel [[ssh]] (+ [[fail2ban]]), voire en configurant un [[pare-feu]] (dans le cas d'une utilisation locale et en maitrisant toute la configuration et les machines du réseau à 100%).</note> | ssh
179 Mot inconnu : fail2ban => <note important>Permettre la prise de contrôle à distance d'une machine présente un risque en terme de sécurité si l'on ne met pas en place une politique de connexion sécurisée. Vous devriez contrôler la connexion au serveur VNC en installant une connexion [[vpn]] et/ou un tunnel [[ssh]] (+ [[fail2ban]]), voire en configurant un [[pare-feu]] (dans le cas d'une utilisation locale et en maitrisant toute la configuration et les machines du réseau à 100%).</note> | fail2ban

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Par défaut, VNC n'est pas un protocole sécurisé. Alors que les mots de passe ne sont pas envoyés en texte clair (comme dans le telnet), la force brute de craquage pourrait s'avérer fructueuse si les deux clés de chiffrement et mot de passe codés sont surveillés à partir d'un réseau. Pour cette raison, il est recommandé qu'un mot de passe d'au moins 8 caractères soit utilisé. |   => suggestions : ['']
181 Mot inconnu : VNC =>  Par défaut, VNC n'est pas un protocole sécurisé. Alors que les mots de passe ne sont pas envoyés en texte clair (comme dans le telnet), la force brute de craquage pourrait s'avérer fructueuse si les deux clés de chiffrement et mot de passe codés sont surveillés à partir d'un réseau. Pour cette raison, il est recommandé qu'un mot de passe d'au moins 8 caractères soit utilisé. | vnc
181 Mot inconnu : telnet =>  Par défaut, VNC n'est pas un protocole sécurisé. Alors que les mots de passe ne sont pas envoyés en texte clair (comme dans le telnet), la force brute de craquage pourrait s'avérer fructueuse si les deux clés de chiffrement et mot de passe codés sont surveillés à partir d'un réseau. Pour cette raison, il est recommandé qu'un mot de passe d'au moins 8 caractères soit utilisé. | telnet

183 Mot inconnu : VNC => Toutefois, VNC peut être mis dans un tunnel sur une connexion SSH ou VPN ce qui pourrait ajouter une couche de sécurité supplémentaire avec un chiffrement plus robuste. Les Clients SSH sont disponibles pour toutes les principales plates-formes, les tunnels SSH peuvent être créés à partir de clients UNIX (y compris Mac OS X), les clients Windows, Mac OS Classic clients (System 7 et +) - et bien d'autres. | vnc
183 Mot inconnu : SSH => Toutefois, VNC peut être mis dans un tunnel sur une connexion SSH ou VPN ce qui pourrait ajouter une couche de sécurité supplémentaire avec un chiffrement plus robuste. Les Clients SSH sont disponibles pour toutes les principales plates-formes, les tunnels SSH peuvent être créés à partir de clients UNIX (y compris Mac OS X), les clients Windows, Mac OS Classic clients (System 7 et +) - et bien d'autres. | ssh
183 Mot inconnu : SSH => Toutefois, VNC peut être mis dans un tunnel sur une connexion SSH ou VPN ce qui pourrait ajouter une couche de sécurité supplémentaire avec un chiffrement plus robuste. Les Clients SSH sont disponibles pour toutes les principales plates-formes, les tunnels SSH peuvent être créés à partir de clients UNIX (y compris Mac OS X), les clients Windows, Mac OS Classic clients (System 7 et +) - et bien d'autres. | ssh
183 Mot inconnu : SSH => Toutefois, VNC peut être mis dans un tunnel sur une connexion SSH ou VPN ce qui pourrait ajouter une couche de sécurité supplémentaire avec un chiffrement plus robuste. Les Clients SSH sont disponibles pour toutes les principales plates-formes, les tunnels SSH peuvent être créés à partir de clients UNIX (y compris Mac OS X), les clients Windows, Mac OS Classic clients (System 7 et +) - et bien d'autres. | ssh
183 Mot inconnu : Classic => Toutefois, VNC peut être mis dans un tunnel sur une connexion SSH ou VPN ce qui pourrait ajouter une couche de sécurité supplémentaire avec un chiffrement plus robuste. Les Clients SSH sont disponibles pour toutes les principales plates-formes, les tunnels SSH peuvent être créés à partir de clients UNIX (y compris Mac OS X), les clients Windows, Mac OS Classic clients (System 7 et +) - et bien d'autres. | classic
183 Mot inconnu : System => Toutefois, VNC peut être mis dans un tunnel sur une connexion SSH ou VPN ce qui pourrait ajouter une couche de sécurité supplémentaire avec un chiffrement plus robuste. Les Clients SSH sont disponibles pour toutes les principales plates-formes, les tunnels SSH peuvent être créés à partir de clients UNIX (y compris Mac OS X), les clients Windows, Mac OS Classic clients (System 7 et +) - et bien d'autres. | system
183 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Toutefois, VNC peut être mis dans un tunnel sur une connexion SSH ou VPN ce qui pourrait ajouter une couche de sécurité supplémentaire avec un chiffrement plus robuste. Les Clients SSH sont disponibles pour toutes les principales plates-formes, les tunnels SSH peuvent être créés à partir de clients UNIX (y compris Mac OS X), les clients Windows, Mac OS Classic clients (System 7 et +) - et bien d'autres. |  -  => suggestions : [' – ', ' — ', ' − ']

191 Mot inconnu : VNC => **Bien que certaines personnes croient que VNC peut facilement être utilisé pour casser un système, généralement un utilisateur doit activer explicitement l'accès à distance pour les ports utilisés par VNC afin d'être piraté**. En d'autres termes, un système exécutant VNC sur un réseau ne peut être accessible depuis l'extérieur de ce réseau, sauf si l'utilisateur spécifie le contraire (comme dans les paramètres de configuration du routeur) - ou qu'une autre machine du réseau puisse servir de relais au piratage de la machine vnc (attaque utilisée par Kevin Mitnick). | vnc
191 Mot inconnu : VNC => **Bien que certaines personnes croient que VNC peut facilement être utilisé pour casser un système, généralement un utilisateur doit activer explicitement l'accès à distance pour les ports utilisés par VNC afin d'être piraté**. En d'autres termes, un système exécutant VNC sur un réseau ne peut être accessible depuis l'extérieur de ce réseau, sauf si l'utilisateur spécifie le contraire (comme dans les paramètres de configuration du routeur) - ou qu'une autre machine du réseau puisse servir de relais au piratage de la machine vnc (attaque utilisée par Kevin Mitnick). | vnc
191 Mot inconnu : VNC => **Bien que certaines personnes croient que VNC peut facilement être utilisé pour casser un système, généralement un utilisateur doit activer explicitement l'accès à distance pour les ports utilisés par VNC afin d'être piraté**. En d'autres termes, un système exécutant VNC sur un réseau ne peut être accessible depuis l'extérieur de ce réseau, sauf si l'utilisateur spécifie le contraire (comme dans les paramètres de configuration du routeur) - ou qu'une autre machine du réseau puisse servir de relais au piratage de la machine vnc (attaque utilisée par Kevin Mitnick). | vnc
191 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => **Bien que certaines personnes croient que VNC peut facilement être utilisé pour casser un système, généralement un utilisateur doit activer explicitement l'accès à distance pour les ports utilisés par VNC afin d'être piraté**. En d'autres termes, un système exécutant VNC sur un réseau ne peut être accessible depuis l'extérieur de ce réseau, sauf si l'utilisateur spécifie le contraire (comme dans les paramètres de configuration du routeur) - ou qu'une autre machine du réseau puisse servir de relais au piratage de la machine vnc (attaque utilisée par Kevin Mitnick). |  -  => suggestions : [' – ', ' — ', ' − ']
191 Mot inconnu : vnc => **Bien que certaines personnes croient que VNC peut facilement être utilisé pour casser un système, généralement un utilisateur doit activer explicitement l'accès à distance pour les ports utilisés par VNC afin d'être piraté**. En d'autres termes, un système exécutant VNC sur un réseau ne peut être accessible depuis l'extérieur de ce réseau, sauf si l'utilisateur spécifie le contraire (comme dans les paramètres de configuration du routeur) - ou qu'une autre machine du réseau puisse servir de relais au piratage de la machine vnc (attaque utilisée par Kevin Mitnick). | vnc

193 Mot inconnu : IPsec => Vous pouvez aussi songer à IPsec. | ipsec

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

206 Mot inconnu : xstartup => Effectuer les modifications suivantes dans le fichier xstartup de chaque utilisateur pour lequel on souhaite une session distante indépendante soit ~/.vnc/xstartup : | xstartup
206 Mot inconnu : vnc => Effectuer les modifications suivantes dans le fichier xstartup de chaque utilisateur pour lequel on souhaite une session distante indépendante soit ~/.vnc/xstartup : | vnc
206 Mot inconnu : xstartup => Effectuer les modifications suivantes dans le fichier xstartup de chaque utilisateur pour lequel on souhaite une session distante indépendante soit ~/.vnc/xstartup : | xstartup

208 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - décommenter les lignes - unset SESSION_MANAGER et exec /etc/X11/xinit/xinitrc | -  => suggestions : ['—\xa0', '–\xa0']
208 Mot inconnu : décommenter => - décommenter les lignes - unset SESSION_MANAGER et exec /etc/X11/xinit/xinitrc | décommenter
208 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => - décommenter les lignes - unset SESSION_MANAGER et exec /etc/X11/xinit/xinitrc |  -  => suggestions : [' – ', ' — ', ' − ']
208 Mot inconnu : unset => - décommenter les lignes - unset SESSION_MANAGER et exec /etc/X11/xinit/xinitrc | unset
208 Mot inconnu : SESSION_MANAGER => - décommenter les lignes - unset SESSION_MANAGER et exec /etc/X11/xinit/xinitrc | session_manager
208 Mot inconnu : exec => - décommenter les lignes - unset SESSION_MANAGER et exec /etc/X11/xinit/xinitrc | exec

209 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - ajouter la ligne - unset DBUS_SESSION_BUS_ADDRESS après la ligne unset SESSION_MANAGER | -  => suggestions : ['—\xa0', '–\xa0']
209 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => - ajouter la ligne - unset DBUS_SESSION_BUS_ADDRESS après la ligne unset SESSION_MANAGER |  -  => suggestions : [' – ', ' — ', ' − ']
209 Mot inconnu : unset => - ajouter la ligne - unset DBUS_SESSION_BUS_ADDRESS après la ligne unset SESSION_MANAGER | unset
209 Mot inconnu : DBUS_SESSION_BUS_ADDRESS => - ajouter la ligne - unset DBUS_SESSION_BUS_ADDRESS après la ligne unset SESSION_MANAGER | dbus_session_bus_address
209 Mot inconnu : unset => - ajouter la ligne - unset DBUS_SESSION_BUS_ADDRESS après la ligne unset SESSION_MANAGER | unset
209 Mot inconnu : SESSION_MANAGER => - ajouter la ligne - unset DBUS_SESSION_BUS_ADDRESS après la ligne unset SESSION_MANAGER | session_manager

212 Typographie : points de suspension. Utilisez le caractère dédié. => Ne pas s'inquiéter si les menus mettent un peu de temps à apparaître... | ... => suggestions : ['…']

214 Mot inconnu : NB => NB : L'erreur error opening security policy file /etc/X11/xserver/SecurityPolicy n'est pas bloquante... | nb
214 Mot inconnu : error => NB : L'erreur error opening security policy file /etc/X11/xserver/SecurityPolicy n'est pas bloquante... | error
214 Mot inconnu : opening => NB : L'erreur error opening security policy file /etc/X11/xserver/SecurityPolicy n'est pas bloquante... | opening
214 Mot inconnu : security => NB : L'erreur error opening security policy file /etc/X11/xserver/SecurityPolicy n'est pas bloquante... | security
214 Mot inconnu : policy => NB : L'erreur error opening security policy file /etc/X11/xserver/SecurityPolicy n'est pas bloquante... | policy
214 Typographie : points de suspension. Utilisez le caractère dédié. => NB : L'erreur error opening security policy file /etc/X11/xserver/SecurityPolicy n'est pas bloquante... | ... => suggestions : ['…']

218 Mot inconnu : VNC => ===== VNC en plein écran ===== | vnc

219 Mot inconnu : F8 => La touche **F8** de votre clavier permet de contrôler VNC avec un menu contextuel qui apparaît sur frappe de la touche. Elle est très pratique car elle vous permet de quitter le mode plein écran par exemple. | f8
219 Mot inconnu : VNC => La touche **F8** de votre clavier permet de contrôler VNC avec un menu contextuel qui apparaît sur frappe de la touche. Elle est très pratique car elle vous permet de quitter le mode plein écran par exemple. | vnc
219 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => La touche **F8** de votre clavier permet de contrôler VNC avec un menu contextuel qui apparaît sur frappe de la touche. Elle est très pratique car elle vous permet de quitter le mode plein écran par exemple. |  car => suggestions : [', car']

222 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

229 Accord de nombre erroné : « champs » est au pluriel. => Puis dans le champs //Touches de la souris// décocher la case « contrôle du pointeur à l'aide du pavé numérique ». S'il est désactivé, activez-le et re-désactivez-le. | le => suggestions : ['les']
229 Accord de nombre erroné : « champs » devrait être au singulier. => Puis dans le champs //Touches de la souris// décocher la case « contrôle du pointeur à l'aide du pavé numérique ». S'il est désactivé, activez-le et re-désactivez-le. | champs => suggestions : ['champ']
233 Mot inconnu : __Ctrl => <note tip>Autre possibilité : __Ctrl + Maj + VerrNum__ active/désactive l'activation des touches de souris</note> | __ctrl
233 Mot inconnu : VerrNum__ => <note tip>Autre possibilité : __Ctrl + Maj + VerrNum__ active/désactive l'activation des touches de souris</note> | verrnum__

248 Mot inconnu : __et => **et surtout n'oubliez pas d'accepter les invitations reçues… __et attendues__** | __et
248 Mot inconnu : attendues__ => **et surtout n'oubliez pas d'accepter les invitations reçues… __et attendues__** | attendues__
