
4 Mot inconnu : Jinzora => ====== Jinzora : diffuser votre musique sur internet ====== | jinzora
49 Mot inconnu : necessaires => Dans la section Directory adapté (celle dédiée au répertoire racine du virtual-host), ajouter les php value necessaires : | necessaires

64 Mot inconnu : Jinzora => ==== Installation du logiciel Jinzora ==== | jinzora

66 Mot inconnu : Jinzora => Jinzora n'est pas dans les dépots de base ; il va donc falloir récupérer la dernière version stable du logiciel directement sur internet, à l'adresse http://en.jinzora.com/download | jinzora
66 Mot inconnu : dépots => Jinzora n'est pas dans les dépots de base ; il va donc falloir récupérer la dernière version stable du logiciel directement sur internet, à l'adresse http://en.jinzora.com/download | dépots

74 Mot inconnu : Jinzora => Déplacer le dossier contenant les fichiers de Jinzora dans le répertoire du serveur web Apache | jinzora

80 Mot inconnu : sh => <note important>Le script //configure.sh// fourni par jinzora met les droits d'écriture pour tout le monde sur certains fichiers. Pour ceux que ca gêne, il semble possible de le modifier pour mettre ceci : | sh
80 Mot inconnu : jinzora => <note important>Le script //configure.sh// fourni par jinzora met les droits d'écriture pour tout le monde sur certains fichiers. Pour ceux que ca gêne, il semble possible de le modifier pour mettre ceci : | jinzora
80 Mot inconnu : ca => <note important>Le script //configure.sh// fourni par jinzora met les droits d'écriture pour tout le monde sur certains fichiers. Pour ceux que ca gêne, il semble possible de le modifier pour mettre ceci : | ca

82 Guillemets typographiques ouvrants. => ''chown -R root:www-data settings.php jukebox/settings.php temp/ data/'' | '' => suggestions : ['«\xa0', '“']
82 Mot inconnu : chown => ''chown -R root:www-data settings.php jukebox/settings.php temp/ data/'' | chown
82 Il manque un espace à côté du tiret. => ''chown -R root:www-data settings.php jukebox/settings.php temp/ data/'' |  - => suggestions : [' – ', ' — ']
82 Mot inconnu : root => ''chown -R root:www-data settings.php jukebox/settings.php temp/ data/'' | root
82 Il manque un espace. => ''chown -R root:www-data settings.php jukebox/settings.php temp/ data/'' | www-data => suggestions : [' www-data']
82 Mot inconnu : settings => ''chown -R root:www-data settings.php jukebox/settings.php temp/ data/'' | settings
82 Mot inconnu : php => ''chown -R root:www-data settings.php jukebox/settings.php temp/ data/'' | php
82 Mot inconnu : settings => ''chown -R root:www-data settings.php jukebox/settings.php temp/ data/'' | settings
82 Mot inconnu : php => ''chown -R root:www-data settings.php jukebox/settings.php temp/ data/'' | php
82 Mot inconnu : temp => ''chown -R root:www-data settings.php jukebox/settings.php temp/ data/'' | temp

84 Guillemets typographiques ouvrants. => ''chmod 775 settings.php'' | '' => suggestions : ['«\xa0', '“']
84 Mot inconnu : chmod => ''chmod 775 settings.php'' | chmod
84 Mot inconnu : settings => ''chmod 775 settings.php'' | settings
84 Mot inconnu : php => ''chmod 775 settings.php'' | php
84 Guillemets typographiques fermants. => ''chmod 775 settings.php'' | '' => suggestions : ['\xa0»', '”']

86 Guillemets typographiques ouvrants. => ''chmod 775 jukebox/settings.php'' | '' => suggestions : ['«\xa0', '“']
86 Mot inconnu : chmod => ''chmod 775 jukebox/settings.php'' | chmod
86 Si “jukebox/settings” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => ''chmod 775 jukebox/settings.php'' | 775 jukebox/settings => suggestions : ['775\xa0jukebox/settings']
86 Mot inconnu : settings => ''chmod 775 jukebox/settings.php'' | settings
86 Mot inconnu : php => ''chmod 775 jukebox/settings.php'' | php
86 Guillemets typographiques fermants. => ''chmod 775 jukebox/settings.php'' | '' => suggestions : ['\xa0»', '”']

88 Guillemets typographiques ouvrants. => ''chmod 775 -R temp/'' | '' => suggestions : ['«\xa0', '“']
88 Mot inconnu : chmod => ''chmod 775 -R temp/'' | chmod
88 Il manque un espace à côté du tiret. => ''chmod 775 -R temp/'' |  - => suggestions : [' – ', ' — ']
88 Mot inconnu : temp => ''chmod 775 -R temp/'' | temp

90 Guillemets typographiques ouvrants. => ''chmod 775 -R data/''</note> | '' => suggestions : ['«\xa0', '“']
90 Mot inconnu : chmod => ''chmod 775 -R data/''</note> | chmod
90 Il manque un espace à côté du tiret. => ''chmod 775 -R data/''</note> |  - => suggestions : [' – ', ' — ']

93 Mot inconnu : sudo => sudo sh configure.sh</code> | sudo
93 Mot inconnu : sh => sudo sh configure.sh</code> | sh
93 Mot inconnu : sh => sudo sh configure.sh</code> | sh

102 Mot inconnu : Jinzora => ==== Paramétrage du logiciel Jinzora ==== | jinzora

106 Mot inconnu : Etape => === Etape 2 / Requirements === | etape
106 Mot inconnu : Requirements => === Etape 2 / Requirements === | requirements
108 Guillemets typographiques ouvrants. => Il s'agit de vérifier que les indicateurs sont bien au vert ; il est normal que 'PHP PostgreSQL Support' et 'DBX Support' ne soient pas installés puisque nous n'utiliserons pas ces bases de données. Pour le pdf, c'est également normal. | ' => suggestions : ['“', '‘', '‹']
108 Mot inconnu : PostgreSQL => Il s'agit de vérifier que les indicateurs sont bien au vert ; il est normal que 'PHP PostgreSQL Support' et 'DBX Support' ne soient pas installés puisque nous n'utiliserons pas ces bases de données. Pour le pdf, c'est également normal. | postgresql
108 Guillemets typographiques fermants. => Il s'agit de vérifier que les indicateurs sont bien au vert ; il est normal que 'PHP PostgreSQL Support' et 'DBX Support' ne soient pas installés puisque nous n'utiliserons pas ces bases de données. Pour le pdf, c'est également normal. | ' => suggestions : ['”', '’', '›']
108 Guillemets typographiques ouvrants. => Il s'agit de vérifier que les indicateurs sont bien au vert ; il est normal que 'PHP PostgreSQL Support' et 'DBX Support' ne soient pas installés puisque nous n'utiliserons pas ces bases de données. Pour le pdf, c'est également normal. | ' => suggestions : ['“', '‘', '‹']
108 Mot inconnu : DBX => Il s'agit de vérifier que les indicateurs sont bien au vert ; il est normal que 'PHP PostgreSQL Support' et 'DBX Support' ne soient pas installés puisque nous n'utiliserons pas ces bases de données. Pour le pdf, c'est également normal. | dbx
108 Guillemets typographiques fermants. => Il s'agit de vérifier que les indicateurs sont bien au vert ; il est normal que 'PHP PostgreSQL Support' et 'DBX Support' ne soient pas installés puisque nous n'utiliserons pas ces bases de données. Pour le pdf, c'est également normal. | ' => suggestions : ['”', '’', '›']

111 Mot inconnu : Etape => === Etape 5 / Main Settings === | etape
111 Mot inconnu : Settings => === Etape 5 / Main Settings === | settings

113 Mot inconnu : Jinzora => Saisir le nom d'utilisateur et le mot de passe de l'administrateur du logiciel Jinzora ; bien choisir //Database// comme Backend type puisque nous utiliserons la base de données Mysql. | jinzora
113 Mot inconnu : Database => Saisir le nom d'utilisateur et le mot de passe de l'administrateur du logiciel Jinzora ; bien choisir //Database// comme Backend type puisque nous utiliserons la base de données Mysql. | database
113 Mot inconnu : Backend => Saisir le nom d'utilisateur et le mot de passe de l'administrateur du logiciel Jinzora ; bien choisir //Database// comme Backend type puisque nous utiliserons la base de données Mysql. | backend
113 Mot inconnu : Mysql => Saisir le nom d'utilisateur et le mot de passe de l'administrateur du logiciel Jinzora ; bien choisir //Database// comme Backend type puisque nous utiliserons la base de données Mysql. | mysql

115 Mot inconnu : Frontend => Suivant vos goûts, choisissez le Frontend et le Style qui seront appliqués à l'application et l manière dont serons géré | frontend
115 Ceci est un verbe à la 1ʳᵉ personne du pluriel. Sujet (“nous” ou équivalent) introuvable. => Suivant vos goûts, choisissez le Frontend et le Style qui seront appliqués à l'application et l manière dont serons géré | serons => suggestions : ['seront']

118 Mot inconnu : Etape => === Etape 6 / Backend Setup === | etape
118 Mot inconnu : Backend => === Etape 6 / Backend Setup === | backend
118 Mot inconnu : Setup => === Etape 6 / Backend Setup === | setup

120 Mot inconnu : root => Saisir les identifiants du compte root de la base MySql ; choisir true dans la zone 'Create Database' pour que la base de données soit créée automatiquement. | root
120 Mot inconnu : MySql => Saisir les identifiants du compte root de la base MySql ; choisir true dans la zone 'Create Database' pour que la base de données soit créée automatiquement. | mysql
120 Mot inconnu : true => Saisir les identifiants du compte root de la base MySql ; choisir true dans la zone 'Create Database' pour que la base de données soit créée automatiquement. | true
120 Guillemets typographiques ouvrants. => Saisir les identifiants du compte root de la base MySql ; choisir true dans la zone 'Create Database' pour que la base de données soit créée automatiquement. | ' => suggestions : ['“', '‘', '‹']
120 Mot inconnu : Create => Saisir les identifiants du compte root de la base MySql ; choisir true dans la zone 'Create Database' pour que la base de données soit créée automatiquement. | create
120 Mot inconnu : Database => Saisir les identifiants du compte root de la base MySql ; choisir true dans la zone 'Create Database' pour que la base de données soit créée automatiquement. | database
120 Guillemets typographiques fermants. => Saisir les identifiants du compte root de la base MySql ; choisir true dans la zone 'Create Database' pour que la base de données soit créée automatiquement. | ' => suggestions : ['”', '’', '›']

123 Mot inconnu : Etape => === Etape 7 / Import media === | etape
125 Il manque les traits d’union. => Il vous suffit de parcourir les répertoires de votre disque dur pour en importer les fichiers musicaux. Attention : il faut impérativement que le serveur ait les droits d'accès à ces fichiers musicaux. C'est à dire que www-data (ou moins sécurisé 'other') ait au minimum les droits de lecture sur les fichiers ! | c'est à dire => suggestions : ['C’est-à-dire']
125 Guillemets typographiques ouvrants. => Il vous suffit de parcourir les répertoires de votre disque dur pour en importer les fichiers musicaux. Attention : il faut impérativement que le serveur ait les droits d'accès à ces fichiers musicaux. C'est à dire que www-data (ou moins sécurisé 'other') ait au minimum les droits de lecture sur les fichiers ! | ' => suggestions : ['“', '‘', '‹']
125 Mot inconnu : other => Il vous suffit de parcourir les répertoires de votre disque dur pour en importer les fichiers musicaux. Attention : il faut impérativement que le serveur ait les droits d'accès à ces fichiers musicaux. C'est à dire que www-data (ou moins sécurisé 'other') ait au minimum les droits de lecture sur les fichiers ! | other

128 Il manque un espace à côté du tiret. => Voilà, les étapes les plus sensibles ont été expliquées et c'est -déjà- la fin de l'installation ; exécuter la commande suivante pour supprimer le répertoire d'installation de Jinzora : |  - => suggestions : [' – ', ' — ']
128 Mot inconnu : Jinzora => Voilà, les étapes les plus sensibles ont été expliquées et c'est -déjà- la fin de l'installation ; exécuter la commande suivante pour supprimer le répertoire d'installation de Jinzora : | jinzora

133 Mot inconnu : Jinzora => Et après avoir exécuté cette commande, accéder à Jinzora par l'adresse [[http://127.0.0.1/jinzora2/ |http://127.0.0.1/jinzora2/]] ; il ne vous reste plus qu'à saisir vos identifiants pour accéder à votre musique ! | jinzora

140 Mot inconnu : ere => **1ere solution : Le player XSPF** | ere
140 Mot inconnu : player => **1ere solution : Le player XSPF** | player
140 Mot inconnu : XSPF => **1ere solution : Le player XSPF** | xspf

142 Mot inconnu : player => Il est possible d'utiliser le player flash XSPF (http://musicplayer.sourceforge.net) au niveau du client. Ce player est déja intégré à Jinzora. | player
142 Mot inconnu : XSPF => Il est possible d'utiliser le player flash XSPF (http://musicplayer.sourceforge.net) au niveau du client. Ce player est déja intégré à Jinzora. | xspf
142 Mot inconnu : player => Il est possible d'utiliser le player flash XSPF (http://musicplayer.sourceforge.net) au niveau du client. Ce player est déja intégré à Jinzora. | player
142 Mot inconnu : déja => Il est possible d'utiliser le player flash XSPF (http://musicplayer.sourceforge.net) au niveau du client. Ce player est déja intégré à Jinzora. | déja
142 Mot inconnu : Jinzora => Il est possible d'utiliser le player flash XSPF (http://musicplayer.sourceforge.net) au niveau du client. Ce player est déja intégré à Jinzora. | jinzora

144 Mot inconnu : player => Le player s'ouvrira dans une fenêtre popup. | player

146 Mot inconnu : jinzora2 => Pour l'utiliser il faut éditer le fichier jinzora2/settings.php comme ceci : | jinzora2
146 Mot inconnu : settings => Pour l'utiliser il faut éditer le fichier jinzora2/settings.php comme ceci : | settings
146 Mot inconnu : php => Pour l'utiliser il faut éditer le fichier jinzora2/settings.php comme ceci : | php

151 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => **2eme solution : Le player d'enricolai.com** | 2eme => suggestions : ['2ᵉ']
151 Mot inconnu : eme => **2eme solution : Le player d'enricolai.com** | eme
151 Mot inconnu : player => **2eme solution : Le player d'enricolai.com** | player
151 Mot inconnu : enricolai => **2eme solution : Le player d'enricolai.com** | enricolai

153 Mot inconnu : Player => Player très sympa, mais moins simple a mettre en oeuvre. Démo : | player
153 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Player très sympa, mais moins simple a mettre en oeuvre. Démo : | a => suggestions : ['à']
153 Mot inconnu : oeuvre => Player très sympa, mais moins simple a mettre en oeuvre. Démo : | oeuvre

156 Mot inconnu : enricolai => D'abord il faut créer un fichier enricolai.php : | enricolai
156 Mot inconnu : php => D'abord il faut créer un fichier enricolai.php : | php

159 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => copier/coller le contenu ci dessous dans gedit et sauver : | copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']
159 Il manque un trait d’union. => copier/coller le contenu ci dessous dans gedit et sauver : | ci dessous => suggestions : ['ci-dessous']
159 Mot inconnu : gedit => copier/coller le contenu ci dessous dans gedit et sauver : | gedit

355 Mot inconnu : disfonctionnement => //Attention de ne pas laisser de ligne vide avant ou après, cela créera un disfonctionnement... | disfonctionnement
355 Typographie : points de suspension. Utilisez le caractère dédié. => //Attention de ne pas laisser de ligne vide avant ou après, cela créera un disfonctionnement... | ... => suggestions : ['…']

367 Mot inconnu : player => Et voila un joli player flash ! | player

369 Mot inconnu : player => Forum qui traite de l'intégration de ce dernier player (j'ai un peu changé le code) | player
