
3 Mot inconnu : Postfix => ====== Installer Postfix en local pour un poste de travail ====== | postfix
31 Mot inconnu : configuration_serveur_dns_bind9_pour_son_poste_de_travail => [[configuration_serveur_dns_bind9_pour_son_poste_de_travail|Pour configurer un serveur DNS local avec Bind9 pour votre poste de travail]]. | configuration_serveur_dns_bind9_pour_son_poste_de_travail
31 Mot inconnu : Bind9 => [[configuration_serveur_dns_bind9_pour_son_poste_de_travail|Pour configurer un serveur DNS local avec Bind9 pour votre poste de travail]]. | bind9

33 Mot inconnu : configuration_serveur_dns_pour_son_poste_de_travail => [[configuration_serveur_dns_pour_son_poste_de_travail|Pour configurer un serveur DNS local avec Dnsmasq pour votre poste de travail]]. | configuration_serveur_dns_pour_son_poste_de_travail
33 Mot inconnu : Dnsmasq => [[configuration_serveur_dns_pour_son_poste_de_travail|Pour configurer un serveur DNS local avec Dnsmasq pour votre poste de travail]]. | dnsmasq

37 Espace(s) en fin de ligne à supprimer. => Pour créer un domaine  |   => suggestions : ['']

38 Mot inconnu : dns => dns local pour votre messagerie : | dns

52 Mot inconnu : Postfix => Vous pouvez maintenant configurer le serveur de messagerie Postfix. | postfix

65 Mot inconnu : Postfix => Choisissez le type de configuration automatique Postfix de serveur de messagerie que vous voulez faire. Ici c'est **Local Uniquement** | postfix

72 Mot inconnu : Postfix => La variable du fichier Ubuntu **/etc/mailname** et le paramètre Postfix **myorigin** sont donc paramétrés ici. | postfix
72 Mot inconnu : myorigin => La variable du fichier Ubuntu **/etc/mailname** et le paramètre Postfix **myorigin** sont donc paramétrés ici. | myorigin

77 Espace(s) en fin de ligne à supprimer. => Ici on fixe le gestionnaire de messagerie.  |   => suggestions : ['']

88 Mot inconnu : mydestination => C'est la variable **mydestination** du fichier /etc/postfix/main.cf qui est modifiée. | mydestination

97 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. => Définit sur quel réseau distribuer les courriels. | définit => suggestions : ['Définis']

100 Mot inconnu : mynetworks => C'est la variable **mynetworks** du fichier /etc/postfix/main.cf qui est modifiée. | mynetworks

105 Accord de genre erroné : « taille » est féminin. => Fixe un taille limite pour les boites aux lettres des comptes utilisateur du système. | un => suggestions : ['une']
105 Accord de genre erroné : « un » est un déterminant masculin. => Fixe un taille limite pour les boites aux lettres des comptes utilisateur du système. | taille => suggestions : ['taillé']
105 Accord erroné : « utilisateur » devrait être au pluriel. => Fixe un taille limite pour les boites aux lettres des comptes utilisateur du système. | utilisateur => suggestions : ['utilisateurs']

107 Mot inconnu : mailbox_size_limit => C'est la variable **mailbox_size_limit** du fichier /etc/postfix/main.cf qui est modifiée. | mailbox_size_limit

112 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. => Définit une extension pour des sous domaines de messagerie. | définit => suggestions : ['Définis']

114 Mot inconnu : recipient_delimiter => C'est la variable **recipient_delimiter** du fichier /etc/postfix/main.cf qui est modifiée. | recipient_delimiter

119 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. => Définit les protocoles du réseaux de transport qui doivent être utiliser. | définit => suggestions : ['Définis']
119 Accord de nombre erroné : « réseaux » devrait être au singulier. => Définit les protocoles du réseaux de transport qui doivent être utiliser. | réseaux => suggestions : ['réseau']
119 Après “être”, le verbe ne devrait pas être à l’infinitif. => Définit les protocoles du réseaux de transport qui doivent être utiliser. | utiliser => suggestions : ['utilisée', 'utilisés', 'utilisées', 'utilisé']

121 Mot inconnu : inet_protocols => C'est la variable **inet_protocols** du fichier /etc/postfix/main.cf qui est modifiée. | inet_protocols
125 Mot inconnu : Postfix => Nous remarquons que le «configurateur» de Postfix ne demande pas de préciser où les boîtes aux lettres des utilisateurs sont situées.  | postfix
125 Espace(s) en fin de ligne à supprimer. => Nous remarquons que le «configurateur» de Postfix ne demande pas de préciser où les boîtes aux lettres des utilisateurs sont situées.  |   => suggestions : ['']

146 Mot inconnu : maildir => <file># au format maildir | maildir

147 Mot inconnu : home_mailbox => home_mailbox = .local/share/courriels/arrivées/</file> | home_mailbox
147 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => home_mailbox = .local/share/courriels/arrivées/</file> |  . => suggestions : ['. ', '.']
147 Mot inconnu : share => home_mailbox = .local/share/courriels/arrivées/</file> | share

152 Mot inconnu : Postfix => Pour valider la configuration dans Postfix, tapez : | postfix

168 Mot inconnu : realname => set realname="{Prénom NOM}" | realname

169 Mot inconnu : header_cache => set header_cache=~/.mutt/cache/headers | header_cache
169 Mot inconnu : mutt => set header_cache=~/.mutt/cache/headers | mutt
169 Mot inconnu : headers => set header_cache=~/.mutt/cache/headers | headers

170 Mot inconnu : certificate_file => set certificate_file=~/.mutt/certificates | certificate_file
170 Mot inconnu : mutt => set certificate_file=~/.mutt/certificates | mutt
170 Mot inconnu : certificates => set certificate_file=~/.mutt/certificates | certificates

171 Mot inconnu : message_cachedir => set message_cachedir=~/.mutt/cache/bodies | message_cachedir
171 Mot inconnu : mutt => set message_cachedir=~/.mutt/cache/bodies | mutt

172 Mot inconnu : beep => set beep | beep

173 Mot inconnu : use_from => set use_from = yes | use_from
173 Mot inconnu : yes => set use_from = yes | yes

176 Mot inconnu : spoolfile => set spoolfile=~/.local/share/courriels/arrivées/ | spoolfile
176 Mot inconnu : share => set spoolfile=~/.local/share/courriels/arrivées/ | share

177 Mot inconnu : Mutt => # Boite aux lettres de Mutt | mutt

178 Mot inconnu : folder => set folder=~/.local/share/courriels | folder
178 Mot inconnu : share => set folder=~/.local/share/courriels | share

181 Mot inconnu : postponed => set postponed=+brouillons | postponed

185 Mot inconnu : charset => set charset=utf-8 | charset
185 Mot inconnu : utf-8 => set charset=utf-8 | utf-8

186 Mot inconnu : send_charset => set send_charset=utf-8 | send_charset
186 Mot inconnu : utf-8 => set send_charset=utf-8 | utf-8

188 Mot inconnu : date_format => set date_format="%A %d %B %Y à %I:%M:%S%p" | date_format
188 Il manque un espace. => set date_format="%A %d %B %Y à %I:%M:%S%p" | a => suggestions : [' A']
188 Il manque un espace. => set date_format="%A %d %B %Y à %I:%M:%S%p" | d => suggestions : [' d']
188 Il manque un espace. => set date_format="%A %d %B %Y à %I:%M:%S%p" | b => suggestions : [' B']
188 Il manque un espace. => set date_format="%A %d %B %Y à %I:%M:%S%p" | y => suggestions : [' Y']
188 Confusion probable : “à” est une préposition. Pour le verbe avoir, écrivez “a”. => set date_format="%A %d %B %Y à %I:%M:%S%p" | à => suggestions : ['a']
188 Il manque un espace. => set date_format="%A %d %B %Y à %I:%M:%S%p" | i => suggestions : [' I']
188 Il manque un espace. => set date_format="%A %d %B %Y à %I:%M:%S%p" | m => suggestions : [' M']
188 Il manque un espace. => set date_format="%A %d %B %Y à %I:%M:%S%p" | s => suggestions : [' S']
188 Il manque un espace. => set date_format="%A %d %B %Y à %I:%M:%S%p" | p => suggestions : [' p']
188 Guillemets typographiques fermants. => set date_format="%A %d %B %Y à %I:%M:%S%p" | " => suggestions : ['\xa0»', '”']

189 Mot inconnu : index_format => set index_format="%4C %Z %{%b %d} %-15.15F (%4l) %s" | index_format
189 Il manque un espace. => set index_format="%4C %Z %{%b %d} %-15.15F (%4l) %s" | 4c => suggestions : [' 4C']
189 Il manque un espace. => set index_format="%4C %Z %{%b %d} %-15.15F (%4l) %s" | z => suggestions : [' Z']
189 Il manque un espace. => set index_format="%4C %Z %{%b %d} %-15.15F (%4l) %s" | { => suggestions : [' {']
189 Il manque un espace. => set index_format="%4C %Z %{%b %d} %-15.15F (%4l) %s" | b => suggestions : [' b']
189 Il manque un espace. => set index_format="%4C %Z %{%b %d} %-15.15F (%4l) %s" | d => suggestions : [' d']
189 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => set index_format="%4C %Z %{%b %d} %-15.15F (%4l) %s" | -15 => suggestions : ['−15', '– 15', '— 15']
189 Il manque un espace. => set index_format="%4C %Z %{%b %d} %-15.15F (%4l) %s" | 4l => suggestions : [' 4l']
189 Il manque un espace. => set index_format="%4C %Z %{%b %d} %-15.15F (%4l) %s" | s => suggestions : [' s']
189 Guillemets typographiques fermants. => set index_format="%4C %Z %{%b %d} %-15.15F (%4l) %s" | " => suggestions : ['\xa0»', '”']

190 Mot inconnu : fast_reply => set fast_reply | fast_reply

191 Mot inconnu : include => set include=yes | include
191 Mot inconnu : yes => set include=yes | yes

194 Mot inconnu : sendmail => set sendmail="/usr/sbin/sendmail" | sendmail

246 Accord de nombre erroné : « courriels » devrait être au singulier. => Vous avez expédié un courriels :-) | courriels => suggestions : ['courriel']

251 Mot inconnu : smtp => Changer <file>smtp      inet  n       -       y       -       -       smtpd</file> | smtp
251 Espace(s) surnuméraire(s) à supprimer. => Changer <file>smtp      inet  n       -       y       -       -       smtpd</file> |        => suggestions : [' ']
251 Mot inconnu : inet => Changer <file>smtp      inet  n       -       y       -       -       smtpd</file> | inet
251 Espace(s) surnuméraire(s) à supprimer. => Changer <file>smtp      inet  n       -       y       -       -       smtpd</file> |    => suggestions : [' ']
251 Espace(s) surnuméraire(s) à supprimer. => Changer <file>smtp      inet  n       -       y       -       -       smtpd</file> |         => suggestions : [' ']
251 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Changer <file>smtp      inet  n       -       y       -       -       smtpd</file> |  -  => suggestions : [' – ', ' — ', ' − ']
251 Espace(s) surnuméraire(s) à supprimer. => Changer <file>smtp      inet  n       -       y       -       -       smtpd</file> |         => suggestions : [' ']
251 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Changer <file>smtp      inet  n       -       y       -       -       smtpd</file> |  -  => suggestions : [' – ', ' — ', ' − ']
251 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Changer <file>smtp      inet  n       -       y       -       -       smtpd</file> |  -  => suggestions : [' – ', ' — ', ' − ']
251 Mot inconnu : smtpd => Changer <file>smtp      inet  n       -       y       -       -       smtpd</file> | smtpd

254 Espace(s) surnuméraire(s) à supprimer. => <file>587     inet    n       -       y       -       -       smtpd |       => suggestions : [' ']
254 Mot inconnu : inet => <file>587     inet    n       -       y       -       -       smtpd | inet
254 Espace(s) surnuméraire(s) à supprimer. => <file>587     inet    n       -       y       -       -       smtpd |      => suggestions : [' ']
254 Espace(s) surnuméraire(s) à supprimer. => <file>587     inet    n       -       y       -       -       smtpd |         => suggestions : [' ']
254 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <file>587     inet    n       -       y       -       -       smtpd |  -  => suggestions : [' – ', ' — ', ' − ']
254 Espace(s) surnuméraire(s) à supprimer. => <file>587     inet    n       -       y       -       -       smtpd |         => suggestions : [' ']
254 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <file>587     inet    n       -       y       -       -       smtpd |  -  => suggestions : [' – ', ' — ', ' − ']
254 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <file>587     inet    n       -       y       -       -       smtpd |  -  => suggestions : [' – ', ' — ', ' − ']
254 Mot inconnu : smtpd => <file>587     inet    n       -       y       -       -       smtpd | smtpd

257 Mot inconnu : Postfix => Redémarrage de Postfix pour valider les changements : | postfix

293 Mot inconnu : smtpd_banner => Vous pouvez modifier la directive <file>smtpd_banner = $myhostname ESMTP (Courriels)</file> dans le fichier main.cf si vous voulez plus de sécurité. Cela retournera lors de la connexion telnet sur le port 587 : | smtpd_banner
293 Mot inconnu : myhostname => Vous pouvez modifier la directive <file>smtpd_banner = $myhostname ESMTP (Courriels)</file> dans le fichier main.cf si vous voulez plus de sécurité. Cela retournera lors de la connexion telnet sur le port 587 : | myhostname
293 Mot inconnu : ESMTP => Vous pouvez modifier la directive <file>smtpd_banner = $myhostname ESMTP (Courriels)</file> dans le fichier main.cf si vous voulez plus de sécurité. Cela retournera lors de la connexion telnet sur le port 587 : | esmtp
293 Il manque un espace. => Vous pouvez modifier la directive <file>smtpd_banner = $myhostname ESMTP (Courriels)</file> dans le fichier main.cf si vous voulez plus de sécurité. Cela retournera lors de la connexion telnet sur le port 587 : | cf => suggestions : [' cf']
293 Mot inconnu : telnet => Vous pouvez modifier la directive <file>smtpd_banner = $myhostname ESMTP (Courriels)</file> dans le fichier main.cf si vous voulez plus de sécurité. Cela retournera lors de la connexion telnet sur le port 587 : | telnet

299 Mot inconnu : TLS => ==== Mettre en place la connexion TLS ==== | tls

301 Mot inconnu : TLS => <file># TLS pour le serveur smtpd de Postfix | tls
301 Mot inconnu : smtpd => <file># TLS pour le serveur smtpd de Postfix | smtpd
301 Mot inconnu : Postfix => <file># TLS pour le serveur smtpd de Postfix | postfix

303 Mot inconnu : tls_random_source => tls_random_source = dev:/dev/urandom | tls_random_source
303 Mot inconnu : dev => tls_random_source = dev:/dev/urandom | dev

304 Mot inconnu : TLS => # Active le protocole de cryptage TLS | tls

305 Mot inconnu : smtpd_use_tls => smtpd_use_tls = yes | smtpd_use_tls
305 Mot inconnu : yes => smtpd_use_tls = yes | yes

306 Ceci est un verbe à la 1ʳᵉ personne du pluriel. Sujet (“nous” ou équivalent) introuvable. => # N'autorise que les connections TLS | connections => suggestions : ['connectaient']
306 Mot inconnu : TLS => # N'autorise que les connections TLS | tls

307 Mot inconnu : smtpd_tls_auth_only => smtpd_tls_auth_only = yes | smtpd_tls_auth_only
307 Mot inconnu : yes => smtpd_tls_auth_only = yes | yes

309 Mot inconnu : smtpd_tls_security_level => smtpd_tls_security_level = may | smtpd_tls_security_level
309 Mot inconnu : may => smtpd_tls_security_level = may | may

311 Mot inconnu : smtpd_tls_cert_file => smtpd_tls_cert_file = /etc/ssl/certs/ssl-cert-snakeoil.pem | smtpd_tls_cert_file

312 Mot inconnu : smtpd_tls_key_file => smtpd_tls_key_file = /etc/ssl/private/ssl-cert-snakeoil.key | smtpd_tls_key_file

314 Mot inconnu : TLS => # TLS pour le client | tls

315 Mot inconnu : TLS => # Active le protocole de cryptage TLS | tls

316 Mot inconnu : smtp_use_tls => smtp_use_tls = yes | smtp_use_tls
316 Mot inconnu : yes => smtp_use_tls = yes | yes

318 Mot inconnu : smtp_tls_security_level => smtp_tls_security_level = may | smtp_tls_security_level
318 Mot inconnu : may => smtp_tls_security_level = may | may

320 Mot inconnu : smtp_tls_CApath => smtp_tls_CApath = /etc/ssl/certs | smtp_tls_capath

322 Mot inconnu : smtp_tls_session_cache_database => smtp_tls_session_cache_database = btree:${data_directory}/smtp_scache</file> | smtp_tls_session_cache_database
322 Mot inconnu : btree => smtp_tls_session_cache_database = btree:${data_directory}/smtp_scache</file> | btree
322 Mot inconnu : data_directory => smtp_tls_session_cache_database = btree:${data_directory}/smtp_scache</file> | data_directory
322 Mot inconnu : smtp_scache => smtp_tls_session_cache_database = btree:${data_directory}/smtp_scache</file> | smtp_scache

324 Mot inconnu : TLS => === Tester le fonctionnement de TLS === | tls

360 Mot inconnu : TLS => Pour vous connecter en TLS : | tls

398 Ceci est un verbe à la 1ʳᵉ personne du pluriel. Sujet (“nous” ou équivalent) introuvable. => === Bloquer les connections non TLS === | connections => suggestions : ['connectaient']
398 Mot inconnu : TLS => === Bloquer les connections non TLS === | tls

402 Espace(s) surnuméraire(s) à supprimer. => <file>#587      inet  n       -       y       -       -       smtpd |        => suggestions : [' ']
402 Mot inconnu : inet => <file>#587      inet  n       -       y       -       -       smtpd | inet
402 Espace(s) surnuméraire(s) à supprimer. => <file>#587      inet  n       -       y       -       -       smtpd |    => suggestions : [' ']
402 Espace(s) surnuméraire(s) à supprimer. => <file>#587      inet  n       -       y       -       -       smtpd |         => suggestions : [' ']
402 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <file>#587      inet  n       -       y       -       -       smtpd |  -  => suggestions : [' – ', ' — ', ' − ']
402 Espace(s) surnuméraire(s) à supprimer. => <file>#587      inet  n       -       y       -       -       smtpd |         => suggestions : [' ']
402 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <file>#587      inet  n       -       y       -       -       smtpd |  -  => suggestions : [' – ', ' — ', ' − ']
402 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <file>#587      inet  n       -       y       -       -       smtpd |  -  => suggestions : [' – ', ' — ', ' − ']
402 Mot inconnu : smtpd => <file>#587      inet  n       -       y       -       -       smtpd | smtpd

403 Mot inconnu : content_filter => #  -o content_filter=dksign:[127.0.0.1]:12028 | content_filter
403 Mot inconnu : dksign => #  -o content_filter=dksign:[127.0.0.1]:12028 | dksign
403 Formatage des grands nombres. => #  -o content_filter=dksign:[127.0.0.1]:12028 | 12028 => suggestions : ['12\xa0028']

405 Mot inconnu : submission => submission inet n       -       y       -       -       smtpd | submission
405 Mot inconnu : inet => submission inet n       -       y       -       -       smtpd | inet
405 Espace(s) surnuméraire(s) à supprimer. => submission inet n       -       y       -       -       smtpd |         => suggestions : [' ']
405 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => submission inet n       -       y       -       -       smtpd |  -  => suggestions : [' – ', ' — ', ' − ']
405 Espace(s) surnuméraire(s) à supprimer. => submission inet n       -       y       -       -       smtpd |         => suggestions : [' ']
405 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => submission inet n       -       y       -       -       smtpd |  -  => suggestions : [' – ', ' — ', ' − ']
405 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => submission inet n       -       y       -       -       smtpd |  -  => suggestions : [' – ', ' — ', ' − ']
405 Mot inconnu : smtpd => submission inet n       -       y       -       -       smtpd | smtpd

411 Mot inconnu : smtpd_client_restrictions => #  -o smtpd_client_restrictions=$mua_client_restrictions | smtpd_client_restrictions
411 Mot inconnu : mua_client_restrictions => #  -o smtpd_client_restrictions=$mua_client_restrictions | mua_client_restrictions

412 Mot inconnu : smtpd_helo_restrictions => #  -o smtpd_helo_restrictions=$mua_helo_restrictions | smtpd_helo_restrictions
412 Mot inconnu : mua_helo_restrictions => #  -o smtpd_helo_restrictions=$mua_helo_restrictions | mua_helo_restrictions

413 Mot inconnu : smtpd_sender_restrictions => #  -o smtpd_sender_restrictions=$mua_sender_restrictions | smtpd_sender_restrictions
413 Mot inconnu : mua_sender_restrictions => #  -o smtpd_sender_restrictions=$mua_sender_restrictions | mua_sender_restrictions

419 Mot inconnu : TLS => === Vérifier le blocage des connexions non TLS === | tls

420 Mot inconnu : telnet => Tester la connexion telnet : | telnet

422 Espace(s) en fin de ligne à supprimer. => retourne                                 |                                  => suggestions : ['']

454 Mot inconnu : connection => Tester la connection TLS : | connection
454 Mot inconnu : TLS => Tester la connection TLS : | tls

487 Espace(s) en fin de ligne à supprimer. => Vos échanges de courriels sont maintenant cryptés lors du transport en SMTP.  |   => suggestions : ['']

489 Mot inconnu : renforcer_la_securite_du_cryptage_tls_dans_postfix => On peut encore [[renforcer_la_securite_du_cryptage_tls_dans_postfix|Renforcer la sécurité du cryptage TLS dans Postfix]]. | renforcer_la_securite_du_cryptage_tls_dans_postfix
489 Mot inconnu : TLS => On peut encore [[renforcer_la_securite_du_cryptage_tls_dans_postfix|Renforcer la sécurité du cryptage TLS dans Postfix]]. | tls
489 Mot inconnu : Postfix => On peut encore [[renforcer_la_securite_du_cryptage_tls_dans_postfix|Renforcer la sécurité du cryptage TLS dans Postfix]]. | postfix

494 Mot inconnu : SASL => ==== Mettre en place l'authentification SASL ==== | sasl

495 Accord erroné avec “façon” : l’adjectif devrait être au féminin singulier. => Si vous voulez pousser la sécurité à l'extrême, vous pouvez authentifier vos utilisateurs de façon plus poussé pour la messagerie. | poussé => suggestions : ['poussée']

500 Mot inconnu : Postfix => == Postfix doit être membre du groupe sasl == | postfix
500 Mot inconnu : sasl => == Postfix doit être membre du groupe sasl == | sasl
505 Mot inconnu : postfix => Pour ajouter l'utilisateur «postfix» au groupe sasl, tapez dans un [[terminal]] : | postfix
505 Mot inconnu : sasl => Pour ajouter l'utilisateur «postfix» au groupe sasl, tapez dans un [[terminal]] : | sasl

508 Mot inconnu : Postfix => === Voir quels sont les types d'authentifications acceptés par Postfix === | postfix

509 Mot inconnu : smtpd => Pour le serveur smtpd de Postfix : | smtpd
509 Mot inconnu : Postfix => Pour le serveur smtpd de Postfix : | postfix

515 Mot inconnu : smtp => Pour le client smtp de Posfix : | smtp
515 Mot inconnu : Posfix => Pour le client smtp de Posfix : | posfix

520 Mot inconnu : smtpd => === Configurons le serveur smtpd de Postfix pour accepter l'authentification SASL Cyrius === | smtpd
520 Mot inconnu : Postfix => === Configurons le serveur smtpd de Postfix pour accepter l'authentification SASL Cyrius === | postfix
520 Mot inconnu : SASL => === Configurons le serveur smtpd de Postfix pour accepter l'authentification SASL Cyrius === | sasl
520 Mot inconnu : Cyrius => === Configurons le serveur smtpd de Postfix pour accepter l'authentification SASL Cyrius === | cyrius

521 Mot inconnu : SASL => Afin de permettre l'authentification SASL Cyrius par Postfix, il va être nécessaire de modifier la configuration générale. Nous allons ajouter les options suivantes à main.cf afin de n'autoriser l'accès au SMTP qu'aux utilisateurs identifiés (par un login qui est leur adresse e-mail, et le mot de passe de ce compte e-mail). | sasl
521 Mot inconnu : Cyrius => Afin de permettre l'authentification SASL Cyrius par Postfix, il va être nécessaire de modifier la configuration générale. Nous allons ajouter les options suivantes à main.cf afin de n'autoriser l'accès au SMTP qu'aux utilisateurs identifiés (par un login qui est leur adresse e-mail, et le mot de passe de ce compte e-mail). | cyrius
521 Mot inconnu : Postfix => Afin de permettre l'authentification SASL Cyrius par Postfix, il va être nécessaire de modifier la configuration générale. Nous allons ajouter les options suivantes à main.cf afin de n'autoriser l'accès au SMTP qu'aux utilisateurs identifiés (par un login qui est leur adresse e-mail, et le mot de passe de ce compte e-mail). | postfix
521 Il manque un espace. => Afin de permettre l'authentification SASL Cyrius par Postfix, il va être nécessaire de modifier la configuration générale. Nous allons ajouter les options suivantes à main.cf afin de n'autoriser l'accès au SMTP qu'aux utilisateurs identifiés (par un login qui est leur adresse e-mail, et le mot de passe de ce compte e-mail). | cf => suggestions : [' cf']

523 Il manque un espace. => Éditer le fichier main.cf (kate /etc/postfix/main.cf) et modifiez/ajoutez les lignes suivantes : | cf => suggestions : [' cf']
523 Mot inconnu : kate => Éditer le fichier main.cf (kate /etc/postfix/main.cf) et modifiez/ajoutez les lignes suivantes : | kate

524 Mot inconnu : SASL => <file># Paramétrages SASL du serveur smtpd de Postfix | sasl
524 Mot inconnu : smtpd => <file># Paramétrages SASL du serveur smtpd de Postfix | smtpd
524 Mot inconnu : Postfix => <file># Paramétrages SASL du serveur smtpd de Postfix | postfix

525 Mot inconnu : postfix => # Variable postfix contenant le hostname Ma-Machine | postfix
525 Mot inconnu : hostname => # Variable postfix contenant le hostname Ma-Machine | hostname

526 Mot inconnu : smtpd_sasl_local_domain => smtpd_sasl_local_domain = $myhostname | smtpd_sasl_local_domain
526 Mot inconnu : myhostname => smtpd_sasl_local_domain = $myhostname | myhostname

527 Mot inconnu : SASL => # Active l'authentification SASL pour le serveur smtpd de Postfix | sasl
527 Mot inconnu : smtpd => # Active l'authentification SASL pour le serveur smtpd de Postfix | smtpd
527 Mot inconnu : Postfix => # Active l'authentification SASL pour le serveur smtpd de Postfix | postfix

528 Mot inconnu : smtpd_sasl_auth_enable => smtpd_sasl_auth_enable = yes | smtpd_sasl_auth_enable
528 Mot inconnu : yes => smtpd_sasl_auth_enable = yes | yes

530 Mot inconnu : smtpd_sasl_security_options => smtpd_sasl_security_options = noanonymous | smtpd_sasl_security_options
530 Mot inconnu : noanonymous => smtpd_sasl_security_options = noanonymous | noanonymous

531 Mot inconnu : AUTH => # Active l’interopérabilité avec les clients SMTP qui implémentent une version obsolète de la commande AUTH (RFC 2554). MicroSoft Outlook Express version 4 et Exchange version 5.0 sont des exemples de tels clients. | auth
