
3 Mot inconnu : Chemtool => ====== Chemtool ====== | chemtool
20 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy |  . => suggestions : ['. ', '.']
20 Mot inconnu : asy =>   * exporter les modèles moléculaires aux formats .fig, .tex, .eps, .xbm, .svg, .mol, .emf, .png et .asy | asy

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * construction de molécules liaison par liaison et atome par atome |    => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * insertion de modèles prédéfinis (sucres, cycles, acides aminés, ...) |    => suggestions : ['']
22 Une de ces ponctuations est superflue. =>   * insertion de modèles prédéfinis (sucres, cycles, acides aminés, ...) | , . => suggestions : [',', '.']
22 Typographie : points de suspension. Utilisez le caractère dédié. =>   * insertion de modèles prédéfinis (sucres, cycles, acides aminés, ...) | ... => suggestions : ['…']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * calcul de masses moléculaires |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ... |    => suggestions : ['']
24 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ... | ... => suggestions : ['…']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://ruby.chemie.uni-freiburg.de/~martin/chemtool/chemtool.html|Site officiel]] |    => suggestions : ['']
30 Mot inconnu : chemtool =>   * **(en)** [[http://ruby.chemie.uni-freiburg.de/~martin/chemtool/chemtool.html|Site officiel]] | chemtool
30 Mot inconnu : chemtool =>   * **(en)** [[http://ruby.chemie.uni-freiburg.de/~martin/chemtool/chemtool.html|Site officiel]] | chemtool
30 Mot inconnu : html =>   * **(en)** [[http://ruby.chemie.uni-freiburg.de/~martin/chemtool/chemtool.html|Site officiel]] | html
