
6 Une de ces ponctuations est superflue. => ====== Code::Blocks ====== | :: => suggestions : [':', ':']
64 Guillemets typographiques fermants. => Settings -> Environment -> View, cochez la case "Internationalization" et sélectionner "French" | " => suggestions : ['\xa0»', '”']
64 Guillemets typographiques ouvrants. => Settings -> Environment -> View, cochez la case "Internationalization" et sélectionner "French" | " => suggestions : ['«\xa0', '“']
64 Guillemets typographiques fermants. => Settings -> Environment -> View, cochez la case "Internationalization" et sélectionner "French" | " => suggestions : ['\xa0»', '”']

66 Confusion probable : “oublier” est un verbe à l’infinitif. Si vous vouliez utiliser l’impératif, écrivez : => N'oublier pas de quitter le menu en cliquant sur valider, puis relancer Code::Blocks | oublier => suggestions : ['oubliez']
66 Une de ces ponctuations est superflue. => N'oublier pas de quitter le menu en cliquant sur valider, puis relancer Code::Blocks | :: => suggestions : [':', ':']
66 Mot inconnu : Blocks => N'oublier pas de quitter le menu en cliquant sur valider, puis relancer Code::Blocks | blocks

68 Une de ces ponctuations est superflue. => Maintenant votre Code::Blocks est en français ;-) | :: => suggestions : [':', ':']
68 Mot inconnu : Blocks => Maintenant votre Code::Blocks est en français ;-) | blocks

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

74 Une de ces ponctuations est superflue. => ==== Compiler le C++ avec Code::blocks ==== | :: => suggestions : [':', ':']
74 Mot inconnu : blocks => ==== Compiler le C++ avec Code::blocks ==== | blocks

81 Mot inconnu : Settings => Il faut aller dans Settings->Editor...->Code completion (à gauche en bas)->Symbols browser (onglet) et mettre une coche dans la case Disable symbols browser. | settings
81 Mot inconnu : Editor => Il faut aller dans Settings->Editor...->Code completion (à gauche en bas)->Symbols browser (onglet) et mettre une coche dans la case Disable symbols browser. | editor
81 Typographie : points de suspension. Utilisez le caractère dédié. => Il faut aller dans Settings->Editor...->Code completion (à gauche en bas)->Symbols browser (onglet) et mettre une coche dans la case Disable symbols browser. | ... => suggestions : ['…']
81 Mot inconnu : completion => Il faut aller dans Settings->Editor...->Code completion (à gauche en bas)->Symbols browser (onglet) et mettre une coche dans la case Disable symbols browser. | completion
81 Mot inconnu : Symbols => Il faut aller dans Settings->Editor...->Code completion (à gauche en bas)->Symbols browser (onglet) et mettre une coche dans la case Disable symbols browser. | symbols
81 Mot inconnu : browser => Il faut aller dans Settings->Editor...->Code completion (à gauche en bas)->Symbols browser (onglet) et mettre une coche dans la case Disable symbols browser. | browser
81 Mot inconnu : Disable => Il faut aller dans Settings->Editor...->Code completion (à gauche en bas)->Symbols browser (onglet) et mettre une coche dans la case Disable symbols browser. | disable
81 Mot inconnu : symbols => Il faut aller dans Settings->Editor...->Code completion (à gauche en bas)->Symbols browser (onglet) et mettre une coche dans la case Disable symbols browser. | symbols
81 Mot inconnu : browser => Il faut aller dans Settings->Editor...->Code completion (à gauche en bas)->Symbols browser (onglet) et mettre une coche dans la case Disable symbols browser. | browser
83 Espace(s) en fin de ligne à supprimer. => pour la nouvelle version :  |   => suggestions : ['']

84 Mot inconnu : Settings => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | settings
84 Mot inconnu : Editor => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | editor
84 Accord de nombre erroné : « menus » devrait être au singulier. => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | menus => suggestions : ['menu']
84 Guillemets typographiques ouvrants. => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | " => suggestions : ['«\xa0', '“']
84 Mot inconnu : completion => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | completion
84 Guillemets typographiques fermants. => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | " => suggestions : ['\xa0»', '”']
84 Guillemets typographiques ouvrants. => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | " => suggestions : ['«\xa0', '“']
84 Mot inconnu : Symbols => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | symbols
84 Mot inconnu : browser => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | browser
84 Guillemets typographiques fermants. => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | " => suggestions : ['\xa0»', '”']
84 Guillemets typographiques ouvrants. => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | " => suggestions : ['«\xa0', '“']
84 Mot inconnu : disable => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | disable
84 Mot inconnu : browser => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | browser
84 Guillemets typographiques fermants. => Settings -> Editor -> en bas du menus déroulant a gauche "Code completion" -> onglet "Symbols browser" -> une coche dans la case "disable symbole browser" | " => suggestions : ['\xa0»', '”']

85 Mot inconnu : déboggage => ==== Format d'un point d'arrêt non reconnu lors du déboggage ==== | déboggage
95 Typographie : points de suspension. Utilisez le caractère dédié. => //Contributeurs: ..., Vinc14, [[utilisateurs:Nementon]],  | ... => suggestions : ['…']
95 Mot inconnu : Vinc14 => //Contributeurs: ..., Vinc14, [[utilisateurs:Nementon]],  | vinc14
95 Espace(s) en fin de ligne à supprimer. => //Contributeurs: ..., Vinc14, [[utilisateurs:Nementon]],  |   => suggestions : ['']
