
6 Mot inconnu : Orthophile => ====== Orthophile ====== | orthophile
25 Mot inconnu : Orthophile => Attention, lorsque vous ouvrez synaptic, wine est dans la liste des paquets disponibles pour dapper mais c'est une ancienne version (la 0.9.9). Si vous l'utilisez, vous aurez des problèmes d'affichage du texte dans L'Orthophile. Préférez-lui la version 0.9.33, plus récente, qui se trouve sur le site de wine.budgetdedicated.com : | orthophile

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo gedit /etc/apt/sources.list |    => suggestions : ['']
27 Mot inconnu : sudo =>   sudo gedit /etc/apt/sources.list | sudo
27 Mot inconnu : gedit =>   sudo gedit /etc/apt/sources.list | gedit

28 Espace(s) surnuméraire(s) à supprimer. => Ajoutez la ligne suivante à la fin du fichier  (en remplaçant "dapper" par le nom de votre distribution linux) : |    => suggestions : [' ']
28 Guillemets typographiques ouvrants. => Ajoutez la ligne suivante à la fin du fichier  (en remplaçant "dapper" par le nom de votre distribution linux) : | " => suggestions : ['«\xa0', '“']
28 Mot inconnu : dapper => Ajoutez la ligne suivante à la fin du fichier  (en remplaçant "dapper" par le nom de votre distribution linux) : | dapper
28 Guillemets typographiques fermants. => Ajoutez la ligne suivante à la fin du fichier  (en remplaçant "dapper" par le nom de votre distribution linux) : | " => suggestions : ['\xa0»', '”']
28 Mot inconnu : linux => Ajoutez la ligne suivante à la fin du fichier  (en remplaçant "dapper" par le nom de votre distribution linux) : | linux

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   deb http://wine.budgetdedicated.com/apt dapper main |    => suggestions : ['']
30 Mot inconnu : deb =>   deb http://wine.budgetdedicated.com/apt dapper main | deb
30 Mot inconnu : dapper =>   deb http://wine.budgetdedicated.com/apt dapper main | dapper

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get update |    => suggestions : ['']
33 Mot inconnu : sudo =>   sudo apt-get update | sudo
33 Mot inconnu : apt-get =>   sudo apt-get update | apt-get
33 Mot inconnu : update =>   sudo apt-get update | update

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install wine |    => suggestions : ['']
34 Mot inconnu : sudo =>   sudo apt-get install wine | sudo
34 Mot inconnu : apt-get =>   sudo apt-get install wine | apt-get
34 Mot inconnu : install =>   sudo apt-get install wine | install
34 Mot inconnu : wine =>   sudo apt-get install wine | wine

36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => == 2 - Installez L'Orthophile. == |  -  => suggestions : [' – ', ' — ', ' − ']
36 Mot inconnu : Orthophile => == 2 - Installez L'Orthophile. == | orthophile
38 Mot inconnu : Orthophile_xxxxxxxx => Rendez-vous à l'adresse http://jeannoel.saillet.free.fr/Orthophile/instal_ortho.html pour télécharger la dernière version du programme : le fichier Orthophile_xxxxxxxx.zip puis tapez les commandes qui suivent en remplaçant xxxxxxxx par la date de la version : | orthophile_xxxxxxxx
38 Il manque un espace. => Rendez-vous à l'adresse http://jeannoel.saillet.free.fr/Orthophile/instal_ortho.html pour télécharger la dernière version du programme : le fichier Orthophile_xxxxxxxx.zip puis tapez les commandes qui suivent en remplaçant xxxxxxxx par la date de la version : | zip => suggestions : [' zip']
38 Mot inconnu : xxxxxxxx => Rendez-vous à l'adresse http://jeannoel.saillet.free.fr/Orthophile/instal_ortho.html pour télécharger la dernière version du programme : le fichier Orthophile_xxxxxxxx.zip puis tapez les commandes qui suivent en remplaçant xxxxxxxx par la date de la version : | xxxxxxxx

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /répertoire_ou_vous_avez_enregistré_Orthophile_xxxxxxxx.zip |    => suggestions : ['']
39 Mot inconnu : répertoire_ou_vous_avez_enregistré_Orthophile_xxxxxxxx =>   cd /répertoire_ou_vous_avez_enregistré_Orthophile_xxxxxxxx.zip | répertoire_ou_vous_avez_enregistré_orthophile_xxxxxxxx
39 Il manque un espace. =>   cd /répertoire_ou_vous_avez_enregistré_Orthophile_xxxxxxxx.zip | zip => suggestions : [' zip']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo unzip Orthophile_xxxxxxxx.zip -d $HOME |    => suggestions : ['']
40 Mot inconnu : sudo =>   sudo unzip Orthophile_xxxxxxxx.zip -d $HOME | sudo
40 Mot inconnu : unzip =>   sudo unzip Orthophile_xxxxxxxx.zip -d $HOME | unzip
40 Mot inconnu : Orthophile_xxxxxxxx =>   sudo unzip Orthophile_xxxxxxxx.zip -d $HOME | orthophile_xxxxxxxx
40 Il manque un espace. =>   sudo unzip Orthophile_xxxxxxxx.zip -d $HOME | zip => suggestions : [' zip']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ln -s $HOME/Orthophile_20080531/Orthophile/ /opt/Orthophile |    => suggestions : ['']
41 Mot inconnu : sudo =>   sudo ln -s $HOME/Orthophile_20080531/Orthophile/ /opt/Orthophile | sudo
41 Il manque un espace à côté du tiret. =>   sudo ln -s $HOME/Orthophile_20080531/Orthophile/ /opt/Orthophile |  - => suggestions : [' – ', ' — ']
41 Mot inconnu : Orthophile_20080531 =>   sudo ln -s $HOME/Orthophile_20080531/Orthophile/ /opt/Orthophile | orthophile_20080531
41 Mot inconnu : Orthophile =>   sudo ln -s $HOME/Orthophile_20080531/Orthophile/ /opt/Orthophile | orthophile

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sh /opt/Orthophile/Orthophile.sh |    => suggestions : ['']
44 Mot inconnu : sh =>   sh /opt/Orthophile/Orthophile.sh | sh

45 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A la question Quel OS utilisez-vous ? Cliquez sur "**Autre**". | a => suggestions : ['À']

47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => == 3 - Créez un raccourci dans le menu Applications / Education. == |  -  => suggestions : [' – ', ' — ', ' − ']
47 Mot inconnu : Education => == 3 - Créez un raccourci dans le menu Applications / Education. == | education

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquez sur le menu Applications / Accessoires / Editeur de menus Alacarte |    => suggestions : ['']
49 Mot inconnu : Editeur =>   * Cliquez sur le menu Applications / Accessoires / Editeur de menus Alacarte | editeur
49 Mot inconnu : Alacarte =>   * Cliquez sur le menu Applications / Accessoires / Editeur de menus Alacarte | alacarte

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquez sur Education. |    => suggestions : ['']
52 Mot inconnu : Education =>   * Cliquez sur Education. | education

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquez sur le menu Fichier / Nouvelle entrée. |    => suggestions : ['']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Saisissez : |    => suggestions : ['']
59 Mot inconnu : Orthophile => Nom : L'Orthophile | orthophile

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquez sur Valider. |    => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Fermez l'éditeur de menu. |    => suggestions : ['']
80 Espace(s) en fin de ligne à supprimer. => Pour contourner ces problèmes :  |   => suggestions : ['']

92 Mot inconnu : avi => **Vidéo** (.avi) montrant le fonctionnement (5 min 3,7 Mo) http://jeannoel.saillet.free.fr/Orthophile/video_orthophile.avi | avi
92 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => **Vidéo** (.avi) montrant le fonctionnement (5 min 3,7 Mo) http://jeannoel.saillet.free.fr/Orthophile/video_orthophile.avi | 3,7 mo => suggestions : ['3,7\xa0Mo']

94 Mot inconnu : MSWLogo => **MSWLogo** : http://www.softronix.com/logo.html | mswlogo

96 Mot inconnu : wine => **Le projet wine** :  http://winehq.com/ | wine
96 Espace(s) surnuméraire(s) à supprimer. => **Le projet wine** :  http://winehq.com/ |    => suggestions : [' ']
