
5 Mot inconnu : Evolution => ======  Comment activer l’anti-spam sur Evolution ? ====== | evolution
72 Typographie : points de suspension. Utilisez le caractère dédié. => Bogofilter est un "concurrent" de spamassassin qui est moins gourmand en ressources, plus rapide et plus efficace !! pourquoi s'en passer ... | ... => suggestions : ['…']

74 Mot inconnu : spamassassin => Ses seuls défauts sont d'être moins souple et paramétrables que spamassassin  ... | spamassassin
74 Espace(s) surnuméraire(s) à supprimer. => Ses seuls défauts sont d'être moins souple et paramétrables que spamassassin  ... |    => suggestions : [' ']
74 Typographie : points de suspension. Utilisez le caractère dédié. => Ses seuls défauts sont d'être moins souple et paramétrables que spamassassin  ... | ... => suggestions : ['…']
80 Mot inconnu : bogofilter => **Attention : même s'ils sont bien placés (dans le dossier courrier entrant), il faut quand même les cocher comme non-pourriels pour apprendre à bogofilter à quoi ressemble un courriel normal** | bogofilter

84 Mot inconnu : mailbox => Nous avons besoins de 2 fichiers au format mailbox : le premier contenant une collection de messages indésirables, le deuxième contenant une collection de messages désirables.  | mailbox
84 Espace(s) en fin de ligne à supprimer. => Nous avons besoins de 2 fichiers au format mailbox : le premier contenant une collection de messages indésirables, le deuxième contenant une collection de messages désirables.  |   => suggestions : ['']

88 Guillemets typographiques ouvrants. => Plus la collection de pourriels est importante, plus l'apprentissage est efficace. Une collection de 1000 pourriels donne un très bon résultat, mais vous pouvez commencer beaucoup plus modestement avec ce que vous avez sous la main. La collection de messages sollicités n'a pas besoin d'être nombreuse mais prenez un échantillon représentatif de vos messages pour éviter les "faux positifs". | " => suggestions : ['«\xa0', '“']
88 Guillemets typographiques fermants. => Plus la collection de pourriels est importante, plus l'apprentissage est efficace. Une collection de 1000 pourriels donne un très bon résultat, mais vous pouvez commencer beaucoup plus modestement avec ce que vous avez sous la main. La collection de messages sollicités n'a pas besoin d'être nombreuse mais prenez un échantillon représentatif de vos messages pour éviter les "faux positifs". | " => suggestions : ['\xa0»', '”']

96 Mot inconnu : bogofilter => <note important>Il est indispensable de faire l'apprentissage d'au moins quelques messages pourriels et quelques messages non-pourriels, sinon bogofilter ne filtrera rien du tout.</note> | bogofilter

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

107 Mot inconnu : Bogofilter => ==== Bogofilter refuse de filtrer mes spams !!! ==== | bogofilter

109 Mot inconnu : Hams => Vous avez bien fait l'apprentissage des spams, mais pas des Hams (bon courriels) ! | hams

111 Mot inconnu : bogofilter => Et oui car bogofilter a besoin de savoir à quoi ressemble un courriel normal pour pouvoir filtrer les mauvais :-) ; n'hésitez donc pas à cocher la grande majorité de vos Hams pour lui apprendre. | bogofilter
111 Mot inconnu : Hams => Et oui car bogofilter a besoin de savoir à quoi ressemble un courriel normal pour pouvoir filtrer les mauvais :-) ; n'hésitez donc pas à cocher la grande majorité de vos Hams pour lui apprendre. | hams

113 Mot inconnu : bogofilter => Voir la partie [[#apprentissage|apprentissage de bogofilter]] pour comprendre comment faire. | bogofilter
