
7 Mot inconnu : Aptana => ====== Aptana Studio ====== | aptana
143 Mot inconnu : iPhone =>   * Dans le « plugin manager » : **Aptana Support for Apple iPhone** | iphone

145 Guillemets typographiques ouvrants. => Après avoir installé le plugin et redémarré le programme, vous pouvez créer un projet "iPhone" : | " => suggestions : ['«\xa0', '“']
145 Mot inconnu : iPhone => Après avoir installé le plugin et redémarré le programme, vous pouvez créer un projet "iPhone" : | iphone
145 Guillemets typographiques fermants. => Après avoir installé le plugin et redémarré le programme, vous pouvez créer un projet "iPhone" : | " => suggestions : ['\xa0»', '”']

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Depuis le menu **File => New => Project**. Choisissez **Aptana Projects => iPhone Project**. |    => suggestions : ['']
146 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Depuis le menu **File => New => Project**. Choisissez **Aptana Projects => iPhone Project**. |  -  => suggestions : [' – ', ' — ', ' − ']
146 Mot inconnu : Project =>   - Depuis le menu **File => New => Project**. Choisissez **Aptana Projects => iPhone Project**. | project
146 Mot inconnu : Aptana =>   - Depuis le menu **File => New => Project**. Choisissez **Aptana Projects => iPhone Project**. | aptana
146 Mot inconnu : Projects =>   - Depuis le menu **File => New => Project**. Choisissez **Aptana Projects => iPhone Project**. | projects
146 Mot inconnu : iPhone =>   - Depuis le menu **File => New => Project**. Choisissez **Aptana Projects => iPhone Project**. | iphone
146 Mot inconnu : Project =>   - Depuis le menu **File => New => Project**. Choisissez **Aptana Projects => iPhone Project**. | project

147 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Entrez un nom de projet |    => suggestions : ['']
147 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Entrez un nom de projet |  -  => suggestions : [' – ', ' — ', ' − ']

148 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Si vous cliquez sur //Finish//, vous démarrez directement. En cliquant sur //Next//, vous pourrez choisir des bibliothèques AJAX à intégrer à votre projet (Rico, Scriptaculous, Prototype, etc.) |    => suggestions : ['']
148 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Si vous cliquez sur //Finish//, vous démarrez directement. En cliquant sur //Next//, vous pourrez choisir des bibliothèques AJAX à intégrer à votre projet (Rico, Scriptaculous, Prototype, etc.) |  -  => suggestions : [' – ', ' — ', ' − ']
148 Mot inconnu : Next =>   - Si vous cliquez sur //Finish//, vous démarrez directement. En cliquant sur //Next//, vous pourrez choisir des bibliothèques AJAX à intégrer à votre projet (Rico, Scriptaculous, Prototype, etc.) | next
148 Mot inconnu : AJAX =>   - Si vous cliquez sur //Finish//, vous démarrez directement. En cliquant sur //Next//, vous pourrez choisir des bibliothèques AJAX à intégrer à votre projet (Rico, Scriptaculous, Prototype, etc.) | ajax
148 Mot inconnu : Scriptaculous =>   - Si vous cliquez sur //Finish//, vous démarrez directement. En cliquant sur //Next//, vous pourrez choisir des bibliothèques AJAX à intégrer à votre projet (Rico, Scriptaculous, Prototype, etc.) | scriptaculous

152 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Source : Le code |    => suggestions : ['']

153 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Default : Visualisation « standard » du rendu de l'application |    => suggestions : ['']
153 Mot inconnu : Default =>   * Default : Visualisation « standard » du rendu de l'application | default

154 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * iPhone : Visualisation du rendu de l'application sur l'iPhone avec possibilité de voir l'application en mode portrait ou paysage. |    => suggestions : ['']
154 Mot inconnu : iPhone =>   * iPhone : Visualisation du rendu de l'application sur l'iPhone avec possibilité de voir l'application en mode portrait ou paysage. | iphone
154 Mot inconnu : iPhone =>   * iPhone : Visualisation du rendu de l'application sur l'iPhone avec possibilité de voir l'application en mode portrait ou paysage. | iphone

160 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans la section « Plugins » de la « Aptana Start Page » |    => suggestions : ['']
160 Mot inconnu : Aptana =>   * Dans la section « Plugins » de la « Aptana Start Page » | aptana
160 Mot inconnu : Start =>   * Dans la section « Plugins » de la « Aptana Start Page » | start

161 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans le « plugin manager » : **Aptana Support for Adobe AIR** |    => suggestions : ['']
161 Mot inconnu : Aptana =>   * Dans le « plugin manager » : **Aptana Support for Adobe AIR** | aptana

163 Mot inconnu : FIXME => FIXME (détails) | fixme

165 Mot inconnu : Spket => ==== Spket (pour Ext JS) ==== | spket
165 Mot inconnu : Ext => ==== Spket (pour Ext JS) ==== | ext
165 Mot inconnu : JS => ==== Spket (pour Ext JS) ==== | js

167 Mot inconnu : Spket => L'[[https://www.spket.com/|IDE Spket]] a de loin l'assistant de code pour [[http://extjs.com/|Ext JS]] 2.0 le plus complet. Il utilise le fichier Ext de projet .jsb et le script de doc embarqué pour construire l'assistant de code qui inclut les options héritées des classes de base et de la documentation complète. | spket
167 Mot inconnu : Ext => L'[[https://www.spket.com/|IDE Spket]] a de loin l'assistant de code pour [[http://extjs.com/|Ext JS]] 2.0 le plus complet. Il utilise le fichier Ext de projet .jsb et le script de doc embarqué pour construire l'assistant de code qui inclut les options héritées des classes de base et de la documentation complète. | ext
167 Mot inconnu : JS => L'[[https://www.spket.com/|IDE Spket]] a de loin l'assistant de code pour [[http://extjs.com/|Ext JS]] 2.0 le plus complet. Il utilise le fichier Ext de projet .jsb et le script de doc embarqué pour construire l'assistant de code qui inclut les options héritées des classes de base et de la documentation complète. | js
167 Mot inconnu : Ext => L'[[https://www.spket.com/|IDE Spket]] a de loin l'assistant de code pour [[http://extjs.com/|Ext JS]] 2.0 le plus complet. Il utilise le fichier Ext de projet .jsb et le script de doc embarqué pour construire l'assistant de code qui inclut les options héritées des classes de base et de la documentation complète. | ext
167 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => L'[[https://www.spket.com/|IDE Spket]] a de loin l'assistant de code pour [[http://extjs.com/|Ext JS]] 2.0 le plus complet. Il utilise le fichier Ext de projet .jsb et le script de doc embarqué pour construire l'assistant de code qui inclut les options héritées des classes de base et de la documentation complète. |  . => suggestions : ['. ', '.']
167 Mot inconnu : jsb => L'[[https://www.spket.com/|IDE Spket]] a de loin l'assistant de code pour [[http://extjs.com/|Ext JS]] 2.0 le plus complet. Il utilise le fichier Ext de projet .jsb et le script de doc embarqué pour construire l'assistant de code qui inclut les options héritées des classes de base et de la documentation complète. | jsb

169 Mot inconnu : Aptana => Le mieux est de l'installer comme un plugin Eclipse dans Aptana. | aptana

172 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Démarrer Aptana et naviguer dans le menu de l'application : |    => suggestions : ['']
172 Mot inconnu : Aptana =>   * Démarrer Aptana et naviguer dans le menu de l'application : | aptana

173 Mot inconnu : Help => Help → Software Updates → Find and Install… → Search for new features to install → New remote site… | help
173 Mot inconnu : Updates => Help → Software Updates → Find and Install… → Search for new features to install → New remote site… | updates
173 Mot inconnu : Find => Help → Software Updates → Find and Install… → Search for new features to install → New remote site… | find
173 Mot inconnu : and => Help → Software Updates → Find and Install… → Search for new features to install → New remote site… | and
173 Mot inconnu : Install => Help → Software Updates → Find and Install… → Search for new features to install → New remote site… | install
