
4 Mot inconnu : Clancy's => ====== Tom Clancy's Splinter Cell 2 : Pandora Tomorrow ====== | clancy's
31 Mot inconnu : x768x32 =>   * Carte graphique 128 Mo 1024x768x32 | x768x32

33 Mot inconnu : PlayOnLinux => ===== Installation avec PlayOnLinux ===== | playonlinux

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Monter le dvd** |    => suggestions : ['']
36 Mot inconnu : dvd =>   * **Monter le dvd** | dvd

37 Mot inconnu : setup => (l'installation de la version de démonstration est sensiblement semblable, à l'étape setup.exe remplacer par le .exe de la démo) | setup
37 Mot inconnu : exe => (l'installation de la version de démonstration est sensiblement semblable, à l'étape setup.exe remplacer par le .exe de la démo) | exe
37 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => (l'installation de la version de démonstration est sensiblement semblable, à l'étape setup.exe remplacer par le .exe de la démo) |  . => suggestions : ['. ', '.']
37 Mot inconnu : exe => (l'installation de la version de démonstration est sensiblement semblable, à l'étape setup.exe remplacer par le .exe de la démo) | exe

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Ouvrir playonlinux** |    => suggestions : ['']
38 Mot inconnu : playonlinux =>   * **Ouvrir playonlinux** | playonlinux

40 Mot inconnu : win => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | win
40 Mot inconnu : win => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | win
40 Mot inconnu : linux => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | linux
40 Guillemets typographiques ouvrants. => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | " => suggestions : ['\xa0»', '”']
40 Guillemets typographiques ouvrants. => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | " => suggestions : ['\xa0»', '”']
40 Guillemets typographiques ouvrants. => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => <note tip>Si c'est la première fois installer les mises-à-jours et les polices win et relancer le programme. Si vous ne souhaitez pas mélanger vos jeux win avec vos jeux linux : dans "Options", "Environnement", cocher "Ajouter le tableau de bord à votre menu". Vous pouvez en profiter pour modifier l'emplacement du Bureau où arriveront les icônes et le navigateur par défaut.</note> | " => suggestions : ['\xa0»', '”']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** |    => suggestions : ['']
42 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
42 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | ... => suggestions : ['…']
42 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
42 Mot inconnu : splintercell-2 =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | splintercell-2
42 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']
42 Guillemets typographiques ouvrants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['«\xa0', '“']
42 Guillemets typographiques fermants. =>   * Bouton **"Installer"**, en bas à gauche **"Installer ... une application non supportée"**, **"Installation manuelle" "Suivant" "Suivant" "Installer une application dans un nouveau préfixe" "Suivant"**, choisissez **"splintercell-2"** comme nom du répertoire/préfixe **"Suivant"** | " => suggestions : ['\xa0»', '”']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Configurer wine **"Non"** |    => suggestions : ['']
43 Mot inconnu : wine =>   * Configurer wine **"Non"** | wine
43 Guillemets typographiques ouvrants. =>   * Configurer wine **"Non"** | " => suggestions : ['«\xa0', '“']
43 Guillemets typographiques fermants. =>   * Configurer wine **"Non"** | " => suggestions : ['\xa0»', '”']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"setup.exe" "Suivant"** |    => suggestions : ['']
44 Guillemets typographiques ouvrants. =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"setup.exe" "Suivant"** | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"setup.exe" "Suivant"** | " => suggestions : ['\xa0»', '”']
44 Mot inconnu : dvd =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"setup.exe" "Suivant"** | dvd
44 Guillemets typographiques ouvrants. =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"setup.exe" "Suivant"** | " => suggestions : ['«\xa0', '“']
44 Mot inconnu : setup =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"setup.exe" "Suivant"** | setup
44 Mot inconnu : exe =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"setup.exe" "Suivant"** | exe
44 Guillemets typographiques fermants. =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"setup.exe" "Suivant"** | " => suggestions : ['\xa0»', '”']
44 Guillemets typographiques ouvrants. =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"setup.exe" "Suivant"** | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. =>   * Bouton **"Parcourir"** aller au dvd et choisissez **"setup.exe" "Suivant"** | " => suggestions : ['\xa0»', '”']

46 Mot inconnu : setup => <note tip>**Pourquoi setup.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier. Mais dans ce cas FileRgn.exe ne permet pas l'installation.</note> | setup
46 Mot inconnu : exe => <note tip>**Pourquoi setup.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier. Mais dans ce cas FileRgn.exe ne permet pas l'installation.</note> | exe
46 Mot inconnu : Autorun => <note tip>**Pourquoi setup.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier. Mais dans ce cas FileRgn.exe ne permet pas l'installation.</note> | autorun
46 Mot inconnu : inf => <note tip>**Pourquoi setup.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier. Mais dans ce cas FileRgn.exe ne permet pas l'installation.</note> | inf
46 Mot inconnu : gedit => <note tip>**Pourquoi setup.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier. Mais dans ce cas FileRgn.exe ne permet pas l'installation.</note> | gedit
46 Après “être”, le verbe ne devrait pas être à l’infinitif. => <note tip>**Pourquoi setup.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier. Mais dans ce cas FileRgn.exe ne permet pas l'installation.</note> | exécuter => suggestions : ['exécutées', 'exécuté', 'exécutée', 'exécutés']
46 Mot inconnu : FileRgn => <note tip>**Pourquoi setup.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier. Mais dans ce cas FileRgn.exe ne permet pas l'installation.</note> | filergn
46 Mot inconnu : exe => <note tip>**Pourquoi setup.exe ?** A l'insertion de la galette, Windows cherche un fichier nommé Autorun.inf. En l'ouvrant avec un éditeur de texte ([[gedit]] etc.) on apprend quel fichier doit être exécuter en premier. Mais dans ce cas FileRgn.exe ne permet pas l'installation.</note> | exe

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** |    => suggestions : ['']
48 Mot inconnu : InstallShield =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | installshield
48 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['«\xa0', '“']
48 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['\xa0»', '”']
48 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['«\xa0', '“']
48 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['\xa0»', '”']
48 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['«\xa0', '“']
48 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['\xa0»', '”']
48 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['«\xa0', '“']
48 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['\xa0»', '”']
48 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['«\xa0', '“']
48 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['\xa0»', '”']
48 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['«\xa0', '“']
48 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['\xa0»', '”']
48 Guillemets typographiques ouvrants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['«\xa0', '“']
48 Guillemets typographiques fermants. =>   * L'InstallShield s'ouvre, **"Français" "OK" "Suivant" "Accepter" "Suivant" "Oui" "Accepter" "Suivant"**, **__DÉCOCHER__ toutes les cases, "Suivant"** | " => suggestions : ['\xa0»', '”']
