
5 Mot inconnu : mount => ====== mount et fstab : Le montage des systèmes de fichiers ====== | mount
78 Espace(s) surnuméraire(s) à supprimer. => └─sda4 ext4   DATAS       ca07415a-2704-497f-8091-1d9a4a58f3d0  297,2G    43% /media/DATAS</code> |         => suggestions : [' ']
78 Mot inconnu : ca07415a-2704-497f-8091-1d9a4a58f3d0 => └─sda4 ext4   DATAS       ca07415a-2704-497f-8091-1d9a4a58f3d0  297,2G    43% /media/DATAS</code> | ca07415a-2704-497f-8091-1d9a4a58f3d0
78 Espace(s) surnuméraire(s) à supprimer. => └─sda4 ext4   DATAS       ca07415a-2704-497f-8091-1d9a4a58f3d0  297,2G    43% /media/DATAS</code> |    => suggestions : [' ']
78 Si “G” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => └─sda4 ext4   DATAS       ca07415a-2704-497f-8091-1d9a4a58f3d0  297,2G    43% /media/DATAS</code> | 297,2g => suggestions : ['297,2\xa0G']
78 Espace(s) surnuméraire(s) à supprimer. => └─sda4 ext4   DATAS       ca07415a-2704-497f-8091-1d9a4a58f3d0  297,2G    43% /media/DATAS</code> |      => suggestions : [' ']
78 Avec une unité de mesure, mettez un espace insécable. => └─sda4 ext4   DATAS       ca07415a-2704-497f-8091-1d9a4a58f3d0  297,2G    43% /media/DATAS</code> | 43% => suggestions : ['43\xa0%']

79 Mot inconnu : fstab => Ainsi, dans votre fstab, les trois lignes suivantes sont équivalentes :\\ | fstab

81 Espace(s) surnuméraire(s) à supprimer. => /dev/sda3                                     /home ext4 defaults    0 0 |                                       => suggestions : [' ']
81 Mot inconnu : ext4 => /dev/sda3                                     /home ext4 defaults    0 0 | ext4
81 Mot inconnu : defaults => /dev/sda3                                     /home ext4 defaults    0 0 | defaults
81 Espace(s) surnuméraire(s) à supprimer. => /dev/sda3                                     /home ext4 defaults    0 0 |      => suggestions : [' ']

82 Mot inconnu : UUID => UUID=8244710a-5cce-49ad-8b93-a92b5d2e53a0     /home ext4 defaults    0 0 | uuid
82 Mot inconnu : a-5cce-49ad-8b93-a92b5d2e53a0 => UUID=8244710a-5cce-49ad-8b93-a92b5d2e53a0     /home ext4 defaults    0 0 | a-5cce-49ad-8b93-a92b5d2e53a0
82 Espace(s) surnuméraire(s) à supprimer. => UUID=8244710a-5cce-49ad-8b93-a92b5d2e53a0     /home ext4 defaults    0 0 |       => suggestions : [' ']
82 Mot inconnu : ext4 => UUID=8244710a-5cce-49ad-8b93-a92b5d2e53a0     /home ext4 defaults    0 0 | ext4
82 Mot inconnu : defaults => UUID=8244710a-5cce-49ad-8b93-a92b5d2e53a0     /home ext4 defaults    0 0 | defaults
82 Espace(s) surnuméraire(s) à supprimer. => UUID=8244710a-5cce-49ad-8b93-a92b5d2e53a0     /home ext4 defaults    0 0 |      => suggestions : [' ']

83 Espace(s) surnuméraire(s) à supprimer. => LABEL=Home                               /home ext4 defaults    0 0 |                                 => suggestions : [' ']
83 Mot inconnu : ext4 => LABEL=Home                               /home ext4 defaults    0 0 | ext4
83 Mot inconnu : defaults => LABEL=Home                               /home ext4 defaults    0 0 | defaults
83 Espace(s) surnuméraire(s) à supprimer. => LABEL=Home                               /home ext4 defaults    0 0 |      => suggestions : [' ']
85 Mot inconnu : UUID => La première ligne est déconseillée dans la mesure où le chemin d'accès à la partition (/dev/sda3) dépend du contexte dans lequel le fichier /etc/fstab est exploité ; la seconde est la plus solide, car l'UUID d'une partition n'est qu'exceptionnellement modifiée ; la troisième est la plus claire, mais l'unicité de l'étiquette n'est pas garantie, ni sa pérennité, l'utilisateur ayant tout loisir de nommer ses partitions comme il l'entend (des conflits peuvent survenir du fait de la présence au démarrage de temps à autre de périphériques amovibles). | uuid

87 Mot inconnu : mount => ===== La commande mount ===== | mount

91 Mot inconnu : mount => La commande **mount** permet de manipuler tous les montages de systèmes de fichier de manière très précise. | mount

99 Mot inconnu : __Point => **__Point de montage dont le nom comporte un espace.__** | __point
99 Mot inconnu : __ => **__Point de montage dont le nom comporte un espace.__** | __

101 Mot inconnu : __Pour => __Pour la commande mount :__ l'espace doit être précédé d'un caractère d’échappement **\**, ou le nom du dossier mis entre guillemets **""** . | __pour
101 Mot inconnu : mount => __Pour la commande mount :__ l'espace doit être précédé d'un caractère d’échappement **\**, ou le nom du dossier mis entre guillemets **""** . | mount
101 Mot inconnu : __ => __Pour la commande mount :__ l'espace doit être précédé d'un caractère d’échappement **\**, ou le nom du dossier mis entre guillemets **""** . | __

103 Mot inconnu : __Pour => __Pour Fstab :__ l'espace doit être remplacé par **\040** . | __pour
103 Mot inconnu : Fstab => __Pour Fstab :__ l'espace doit être remplacé par **\040** . | fstab
103 Mot inconnu : __ => __Pour Fstab :__ l'espace doit être remplacé par **\040** . | __

109 Guillemets typographiques ouvrants. => Le type de fichiers est normalement détecté par la commande ''mount''. Néanmoins il peut être nécessaire de lui imposer un format : | '' => suggestions : ['«\xa0', '“']
109 Mot inconnu : mount => Le type de fichiers est normalement détecté par la commande ''mount''. Néanmoins il peut être nécessaire de lui imposer un format : | mount
109 Guillemets typographiques fermants. => Le type de fichiers est normalement détecté par la commande ''mount''. Néanmoins il peut être nécessaire de lui imposer un format : | '' => suggestions : ['\xa0»', '”']

112 Guillemets typographiques ouvrants. => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | '' => suggestions : ['«\xa0', '“']
112 Mot inconnu : ext2 => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | ext2
112 Mot inconnu : ext3 => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | ext3
112 Mot inconnu : ext4 => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | ext4
112 Mot inconnu : f2fs => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | f2fs
112 Guillemets typographiques fermants. => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | '' => suggestions : ['\xa0»', '”']
112 Mot inconnu : Fat16 => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | fat16
112 Guillemets typographiques ouvrants. => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | '' => suggestions : ['«\xa0', '“']
112 Mot inconnu : vfat => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | vfat
112 Guillemets typographiques fermants. => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | '' => suggestions : ['\xa0»', '”']
112 Mot inconnu : Fat32 => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | fat32
112 Guillemets typographiques ouvrants. => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | '' => suggestions : ['«\xa0', '“']
112 Mot inconnu : ntfs => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | ntfs
112 Mot inconnu : reiserfs => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | reiserfs
112 Mot inconnu : btrfs => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | btrfs
112 Mot inconnu : tmpfs => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | tmpfs
112 Mot inconnu : iso9660 => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | iso9660
112 Guillemets typographiques fermants. => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | '' => suggestions : ['\xa0»', '”']
112 Typographie : pas de virgule avant les points de suspension. => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | ,… => suggestions : ['…']
112 Guillemets typographiques fermants. => ''ext2, ext3, ext4, f2fs, fat'' (Fat16), ''vfat'' (Fat32), ''ntfs, reiserfs, btrfs, tmpfs, iso9660''(Disques)'',…'' | '' => suggestions : ['\xa0»', '”']
114 Espace(s) en fin de ligne à supprimer. => Exemples :  |   => suggestions : ['']

121 Pléonasme. => On peut aussi monter des fichiers, comme par exemple des Isos (images disque) : | comme par exemple => suggestions : ['comme', 'par exemple']
121 Mot inconnu : Isos => On peut aussi monter des fichiers, comme par exemple des Isos (images disque) : | isos

125 Mot inconnu : linux => === Système de fichier linux === | linux

126 Mot inconnu : Ext2 => En ce qui concerne les systèmes de fichiers qui ont une gestion des permissions (comme Ext2, Ext3, ReiserFs etc...), si vous souhaitez pouvoir écrire dans cette partition en tant que simple utilisateur, vous devez [[/permissions#modifier_les_permissions|changer les permissions ou l'appartenance du répertoire racine de la partition]].  | ext2
126 Mot inconnu : Ext3 => En ce qui concerne les systèmes de fichiers qui ont une gestion des permissions (comme Ext2, Ext3, ReiserFs etc...), si vous souhaitez pouvoir écrire dans cette partition en tant que simple utilisateur, vous devez [[/permissions#modifier_les_permissions|changer les permissions ou l'appartenance du répertoire racine de la partition]].  | ext3
126 Mot inconnu : ReiserFs => En ce qui concerne les systèmes de fichiers qui ont une gestion des permissions (comme Ext2, Ext3, ReiserFs etc...), si vous souhaitez pouvoir écrire dans cette partition en tant que simple utilisateur, vous devez [[/permissions#modifier_les_permissions|changer les permissions ou l'appartenance du répertoire racine de la partition]].  | reiserfs
126 Avant « etc. », il faut mettre une virgule. => En ce qui concerne les systèmes de fichiers qui ont une gestion des permissions (comme Ext2, Ext3, ReiserFs etc...), si vous souhaitez pouvoir écrire dans cette partition en tant que simple utilisateur, vous devez [[/permissions#modifier_les_permissions|changer les permissions ou l'appartenance du répertoire racine de la partition]].  |  etc. => suggestions : [', etc.']
126 Un seul point après « etc. » => En ce qui concerne les systèmes de fichiers qui ont une gestion des permissions (comme Ext2, Ext3, ReiserFs etc...), si vous souhaitez pouvoir écrire dans cette partition en tant que simple utilisateur, vous devez [[/permissions#modifier_les_permissions|changer les permissions ou l'appartenance du répertoire racine de la partition]].  | etc... => suggestions : ['etc.']
126 Espace(s) en fin de ligne à supprimer. => En ce qui concerne les systèmes de fichiers qui ont une gestion des permissions (comme Ext2, Ext3, ReiserFs etc...), si vous souhaitez pouvoir écrire dans cette partition en tant que simple utilisateur, vous devez [[/permissions#modifier_les_permissions|changer les permissions ou l'appartenance du répertoire racine de la partition]].  |   => suggestions : ['']

128 Mot inconnu : ext3 => Dans notre exemple précédent, si ''/dev/sdc3'' est en ext3 :\\ | ext3

129 Guillemets typographiques fermants. => Après avoir monté la partition dans ''/media/stock'' : | '' => suggestions : ['\xa0»', '”']

137 Mot inconnu : linux => === Système de fichier non linux === | linux
142 Mot inconnu : umask => Cette méthode a un inconvénient : les autorisations en exécution sont nécessaires pour les répertoires mais pénibles pour les fichiers. On peut alors préciser un umask pour chacun d'eux : | umask

146 Mot inconnu : umask => Vous pouvez également restreindre les droits en montant le système de fichier en lecture seule (c'est-à-dire avec aucun droit en écriture). L'option "-o umask=0222" est alors tout indiquée. | umask
146 Guillemets typographiques fermants. => Vous pouvez également restreindre les droits en montant le système de fichier en lecture seule (c'est-à-dire avec aucun droit en écriture). L'option "-o umask=0222" est alors tout indiquée. | " => suggestions : ['\xa0»', '”']

150 Mot inconnu : default => D'autres options peuvent être spécifiées au montage comme nous le verrons dans le paragraphe suivant. Les mêmes options (''default'', etc) peuvent être spécifiées avec ''mount'', après "''-o''". Par exemple : | default
150 Guillemets typographiques fermants. => D'autres options peuvent être spécifiées au montage comme nous le verrons dans le paragraphe suivant. Les mêmes options (''default'', etc) peuvent être spécifiées avec ''mount'', après "''-o''". Par exemple : | '' => suggestions : ['\xa0»', '”']
150 Guillemets typographiques ouvrants. => D'autres options peuvent être spécifiées au montage comme nous le verrons dans le paragraphe suivant. Les mêmes options (''default'', etc) peuvent être spécifiées avec ''mount'', après "''-o''". Par exemple : | '' => suggestions : ['«\xa0', '“']
150 Mot inconnu : mount => D'autres options peuvent être spécifiées au montage comme nous le verrons dans le paragraphe suivant. Les mêmes options (''default'', etc) peuvent être spécifiées avec ''mount'', après "''-o''". Par exemple : | mount
150 Guillemets typographiques fermants. => D'autres options peuvent être spécifiées au montage comme nous le verrons dans le paragraphe suivant. Les mêmes options (''default'', etc) peuvent être spécifiées avec ''mount'', après "''-o''". Par exemple : | '' => suggestions : ['\xa0»', '”']
150 Guillemets typographiques fermants. => D'autres options peuvent être spécifiées au montage comme nous le verrons dans le paragraphe suivant. Les mêmes options (''default'', etc) peuvent être spécifiées avec ''mount'', après "''-o''". Par exemple : | '' => suggestions : ['\xa0»', '”']

154 Mot inconnu : fstab => ===== Le fichier fstab (montage automatique) ===== | fstab

156 Mot inconnu : __automatiquement => Le fichier **''/etc/fstab''** liste les partitions qui seront montées __automatiquement au démarrage__ ou à la connexion du périphérique, avec toujours les mêmes options. \\  | __automatiquement
156 Mot inconnu : démarrage__ => Le fichier **''/etc/fstab''** liste les partitions qui seront montées __automatiquement au démarrage__ ou à la connexion du périphérique, avec toujours les mêmes options. \\  | démarrage__
156 Espace(s) en fin de ligne à supprimer. => Le fichier **''/etc/fstab''** liste les partitions qui seront montées __automatiquement au démarrage__ ou à la connexion du périphérique, avec toujours les mêmes options. \\  |   => suggestions : ['']

157 Espace(s) en fin de ligne à supprimer. => Il est composé de plusieurs lignes décrivant chacune les conditions de montage de chaque partition / système de fichier.\\  |   => suggestions : ['']

158 Mot inconnu : fstab => Le fichier **fstab** est créé lors de l'installation, avec le montage de la partition principale, et de la [[swap|swap]]. Mais on peut y ajouter manuellement des partitions supplémentaires, qui seront alors automatiquement lues par le système au démarrage. | fstab
165 Mot inconnu : static => # /etc/fstab: static file system information. | static
165 Mot inconnu : system => # /etc/fstab: static file system information. | system

167 Guillemets typographiques ouvrants. => # Use 'blkid' to print the universally unique identifier for a | ' => suggestions : ['“', '‘', '‹']
167 Mot inconnu : blkid => # Use 'blkid' to print the universally unique identifier for a | blkid
167 Guillemets typographiques fermants. => # Use 'blkid' to print the universally unique identifier for a | ' => suggestions : ['”', '’', '›']
167 Mot inconnu : to => # Use 'blkid' to print the universally unique identifier for a | to
167 Mot inconnu : print => # Use 'blkid' to print the universally unique identifier for a | print
167 Mot inconnu : the => # Use 'blkid' to print the universally unique identifier for a | the
167 Mot inconnu : universally => # Use 'blkid' to print the universally unique identifier for a | universally

168 Mot inconnu : device => # device; this may be used with UUID= as a more robust way to name devices | device
168 Mot inconnu : this => # device; this may be used with UUID= as a more robust way to name devices | this
168 Mot inconnu : may => # device; this may be used with UUID= as a more robust way to name devices | may
168 Mot inconnu : used => # device; this may be used with UUID= as a more robust way to name devices | used
168 Mot inconnu : with => # device; this may be used with UUID= as a more robust way to name devices | with
168 Mot inconnu : UUID => # device; this may be used with UUID= as a more robust way to name devices | uuid
168 Mot inconnu : robust => # device; this may be used with UUID= as a more robust way to name devices | robust
168 Mot inconnu : way => # device; this may be used with UUID= as a more robust way to name devices | way
168 Mot inconnu : to => # device; this may be used with UUID= as a more robust way to name devices | to
168 Mot inconnu : name => # device; this may be used with UUID= as a more robust way to name devices | name
168 Mot inconnu : devices => # device; this may be used with UUID= as a more robust way to name devices | devices

169 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => # that works even if disks are added and removed. See fstab(5). | that => suggestions : ['That']
169 Mot inconnu : that => # that works even if disks are added and removed. See fstab(5). | that
169 Mot inconnu : works => # that works even if disks are added and removed. See fstab(5). | works
169 Mot inconnu : even => # that works even if disks are added and removed. See fstab(5). | even
169 Mot inconnu : disks => # that works even if disks are added and removed. See fstab(5). | disks
169 Mot inconnu : added => # that works even if disks are added and removed. See fstab(5). | added
169 Mot inconnu : and => # that works even if disks are added and removed. See fstab(5). | and
169 Mot inconnu : removed => # that works even if disks are added and removed. See fstab(5). | removed
169 Mot inconnu : See => # that works even if disks are added and removed. See fstab(5). | see
169 Mot inconnu : fstab => # that works even if disks are added and removed. See fstab(5). | fstab

172 Mot inconnu : was => # / was on /dev/sda7 during installation | was
172 Mot inconnu : during => # / was on /dev/sda7 during installation | during

173 Mot inconnu : UUID => UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb    /               ext4    errors=remount-ro 0     1 | uuid
173 Mot inconnu : b870b8-a81e-4203-a4fd-7affa9f412fb => UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb    /               ext4    errors=remount-ro 0     1 | b870b8-a81e-4203-a4fd-7affa9f412fb
173 Espace(s) surnuméraire(s) à supprimer. => UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb    /               ext4    errors=remount-ro 0     1 |      => suggestions : [' ']
173 Mot inconnu : ext4 => UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb    /               ext4    errors=remount-ro 0     1 | ext4
173 Espace(s) surnuméraire(s) à supprimer. => UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb    /               ext4    errors=remount-ro 0     1 |      => suggestions : [' ']
173 Mot inconnu : errors => UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb    /               ext4    errors=remount-ro 0     1 | errors
173 Mot inconnu : remount-ro => UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb    /               ext4    errors=remount-ro 0     1 | remount-ro
173 Espace(s) surnuméraire(s) à supprimer. => UUID=33b870b8-a81e-4203-a4fd-7affa9f412fb    /               ext4    errors=remount-ro 0     1 |       => suggestions : [' ']

174 Mot inconnu : was => # /boot was on /dev/sda5 during installation | was
174 Mot inconnu : during => # /boot was on /dev/sda5 during installation | during

175 Espace(s) surnuméraire(s) à supprimer. => /dev/sda5                                    /boot           ext2    defaults          0       2 |                                      => suggestions : [' ']
175 Espace(s) surnuméraire(s) à supprimer. => /dev/sda5                                    /boot           ext2    defaults          0       2 |             => suggestions : [' ']
175 Mot inconnu : ext2 => /dev/sda5                                    /boot           ext2    defaults          0       2 | ext2
175 Espace(s) surnuméraire(s) à supprimer. => /dev/sda5                                    /boot           ext2    defaults          0       2 |      => suggestions : [' ']
175 Mot inconnu : defaults => /dev/sda5                                    /boot           ext2    defaults          0       2 | defaults
175 Espace(s) surnuméraire(s) à supprimer. => /dev/sda5                                    /boot           ext2    defaults          0       2 |            => suggestions : [' ']
175 Espace(s) surnuméraire(s) à supprimer. => /dev/sda5                                    /boot           ext2    defaults          0       2 |         => suggestions : [' ']

176 Mot inconnu : was => # /musique was on /dev/sda8 during installation | was
176 Mot inconnu : during => # /musique was on /dev/sda8 during installation | during

177 Espace(s) surnuméraire(s) à supprimer. => LABEL=ma-musique                             /musique        ext4    defaults          0       2 |                               => suggestions : [' ']
177 Espace(s) surnuméraire(s) à supprimer. => LABEL=ma-musique                             /musique        ext4    defaults          0       2 |          => suggestions : [' ']
177 Mot inconnu : ext4 => LABEL=ma-musique                             /musique        ext4    defaults          0       2 | ext4
177 Espace(s) surnuméraire(s) à supprimer. => LABEL=ma-musique                             /musique        ext4    defaults          0       2 |      => suggestions : [' ']
177 Mot inconnu : defaults => LABEL=ma-musique                             /musique        ext4    defaults          0       2 | defaults
177 Espace(s) surnuméraire(s) à supprimer. => LABEL=ma-musique                             /musique        ext4    defaults          0       2 |            => suggestions : [' ']
177 Espace(s) surnuméraire(s) à supprimer. => LABEL=ma-musique                             /musique        ext4    defaults          0       2 |         => suggestions : [' ']

178 Mot inconnu : was => # swap was on /dev/sda6 during installation | was
178 Mot inconnu : during => # swap was on /dev/sda6 during installation | during

179 Mot inconnu : UUID => UUID=2c442228-1991-48c7-bad9-a80dfc8267cf    none            swap    sw                0       0 | uuid
179 Mot inconnu : c442228-1991-48c7-bad9-a80dfc8267cf => UUID=2c442228-1991-48c7-bad9-a80dfc8267cf    none            swap    sw                0       0 | c442228-1991-48c7-bad9-a80dfc8267cf
179 Espace(s) surnuméraire(s) à supprimer. => UUID=2c442228-1991-48c7-bad9-a80dfc8267cf    none            swap    sw                0       0 |      => suggestions : [' ']
179 Espace(s) surnuméraire(s) à supprimer. => UUID=2c442228-1991-48c7-bad9-a80dfc8267cf    none            swap    sw                0       0 |              => suggestions : [' ']
179 Espace(s) surnuméraire(s) à supprimer. => UUID=2c442228-1991-48c7-bad9-a80dfc8267cf    none            swap    sw                0       0 |      => suggestions : [' ']
179 Mot inconnu : sw => UUID=2c442228-1991-48c7-bad9-a80dfc8267cf    none            swap    sw                0       0 | sw
179 Espace(s) surnuméraire(s) à supprimer. => UUID=2c442228-1991-48c7-bad9-a80dfc8267cf    none            swap    sw                0       0 |                  => suggestions : [' ']
179 Espace(s) surnuméraire(s) à supprimer. => UUID=2c442228-1991-48c7-bad9-a80dfc8267cf    none            swap    sw                0       0 |         => suggestions : [' ']

181 Mot inconnu : sda7 => Ici, le disque principal est sda7, et son swap est sda6. Ces lignes ont été créées par l'installateur. Les partitions additionnelles montées sont sda5 et sda8, et ont été ajoutées à la main. | sda7
181 Mot inconnu : sda6 => Ici, le disque principal est sda7, et son swap est sda6. Ces lignes ont été créées par l'installateur. Les partitions additionnelles montées sont sda5 et sda8, et ont été ajoutées à la main. | sda6
181 Mot inconnu : sda5 => Ici, le disque principal est sda7, et son swap est sda6. Ces lignes ont été créées par l'installateur. Les partitions additionnelles montées sont sda5 et sda8, et ont été ajoutées à la main. | sda5
181 Mot inconnu : sda8 => Ici, le disque principal est sda7, et son swap est sda6. Ces lignes ont été créées par l'installateur. Les partitions additionnelles montées sont sda5 et sda8, et ont été ajoutées à la main. | sda8

182 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - la colonne **<file system>** indique la partition elle-même. Il y a plusieurs solutions, mais les 4 principales sont : |    => suggestions : ['']
182 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - la colonne **<file system>** indique la partition elle-même. Il y a plusieurs solutions, mais les 4 principales sont : |  -  => suggestions : [' – ', ' — ', ' − ']

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - l'UUID ([[https://fr.wikipedia.org/wiki/Universal_Unique_Identifier|Universal Unique Identifier]]) de la partition. Celle-ci sera obtenue via un **sudo blkid**, via [[gnome-disk-utility|gnome-disk]], ou via [[gparted|gparted]]. Un UUID ressemble à cela **UUID=2c442228-1991-48c7-bad9-a80dfc8267cf** |      => suggestions : ['']
183 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - l'UUID ([[https://fr.wikipedia.org/wiki/Universal_Unique_Identifier|Universal Unique Identifier]]) de la partition. Celle-ci sera obtenue via un **sudo blkid**, via [[gnome-disk-utility|gnome-disk]], ou via [[gparted|gparted]]. Un UUID ressemble à cela **UUID=2c442228-1991-48c7-bad9-a80dfc8267cf** |  -  => suggestions : [' – ', ' — ', ' − ']
183 Mot inconnu : UUID =>     - l'UUID ([[https://fr.wikipedia.org/wiki/Universal_Unique_Identifier|Universal Unique Identifier]]) de la partition. Celle-ci sera obtenue via un **sudo blkid**, via [[gnome-disk-utility|gnome-disk]], ou via [[gparted|gparted]]. Un UUID ressemble à cela **UUID=2c442228-1991-48c7-bad9-a80dfc8267cf** | uuid
