
4 Mot inconnu : The [[7:10]] => ====== The Elders Scrolls II : Daggerfall ====== <|> the
92 Guillemets typographiques ouvrants. [[39:40]] => Copiez ce code dans un fichier nommé //"daggerfall"// : <|> " => suggestions : « “
92 Mot inconnu : daggerfall [[40:50]] => Copiez ce code dans un fichier nommé //"daggerfall"// : <|> daggerfall
92 Guillemets typographiques fermants. [[50:51]] => Copiez ce code dans un fichier nommé //"daggerfall"// : <|> " => suggestions :  »”
95 Mot inconnu : timidity [[9:17]] => 	killall timidity <|> timidity

96 Mot inconnu : timidity [[1:9]] => 	timidity -iA -B4,8 -Os -s 44100 & <|> timidity
96 Il manque un espace à côté du tiret. [[9:11]] => 	timidity -iA -B4,8 -Os -s 44100 & <|>  - => suggestions :  –  — 
96 Mot inconnu : iA [[11:13]] => 	timidity -iA -B4,8 -Os -s 44100 & <|> ia
96 Mot inconnu : B4 [[15:17]] => 	timidity -iA -B4,8 -Os -s 44100 & <|> b4
96 Il manque un espace. [[18:19]] => 	timidity -iA -B4,8 -Os -s 44100 & <|> 8 => suggestions :  8
96 Formatage des grands nombres. [[27:32]] => 	timidity -iA -B4,8 -Os -s 44100 & <|> 44100 => suggestions : 44 100

97 Mot inconnu : dosbox [[1:7]] => 	dosbox -conf "/home/toto/Jeux/Daggerfall/dosbox.conf" <|> dosbox
97 Il manque un espace à côté du tiret. [[7:9]] => 	dosbox -conf "/home/toto/Jeux/Daggerfall/dosbox.conf" <|>  - => suggestions :  –  — 
98 Mot inconnu : timidity [[9:17]] => 	killall timidity <|> timidity

103 Mot inconnu : sudo [[1:5]] => 	sudo chown root "/usr/games/daggerfall" <|> sudo

104 Mot inconnu : sudo [[1:5]] => 	sudo chgrp games "/usr/games/daggerfall" <|> sudo
104 Mot inconnu : chgrp [[6:11]] => 	sudo chgrp games "/usr/games/daggerfall" <|> chgrp
104 Mot inconnu : games [[12:17]] => 	sudo chgrp games "/usr/games/daggerfall" <|> games

105 Mot inconnu : sudo [[1:5]] => 	sudo chmod +x "/usr/games/daggerfall" <|> sudo

112 Mot inconnu : sudo [[1:5]] => 	sudo cp /home/toto/daggerfall /usr/games/ <|> sudo
112 Mot inconnu : cp [[6:8]] => 	sudo cp /home/toto/daggerfall /usr/games/ <|> cp

115 Mot inconnu : daggerfall [[35:45]] => Dorénavant, quand vous taperez **//daggerfall//** dans un terminal : le jeu Daggerfall se lancera dans l'émulateur DOSBox ! <|> daggerfall
115 Mot inconnu : Daggerfall [[76:86]] => Dorénavant, quand vous taperez **//daggerfall//** dans un terminal : le jeu Daggerfall se lancera dans l'émulateur DOSBox ! <|> daggerfall
115 Mot inconnu : DOSBox [[115:121]] => Dorénavant, quand vous taperez **//daggerfall//** dans un terminal : le jeu Daggerfall se lancera dans l'émulateur DOSBox ! <|> dosbox

120 Mot inconnu : daggerfall [[46:56]] => Il est même possible d'utiliser la commande //daggerfall// pour démarrer le jeu depuis un lanceur d'application personnalisé du tableau de bord de Gnome ou de Kde. <|> daggerfall

124 Mot inconnu : dosbox [[8:14]] => === (2) dosbox.conf === <|> dosbox
124 Il manque un espace. [[15:19]] => === (2) dosbox.conf === <|> conf => suggestions :  conf

126 Accord de nombre erroné : « détails » est au pluriel. [[6:8]] => Voici le détails du fichier //"dosbox.conf"// pour ce lanceur. <|> le => suggestions : les
126 Accord de nombre erroné : « détails » devrait être au singulier. [[9:16]] => Voici le détails du fichier //"dosbox.conf"// pour ce lanceur. <|> détails => suggestions : détail
126 Guillemets typographiques ouvrants. [[30:31]] => Voici le détails du fichier //"dosbox.conf"// pour ce lanceur. <|> " => suggestions : « “
126 Mot inconnu : dosbox [[31:37]] => Voici le détails du fichier //"dosbox.conf"// pour ce lanceur. <|> dosbox
126 Il manque un espace. [[38:42]] => Voici le détails du fichier //"dosbox.conf"// pour ce lanceur. <|> conf => suggestions :  conf
126 Guillemets typographiques fermants. [[42:43]] => Voici le détails du fichier //"dosbox.conf"// pour ce lanceur. <|> " => suggestions :  »”

128 Guillemets typographiques ouvrants. [[20:21]] => Copiez le fichier //"dosbox.conf"// dans le répertoire de Daggerfall. <|> " => suggestions : « “
128 Mot inconnu : dosbox [[21:27]] => Copiez le fichier //"dosbox.conf"// dans le répertoire de Daggerfall. <|> dosbox
128 Il manque un espace. [[28:32]] => Copiez le fichier //"dosbox.conf"// dans le répertoire de Daggerfall. <|> conf => suggestions :  conf
128 Guillemets typographiques fermants. [[32:33]] => Copiez le fichier //"dosbox.conf"// dans le répertoire de Daggerfall. <|> " => suggestions :  »”
128 Mot inconnu : Daggerfall [[58:68]] => Copiez le fichier //"dosbox.conf"// dans le répertoire de Daggerfall. <|> daggerfall

130 Forme interrogative ? Mettez un trait d’union. [[28:40]] => Dans la section **[midi]**, assurez vous que les informations correspondent à votre configuration matérielle. Avec //timidity//, on a par exemple : <|> assurez vous => suggestions : assurez-vous
130 Mot inconnu : timidity [[117:125]] => Dans la section **[midi]**, assurez vous que les informations correspondent à votre configuration matérielle. Avec //timidity//, on a par exemple : <|> timidity

133 Mot inconnu : mpu401 [[1:7]] => 	mpu401=intelligent <|> mpu401

134 Mot inconnu : device [[1:7]] => 	device=alsa <|> device

137 Mot inconnu : autoexec [[19:27]] => Dans la section **[autoexec]**, ajoutez les lignes suivantes : <|> autoexec

139 Mot inconnu : autoexec [[2:10]] => 	[autoexec] <|> autoexec

140 Mot inconnu : mount [[1:6]] => 	mount c ~/Jeux <|> mount

142 Mot inconnu : Daggerfall [[4:14]] => 	cd Daggerfall <|> daggerfall

143 Mot inconnu : fall [[1:5]] => 	fall.exe z.cfg <|> fall
143 Mot inconnu : cfg [[12:15]] => 	fall.exe z.cfg <|> cfg

145 Mot inconnu : DOSBox [[41:47]] => Ainsi, avec ce fichier de configuration, DOSBox lancera automatiquement Daggerfall lors de son démarrage. <|> dosbox
145 Mot inconnu : Daggerfall [[72:82]] => Ainsi, avec ce fichier de configuration, DOSBox lancera automatiquement Daggerfall lors de son démarrage. <|> daggerfall
