
5 Mot inconnu : One => =======Acer Aspire One======= | one
22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque SSD de 16 Gio (A110B) |  -  => suggestions : [' – ', ' — ', ' − ']
22 Mot inconnu : Atom =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque SSD de 16 Gio (A110B) | atom
22 Si “Ghz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque SSD de 16 Gio (A110B) | 1,6 ghz => suggestions : ['1,6\xa0Ghz']
22 Mot inconnu : Ghz =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque SSD de 16 Gio (A110B) | ghz
22 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque SSD de 16 Gio (A110B) | 1024 mio => suggestions : ['1\xa0024\xa0Mio']
22 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque SSD de 16 Gio (A110B) | 16 gio => suggestions : ['16\xa0Gio']
22 Mot inconnu : A110B =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque SSD de 16 Gio (A110B) | a110b

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 120 Gio (A150) |    => suggestions : ['']
23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 120 Gio (A150) |  -  => suggestions : [' – ', ' — ', ' − ']
23 Mot inconnu : Atom =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 120 Gio (A150) | atom
23 Si “Ghz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 120 Gio (A150) | 1,6 ghz => suggestions : ['1,6\xa0Ghz']
23 Mot inconnu : Ghz =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 120 Gio (A150) | ghz
23 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 120 Gio (A150) | 1024 mio => suggestions : ['1\xa0024\xa0Mio']
23 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 120 Gio (A150) | 120 gio => suggestions : ['120\xa0Gio']
23 Mot inconnu : A150 =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 120 Gio (A150) | a150

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 160 Gio (AOA150) |    => suggestions : ['']
24 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 160 Gio (AOA150) |  -  => suggestions : [' – ', ' — ', ' − ']
24 Mot inconnu : Atom =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 160 Gio (AOA150) | atom
24 Si “Ghz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 160 Gio (AOA150) | 1,6 ghz => suggestions : ['1,6\xa0Ghz']
24 Mot inconnu : Ghz =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 160 Gio (AOA150) | ghz
24 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 160 Gio (AOA150) | 1024 mio => suggestions : ['1\xa0024\xa0Mio']
24 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 160 Gio (AOA150) | 160 gio => suggestions : ['160\xa0Gio']
24 Mot inconnu : AOA150 =>   - Processeur Intel Atom de 1,6 Ghz, 1024 Mio de RAM et d'un disque dur de 160 Gio (AOA150) | aoa150

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  |    => suggestions : ['']
25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  |  -  => suggestions : [' – ', ' — ', ' − ']
25 Typographie : succession de points. Utilisez le caractère dédié. =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | ........... => suggestions : ['………']
25 Mot inconnu : Atom =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | atom
25 Mot inconnu : processor =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | processor
25 Espace(s) surnuméraire(s) à supprimer. =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  |    => suggestions : [' ']
25 Mot inconnu : N270 =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | n270
25 Mot inconnu : FSB =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | fsb
25 Mot inconnu : MEMORY =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | memory
25 Mot inconnu : GB =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | gb
25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  |  -  => suggestions : [' – ', ' — ', ' − ']
25 Mot inconnu : STORAGE =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | storage
25 Mot inconnu : GB =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | gb
25 Mot inconnu : HDD =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | hdd
25 Mot inconnu : BATETRY =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | batetry
25 Mot inconnu : cell =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | cell
25 Mot inconnu : battery =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | battery
25 Mot inconnu : netbook =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | netbook
25 Mot inconnu : Cheese =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | cheese
25 Mot inconnu : wbcam =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | wbcam
25 Pas d’espace après ce signe. =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | (  => suggestions : ['(']
25 Mot inconnu : préference =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | préference
25 Mot inconnu : Cheese =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  | cheese
25 Espace(s) en fin de ligne à supprimer. =>   - CPU...........Intel Atom(TM) processor  N270 (1.6 GHz, 533 MHz FSB)  MEMORY 1 GB - STORAGE 250GB HDD BATETRY 6-cell Li-ion battery, (Compatible avec le netbook ubuntu 9.10 a 100/100) (Cheese et la wbcam intégrer)( pour enregistrer une vidéo il faut baisser la résolution dans préference de Cheese)  |   => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                 |                 => suggestions : ['']

28 Grands nombres : utilisez des espaces insécables. => La version 3 cellules a une capacité de 2 200 mAh, soit presque 3h d'autonomie. | 2 200 => suggestions : ['2\xa0200']
28 Si “mAh” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => La version 3 cellules a une capacité de 2 200 mAh, soit presque 3h d'autonomie. | 200 mah => suggestions : ['200\xa0mAh']

29 Grands nombres : utilisez des espaces insécables. => La version 6 cellules a une capacité de 2 600 mAh, soit presque 5h d'autonomie. | 2 600 => suggestions : ['2\xa0600']
29 Si “mAh” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => La version 6 cellules a une capacité de 2 600 mAh, soit presque 5h d'autonomie. | 600 mah => suggestions : ['600\xa0mAh']

30 Grands nombres : utilisez des espaces insécables. => Mais il existe des batteries plus grosses de 7 350 mAh, soit presque 10h d'autonomie. | 7 350 => suggestions : ['7\xa0350']
30 Si “mAh” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Mais il existe des batteries plus grosses de 7 350 mAh, soit presque 10h d'autonomie. | 350 mah => suggestions : ['350\xa0mAh']

34 Mot inconnu : SD => ==== Via une SD card ou clé USB ====  | sd
34 Mot inconnu : card => ==== Via une SD card ou clé USB ====  | card
34 Espace(s) en fin de ligne à supprimer. => ==== Via une SD card ou clé USB ====  |   => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Télécharger l'image liveCD d'Ubuntu, Xubuntu ou Kubuntu (.iso) ou utiliser un CD bootable que vous avez peut-être déjà confectionné. |    => suggestions : ['']
37 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Télécharger l'image liveCD d'Ubuntu, Xubuntu ou Kubuntu (.iso) ou utiliser un CD bootable que vous avez peut-être déjà confectionné. |  -  => suggestions : [' – ', ' — ', ' − ']
37 Mot inconnu : liveCD =>   - Télécharger l'image liveCD d'Ubuntu, Xubuntu ou Kubuntu (.iso) ou utiliser un CD bootable que vous avez peut-être déjà confectionné. | livecd
37 Mot inconnu : Xubuntu =>   - Télécharger l'image liveCD d'Ubuntu, Xubuntu ou Kubuntu (.iso) ou utiliser un CD bootable que vous avez peut-être déjà confectionné. | xubuntu
37 Mot inconnu : iso =>   - Télécharger l'image liveCD d'Ubuntu, Xubuntu ou Kubuntu (.iso) ou utiliser un CD bootable que vous avez peut-être déjà confectionné. | iso
37 Mot inconnu : bootable =>   - Télécharger l'image liveCD d'Ubuntu, Xubuntu ou Kubuntu (.iso) ou utiliser un CD bootable que vous avez peut-être déjà confectionné. | bootable

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Utiliser l'utilitaire "Créer un disque de démarrage USB" dans le menu administration d'Ubuntu Jaunty Jakalope (Utiliser une SD card de 1 Go) |    => suggestions : ['']
38 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Utiliser l'utilitaire "Créer un disque de démarrage USB" dans le menu administration d'Ubuntu Jaunty Jakalope (Utiliser une SD card de 1 Go) |  -  => suggestions : [' – ', ' — ', ' − ']
38 Guillemets typographiques ouvrants. =>   - Utiliser l'utilitaire "Créer un disque de démarrage USB" dans le menu administration d'Ubuntu Jaunty Jakalope (Utiliser une SD card de 1 Go) | " => suggestions : ['«\xa0', '“']
38 Guillemets typographiques fermants. =>   - Utiliser l'utilitaire "Créer un disque de démarrage USB" dans le menu administration d'Ubuntu Jaunty Jakalope (Utiliser une SD card de 1 Go) | " => suggestions : ['\xa0»', '”']
38 Mot inconnu : Jaunty =>   - Utiliser l'utilitaire "Créer un disque de démarrage USB" dans le menu administration d'Ubuntu Jaunty Jakalope (Utiliser une SD card de 1 Go) | jaunty
38 Mot inconnu : Jakalope =>   - Utiliser l'utilitaire "Créer un disque de démarrage USB" dans le menu administration d'Ubuntu Jaunty Jakalope (Utiliser une SD card de 1 Go) | jakalope
38 Mot inconnu : SD =>   - Utiliser l'utilitaire "Créer un disque de démarrage USB" dans le menu administration d'Ubuntu Jaunty Jakalope (Utiliser une SD card de 1 Go) | sd
38 Mot inconnu : card =>   - Utiliser l'utilitaire "Créer un disque de démarrage USB" dans le menu administration d'Ubuntu Jaunty Jakalope (Utiliser une SD card de 1 Go) | card

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Modifier l'ordre de bootage de votre ACER Aspire One (touche F2 à l'allumage) - mettez en premier le lecteur de SD card ou lecteur USB - Enregistrer la modification du Bios |    => suggestions : ['']
39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Modifier l'ordre de bootage de votre ACER Aspire One (touche F2 à l'allumage) - mettez en premier le lecteur de SD card ou lecteur USB - Enregistrer la modification du Bios |  -  => suggestions : [' – ', ' — ', ' − ']
39 Mot inconnu : bootage =>   - Modifier l'ordre de bootage de votre ACER Aspire One (touche F2 à l'allumage) - mettez en premier le lecteur de SD card ou lecteur USB - Enregistrer la modification du Bios | bootage
39 Mot inconnu : One =>   - Modifier l'ordre de bootage de votre ACER Aspire One (touche F2 à l'allumage) - mettez en premier le lecteur de SD card ou lecteur USB - Enregistrer la modification du Bios | one
39 Typographie des composés chimiques. =>   - Modifier l'ordre de bootage de votre ACER Aspire One (touche F2 à l'allumage) - mettez en premier le lecteur de SD card ou lecteur USB - Enregistrer la modification du Bios | f2 => suggestions : ['F₂']
39 Mot inconnu : F2 =>   - Modifier l'ordre de bootage de votre ACER Aspire One (touche F2 à l'allumage) - mettez en premier le lecteur de SD card ou lecteur USB - Enregistrer la modification du Bios | f2
39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Modifier l'ordre de bootage de votre ACER Aspire One (touche F2 à l'allumage) - mettez en premier le lecteur de SD card ou lecteur USB - Enregistrer la modification du Bios |  -  => suggestions : [' – ', ' — ', ' − ']
39 Mot inconnu : SD =>   - Modifier l'ordre de bootage de votre ACER Aspire One (touche F2 à l'allumage) - mettez en premier le lecteur de SD card ou lecteur USB - Enregistrer la modification du Bios | sd
39 Mot inconnu : card =>   - Modifier l'ordre de bootage de votre ACER Aspire One (touche F2 à l'allumage) - mettez en premier le lecteur de SD card ou lecteur USB - Enregistrer la modification du Bios | card
39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Modifier l'ordre de bootage de votre ACER Aspire One (touche F2 à l'allumage) - mettez en premier le lecteur de SD card ou lecteur USB - Enregistrer la modification du Bios |  -  => suggestions : [' – ', ' — ', ' − ']
39 Accord de nombre erroné : « Bios » devrait être au singulier. =>   - Modifier l'ordre de bootage de votre ACER Aspire One (touche F2 à l'allumage) - mettez en premier le lecteur de SD card ou lecteur USB - Enregistrer la modification du Bios | bios => suggestions : ['Bio']

