
4 Mot inconnu : Airis => ======  Tablette Airis Kira Slimpad ====== | airis
50 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => KDE4 est probablement le meilleur environnement de bureau pour une tablette. Le clic droit n'est tout simplement quasiment jamais requis (je n'ai pas d'exemple d'obligation de clic droit). La luminosité est réglable de base très simplement via l'icône de gestion de l'alimentation (la batterie). Je suggère de régler l'icône de gestion d'énergie afin qu'elle s'affiche en permanence, même quand la tablette est sur secteur et la batterie complètement chargée, afin de garder le réglage de la luminosité à porté de main. Le seul gros problème est l'utilisation de lanceurs sur le bureau. Cliquer est difficile car on bouge et ça déplace l'icône au lieu de la lancer la plupart du temps. On peut s'en passer. |  car => suggestions : [', car']

52 Mot inconnu : XFCE => Ensuite, XFCE s'en sort pas mal et sa rapidité au démarrage permet d'avoir une tablette rapidement utilisable (15 seconde de boot + quelques secondes pour l'affichage de la session) et c'est agréable. Après installation d'un thème GTK agréable si on n'aime pas ceux qui sont proposés de base, on obtient un environnement tout à fait utilisable. | xfce
52 Mot inconnu : boot => Ensuite, XFCE s'en sort pas mal et sa rapidité au démarrage permet d'avoir une tablette rapidement utilisable (15 seconde de boot + quelques secondes pour l'affichage de la session) et c'est agréable. Après installation d'un thème GTK agréable si on n'aime pas ceux qui sont proposés de base, on obtient un environnement tout à fait utilisable. | boot

53 Accord avec la forme verbale “sont” : “nécessaire” devrait être au pluriel. => Cependant, le clic droit est nécessaire pour régler le réseau / désactiver le Wi-Fi par exemple. Des manipulations sont également nécessaire pour permettre le réglage de la luminosité d'une manière simple (ajout de deux lanceurs sur le tableau de bord, utilisant xbacklight qui est décrit plus bas). Pour le clic droit, l'utilisation de mousetweak peut convenir. En jouant avec l'option "threshold", on arrive à avoir un clic droit utilisable. | nécessaire => suggestions : ['nécessaires']
53 Mot inconnu : xbacklight => Cependant, le clic droit est nécessaire pour régler le réseau / désactiver le Wi-Fi par exemple. Des manipulations sont également nécessaire pour permettre le réglage de la luminosité d'une manière simple (ajout de deux lanceurs sur le tableau de bord, utilisant xbacklight qui est décrit plus bas). Pour le clic droit, l'utilisation de mousetweak peut convenir. En jouant avec l'option "threshold", on arrive à avoir un clic droit utilisable. | xbacklight
53 Mot inconnu : mousetweak => Cependant, le clic droit est nécessaire pour régler le réseau / désactiver le Wi-Fi par exemple. Des manipulations sont également nécessaire pour permettre le réglage de la luminosité d'une manière simple (ajout de deux lanceurs sur le tableau de bord, utilisant xbacklight qui est décrit plus bas). Pour le clic droit, l'utilisation de mousetweak peut convenir. En jouant avec l'option "threshold", on arrive à avoir un clic droit utilisable. | mousetweak
53 Guillemets typographiques ouvrants. => Cependant, le clic droit est nécessaire pour régler le réseau / désactiver le Wi-Fi par exemple. Des manipulations sont également nécessaire pour permettre le réglage de la luminosité d'une manière simple (ajout de deux lanceurs sur le tableau de bord, utilisant xbacklight qui est décrit plus bas). Pour le clic droit, l'utilisation de mousetweak peut convenir. En jouant avec l'option "threshold", on arrive à avoir un clic droit utilisable. | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : threshold => Cependant, le clic droit est nécessaire pour régler le réseau / désactiver le Wi-Fi par exemple. Des manipulations sont également nécessaire pour permettre le réglage de la luminosité d'une manière simple (ajout de deux lanceurs sur le tableau de bord, utilisant xbacklight qui est décrit plus bas). Pour le clic droit, l'utilisation de mousetweak peut convenir. En jouant avec l'option "threshold", on arrive à avoir un clic droit utilisable. | threshold
53 Guillemets typographiques fermants. => Cependant, le clic droit est nécessaire pour régler le réseau / désactiver le Wi-Fi par exemple. Des manipulations sont également nécessaire pour permettre le réglage de la luminosité d'une manière simple (ajout de deux lanceurs sur le tableau de bord, utilisant xbacklight qui est décrit plus bas). Pour le clic droit, l'utilisation de mousetweak peut convenir. En jouant avec l'option "threshold", on arrive à avoir un clic droit utilisable. | " => suggestions : ['\xa0»', '”']

55 Accord de nombre erroné : « environnement » devrait être au pluriel. => Pour les environnement GTK comme Gnome Classic ou XFCE, il est nécessaire d'activer l'option /apps/gksu/disable-grab afin de pouvoir utiliser un clavier virtuel quand un mot de passe est demandé.  | environnement => suggestions : ['environnements']
55 Mot inconnu : Classic => Pour les environnement GTK comme Gnome Classic ou XFCE, il est nécessaire d'activer l'option /apps/gksu/disable-grab afin de pouvoir utiliser un clavier virtuel quand un mot de passe est demandé.  | classic
55 Mot inconnu : XFCE => Pour les environnement GTK comme Gnome Classic ou XFCE, il est nécessaire d'activer l'option /apps/gksu/disable-grab afin de pouvoir utiliser un clavier virtuel quand un mot de passe est demandé.  | xfce
55 Mot inconnu : apps => Pour les environnement GTK comme Gnome Classic ou XFCE, il est nécessaire d'activer l'option /apps/gksu/disable-grab afin de pouvoir utiliser un clavier virtuel quand un mot de passe est demandé.  | apps
55 Mot inconnu : gksu => Pour les environnement GTK comme Gnome Classic ou XFCE, il est nécessaire d'activer l'option /apps/gksu/disable-grab afin de pouvoir utiliser un clavier virtuel quand un mot de passe est demandé.  | gksu
55 Mot inconnu : disable-grab => Pour les environnement GTK comme Gnome Classic ou XFCE, il est nécessaire d'activer l'option /apps/gksu/disable-grab afin de pouvoir utiliser un clavier virtuel quand un mot de passe est demandé.  | disable-grab
55 Espace(s) en fin de ligne à supprimer. => Pour les environnement GTK comme Gnome Classic ou XFCE, il est nécessaire d'activer l'option /apps/gksu/disable-grab afin de pouvoir utiliser un clavier virtuel quand un mot de passe est demandé.  |   => suggestions : ['']

57 Mot inconnu : Gnome3 => Gnome3 en version normale ne fait malheureusement pas l'affaire pour la simple raison que les demandes de mots de passe et l'exécution rapide de programme par le raccourci Alt+F2 empêche l'utilisation de tout clavier virtuel. | gnome3
57 Typographie des composés chimiques. => Gnome3 en version normale ne fait malheureusement pas l'affaire pour la simple raison que les demandes de mots de passe et l'exécution rapide de programme par le raccourci Alt+F2 empêche l'utilisation de tout clavier virtuel. | f2 => suggestions : ['F₂']
57 Mot inconnu : F2 => Gnome3 en version normale ne fait malheureusement pas l'affaire pour la simple raison que les demandes de mots de passe et l'exécution rapide de programme par le raccourci Alt+F2 empêche l'utilisation de tout clavier virtuel. | f2

59 Guillemets typographiques ouvrants. => Les utilisateurs de Debian apprécieront le clavier virtuel "Florence", qui semble malheureusement cassé (mai 2012) (les touches qui affichent des images n'affichent plus leur logo (zoom+, zoom-, masquer, configuration, tab, shift, ...), mais reste quand même utilisable malgré ça. Il sera cependant plus difficile à prendre en main et il faudra deviner la place des touches si on ne les connaît pas déjà). Florence n'existe plus, il faudra utiliser onboard par exemple. | " => suggestions : ['«\xa0', '“']
59 Guillemets typographiques fermants. => Les utilisateurs de Debian apprécieront le clavier virtuel "Florence", qui semble malheureusement cassé (mai 2012) (les touches qui affichent des images n'affichent plus leur logo (zoom+, zoom-, masquer, configuration, tab, shift, ...), mais reste quand même utilisable malgré ça. Il sera cependant plus difficile à prendre en main et il faudra deviner la place des touches si on ne les connaît pas déjà). Florence n'existe plus, il faudra utiliser onboard par exemple. | " => suggestions : ['\xa0»', '”']
59 Mot inconnu : tab => Les utilisateurs de Debian apprécieront le clavier virtuel "Florence", qui semble malheureusement cassé (mai 2012) (les touches qui affichent des images n'affichent plus leur logo (zoom+, zoom-, masquer, configuration, tab, shift, ...), mais reste quand même utilisable malgré ça. Il sera cependant plus difficile à prendre en main et il faudra deviner la place des touches si on ne les connaît pas déjà). Florence n'existe plus, il faudra utiliser onboard par exemple. | tab
59 Mot inconnu : shift => Les utilisateurs de Debian apprécieront le clavier virtuel "Florence", qui semble malheureusement cassé (mai 2012) (les touches qui affichent des images n'affichent plus leur logo (zoom+, zoom-, masquer, configuration, tab, shift, ...), mais reste quand même utilisable malgré ça. Il sera cependant plus difficile à prendre en main et il faudra deviner la place des touches si on ne les connaît pas déjà). Florence n'existe plus, il faudra utiliser onboard par exemple. | shift
59 Une de ces ponctuations est superflue. => Les utilisateurs de Debian apprécieront le clavier virtuel "Florence", qui semble malheureusement cassé (mai 2012) (les touches qui affichent des images n'affichent plus leur logo (zoom+, zoom-, masquer, configuration, tab, shift, ...), mais reste quand même utilisable malgré ça. Il sera cependant plus difficile à prendre en main et il faudra deviner la place des touches si on ne les connaît pas déjà). Florence n'existe plus, il faudra utiliser onboard par exemple. | , . => suggestions : [',', '.']
59 Typographie : points de suspension. Utilisez le caractère dédié. => Les utilisateurs de Debian apprécieront le clavier virtuel "Florence", qui semble malheureusement cassé (mai 2012) (les touches qui affichent des images n'affichent plus leur logo (zoom+, zoom-, masquer, configuration, tab, shift, ...), mais reste quand même utilisable malgré ça. Il sera cependant plus difficile à prendre en main et il faudra deviner la place des touches si on ne les connaît pas déjà). Florence n'existe plus, il faudra utiliser onboard par exemple. | ... => suggestions : ['…']
59 Mot inconnu : onboard => Les utilisateurs de Debian apprécieront le clavier virtuel "Florence", qui semble malheureusement cassé (mai 2012) (les touches qui affichent des images n'affichent plus leur logo (zoom+, zoom-, masquer, configuration, tab, shift, ...), mais reste quand même utilisable malgré ça. Il sera cependant plus difficile à prendre en main et il faudra deviner la place des touches si on ne les connaît pas déjà). Florence n'existe plus, il faudra utiliser onboard par exemple. | onboard

61 Mot inconnu : Unity => ==== Ne pas utiliser les nouvelles barres de défilement Unity ==== | unity

67 Mot inconnu : scroll => Dans le mode tablette, le fait de bouger le doigt sur l'écran est comme un clic gauche. Donc, pas de bouton droit, ni de bouton du milieu, ni de molette (scroll).\\ | scroll

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquez sur "//Activer les outils d'accessibilité//". |    => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquez sur "//Dialogues de mots de passe comme des fenêtres normales//" : cette option est très importante car le clavier virtuel ne pourra être effectif que sur des vraies fenêtres. |    => suggestions : ['']
71 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. =>   * Cliquez sur "//Dialogues de mots de passe comme des fenêtres normales//" : cette option est très importante car le clavier virtuel ne pourra être effectif que sur des vraies fenêtres. |  car => suggestions : [', car']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Dans **Accessibilité de la Souris → Onglet Accessibilité → Clic par maintien**, sélectionnez "//Initier clic à l'arrêt du pointeur//" et plus bas "//afficher la fenêtre du type de clic//". Attention : ne fermez pas la fenêtre du type de clic quand elle apparaît, elle risque de ne pas réapparaître. En effet, quand vous êtes vraiment sans souris et sans clavier, cette petite fenêtre est le seul moyen de faire un clic droit. |    => suggestions : ['']

75 Accord de genre erroné : « tableau » est masculin. => <note tip>Par précaution, avec votre souris USB, faites un clic droit sur la tableau de bord d'Ubuntu et choisissez "//Ajouter au tableau de bord//" puis "//Applet de clic par maintien//". Théoriquement, cet applet proposera les différents clics de souris. Si toutefois cela ne marchait pas, après un redémarrage en général la fenêtre revient. FIXME solution.</note> | la => suggestions : ['le']
75 Mot inconnu : FIXME => <note tip>Par précaution, avec votre souris USB, faites un clic droit sur la tableau de bord d'Ubuntu et choisissez "//Ajouter au tableau de bord//" puis "//Applet de clic par maintien//". Théoriquement, cet applet proposera les différents clics de souris. Si toutefois cela ne marchait pas, après un redémarrage en général la fenêtre revient. FIXME solution.</note> | fixme

82 Guillemets typographiques ouvrants. => Si vous avez un utilisateur qui entre en session automatiquement, le coffre-fort vous demande le mot de passe du Wifi. Vous pouvez désactiver cette option en allant dans "modifications des connexions". | " => suggestions : ['«\xa0', '“']
82 Guillemets typographiques fermants. => Si vous avez un utilisateur qui entre en session automatiquement, le coffre-fort vous demande le mot de passe du Wifi. Vous pouvez désactiver cette option en allant dans "modifications des connexions". | " => suggestions : ['\xa0»', '”']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le tableau de bord en haut est mieux à 35 pixels ; |    => suggestions : ['']

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la liste des fenêtre en bas est mieux à 30 pixels ; |    => suggestions : ['']
88 Accord de nombre erroné : « fenêtre » devrait être au pluriel. =>   * la liste des fenêtre en bas est mieux à 30 pixels ; | fenêtre => suggestions : ['fenêtres']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le thème Clearlooks a des boutons plus accessibles sur le coin en haut à droite ; |    => suggestions : ['']
89 Mot inconnu : Clearlooks =>   * le thème Clearlooks a des boutons plus accessibles sur le coin en haut à droite ; | clearlooks

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * polices plus grosses : |    => suggestions : ['']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Applications : Ubuntu 13 |      => suggestions : ['']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Documents : Sans 12 |      => suggestions : ['']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Bureau : Ubuntu 12 |      => suggestions : ['']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Fenêtres : Ubuntu Bold 12 |      => suggestions : ['']
94 Mot inconnu : Bold =>     * Fenêtres : Ubuntu Bold 12 | bold

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Chasse fixe : Monospace 12  |      => suggestions : ['']
95 Espace(s) en fin de ligne à supprimer. =>     * Chasse fixe : Monospace 12  |   => suggestions : ['']

99 Mot inconnu : Brightness => ==== Brightness LCD - Réglage de la lumière ==== | brightness
99 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ==== Brightness LCD - Réglage de la lumière ==== |  -  => suggestions : [' – ', ' — ', ' − ']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Démarrer sous Windows et régler la luminosité. Normalement, vous devriez retrouver le contrôle sur le réglage de la luminosité |    => suggestions : ['']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * exécuter cette commande dans un terminal : ''sudo su -c "echo 0 > /sys/devices/platform/asus_laptop/ls_switch"'' |    => suggestions : ['']
104 Guillemets typographiques ouvrants. =>   * exécuter cette commande dans un terminal : ''sudo su -c "echo 0 > /sys/devices/platform/asus_laptop/ls_switch"'' | '' => suggestions : ['«\xa0', '“']
104 Mot inconnu : sudo =>   * exécuter cette commande dans un terminal : ''sudo su -c "echo 0 > /sys/devices/platform/asus_laptop/ls_switch"'' | sudo
104 Il manque un espace à côté du tiret. =>   * exécuter cette commande dans un terminal : ''sudo su -c "echo 0 > /sys/devices/platform/asus_laptop/ls_switch"'' |  - => suggestions : [' – ', ' — ']
104 Guillemets typographiques ouvrants. =>   * exécuter cette commande dans un terminal : ''sudo su -c "echo 0 > /sys/devices/platform/asus_laptop/ls_switch"'' | " => suggestions : ['«\xa0', '“']
104 Mot inconnu : echo =>   * exécuter cette commande dans un terminal : ''sudo su -c "echo 0 > /sys/devices/platform/asus_laptop/ls_switch"'' | echo
104 Mot inconnu : sys =>   * exécuter cette commande dans un terminal : ''sudo su -c "echo 0 > /sys/devices/platform/asus_laptop/ls_switch"'' | sys
104 Mot inconnu : ices =>   * exécuter cette commande dans un terminal : ''sudo su -c "echo 0 > /sys/devices/platform/asus_laptop/ls_switch"'' | ices
104 Mot inconnu : platform =>   * exécuter cette commande dans un terminal : ''sudo su -c "echo 0 > /sys/devices/platform/asus_laptop/ls_switch"'' | platform
104 Mot inconnu : asus_laptop =>   * exécuter cette commande dans un terminal : ''sudo su -c "echo 0 > /sys/devices/platform/asus_laptop/ls_switch"'' | asus_laptop
104 Mot inconnu : ls_switch =>   * exécuter cette commande dans un terminal : ''sudo su -c "echo 0 > /sys/devices/platform/asus_laptop/ls_switch"'' | ls_switch
104 Guillemets typographiques fermants. =>   * exécuter cette commande dans un terminal : ''sudo su -c "echo 0 > /sys/devices/platform/asus_laptop/ls_switch"'' | " => suggestions : ['\xa0»', '”']

106 Mot inconnu : usb => À chaque fois que la tablette s'arrêtera brutalement (plus de batterie, faux contact avec les prises usb,...), le capteur de lumière reprend le contrôle de la luminosité sur batterie. | usb
106 Erreur de numérisation ? Virgules au lieu de points ? => À chaque fois que la tablette s'arrêtera brutalement (plus de batterie, faux contact avec les prises usb,...), le capteur de lumière reprend le contrôle de la luminosité sur batterie. | ,... => suggestions : ['….']
106 Typographie : points de suspension. Utilisez le caractère dédié. => À chaque fois que la tablette s'arrêtera brutalement (plus de batterie, faux contact avec les prises usb,...), le capteur de lumière reprend le contrôle de la luminosité sur batterie. | ... => suggestions : ['…']

107 Mot inconnu : Grub => ==== Problème de Grub ==== | grub

110 Mot inconnu : FIXME => FIXME Si vous avez une solution ou une piste pour désactiver cela n'hésitez pas à l'indiquer.  | fixme
110 Espace(s) en fin de ligne à supprimer. => FIXME Si vous avez une solution ou une piste pour désactiver cela n'hésitez pas à l'indiquer.  |   => suggestions : ['']

116 Mot inconnu : Onboard => ==== Touches souris non actives sur le clavier virtuel Onboard ou faisant planter la tablette ==== | onboard

118 Mot inconnu : Onboard => À l'heure actuelle, il semblerait que la prise en charge de ces touches ne soit pas correctement réalisée. Il a notamment été constaté dans certains cas qu'au bout de plusieurs tentatives pour utiliser le clic droit sur le clavier Onboard, la tablette plante complètement et il faut l'éteindre. Il est donc recommandé, pour l'heure, de s'abstenir d'utiliser ces touches. | onboard

119 Mot inconnu : FIXME => \\ (FIXME: à compléter). | fixme

123 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => <note important>Ces manipulations ont été effectuées sur Debian il y a un certain temps mais elles devraient être valables sous Ubuntu. Il serait peut-être bien de les valider par contre.</note> |  mais => suggestions : [', mais']

125 Mot inconnu : Chrontel => Cette tablette est équipée d'une puce Chrontel CH7036, qui clone l'affichage de l'écran de la tablette et le met à une résolution correspondant à celle de votre écran HDMI. Il semblerait qu'elle soit limitée à une résolution de 1 366 × 768 maximum, la tablette est donc condamnée à ne jamais afficher de résolution supérieure à celle-ci. Dommage ! | chrontel
125 Mot inconnu : CH7036 => Cette tablette est équipée d'une puce Chrontel CH7036, qui clone l'affichage de l'écran de la tablette et le met à une résolution correspondant à celle de votre écran HDMI. Il semblerait qu'elle soit limitée à une résolution de 1 366 × 768 maximum, la tablette est donc condamnée à ne jamais afficher de résolution supérieure à celle-ci. Dommage ! | ch7036
125 Grands nombres : utilisez des espaces insécables. => Cette tablette est équipée d'une puce Chrontel CH7036, qui clone l'affichage de l'écran de la tablette et le met à une résolution correspondant à celle de votre écran HDMI. Il semblerait qu'elle soit limitée à une résolution de 1 366 × 768 maximum, la tablette est donc condamnée à ne jamais afficher de résolution supérieure à celle-ci. Dommage ! | 1 366 => suggestions : ['1\xa0366']

126 Mot inconnu : deb => L'HDMI est non fonctionnel de base. Il faut installer un paquet qui n'existe pas au format deb. | deb

128 Mot inconnu : dvanholst => [[http://download.meego.com/live/home:/dvanholst:/chrontel/MeeGo_1.2/i586/chrontel-1.0-4.5.i586.rpm]] | dvanholst
128 Mot inconnu : chrontel => [[http://download.meego.com/live/home:/dvanholst:/chrontel/MeeGo_1.2/i586/chrontel-1.0-4.5.i586.rpm]] | chrontel
128 Mot inconnu : MeeGo_1 => [[http://download.meego.com/live/home:/dvanholst:/chrontel/MeeGo_1.2/i586/chrontel-1.0-4.5.i586.rpm]] | meego_1
128 Mot inconnu : i586 => [[http://download.meego.com/live/home:/dvanholst:/chrontel/MeeGo_1.2/i586/chrontel-1.0-4.5.i586.rpm]] | i586
128 Mot inconnu : chrontel-1 => [[http://download.meego.com/live/home:/dvanholst:/chrontel/MeeGo_1.2/i586/chrontel-1.0-4.5.i586.rpm]] | chrontel-1
128 Mot inconnu : i586 => [[http://download.meego.com/live/home:/dvanholst:/chrontel/MeeGo_1.2/i586/chrontel-1.0-4.5.i586.rpm]] | i586
128 Mot inconnu : rpm => [[http://download.meego.com/live/home:/dvanholst:/chrontel/MeeGo_1.2/i586/chrontel-1.0-4.5.i586.rpm]] | rpm
131 Mot inconnu : XFCE => Mais il semblerait qu'il soit de temps en temps à l'origine d'une instabilité : il fait clignoter l'écran plusieurs fois jusqu'à rendre la tablette inutilisable et le redémarrage nécessaire (je ne sais pas pourquoi, mais ça a l'air plus marqué sous XFCE que sur KDE). Si cela vous arrive, sachez que le paquet installe un raccourci dans /etc/xdg/autostart : tiitoo-hdmi.desktop. J'ai pris le parti de le déplacer sur mon bureau. Ainsi, il ne se lance plus automatiquement, plus de mauvaise surprise au mauvais moment, et quand j'ai besoin de l'HDMI, je lance le raccourci juste avant de brancher. Pour info, le raccourci lance la commande "tiitoo-hdmi.sh startup". | xfce
131 Mot inconnu : KDE => Mais il semblerait qu'il soit de temps en temps à l'origine d'une instabilité : il fait clignoter l'écran plusieurs fois jusqu'à rendre la tablette inutilisable et le redémarrage nécessaire (je ne sais pas pourquoi, mais ça a l'air plus marqué sous XFCE que sur KDE). Si cela vous arrive, sachez que le paquet installe un raccourci dans /etc/xdg/autostart : tiitoo-hdmi.desktop. J'ai pris le parti de le déplacer sur mon bureau. Ainsi, il ne se lance plus automatiquement, plus de mauvaise surprise au mauvais moment, et quand j'ai besoin de l'HDMI, je lance le raccourci juste avant de brancher. Pour info, le raccourci lance la commande "tiitoo-hdmi.sh startup". | kde
131 Mot inconnu : tiitoo-hdmi => Mais il semblerait qu'il soit de temps en temps à l'origine d'une instabilité : il fait clignoter l'écran plusieurs fois jusqu'à rendre la tablette inutilisable et le redémarrage nécessaire (je ne sais pas pourquoi, mais ça a l'air plus marqué sous XFCE que sur KDE). Si cela vous arrive, sachez que le paquet installe un raccourci dans /etc/xdg/autostart : tiitoo-hdmi.desktop. J'ai pris le parti de le déplacer sur mon bureau. Ainsi, il ne se lance plus automatiquement, plus de mauvaise surprise au mauvais moment, et quand j'ai besoin de l'HDMI, je lance le raccourci juste avant de brancher. Pour info, le raccourci lance la commande "tiitoo-hdmi.sh startup". | tiitoo-hdmi
131 Mot inconnu : desktop => Mais il semblerait qu'il soit de temps en temps à l'origine d'une instabilité : il fait clignoter l'écran plusieurs fois jusqu'à rendre la tablette inutilisable et le redémarrage nécessaire (je ne sais pas pourquoi, mais ça a l'air plus marqué sous XFCE que sur KDE). Si cela vous arrive, sachez que le paquet installe un raccourci dans /etc/xdg/autostart : tiitoo-hdmi.desktop. J'ai pris le parti de le déplacer sur mon bureau. Ainsi, il ne se lance plus automatiquement, plus de mauvaise surprise au mauvais moment, et quand j'ai besoin de l'HDMI, je lance le raccourci juste avant de brancher. Pour info, le raccourci lance la commande "tiitoo-hdmi.sh startup". | desktop
