
4 Mot inconnu : OpenMeca => ====== OpenMeca ====== | openmeca
32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Créez vos sous-ensembles et définissez le bâti... |  -  => suggestions : [' – ', ' — ', ' − ']
32 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Créez vos sous-ensembles et définissez le bâti... | ... => suggestions : ['…']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Créez vos liaisons... |    => suggestions : ['']
33 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Créez vos liaisons... |  -  => suggestions : [' – ', ' — ', ' − ']
33 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Créez vos liaisons... | ... => suggestions : ['…']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Créez des tiges de raccordement entre les liaisons... |    => suggestions : ['']
34 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Créez des tiges de raccordement entre les liaisons... |  -  => suggestions : [' – ', ' — ', ' − ']
34 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Créez des tiges de raccordement entre les liaisons... | ... => suggestions : ['…']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Agrémentez votre schéma de diverses géométries (bâti, sphère, cône...)... |    => suggestions : ['']
35 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Agrémentez votre schéma de diverses géométries (bâti, sphère, cône...)... |  -  => suggestions : [' – ', ' — ', ' − ']
35 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Agrémentez votre schéma de diverses géométries (bâti, sphère, cône...)... | ... => suggestions : ['…']
35 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Agrémentez votre schéma de diverses géométries (bâti, sphère, cône...)... | ... => suggestions : ['…']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Modifier une ou plusieurs des liaisons en "liaison motorisée" en vue d'une simulation et créer des lois de vitesse... |    => suggestions : ['']
36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Modifier une ou plusieurs des liaisons en "liaison motorisée" en vue d'une simulation et créer des lois de vitesse... |  -  => suggestions : [' – ', ' — ', ' − ']
36 Guillemets typographiques ouvrants. =>   - Modifier une ou plusieurs des liaisons en "liaison motorisée" en vue d'une simulation et créer des lois de vitesse... | " => suggestions : ['«\xa0', '“']
36 Guillemets typographiques fermants. =>   - Modifier une ou plusieurs des liaisons en "liaison motorisée" en vue d'une simulation et créer des lois de vitesse... | " => suggestions : ['\xa0»', '”']
36 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Modifier une ou plusieurs des liaisons en "liaison motorisée" en vue d'une simulation et créer des lois de vitesse... | ... => suggestions : ['…']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Insérez des points remarquables, puis des mesures de trajectoires, vitesses... en fonction de vos besoins de mesure... |    => suggestions : ['']
37 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Insérez des points remarquables, puis des mesures de trajectoires, vitesses... en fonction de vos besoins de mesure... |  -  => suggestions : [' – ', ' — ', ' − ']
37 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Insérez des points remarquables, puis des mesures de trajectoires, vitesses... en fonction de vos besoins de mesure... | ... => suggestions : ['…']
37 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Insérez des points remarquables, puis des mesures de trajectoires, vitesses... en fonction de vos besoins de mesure... | ... => suggestions : ['…']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lancez une simulation (vous pouvez modifier l'échelle de représentation des vecteurs pour améliorer leur visibilité)... |    => suggestions : ['']
38 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lancez une simulation (vous pouvez modifier l'échelle de représentation des vecteurs pour améliorer leur visibilité)... |  -  => suggestions : [' – ', ' — ', ' − ']
38 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Lancez une simulation (vous pouvez modifier l'échelle de représentation des vecteurs pour améliorer leur visibilité)... | ... => suggestions : ['…']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <note important> Lors de l'enregistrement du projet, aucune extension n'est créée. Il faut la rajouter manuellement : **.omc**</note> |   => suggestions : ['']
40 Mot inconnu : omc =>  <note important> Lors de l'enregistrement du projet, aucune extension n'est créée. Il faut la rajouter manuellement : **.omc**</note> | omc

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     |     => suggestions : ['']

54 Mot inconnu : debian => La séquence de commandes suivantes permet d'installer les dépendances, de télécharger le paquet debian puis d'installer le paquet (uniquement pour des PC 64 bits). | debian

61 Mot inconnu : openmeca => Maintenant openmeca est disponible dans le menu //Education// ou bien en tapant //openmeca// dans un terminal.  | openmeca
61 Mot inconnu : Education => Maintenant openmeca est disponible dans le menu //Education// ou bien en tapant //openmeca// dans un terminal.  | education
61 Mot inconnu : openmeca => Maintenant openmeca est disponible dans le menu //Education// ou bien en tapant //openmeca// dans un terminal.  | openmeca
61 Espace(s) en fin de ligne à supprimer. => Maintenant openmeca est disponible dans le menu //Education// ou bien en tapant //openmeca// dans un terminal.  |   => suggestions : ['']

63 Mot inconnu : Desinstallation => ===Desinstallation (dans le cas d'une installation facile)=== | desinstallation

64 Mot inconnu : openmeca => Pour désinstaller openmeca, il suffit de taper la commande suivante. | openmeca

79 Mot inconnu : install => === Désinstallation manuelle (dans le cas d'une install par compilation)=== | install

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

92 Mot inconnu : OpenMeca => Par défaut, OpenMeca est en anglais. Vous pouvez choisir le français comme langue par défaut en  allant dans le menu : **File** > **Settings...** > **Language**. | openmeca
92 Espace(s) surnuméraire(s) à supprimer. => Par défaut, OpenMeca est en anglais. Vous pouvez choisir le français comme langue par défaut en  allant dans le menu : **File** > **Settings...** > **Language**. |    => suggestions : [' ']
92 Mot inconnu : Settings => Par défaut, OpenMeca est en anglais. Vous pouvez choisir le français comme langue par défaut en  allant dans le menu : **File** > **Settings...** > **Language**. | settings
92 Typographie : points de suspension. Utilisez le caractère dédié. => Par défaut, OpenMeca est en anglais. Vous pouvez choisir le français comme langue par défaut en  allant dans le menu : **File** > **Settings...** > **Language**. | ... => suggestions : ['…']
92 Mot inconnu : Language => Par défaut, OpenMeca est en anglais. Vous pouvez choisir le français comme langue par défaut en  allant dans le menu : **File** > **Settings...** > **Language**. | language

95 Espace(s) surnuméraire(s) à supprimer. => Pour prendre en main ce logiciel vous pouvez suivre une série de  [[https://www.youtube.com/playlist?list=PLjFD44HqZ1diZN45FSLO82NyuIgpu4Lml|tutoriels vidéos]] disponible sur YouTube. |    => suggestions : [' ']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://d.a.d.a.pagesperso-orange.fr/index.html|site officiel]] |    => suggestions : ['']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[http://www.listepgm.org/index.php?page=openmeca|site d'enseignants de Génie Mécanique]] |    => suggestions : ['']

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
