
5 Mot inconnu : OpenSim => ====== OpenSim ====== | opensim
97 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => et maintenant, on va lancer ce joli programme (en Microsoft .Net) : |  . => suggestions : ['. ', '.']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mono OpenSim.exe |    => suggestions : ['']
99 Mot inconnu : OpenSim =>   mono OpenSim.exe | opensim
99 Mot inconnu : exe =>   mono OpenSim.exe | exe

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      mono OpenSim.exe -gridmode=true |       => suggestions : ['']
102 Mot inconnu : OpenSim =>      mono OpenSim.exe -gridmode=true | opensim
102 Mot inconnu : exe =>      mono OpenSim.exe -gridmode=true | exe
102 Mot inconnu : gridmode =>      mono OpenSim.exe -gridmode=true | gridmode
102 Mot inconnu : true =>      mono OpenSim.exe -gridmode=true | true

105 Mot inconnu : OpenSim => OpenSim se lance, et après tout le tralala de texte, le serveur sera lancé. | opensim

107 Mot inconnu : standalone => Maintenant, vous avez un serveur standalone fonctionnel, | standalone

110 Espace(s) en fin de ligne à supprimer. => Si c'est la première fois que vous le démarrez, il vous demandera des informations sur la configuration,  |   => suggestions : ['']

113 Après “faire attention à ce que”, le verbe doit être au subjonctif. => Il faut bien faire attention à ce que vous mettez, car sinon, votre serveur opensim ne marchera pas. Une solution entre  parenthèses vous sera toujours proposée, recopiez cette option en cas de doute.Vous pourrez toujours modifier votre configuration plus tard via le fichier xml de votre région dans le dossier "Regions"</note> | mettez => suggestions : ['missiez', 'mettiez']
113 Mot inconnu : opensim => Il faut bien faire attention à ce que vous mettez, car sinon, votre serveur opensim ne marchera pas. Une solution entre  parenthèses vous sera toujours proposée, recopiez cette option en cas de doute.Vous pourrez toujours modifier votre configuration plus tard via le fichier xml de votre région dans le dossier "Regions"</note> | opensim
113 Espace(s) surnuméraire(s) à supprimer. => Il faut bien faire attention à ce que vous mettez, car sinon, votre serveur opensim ne marchera pas. Une solution entre  parenthèses vous sera toujours proposée, recopiez cette option en cas de doute.Vous pourrez toujours modifier votre configuration plus tard via le fichier xml de votre région dans le dossier "Regions"</note> |    => suggestions : [' ']
113 Il manque un espace. => Il faut bien faire attention à ce que vous mettez, car sinon, votre serveur opensim ne marchera pas. Une solution entre  parenthèses vous sera toujours proposée, recopiez cette option en cas de doute.Vous pourrez toujours modifier votre configuration plus tard via le fichier xml de votre région dans le dossier "Regions"</note> | vous => suggestions : [' Vous']
113 Mot inconnu : xml => Il faut bien faire attention à ce que vous mettez, car sinon, votre serveur opensim ne marchera pas. Une solution entre  parenthèses vous sera toujours proposée, recopiez cette option en cas de doute.Vous pourrez toujours modifier votre configuration plus tard via le fichier xml de votre région dans le dossier "Regions"</note> | xml
113 Guillemets typographiques ouvrants. => Il faut bien faire attention à ce que vous mettez, car sinon, votre serveur opensim ne marchera pas. Une solution entre  parenthèses vous sera toujours proposée, recopiez cette option en cas de doute.Vous pourrez toujours modifier votre configuration plus tard via le fichier xml de votre région dans le dossier "Regions"</note> | " => suggestions : ['«\xa0', '“']
113 Mot inconnu : Regions => Il faut bien faire attention à ce que vous mettez, car sinon, votre serveur opensim ne marchera pas. Une solution entre  parenthèses vous sera toujours proposée, recopiez cette option en cas de doute.Vous pourrez toujours modifier votre configuration plus tard via le fichier xml de votre région dans le dossier "Regions"</note> | regions
113 Guillemets typographiques fermants. => Il faut bien faire attention à ce que vous mettez, car sinon, votre serveur opensim ne marchera pas. Une solution entre  parenthèses vous sera toujours proposée, recopiez cette option en cas de doute.Vous pourrez toujours modifier votre configuration plus tard via le fichier xml de votre région dans le dossier "Regions"</note> | " => suggestions : ['\xa0»', '”']

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Grid Location** : ce sont les coordonnées de votre région sur une grille. Les coordonnées par défaut sont x=1000, y=1000. |    => suggestions : ['']
116 Mot inconnu : Grid =>   * **Grid Location** : ce sont les coordonnées de votre région sur une grille. Les coordonnées par défaut sont x=1000, y=1000. | grid

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Filename for local** storage: laissez l'option par défaut |    => suggestions : ['']
117 Mot inconnu : Filename =>   * **Filename for local** storage: laissez l'option par défaut | filename
117 Mot inconnu : storage =>   * **Filename for local** storage: laissez l'option par défaut | storage

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Internal IP address** : en mode Standalone mettez 0.0.0.0 si vous ne vous connectez pas à un réseau. |    => suggestions : ['']
118 Mot inconnu : Internal =>   * **Internal IP address** : en mode Standalone mettez 0.0.0.0 si vous ne vous connectez pas à un réseau. | internal
118 Mot inconnu : address =>   * **Internal IP address** : en mode Standalone mettez 0.0.0.0 si vous ne vous connectez pas à un réseau. | address
118 Mot inconnu : Standalone =>   * **Internal IP address** : en mode Standalone mettez 0.0.0.0 si vous ne vous connectez pas à un réseau. | standalone

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Internal IP port for incoming UDP client connection** : port par défaut 9000 |    => suggestions : ['']
119 Mot inconnu : Internal =>   * **Internal IP port for incoming UDP client connection** : port par défaut 9000 | internal
119 Mot inconnu : incoming =>   * **Internal IP port for incoming UDP client connection** : port par défaut 9000 | incoming
119 Mot inconnu : UDP =>   * **Internal IP port for incoming UDP client connection** : port par défaut 9000 | udp
119 Mot inconnu : connection =>   * **Internal IP port for incoming UDP client connection** : port par défaut 9000 | connection

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **External host name** : option par défaut 127.0.0.1. C'est l'adresse de la machine sur laquel le simulateur est lancé. Si vous vous connectez sur la même machine choisissez l'option par défaut. |    => suggestions : ['']
120 Mot inconnu : External =>   * **External host name** : option par défaut 127.0.0.1. C'est l'adresse de la machine sur laquel le simulateur est lancé. Si vous vous connectez sur la même machine choisissez l'option par défaut. | external
120 Mot inconnu : host =>   * **External host name** : option par défaut 127.0.0.1. C'est l'adresse de la machine sur laquel le simulateur est lancé. Si vous vous connectez sur la même machine choisissez l'option par défaut. | host
120 Mot inconnu : name =>   * **External host name** : option par défaut 127.0.0.1. C'est l'adresse de la machine sur laquel le simulateur est lancé. Si vous vous connectez sur la même machine choisissez l'option par défaut. | name
120 Mot inconnu : laquel =>   * **External host name** : option par défaut 127.0.0.1. C'est l'adresse de la machine sur laquel le simulateur est lancé. Si vous vous connectez sur la même machine choisissez l'option par défaut. | laquel

122 Typographie : points de suspension. Utilisez le caractère dédié. => Vous pouvez modifier vos paramètres dans le fichier .../opensim/bin/Regions/nom_de_la_region.xml à  | ... => suggestions : ['…']
122 Mot inconnu : opensim => Vous pouvez modifier vos paramètres dans le fichier .../opensim/bin/Regions/nom_de_la_region.xml à  | opensim
122 Espace(s) en fin de ligne à supprimer. => Vous pouvez modifier vos paramètres dans le fichier .../opensim/bin/Regions/nom_de_la_region.xml à  |   => suggestions : ['']

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      <Root> |       => suggestions : ['']

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      <Config sim_UUID="4faa363c-ff27-45c4-8783-b2158d4d09db"  |       => suggestions : ['']
128 Mot inconnu : sim_UUID =>      <Config sim_UUID="4faa363c-ff27-45c4-8783-b2158d4d09db"  | sim_uuid
128 Guillemets typographiques ouvrants. =>      <Config sim_UUID="4faa363c-ff27-45c4-8783-b2158d4d09db"  | " => suggestions : ['«\xa0', '“']
128 Mot inconnu : faa363c-ff27-45c4-8783-b2158d4d09db =>      <Config sim_UUID="4faa363c-ff27-45c4-8783-b2158d4d09db"  | faa363c-ff27-45c4-8783-b2158d4d09db
128 Guillemets typographiques fermants. =>      <Config sim_UUID="4faa363c-ff27-45c4-8783-b2158d4d09db"  | " => suggestions : ['\xa0»', '”']
128 Espace(s) en fin de ligne à supprimer. =>      <Config sim_UUID="4faa363c-ff27-45c4-8783-b2158d4d09db"  |   => suggestions : ['']

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      sim_name="Nom-de-la-region" |       => suggestions : ['']
129 Mot inconnu : sim_name =>      sim_name="Nom-de-la-region" | sim_name
129 Guillemets typographiques ouvrants. =>      sim_name="Nom-de-la-region" | " => suggestions : ['«\xa0', '“']
129 Mot inconnu : Nom-de-la-region =>      sim_name="Nom-de-la-region" | nom-de-la-region
129 Guillemets typographiques fermants. =>      sim_name="Nom-de-la-region" | " => suggestions : ['\xa0»', '”']

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      sim_location_x="1000" sim_location_y="1000"  |       => suggestions : ['']
130 Mot inconnu : sim_location_x =>      sim_location_x="1000" sim_location_y="1000"  | sim_location_x
130 Guillemets typographiques ouvrants. =>      sim_location_x="1000" sim_location_y="1000"  | " => suggestions : ['«\xa0', '“']
130 Guillemets typographiques fermants. =>      sim_location_x="1000" sim_location_y="1000"  | " => suggestions : ['\xa0»', '”']
130 Mot inconnu : sim_location_y =>      sim_location_x="1000" sim_location_y="1000"  | sim_location_y
130 Guillemets typographiques ouvrants. =>      sim_location_x="1000" sim_location_y="1000"  | " => suggestions : ['«\xa0', '“']
130 Guillemets typographiques fermants. =>      sim_location_x="1000" sim_location_y="1000"  | " => suggestions : ['\xa0»', '”']
130 Espace(s) en fin de ligne à supprimer. =>      sim_location_x="1000" sim_location_y="1000"  |   => suggestions : ['']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      internal_ip_address="0.0.0.0" |       => suggestions : ['']
131 Mot inconnu : internal_ip_address =>      internal_ip_address="0.0.0.0" | internal_ip_address

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      internal_ip_port="9000" allow_alternate_ports="false"  |       => suggestions : ['']
132 Mot inconnu : internal_ip_port =>      internal_ip_port="9000" allow_alternate_ports="false"  | internal_ip_port
132 Guillemets typographiques ouvrants. =>      internal_ip_port="9000" allow_alternate_ports="false"  | " => suggestions : ['«\xa0', '“']
132 Guillemets typographiques fermants. =>      internal_ip_port="9000" allow_alternate_ports="false"  | " => suggestions : ['\xa0»', '”']
132 Mot inconnu : allow_alternate_ports =>      internal_ip_port="9000" allow_alternate_ports="false"  | allow_alternate_ports
132 Guillemets typographiques ouvrants. =>      internal_ip_port="9000" allow_alternate_ports="false"  | " => suggestions : ['«\xa0', '“']
132 Mot inconnu : false =>      internal_ip_port="9000" allow_alternate_ports="false"  | false
132 Guillemets typographiques fermants. =>      internal_ip_port="9000" allow_alternate_ports="false"  | " => suggestions : ['\xa0»', '”']
132 Espace(s) en fin de ligne à supprimer. =>      internal_ip_port="9000" allow_alternate_ports="false"  |   => suggestions : ['']

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      external_host_name="127.0.0.1"     |       => suggestions : ['']
133 Mot inconnu : external_host_name =>      external_host_name="127.0.0.1"     | external_host_name
133 Espace(s) en fin de ligne à supprimer. =>      external_host_name="127.0.0.1"     |      => suggestions : ['']

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      master_avatar_uuid="00000000-0000-0000-0000-000000000000" |       => suggestions : ['']
134 Mot inconnu : master_avatar_uuid =>      master_avatar_uuid="00000000-0000-0000-0000-000000000000" | master_avatar_uuid
134 Guillemets typographiques ouvrants. =>      master_avatar_uuid="00000000-0000-0000-0000-000000000000" | " => suggestions : ['«\xa0', '“']
134 Guillemets typographiques fermants. =>      master_avatar_uuid="00000000-0000-0000-0000-000000000000" | " => suggestions : ['\xa0»', '”']

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      master_avatar_first="pseudo"  |       => suggestions : ['']
135 Mot inconnu : master_avatar_first =>      master_avatar_first="pseudo"  | master_avatar_first
135 Guillemets typographiques ouvrants. =>      master_avatar_first="pseudo"  | " => suggestions : ['«\xa0', '“']
135 Guillemets typographiques fermants. =>      master_avatar_first="pseudo"  | " => suggestions : ['\xa0»', '”']
135 Espace(s) en fin de ligne à supprimer. =>      master_avatar_first="pseudo"  |   => suggestions : ['']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      master_avatar_last="nom_de_l'avatar"  |       => suggestions : ['']
136 Mot inconnu : master_avatar_last =>      master_avatar_last="nom_de_l'avatar"  | master_avatar_last
136 Guillemets typographiques ouvrants. =>      master_avatar_last="nom_de_l'avatar"  | " => suggestions : ['«\xa0', '“']
136 Mot inconnu : nom_de_l'avatar =>      master_avatar_last="nom_de_l'avatar"  | nom_de_l'avatar
136 Guillemets typographiques fermants. =>      master_avatar_last="nom_de_l'avatar"  | " => suggestions : ['\xa0»', '”']
136 Espace(s) en fin de ligne à supprimer. =>      master_avatar_last="nom_de_l'avatar"  |   => suggestions : ['']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      master_avatar_pass="mot-de-passe"  |       => suggestions : ['']
137 Mot inconnu : master_avatar_pass =>      master_avatar_pass="mot-de-passe"  | master_avatar_pass
137 Guillemets typographiques ouvrants. =>      master_avatar_pass="mot-de-passe"  | " => suggestions : ['«\xa0', '“']
137 Guillemets typographiques fermants. =>      master_avatar_pass="mot-de-passe"  | " => suggestions : ['\xa0»', '”']
137 Espace(s) en fin de ligne à supprimer. =>      master_avatar_pass="mot-de-passe"  |   => suggestions : ['']

138 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      lastmap_uuid="ici_il_y_aura_un_uuid" lastmap_refresh="1237702487"  |       => suggestions : ['']
138 Mot inconnu : lastmap_uuid =>      lastmap_uuid="ici_il_y_aura_un_uuid" lastmap_refresh="1237702487"  | lastmap_uuid
138 Guillemets typographiques ouvrants. =>      lastmap_uuid="ici_il_y_aura_un_uuid" lastmap_refresh="1237702487"  | " => suggestions : ['«\xa0', '“']
138 Mot inconnu : ici_il_y_aura_un_uuid =>      lastmap_uuid="ici_il_y_aura_un_uuid" lastmap_refresh="1237702487"  | ici_il_y_aura_un_uuid
138 Guillemets typographiques fermants. =>      lastmap_uuid="ici_il_y_aura_un_uuid" lastmap_refresh="1237702487"  | " => suggestions : ['\xa0»', '”']
138 Mot inconnu : lastmap_refresh =>      lastmap_uuid="ici_il_y_aura_un_uuid" lastmap_refresh="1237702487"  | lastmap_refresh
138 Guillemets typographiques ouvrants. =>      lastmap_uuid="ici_il_y_aura_un_uuid" lastmap_refresh="1237702487"  | " => suggestions : ['«\xa0', '“']
138 Formatage des grands nombres. =>      lastmap_uuid="ici_il_y_aura_un_uuid" lastmap_refresh="1237702487"  | 1237702487 => suggestions : ['1\xa0237\xa0702\xa0487', '1237\xa0702-487']
138 Guillemets typographiques fermants. =>      lastmap_uuid="ici_il_y_aura_un_uuid" lastmap_refresh="1237702487"  | " => suggestions : ['\xa0»', '”']
138 Espace(s) en fin de ligne à supprimer. =>      lastmap_uuid="ici_il_y_aura_un_uuid" lastmap_refresh="1237702487"  |   => suggestions : ['']

139 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      nonphysical_prim_max="0" physical_prim_max="0" clamp_prim_size="false"  |       => suggestions : ['']
139 Mot inconnu : nonphysical_prim_max =>      nonphysical_prim_max="0" physical_prim_max="0" clamp_prim_size="false"  | nonphysical_prim_max
139 Guillemets typographiques ouvrants. =>      nonphysical_prim_max="0" physical_prim_max="0" clamp_prim_size="false"  | " => suggestions : ['«\xa0', '“']
139 Guillemets typographiques fermants. =>      nonphysical_prim_max="0" physical_prim_max="0" clamp_prim_size="false"  | " => suggestions : ['\xa0»', '”']
139 Mot inconnu : physical_prim_max =>      nonphysical_prim_max="0" physical_prim_max="0" clamp_prim_size="false"  | physical_prim_max
139 Guillemets typographiques ouvrants. =>      nonphysical_prim_max="0" physical_prim_max="0" clamp_prim_size="false"  | " => suggestions : ['«\xa0', '“']
