
5 Mot inconnu : Tremulous => ====== Tremulous ====== | tremulous
8 Mot inconnu : Tremulous => Chaque équipe dans Tremulous diffère fondamentalement de l'autre. Les aliens sont divisés en castes, avec deux castes initialement disponibles: le constructeur alien, nommé Granger, et le Dretch, Le plus faible attaquant alien. Les aliens se voient attribuer des frags à chaque fois qu'ils tuent un ennemi, et peuvent alors évoluer vers des unités plus fortes capables d'une plus grande diversité de manoeuvres et d'attaques plus puissantes. En revanche l'équipe humaine est basée sur des mises à niveau, recevant des crédits à chaque ennemi tué, crédits qui peuvent être échangés à l'armurerie contre de nouvelles armes et armures ou contre de l'équipement. Deux de ces mises à niveau sont disponibles gratuitement: un fusil et un kit de construction, utilisé pour construire des structures. | tremulous
8 Mot inconnu : Granger => Chaque équipe dans Tremulous diffère fondamentalement de l'autre. Les aliens sont divisés en castes, avec deux castes initialement disponibles: le constructeur alien, nommé Granger, et le Dretch, Le plus faible attaquant alien. Les aliens se voient attribuer des frags à chaque fois qu'ils tuent un ennemi, et peuvent alors évoluer vers des unités plus fortes capables d'une plus grande diversité de manoeuvres et d'attaques plus puissantes. En revanche l'équipe humaine est basée sur des mises à niveau, recevant des crédits à chaque ennemi tué, crédits qui peuvent être échangés à l'armurerie contre de nouvelles armes et armures ou contre de l'équipement. Deux de ces mises à niveau sont disponibles gratuitement: un fusil et un kit de construction, utilisé pour construire des structures. | granger
8 Mot inconnu : Dretch => Chaque équipe dans Tremulous diffère fondamentalement de l'autre. Les aliens sont divisés en castes, avec deux castes initialement disponibles: le constructeur alien, nommé Granger, et le Dretch, Le plus faible attaquant alien. Les aliens se voient attribuer des frags à chaque fois qu'ils tuent un ennemi, et peuvent alors évoluer vers des unités plus fortes capables d'une plus grande diversité de manoeuvres et d'attaques plus puissantes. En revanche l'équipe humaine est basée sur des mises à niveau, recevant des crédits à chaque ennemi tué, crédits qui peuvent être échangés à l'armurerie contre de nouvelles armes et armures ou contre de l'équipement. Deux de ces mises à niveau sont disponibles gratuitement: un fusil et un kit de construction, utilisé pour construire des structures. | dretch
8 Mot inconnu : frags => Chaque équipe dans Tremulous diffère fondamentalement de l'autre. Les aliens sont divisés en castes, avec deux castes initialement disponibles: le constructeur alien, nommé Granger, et le Dretch, Le plus faible attaquant alien. Les aliens se voient attribuer des frags à chaque fois qu'ils tuent un ennemi, et peuvent alors évoluer vers des unités plus fortes capables d'une plus grande diversité de manoeuvres et d'attaques plus puissantes. En revanche l'équipe humaine est basée sur des mises à niveau, recevant des crédits à chaque ennemi tué, crédits qui peuvent être échangés à l'armurerie contre de nouvelles armes et armures ou contre de l'équipement. Deux de ces mises à niveau sont disponibles gratuitement: un fusil et un kit de construction, utilisé pour construire des structures. | frags
8 Mot inconnu : manoeuvres => Chaque équipe dans Tremulous diffère fondamentalement de l'autre. Les aliens sont divisés en castes, avec deux castes initialement disponibles: le constructeur alien, nommé Granger, et le Dretch, Le plus faible attaquant alien. Les aliens se voient attribuer des frags à chaque fois qu'ils tuent un ennemi, et peuvent alors évoluer vers des unités plus fortes capables d'une plus grande diversité de manoeuvres et d'attaques plus puissantes. En revanche l'équipe humaine est basée sur des mises à niveau, recevant des crédits à chaque ennemi tué, crédits qui peuvent être échangés à l'armurerie contre de nouvelles armes et armures ou contre de l'équipement. Deux de ces mises à niveau sont disponibles gratuitement: un fusil et un kit de construction, utilisé pour construire des structures. | manoeuvres

10 Mot inconnu : Tremulous => Durant une partie de Tremulous, chaque équipe est à un des trois stades de développement. Ces stades sont atteints lorsque l'équipe entière dépasse un nombre spécifique d'ennemis tués. Chaque nouveau stade débloque de nouvelles castes, de nouvelles mises à niveau ou de nouvelles structures. Si une équipe atteint un stade élevé plus tôt que l'autre, elle voit ses chances de gagner augmenter de manière significative. | tremulous

13 Mot inconnu : Tremulous => > Tremulous est à l'origine un mod pour Quake3 (extension nécessitant le jeu original pour fonctionner). La libération du code de Quake3 par id Software en août dernier a permis aux auteurs de créer cette version, la première à être totalement indépendante de Quake3 (pas besoin des .pk3 d'origine, non libérés) : tout le monde peut désormais en profiter. | tremulous
13 Mot inconnu : Quake3 => > Tremulous est à l'origine un mod pour Quake3 (extension nécessitant le jeu original pour fonctionner). La libération du code de Quake3 par id Software en août dernier a permis aux auteurs de créer cette version, la première à être totalement indépendante de Quake3 (pas besoin des .pk3 d'origine, non libérés) : tout le monde peut désormais en profiter. | quake3
13 Mot inconnu : Quake3 => > Tremulous est à l'origine un mod pour Quake3 (extension nécessitant le jeu original pour fonctionner). La libération du code de Quake3 par id Software en août dernier a permis aux auteurs de créer cette version, la première à être totalement indépendante de Quake3 (pas besoin des .pk3 d'origine, non libérés) : tout le monde peut désormais en profiter. | quake3
13 Mot inconnu : Quake3 => > Tremulous est à l'origine un mod pour Quake3 (extension nécessitant le jeu original pour fonctionner). La libération du code de Quake3 par id Software en août dernier a permis aux auteurs de créer cette version, la première à être totalement indépendante de Quake3 (pas besoin des .pk3 d'origine, non libérés) : tout le monde peut désormais en profiter. | quake3
13 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => > Tremulous est à l'origine un mod pour Quake3 (extension nécessitant le jeu original pour fonctionner). La libération du code de Quake3 par id Software en août dernier a permis aux auteurs de créer cette version, la première à être totalement indépendante de Quake3 (pas besoin des .pk3 d'origine, non libérés) : tout le monde peut désormais en profiter. |  . => suggestions : ['. ', '.']
13 Mot inconnu : pk3 => > Tremulous est à l'origine un mod pour Quake3 (extension nécessitant le jeu original pour fonctionner). La libération du code de Quake3 par id Software en août dernier a permis aux auteurs de créer cette version, la première à être totalement indépendante de Quake3 (pas besoin des .pk3 d'origine, non libérés) : tout le monde peut désormais en profiter. | pk3

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir l'[[accélération graphique]] activée. |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://security.ubuntu.com/ubuntu/pool/multiverse/t/tremulous-data/tremulous-data_1.1.0-2_all.deb|tremulous-data]], |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://security.ubuntu.com/ubuntu/pool/multiverse/t/tremulous/tremulous_1.1.0-5_amd64.deb|tremulous 64 bits]] ou [[http://security.ubuntu.com/ubuntu/pool/multiverse/t/tremulous/tremulous_1.1.0-5_i386.deb|tremulous 32 bits]] si vous êtes en 32 bits. |    => suggestions : ['']
30 Mot inconnu : tremulous =>   * [[http://security.ubuntu.com/ubuntu/pool/multiverse/t/tremulous/tremulous_1.1.0-5_amd64.deb|tremulous 64 bits]] ou [[http://security.ubuntu.com/ubuntu/pool/multiverse/t/tremulous/tremulous_1.1.0-5_i386.deb|tremulous 32 bits]] si vous êtes en 32 bits. | tremulous
30 Mot inconnu : tremulous =>   * [[http://security.ubuntu.com/ubuntu/pool/multiverse/t/tremulous/tremulous_1.1.0-5_amd64.deb|tremulous 64 bits]] ou [[http://security.ubuntu.com/ubuntu/pool/multiverse/t/tremulous/tremulous_1.1.0-5_i386.deb|tremulous 32 bits]] si vous êtes en 32 bits. | tremulous
35 Mot inconnu : tremded => Note : n'installez pas de serveur dédié si vous ne comptez pas héberger de partie. En effet, une fois installé, un processus nommé tremded se lance en RAM à chaque démarrage, il utilise quelques mégas, et n'appartient à aucun utilisateur (user : nobody), ce qui est bizarre. | tremded
35 Mot inconnu : nobody => Note : n'installez pas de serveur dédié si vous ne comptez pas héberger de partie. En effet, une fois installé, un processus nommé tremded se lance en RAM à chaque démarrage, il utilise quelques mégas, et n'appartient à aucun utilisateur (user : nobody), ce qui est bizarre. | nobody

46 Mot inconnu : Esc => Pour modifier la configuration des touches Esc -> options -> Controls | esc
46 Mot inconnu : Controls => Pour modifier la configuration des touches Esc -> options -> Controls | controls

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ^1 = rouge       ^6 = violet |    => suggestions : ['']
49 Espace(s) surnuméraire(s) à supprimer. =>   ^1 = rouge       ^6 = violet |         => suggestions : [' ']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ^2 = vert        ^7 = blanc |    => suggestions : ['']
50 Espace(s) surnuméraire(s) à supprimer. =>   ^2 = vert        ^7 = blanc |          => suggestions : [' ']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ^3 = jaune       ^8 = gris |    => suggestions : ['']
51 Espace(s) surnuméraire(s) à supprimer. =>   ^3 = jaune       ^8 = gris |         => suggestions : [' ']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ^4 = bleu        ^9 = noir |    => suggestions : ['']
52 Espace(s) surnuméraire(s) à supprimer. =>   ^4 = bleu        ^9 = noir |          => suggestions : [' ']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ^3Joueur ^1[Ubuntu-fr] ce qui écrira Joueur en jaune et [Ubuntu-fr] en rouge |    => suggestions : ['']

63 Mot inconnu : frags => Les aliens sont composés d'attaquants et de constructeurs. Ils disposent de 3 stages d'évolution. L'équipe commence au stage 1, et monte après un certain nombre de frags. Chaque stage apporte son lot de nouveaux bâtiments et de nouvelles races. | frags

66 Mot inconnu : Dretch => Au début on commence avec une toute petite bête (Dretch) qui peut grimper aux murs et aux plafonds. Pour tuer les ennemis il suffit de les toucher. Une fois qu'on a fait des points, on peut évoluer((voir les infos en bas à gauche pour le bouton)). | dretch
66 Il manque un espace avant la parenthèse. => Au début on commence avec une toute petite bête (Dretch) qui peut grimper aux murs et aux plafonds. Pour tuer les ennemis il suffit de les toucher. Une fois qu'on a fait des points, on peut évoluer((voir les infos en bas à gauche pour le bouton)). | ( => suggestions : [' (']
68 Espace(s) en fin de ligne à supprimer. => Les aliens disponibles sont :    |     => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le Dretch, cet alien est le premier que l'on obtient, il a la possibilité de marcher aux murs et est très rapide, sa morsure inflige 48 points de dégats à l'humain qui n'aurait pas d'armure et il est possible de toucher la tête d'un humain en regardant vers le haut (ce qui inflige 96 dégats à l'humain sans casque) . |    => suggestions : ['']
69 Mot inconnu : Dretch =>   * Le Dretch, cet alien est le premier que l'on obtient, il a la possibilité de marcher aux murs et est très rapide, sa morsure inflige 48 points de dégats à l'humain qui n'aurait pas d'armure et il est possible de toucher la tête d'un humain en regardant vers le haut (ce qui inflige 96 dégats à l'humain sans casque) . | dretch
69 Mot inconnu : dégats =>   * Le Dretch, cet alien est le premier que l'on obtient, il a la possibilité de marcher aux murs et est très rapide, sa morsure inflige 48 points de dégats à l'humain qui n'aurait pas d'armure et il est possible de toucher la tête d'un humain en regardant vers le haut (ce qui inflige 96 dégats à l'humain sans casque) . | dégats
69 Mot inconnu : dégats =>   * Le Dretch, cet alien est le premier que l'on obtient, il a la possibilité de marcher aux murs et est très rapide, sa morsure inflige 48 points de dégats à l'humain qui n'aurait pas d'armure et il est possible de toucher la tête d'un humain en regardant vers le haut (ce qui inflige 96 dégats à l'humain sans casque) . | dégats

70 Mot inconnu : posséde => Veillez à ne pas vous déplacer en ligne droite lorsque vous utilisez cet alien, il ne posséde que 25 points de vies et pas d'attaques à distance, un humain avec l'arme de base n'a besoin que de 5 balles pour vous tuer, et utilisez l'effet de surprise, quitte à rester accroché au dessus d'une porte un bon moment... | posséde
70 Il manque un trait d’union. => Veillez à ne pas vous déplacer en ligne droite lorsque vous utilisez cet alien, il ne posséde que 25 points de vies et pas d'attaques à distance, un humain avec l'arme de base n'a besoin que de 5 balles pour vous tuer, et utilisez l'effet de surprise, quitte à rester accroché au dessus d'une porte un bon moment... | au dessus => suggestions : ['au-dessus']
70 Typographie : points de suspension. Utilisez le caractère dédié. => Veillez à ne pas vous déplacer en ligne droite lorsque vous utilisez cet alien, il ne posséde que 25 points de vies et pas d'attaques à distance, un humain avec l'arme de base n'a besoin que de 5 balles pour vous tuer, et utilisez l'effet de surprise, quitte à rester accroché au dessus d'une porte un bon moment... | ... => suggestions : ['…']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... |    => suggestions : ['']
72 Mot inconnu : Basilisk =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... | basilisk
72 Mot inconnu : dretch =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... | dretch
72 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... | ... => suggestions : ['…']
72 Confusion : “coté” est le participe passé du verbe “coter”. =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... | coté => suggestions : ['côté', 'côtés']
72 Mot inconnu : battlesuit =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... | battlesuit
72 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... | ... => suggestions : ['…']
72 Il manque un trait d’union. =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... | au dessus => suggestions : ['au-dessus']
72 Il manque un trait d’union. =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... | par derrière => suggestions : ['par-derrière']
72 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... | ... => suggestions : ['…']
72 Mot inconnu : basilisk =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... | basilisk
72 Mot inconnu : énnemi =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... | énnemi
72 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Le Basilisk, cet alien est disponible au stage 1 et coute 1 point d'évolution, il peut marcher aux murs comme le dretch, mais est plus grand et moins rapide que ce dernier, son attaque principale est un coup de griffe qu'on utilise avec le clic gauche...La particularité de cet alien est qu'il peut attraper un humain en se plaçant juste à coté de lui, il l'immobilise ainsi et l'empêche de pivoter (si l'humain est équipé d'un battlesuit, il pourra tout de même pivoter)...La meilleure stratégie avec cet alien est de se placer au dessus d'une porte et attendre qu'un humain seul passe, de l'attraper par derrière et de le découper tranquillement...A noter que le basilisk avancé, disponible au stage 2 et coutant 2 points d'évolution, possède 100 vies, au lieu de 75, est plus rapide et peut lancer un gaz empoisonné (avec le clic droit) qui empoisonne l'énnemi et l'étourdi... | ... => suggestions : ['…']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le Maraudeur,  il est disponible au stage 1 et coute 2 points d'évolution, il ne peut plus marcher aux murs et est plus lent que les deux autres aliens, en contrepartie, il est plus résistant (150 vies), possède un saut énorme et peut rebondir sur les murs...Cet alien est par conséquent très dur à toucher, mais il est aussi très difficile à manier car il faut avoir un excellent timing pour frapper en sautant...Son évolution, disponible au stage 2 et coutant 3 points d'évolution possède 25 vies de plus, est plus rapide et possède une attaque électrique utilisable avec le clic droit qui inflige des dégâts à un humain ou une structure humaine et a deux humains/structures environnants. |    => suggestions : ['']
74 Espace(s) surnuméraire(s) à supprimer. =>   * Le Maraudeur,  il est disponible au stage 1 et coute 2 points d'évolution, il ne peut plus marcher aux murs et est plus lent que les deux autres aliens, en contrepartie, il est plus résistant (150 vies), possède un saut énorme et peut rebondir sur les murs...Cet alien est par conséquent très dur à toucher, mais il est aussi très difficile à manier car il faut avoir un excellent timing pour frapper en sautant...Son évolution, disponible au stage 2 et coutant 3 points d'évolution possède 25 vies de plus, est plus rapide et possède une attaque électrique utilisable avec le clic droit qui inflige des dégâts à un humain ou une structure humaine et a deux humains/structures environnants. |    => suggestions : [' ']
74 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Le Maraudeur,  il est disponible au stage 1 et coute 2 points d'évolution, il ne peut plus marcher aux murs et est plus lent que les deux autres aliens, en contrepartie, il est plus résistant (150 vies), possède un saut énorme et peut rebondir sur les murs...Cet alien est par conséquent très dur à toucher, mais il est aussi très difficile à manier car il faut avoir un excellent timing pour frapper en sautant...Son évolution, disponible au stage 2 et coutant 3 points d'évolution possède 25 vies de plus, est plus rapide et possède une attaque électrique utilisable avec le clic droit qui inflige des dégâts à un humain ou une structure humaine et a deux humains/structures environnants. | ... => suggestions : ['…']
